product_category,store_location,historical_avg_monthly_sales,promo_active,season,economic_index,competitor_activity_index,local_event_impact,predicted_next_month_sales
Grocery,Tier 2 City,43584.54,Yes,Regular,0.82,0.71,0,56421.68
Grocery,Metro,60968.59,No,Festive,1.13,1.34,0,39637.48
Home Decor,Tier 1 City,38582.92,No,Back to School,0.95,1.14,0,31578.66
Grocery,Metro,75103.34,Yes,Back to School,0.92,0.79,0,95349.92
Home Decor,Tier 1 City,77102.62,No,Regular,1.12,1.16,0,66045.48
Pharmacy,Metro,39941.69,No,Winter,0.88,1.17,0,23483.15
Pharmacy,Tier 2 City,74612.41,Yes,Back to School,0.92,1.35,0,56861.2
Grocery,Tier 1 City,33377.72,No,Regular,0.91,1.01,1,32754.98
Pharmacy,Metro,92914.08,No,Back to School,0.85,1.18,0,66215.12
Home Decor,Tier 2 City,69356.7,No,Festive,0.81,1.04,1,60685.55
Pharmacy,Tier 2 City,46317.65,No,Summer,1.04,1.35,0,30797.15
Apparel,Tier 1 City,79104.41,No,Winter,1.17,1.32,0,64477.89
Pharmacy,Tier 2 City,35089.66,Yes,Back to School,0.84,1.09,0,33654.77
Pharmacy,Tier 2 City,25659.24,Yes,Winter,0.9,1.31,0,23075.54
Grocery,Tier 1 City,41752.87,No,Winter,1.11,1.23,0,44296.48
Grocery,Tier 2 City,53773.45,Yes,Summer,0.84,0.71,0,62066.73
Pharmacy,Tier 1 City,91009.01,No,Winter,1.15,0.61,0,170669.97
Grocery,Tier 1 City,50011.08,No,Festive,1.12,0.56,0,99979.77
Pharmacy,Tier 2 City,39912.71,No,Summer,0.87,1.47,1,22797.45
Home Decor,Tier 1 City,40633.79,No,Festive,1.05,1.32,0,32778.25
Pharmacy,Tier 1 City,61965.78,No,Summer,1.16,1.4,0,49724.21
Grocery,Tier 1 City,38659.35,No,Festive,1.12,1.35,1,37868.35
Grocery,Tier 1 City,79656.81,No,Regular,0.99,0.62,0,120615.11
Pharmacy,Tier 2 City,56914.01,No,Back to School,0.8,0.88,0,61181.17
Grocery,Tier 1 City,55829.2,No,Regular,0.8,0.79,0,52489.75
Apparel,Tier 2 City,60228.23,Yes,Winter,0.88,1.48,0,40628.79
Home Decor,Metro,43733.38,No,Regular,1.07,0.52,0,84172.11
Electronics,Metro,58769.09,Yes,Summer,0.88,1.15,0,56398.51
Grocery,Metro,19105.59,No,Back to School,0.98,0.52,0,37085.22
Electronics,Tier 1 City,40120.44,Yes,Back to School,0.94,1.1,0,38225.49
Grocery,Metro,52534.81,No,Back to School,0.94,0.51,0,97125.13
Grocery,Metro,50533.07,No,Winter,0.99,0.94,0,41643.1
Pharmacy,Metro,14118.62,No,Festive,1.19,0.75,0,22790.99
Apparel,Tier 2 City,72462.61,Yes,Summer,1.17,1.01,0,93726.6
Grocery,Tier 1 City,53912.9,No,Summer,1.16,0.61,1,118244.69
Electronics,Metro,40970.92,No,Winter,1.08,0.59,1,82518.43
Pharmacy,Tier 2 City,48111.53,Yes,Winter,0.98,1.18,0,47541.08
Home Decor,Tier 1 City,86102.03,No,Back to School,0.89,1.13,0,68354.46
Grocery,Tier 1 City,73603.3,No,Regular,0.99,0.79,0,98507.28
Grocery,Tier 1 City,38863.02,Yes,Summer,0.88,0.87,0,55803.57
Home Decor,Tier 1 City,46933.75,Yes,Winter,1.0,1.21,0,32893.89
Electronics,Metro,40125.37,No,Summer,0.9,0.55,0,67022.36
Home Decor,Tier 1 City,30206.66,Yes,Festive,1.11,0.53,0,73104.33
Electronics,Metro,56716.07,No,Winter,1.11,1.13,0,58130.42
Grocery,Tier 2 City,48598.96,Yes,Summer,1.11,1.31,1,57434.47
Grocery,Metro,72113.24,Yes,Summer,1.17,1.09,1,90879.47
Apparel,Tier 2 City,38062.41,Yes,Summer,1.1,1.25,0,33150.73
Home Decor,Tier 1 City,54463.01,No,Summer,1.11,1.42,0,40017.6
Grocery,Metro,42078.67,No,Festive,1.11,1.34,0,44358.68
Grocery,Tier 2 City,72070.55,Yes,Summer,1.02,1.02,0,88732.49
Grocery,Tier 2 City,43514.48,No,Back to School,0.98,1.3,1,31553.88
Electronics,Tier 1 City,55609.01,Yes,Festive,0.89,0.77,0,72909.66
Electronics,Metro,68994.71,No,Back to School,1.03,1.17,1,65709.64
Home Decor,Tier 1 City,51069.52,No,Summer,1.05,0.5,1,117800.85
Pharmacy,Tier 1 City,60604.57,No,Summer,0.96,1.49,0,38245.37
Home Decor,Tier 2 City,51703.56,Yes,Regular,0.85,0.82,0,65639.38
Pharmacy,Tier 2 City,52616.91,No,Festive,1.08,1.18,0,46191.99
Electronics,Tier 2 City,22787.34,Yes,Winter,0.82,1.43,0,13283.18
Home Decor,Tier 1 City,27079.4,Yes,Regular,1.15,1.03,0,37540.44
Electronics,Tier 2 City,47477.71,No,Back to School,0.91,0.94,0,43838.97
Grocery,Metro,48104.91,Yes,Festive,1.12,0.87,1,78950.3
Electronics,Tier 2 City,44809.9,Yes,Regular,0.85,0.77,0,50309.61
Grocery,Tier 2 City,38754.03,No,Summer,0.94,0.9,0,35322.99
Electronics,Tier 2 City,101892.18,No,Summer,0.99,1.09,1,96156.36
Apparel,Metro,51880.11,No,Back to School,1.18,0.98,0,55139.38
Grocery,Metro,56007.83,Yes,Winter,1.01,0.55,1,125233.79
Home Decor,Tier 1 City,74191.42,No,Winter,1.0,0.68,0,111166.98
Grocery,Tier 2 City,46926.99,Yes,Winter,0.92,1.38,0,37723.27
Home Decor,Metro,27673.96,Yes,Festive,1.0,0.66,0,47645.68
Apparel,Tier 1 City,54053.29,No,Winter,1.14,0.54,0,110451.61
Pharmacy,Tier 2 City,35772.04,No,Winter,0.99,0.94,0,35875.3
Electronics,Tier 2 City,66958.84,No,Festive,0.9,0.53,0,121824.65
Apparel,Tier 2 City,57835.51,Yes,Back to School,0.9,1.02,0,57817.38
Pharmacy,Tier 2 City,34433.76,No,Winter,0.83,1.16,0,21046.43
Home Decor,Tier 2 City,58155.47,No,Back to School,1.03,0.81,0,83907.47
Home Decor,Metro,86731.37,No,Regular,1.07,1.06,0,92713.49
Grocery,Tier 1 City,41277.99,No,Regular,1.15,0.55,0,88989.43
Grocery,Tier 2 City,30463.86,Yes,Winter,0.84,1.33,0,21950.61
Grocery,Tier 1 City,24619.13,No,Summer,0.9,1.23,0,21703.66
Apparel,Metro,76084.41,Yes,Festive,0.81,1.4,0,55519.39
Home Decor,Metro,70619.65,No,Back to School,0.95,1.34,1,46526.38
Apparel,Tier 1 City,54923.5,Yes,Back to School,0.8,0.6,0,86553.54
Electronics,Metro,26955.48,No,Back to School,0.92,0.86,1,39685.49
Home Decor,Metro,35633.42,Yes,Winter,1.19,1.13,0,45369.24
Pharmacy,Tier 2 City,73686.33,Yes,Regular,1.06,1.02,0,89286.55
Apparel,Metro,53222.74,Yes,Back to School,1.18,0.58,1,133989.58
Home Decor,Metro,60836.48,No,Festive,0.83,0.84,0,60911.31
Home Decor,Tier 1 City,37394.74,No,Summer,1.01,1.5,0,23757.11
Electronics,Metro,43965.52,Yes,Regular,1.17,0.89,0,73026.22
Apparel,Tier 2 City,60595.5,Yes,Regular,0.86,1.42,0,42522.71
Apparel,Tier 2 City,26223.62,Yes,Regular,0.91,1.45,0,20998.59
Grocery,Tier 1 City,15580.92,Yes,Festive,1.12,1.31,0,19478.06
Grocery,Tier 2 City,38653.7,No,Winter,0.99,1.38,1,29398.66
Home Decor,Tier 1 City,34851.94,No,Regular,1.04,1.08,0,32232.93
Home Decor,Metro,39136.92,Yes,Winter,0.93,1.03,0,39450.27
Electronics,Tier 2 City,59581.64,Yes,Summer,1.11,1.22,0,60009.28
Grocery,Tier 2 City,44277.64,Yes,Summer,0.96,0.84,0,60241.9
Home Decor,Tier 1 City,46579.92,No,Back to School,1.1,1.43,0,32389.07
Pharmacy,Metro,33766.88,No,Summer,1.14,0.59,0,58670.87
Apparel,Tier 2 City,23661.03,Yes,Festive,1.1,0.82,0,41645.08
Home Decor,Tier 1 City,60476.75,No,Summer,0.96,1.18,0,44216.56
Electronics,Tier 2 City,20046.32,No,Regular,1.07,0.84,0,22304.04
Apparel,Metro,56194.89,No,Winter,0.99,1.38,0,32911.55
Apparel,Metro,70532.01,Yes,Regular,1.07,0.86,0,100930.01
Electronics,Metro,12854.25,No,Regular,0.83,1.37,0,5000.0
Apparel,Tier 2 City,13937.84,No,Festive,0.85,1.19,0,6540.21
Grocery,Metro,59599.99,No,Summer,1.13,0.74,0,91822.6
Electronics,Metro,74355.2,No,Festive,1.11,1.24,0,68536.19
Home Decor,Metro,59640.22,No,Festive,0.9,0.82,0,61097.88
Pharmacy,Metro,52208.31,No,Winter,0.95,1.32,0,42243.96
Apparel,Tier 2 City,38751.42,No,Summer,1.06,0.71,0,46738.23
Pharmacy,Tier 2 City,57852.59,No,Regular,0.81,0.79,0,61877.5
Pharmacy,Tier 1 City,44400.38,No,Back to School,1.04,1.33,0,36183.36
Pharmacy,Metro,78935.75,No,Regular,1.18,0.62,0,151734.49
Pharmacy,Tier 2 City,23950.88,No,Winter,0.95,1.31,0,18288.61
Apparel,Tier 2 City,17986.91,No,Festive,0.96,1.47,0,18354.05
Home Decor,Tier 1 City,66740.1,Yes,Summer,0.94,1.38,1,55303.5
Home Decor,Tier 1 City,54724.61,No,Summer,0.92,1.01,0,47108.17
Electronics,Tier 2 City,71848.66,Yes,Summer,0.92,0.95,1,91062.63
Grocery,Metro,30515.7,No,Regular,1.18,1.05,0,33684.91
Grocery,Metro,13041.43,No,Summer,1.14,0.63,1,38736.41
Pharmacy,Tier 1 City,39819.1,No,Back to School,0.83,0.68,1,50254.4
Pharmacy,Tier 2 City,80153.08,No,Summer,0.88,0.52,0,135735.83
Apparel,Tier 2 City,61214.42,Yes,Back to School,1.03,1.32,0,59503.18
Electronics,Tier 2 City,92506.13,No,Regular,0.8,1.08,0,66517.98
Home Decor,Metro,39901.62,Yes,Regular,1.09,1.48,1,27802.84
Apparel,Tier 1 City,37819.67,Yes,Back to School,0.84,0.89,0,40531.91
Apparel,Metro,55484.54,No,Summer,0.88,1.22,0,39391.3
Pharmacy,Tier 2 City,45864.62,No,Winter,1.05,1.4,0,31958.82
Apparel,Tier 2 City,74425.83,No,Regular,1.04,0.68,1,121776.98
Grocery,Tier 1 City,49130.64,Yes,Regular,1.03,1.37,0,42283.27
Home Decor,Tier 1 City,14703.95,No,Winter,1.19,0.69,0,27251.66
Apparel,Tier 2 City,56860.75,No,Winter,1.04,0.85,0,78353.05
Grocery,Metro,69009.07,Yes,Summer,0.99,0.89,0,84922.53
Home Decor,Tier 2 City,45482.19,No,Festive,0.88,1.28,0,32490.42
Grocery,Tier 1 City,75993.05,No,Summer,0.92,0.86,0,73816.38
Pharmacy,Metro,66875.71,No,Back to School,1.09,0.92,1,90968.58
Apparel,Tier 2 City,24161.85,No,Festive,1.12,1.41,0,13529.04
Pharmacy,Tier 1 City,42902.17,Yes,Regular,1.17,0.96,0,56752.58
Home Decor,Tier 1 City,70021.05,No,Festive,1.17,1.28,0,57755.37
Pharmacy,Tier 2 City,51614.25,Yes,Back to School,1.2,0.73,0,89001.9
Electronics,Metro,52023.69,No,Winter,0.92,1.38,0,41997.44
Grocery,Metro,47251.36,No,Festive,1.01,1.42,0,29657.19
Grocery,Tier 1 City,88126.47,No,Festive,1.11,0.53,0,177942.75
Electronics,Tier 1 City,60475.94,Yes,Festive,1.03,1.35,1,63893.16
Electronics,Tier 1 City,40890.24,No,Back to School,0.92,0.82,0,43106.61
Pharmacy,Metro,48136.68,No,Winter,1.05,0.92,0,58364.65
Apparel,Metro,33917.73,No,Summer,0.91,0.59,1,50623.29
Home Decor,Tier 1 City,53657.14,No,Back to School,1.14,1.03,1,66620.09
Apparel,Tier 2 City,62936.66,Yes,Back to School,0.89,1.35,0,40581.56
Grocery,Tier 1 City,15715.35,No,Back to School,1.04,1.48,0,10976.79
Home Decor,Metro,37870.75,No,Winter,0.92,1.28,0,24431.06
Apparel,Metro,35174.09,No,Festive,0.85,1.05,1,28681.01
Pharmacy,Tier 1 City,75533.44,Yes,Festive,0.86,0.85,0,79012.2
Home Decor,Tier 2 City,60957.38,No,Back to School,0.8,0.51,0,95677.25
Home Decor,Tier 2 City,53307.87,No,Winter,1.05,0.81,0,68180.92
Apparel,Metro,5000.0,Yes,Winter,1.14,1.21,0,7801.21
Electronics,Tier 1 City,33561.07,No,Winter,1.07,0.93,0,35699.19
Pharmacy,Tier 2 City,95146.54,No,Winter,0.83,1.17,1,79203.43
Home Decor,Tier 2 City,46769.21,No,Festive,1.03,1.1,0,41657.84
Grocery,Metro,52983.55,Yes,Summer,1.16,1.37,1,52289.34
Home Decor,Tier 1 City,40886.73,No,Winter,1.04,1.03,0,41245.31
Grocery,Metro,35896.55,Yes,Summer,1.09,0.86,0,50012.77
Home Decor,Tier 2 City,40227.52,No,Festive,0.84,0.78,0,42642.41
Apparel,Tier 1 City,95598.7,No,Back to School,0.98,1.41,0,53825.86
Pharmacy,Tier 1 City,56891.82,No,Winter,0.85,0.78,0,64886.42
Electronics,Tier 2 City,34773.96,Yes,Back to School,0.96,0.79,1,51065.02
Home Decor,Tier 1 City,63967.14,No,Festive,1.16,1.26,0,64338.52
Apparel,Metro,52378.87,Yes,Summer,1.17,1.38,0,51184.35
Apparel,Metro,44713.57,No,Summer,0.99,1.32,0,33666.89
Pharmacy,Tier 2 City,30967.39,Yes,Festive,0.87,0.8,1,44726.19
Pharmacy,Tier 2 City,40022.77,Yes,Winter,1.06,1.37,0,33571.72
Apparel,Tier 2 City,47416.22,No,Summer,0.95,1.27,0,36732.57
Apparel,Tier 2 City,54910.85,No,Winter,0.84,0.87,0,50405.75
Home Decor,Tier 1 City,53579.54,Yes,Winter,1.18,1.01,0,70978.93
Pharmacy,Tier 1 City,25498.97,No,Winter,1.05,1.21,0,15793.89
Home Decor,Tier 1 City,18893.28,No,Summer,1.07,1.35,0,17850.61
Pharmacy,Metro,62987.63,Yes,Regular,0.91,1.2,0,58841.14
Pharmacy,Tier 2 City,64504.96,No,Winter,1.19,0.79,1,104862.01
Home Decor,Tier 2 City,55542.11,Yes,Festive,0.98,0.9,0,68874.69
Grocery,Metro,73051.74,No,Regular,0.81,1.26,0,45839.7
Apparel,Tier 1 City,35050.13,Yes,Summer,1.06,0.82,0,53971.63
Electronics,Tier 2 City,48875.21,No,Festive,1.01,1.47,0,32209.8
Grocery,Tier 2 City,54829.3,No,Back to School,0.81,0.98,1,51291.24
Electronics,Tier 2 City,99532.32,No,Summer,1.1,0.7,0,149783.31
Electronics,Tier 1 City,56242.21,No,Back to School,1.05,1.45,0,44651.37
Home Decor,Tier 1 City,17026.35,No,Regular,1.17,1.4,0,5000.0
Grocery,Tier 1 City,55090.36,No,Regular,0.83,0.74,1,71328.33
Grocery,Tier 1 City,52586.18,Yes,Summer,0.98,1.19,0,46133.92
Home Decor,Tier 1 City,43299.06,Yes,Regular,1.17,1.1,0,59430.06
Pharmacy,Tier 1 City,46534.66,No,Back to School,1.05,1.18,1,46557.96
Apparel,Tier 2 City,68642.69,Yes,Summer,0.87,0.96,0,63074.93
Grocery,Tier 2 City,71310.13,Yes,Winter,1.06,1.1,0,78926.79
Apparel,Tier 1 City,45332.81,Yes,Festive,1.03,0.82,0,60164.26
Pharmacy,Tier 2 City,16587.59,Yes,Summer,1.09,0.81,0,22044.05
Electronics,Tier 1 City,40816.73,Yes,Regular,1.19,0.71,0,74867.09
Electronics,Tier 1 City,57509.19,No,Festive,0.88,0.51,0,103902.04
Pharmacy,Metro,60433.77,No,Festive,0.94,0.6,1,98087.31
Grocery,Tier 1 City,5000.0,No,Festive,1.02,0.88,0,5000.0
Electronics,Tier 2 City,71496.2,Yes,Summer,1.13,0.9,0,104364.94
Home Decor,Metro,46062.14,No,Summer,0.94,1.09,0,33837.36
Home Decor,Metro,5000.0,Yes,Winter,1.18,1.18,0,8315.58
Home Decor,Metro,50924.85,Yes,Festive,1.12,1.46,1,49649.06
Apparel,Metro,30374.3,No,Summer,1.1,1.45,0,25846.56
Home Decor,Metro,48507.51,No,Regular,1.04,0.59,0,84619.19
Pharmacy,Metro,48355.71,No,Festive,1.14,0.55,0,93148.97
Home Decor,Tier 1 City,12271.5,Yes,Back to School,0.88,0.78,0,22417.7
Grocery,Tier 2 City,42583.74,No,Festive,1.03,0.59,0,77735.5
Grocery,Tier 2 City,41100.15,No,Regular,1.1,0.77,0,65099.82
Pharmacy,Metro,6553.04,No,Festive,0.84,0.66,0,7328.24
Home Decor,Metro,71324.62,Yes,Winter,0.98,1.47,0,54357.89
Apparel,Tier 1 City,52028.39,Yes,Regular,0.92,0.55,0,95141.18
Home Decor,Tier 1 City,77352.96,No,Summer,0.83,1.33,0,54110.36
Grocery,Tier 2 City,48228.97,No,Winter,0.9,0.96,0,43501.36
Grocery,Tier 2 City,48020.57,No,Back to School,0.9,0.65,0,62057.31
Apparel,Tier 2 City,52544.67,No,Back to School,1.14,1.22,0,54195.82
Home Decor,Metro,51459.37,Yes,Regular,1.12,1.37,0,45700.08
Pharmacy,Tier 1 City,43166.55,Yes,Back to School,0.91,0.86,0,60213.37
Grocery,Tier 1 City,77861.15,No,Back to School,0.94,1.24,1,65145.09
Electronics,Tier 1 City,26994.69,No,Winter,0.94,0.58,0,39203.05
Home Decor,Tier 2 City,40394.82,Yes,Winter,1.15,1.06,0,45974.86
Home Decor,Tier 1 City,72370.74,No,Winter,1.05,0.91,0,85102.03
Electronics,Metro,49752.04,Yes,Winter,1.13,1.07,1,67545.84
Electronics,Metro,24942.55,No,Festive,0.91,0.74,0,30214.51
Grocery,Metro,93352.33,No,Festive,0.97,1.06,0,84432.59
Grocery,Tier 1 City,67663.25,Yes,Regular,1.17,1.03,0,87577.17
Electronics,Tier 1 City,41227.18,No,Back to School,1.17,0.61,0,80992.8
Home Decor,Tier 2 City,82788.65,No,Summer,1.12,1.2,0,87114.71
Home Decor,Tier 2 City,25326.0,No,Back to School,0.99,0.52,0,44839.52
Apparel,Tier 2 City,5000.0,No,Festive,0.88,1.41,0,5000.0
Pharmacy,Metro,34630.98,No,Regular,0.94,1.19,0,22235.74
Grocery,Tier 1 City,5000.0,Yes,Summer,1.03,0.66,0,5000.0
Electronics,Tier 2 City,68862.17,No,Back to School,0.85,0.62,1,102097.07
Grocery,Tier 1 City,60133.54,No,Back to School,0.92,1.42,0,40918.79
Pharmacy,Metro,37400.16,No,Summer,0.92,0.64,0,42437.03
Home Decor,Tier 2 City,44747.27,No,Summer,0.9,1.06,0,47912.53
Electronics,Tier 2 City,51207.18,No,Back to School,1.07,0.64,1,97302.85
Grocery,Metro,5097.67,No,Back to School,1.03,1.02,0,8412.01
Apparel,Metro,47304.86,No,Festive,1.11,0.96,0,62181.0
Electronics,Tier 2 City,104869.0,No,Back to School,1.05,0.62,0,176209.13
Electronics,Tier 2 City,60653.99,Yes,Festive,1.06,0.91,0,86923.07
Apparel,Tier 1 City,29460.86,Yes,Summer,0.97,0.97,0,32865.07
Apparel,Metro,24519.14,No,Regular,0.83,0.6,0,34863.91
Apparel,Tier 1 City,22033.33,No,Back to School,0.85,1.29,0,22098.42
Apparel,Tier 1 City,62552.86,Yes,Regular,1.12,1.37,0,64495.67
Grocery,Tier 1 City,22351.35,Yes,Festive,1.11,1.29,0,23954.44
Pharmacy,Tier 2 City,30594.85,No,Winter,0.96,1.16,0,24840.65
Electronics,Tier 2 City,31958.93,No,Regular,1.14,1.17,1,29114.72
Pharmacy,Tier 1 City,41801.4,Yes,Winter,0.83,1.07,0,38768.63
Apparel,Tier 1 City,67418.81,Yes,Regular,1.04,0.83,0,105387.15
Apparel,Tier 2 City,63764.88,No,Regular,1.16,0.51,1,157425.12
Apparel,Metro,48614.99,Yes,Festive,1.13,1.22,1,46017.66
Apparel,Tier 1 City,56939.39,No,Festive,0.85,1.01,0,46049.36
Grocery,Metro,34973.16,No,Festive,0.95,1.0,0,33392.18
Home Decor,Tier 1 City,71625.33,Yes,Summer,0.94,1.27,1,64621.81
Grocery,Metro,94637.91,No,Summer,1.03,0.87,0,118131.16
Apparel,Tier 1 City,56514.42,Yes,Festive,1.03,0.59,0,120226.32
Grocery,Tier 1 City,14193.54,No,Summer,0.96,0.9,0,15162.36
Electronics,Metro,53997.46,No,Back to School,1.19,0.82,0,83293.11
Pharmacy,Tier 1 City,59418.98,No,Winter,0.86,0.56,0,90586.25
Apparel,Metro,34444.52,No,Winter,0.93,1.21,0,22602.5
Electronics,Tier 1 City,24810.23,No,Festive,1.09,1.22,0,14736.7
Pharmacy,Tier 1 City,67728.69,Yes,Festive,0.96,1.15,0,60117.25
Grocery,Metro,33277.76,Yes,Winter,0.88,0.53,0,49554.67
Pharmacy,Metro,89994.73,Yes,Back to School,0.89,1.29,0,75513.35
Grocery,Tier 1 City,37355.35,No,Winter,0.83,1.03,0,31939.45
Pharmacy,Tier 2 City,68483.01,No,Summer,1.19,0.9,0,94690.79
Apparel,Tier 1 City,37970.62,No,Regular,0.93,1.15,0,35476.35
Apparel,Metro,32053.44,No,Summer,0.86,0.99,0,24675.84
Grocery,Tier 2 City,11783.64,No,Summer,0.86,0.76,0,10416.64
Pharmacy,Metro,51112.74,Yes,Regular,1.18,1.37,0,55079.82
Grocery,Metro,51132.89,Yes,Festive,0.9,0.8,0,71054.16
Apparel,Tier 1 City,54374.74,No,Back to School,1.02,0.76,0,73716.3
Home Decor,Tier 1 City,31028.68,No,Summer,1.16,1.37,0,31049.08
Apparel,Tier 2 City,39533.68,No,Winter,0.81,0.79,0,40472.83
Home Decor,Tier 2 City,30795.42,No,Winter,0.85,1.24,0,20269.23
Home Decor,Metro,62691.02,No,Regular,0.88,1.44,0,32666.87
Grocery,Tier 1 City,42458.45,No,Festive,1.17,1.37,0,34774.01
Home Decor,Tier 1 City,57492.29,No,Winter,1.19,0.89,0,82136.44
Electronics,Metro,41691.48,No,Back to School,0.89,1.29,1,33127.65
Home Decor,Metro,52983.85,Yes,Summer,1.17,1.42,0,54077.47
Apparel,Tier 2 City,40675.65,Yes,Back to School,1.19,0.63,0,97801.39
Grocery,Tier 2 City,19728.73,Yes,Regular,1.11,0.69,0,27129.83
Apparel,Tier 1 City,40379.34,No,Winter,0.88,0.84,0,29651.78
Pharmacy,Tier 2 City,72547.12,No,Summer,1.12,1.01,0,83546.4
Apparel,Tier 2 City,66346.34,Yes,Back to School,0.9,1.02,0,68023.99
Electronics,Tier 1 City,29966.51,Yes,Festive,0.81,0.59,1,56729.75
Pharmacy,Tier 1 City,43149.27,Yes,Winter,1.0,0.65,0,82419.81
Home Decor,Tier 1 City,100358.93,Yes,Back to School,0.89,1.3,0,76666.98
Pharmacy,Tier 2 City,25627.1,Yes,Summer,0.92,1.5,0,15531.31
Home Decor,Tier 2 City,64220.0,Yes,Winter,0.97,1.22,0,56694.16
Apparel,Tier 1 City,38287.65,Yes,Back to School,0.81,1.38,0,17394.23
Grocery,Tier 2 City,68221.18,No,Back to School,0.88,1.14,0,51049.88
Grocery,Metro,51990.92,Yes,Back to School,1.15,1.03,0,66080.09
Apparel,Tier 1 City,47821.31,No,Festive,0.83,0.87,1,59332.35
Electronics,Metro,29243.27,No,Regular,0.98,0.9,0,35027.27
Home Decor,Tier 1 City,47204.51,Yes,Regular,0.91,1.22,0,43954.71
Apparel,Tier 1 City,73197.67,No,Festive,1.17,1.24,0,72501.88
Grocery,Tier 1 City,5000.0,Yes,Summer,0.82,1.16,0,5000.0
Pharmacy,Metro,76307.36,No,Summer,1.14,1.25,0,65121.18
Apparel,Metro,35407.26,No,Festive,1.04,1.29,1,27829.3
Home Decor,Tier 2 City,35843.39,No,Back to School,1.11,0.92,0,43112.63
Home Decor,Tier 2 City,48522.37,No,Summer,1.15,1.35,0,45935.18
Apparel,Metro,47296.44,No,Festive,1.13,1.28,1,46103.27
Grocery,Tier 1 City,39923.08,No,Back to School,0.97,1.43,0,31275.36
Apparel,Tier 2 City,71343.63,Yes,Summer,0.91,1.29,0,61606.25
Home Decor,Tier 1 City,58853.12,Yes,Back to School,0.98,0.75,0,87718.5
Pharmacy,Tier 2 City,63788.4,No,Back to School,1.1,0.7,0,105122.21
Electronics,Metro,55271.65,Yes,Regular,0.94,1.0,0,63626.35
Pharmacy,Metro,5000.0,Yes,Winter,0.89,0.84,0,8522.39
Home Decor,Tier 2 City,22504.01,No,Back to School,1.15,1.14,1,29250.35
Electronics,Tier 1 City,55683.72,No,Winter,0.83,0.8,0,57432.28
Home Decor,Metro,30653.82,No,Festive,0.94,0.76,0,37878.54
Home Decor,Tier 1 City,32446.22,No,Winter,1.12,1.24,0,31263.39
Apparel,Tier 1 City,54032.24,Yes,Festive,1.18,1.03,0,69161.83
Grocery,Tier 1 City,46689.87,Yes,Festive,0.87,1.03,0,53011.35
Electronics,Tier 1 City,71286.47,No,Summer,1.19,0.65,1,150327.6
Apparel,Tier 1 City,77847.31,No,Back to School,1.19,0.53,0,174733.27
Pharmacy,Tier 1 City,70577.1,No,Regular,1.16,0.87,0,87842.47
Electronics,Metro,35142.22,Yes,Festive,0.91,0.62,0,65832.97
Grocery,Tier 2 City,54195.19,Yes,Back to School,1.14,0.64,1,118592.7
Grocery,Tier 1 City,54824.72,Yes,Back to School,0.99,0.72,0,79110.74
Electronics,Tier 1 City,80048.8,No,Festive,0.85,0.73,1,98238.05
Grocery,Tier 2 City,37943.07,Yes,Summer,1.07,1.37,0,39452.63
Pharmacy,Metro,61517.17,No,Back to School,0.92,1.11,0,54036.53
Home Decor,Metro,43625.35,Yes,Winter,0.88,1.26,0,37815.65
Home Decor,Tier 1 City,54302.83,No,Summer,1.1,0.58,0,110007.18
Electronics,Tier 1 City,24522.57,No,Regular,0.94,0.99,0,29045.03
Apparel,Tier 2 City,20476.22,No,Summer,1.02,0.82,0,33331.2
Pharmacy,Tier 1 City,24717.53,No,Back to School,0.94,0.59,0,46595.84
Pharmacy,Tier 2 City,62690.95,No,Summer,0.83,0.55,0,89530.24
Home Decor,Tier 1 City,64438.58,Yes,Summer,0.82,0.67,0,91035.07
Home Decor,Metro,68210.0,No,Summer,0.98,0.62,0,101829.85
Grocery,Tier 1 City,60417.58,No,Back to School,0.81,1.39,0,25851.7
Electronics,Tier 2 City,27025.57,No,Winter,0.98,1.14,1,35567.5
Electronics,Tier 1 City,31530.94,Yes,Summer,1.01,1.05,0,23170.31
Electronics,Metro,48880.25,No,Back to School,0.87,1.26,0,28020.96
Grocery,Metro,44652.82,Yes,Festive,0.87,0.68,0,58366.23
Apparel,Tier 2 City,52586.27,Yes,Regular,1.15,0.69,0,94542.26
Apparel,Metro,8044.6,No,Summer,1.03,0.88,0,5000.0
Apparel,Tier 2 City,58217.78,No,Festive,0.93,1.07,0,48122.52
Home Decor,Metro,28244.09,Yes,Regular,1.04,1.18,0,30743.1
Home Decor,Metro,38414.52,Yes,Summer,0.95,1.09,1,37323.69
Grocery,Tier 2 City,80942.71,No,Winter,0.86,0.75,0,89195.38
Electronics,Tier 1 City,47088.18,Yes,Regular,0.89,0.85,0,52108.49
Grocery,Metro,91441.55,No,Festive,1.12,1.27,0,68200.84
Apparel,Metro,30863.17,No,Summer,0.97,1.09,0,32481.73
Grocery,Tier 2 City,61689.52,No,Regular,0.8,0.73,1,70083.79
Home Decor,Tier 2 City,46584.44,No,Festive,0.97,0.71,0,64542.32
Home Decor,Tier 2 City,39395.76,No,Summer,0.84,0.61,0,57126.07
Grocery,Tier 1 City,56971.02,No,Regular,0.9,1.32,0,36292.04
Electronics,Tier 2 City,37449.1,Yes,Back to School,1.02,0.89,0,46612.14
Electronics,Tier 1 City,74968.1,No,Summer,0.89,1.17,0,55013.56
Home Decor,Tier 2 City,57304.39,No,Festive,0.87,0.92,0,55888.91
