Project Complexity,Location Type,Environmental Risk Score,Regulatory Flags,Contractor Experience (Years),Budget (in ₹ Crores),Historical Risk Score,Risk Level
Medium,Coastal,6.75,4,14,15.88,3.72,Medium Risk
Medium,Coastal,5.72,1,1,22.19,6.53,Medium Risk
Low,Urban,3.51,1,19,16.96,5.07,Low Risk
Medium,Urban,2.37,1,29,22.43,7.93,Low Risk
Medium,Urban,7.4,1,19,8.23,4.62,Low Risk
Medium,Urban,6.93,3,25,13.2,7.81,Low Risk
Low,Hilly,3.47,4,22,9.92,1.69,Low Risk
Medium,Rural,6.78,1,25,18.78,8.29,Low Risk
High,Coastal,4.96,2,23,16.07,2.9,Low Risk
Medium,Suburban,8.21,0,11,19.2,8.59,Low Risk
Medium,Urban,3.64,2,10,18.09,6.75,Low Risk
High,Urban,1.63,1,13,9.48,3.57,Low Risk
Medium,Urban,7.81,2,7,20.43,6.94,Medium Risk
Medium,Hilly,9.17,0,26,14.18,7.05,Low Risk
High,Rural,1.56,4,2,14.49,8.63,Medium Risk
High,Urban,2.71,2,10,14.08,5.63,Medium Risk
Medium,Rural,3.63,2,21,8.79,7.1,Low Risk
Medium,Suburban,5.55,2,28,17.83,5.9,Low Risk
Medium,Rural,3.7,3,21,13.24,8.64,Low Risk
Medium,Suburban,9.8,2,27,14.51,8.4,Low Risk
Low,Rural,6.61,3,26,14.21,6.33,Low Risk
Medium,Rural,3.88,1,9,8.17,8.31,Low Risk
Medium,Coastal,2.56,4,12,15.35,7.56,Medium Risk
High,Suburban,2.22,0,4,13.51,2.91,Low Risk
High,Suburban,9.13,1,25,19.66,2.0,Low Risk
Medium,Hilly,8.51,3,8,6.76,1.58,Medium Risk
Low,Hilly,9.0,4,21,11.66,9.7,Medium Risk
Low,Suburban,7.28,1,19,15.01,8.38,Low Risk
Medium,Urban,2.8,0,15,9.5,9.06,Low Risk
Medium,Rural,9.58,4,2,17.83,8.68,Medium Risk
High,Rural,1.26,4,9,16.27,2.05,Medium Risk
Medium,Rural,8.46,1,1,10.55,4.38,Medium Risk
Medium,Coastal,2.53,1,1,13.83,3.6,Low Risk
Medium,Suburban,6.95,3,25,18.79,9.86,Medium Risk
Low,Coastal,1.47,0,26,20.32,1.21,Low Risk
Medium,Urban,3.2,1,3,15.61,6.85,Low Risk
Medium,Hilly,4.79,3,6,15.03,1.18,Low Risk
Low,Urban,8.34,0,7,15.54,6.36,Low Risk
Low,Coastal,4.29,0,19,13.21,1.12,Low Risk
High,Urban,3.2,2,18,10.12,4.97,Low Risk
High,Hilly,7.37,0,10,14.28,3.26,Low Risk
Medium,Coastal,1.89,1,23,16.8,5.56,Low Risk
Medium,Coastal,9.51,2,18,12.48,2.03,Low Risk
Medium,Hilly,9.36,2,28,13.38,1.82,Low Risk
Low,Coastal,1.69,4,8,18.56,7.14,Medium Risk
Medium,Coastal,9.47,4,25,21.91,6.71,Medium Risk
Medium,Coastal,9.07,0,16,9.96,3.57,Low Risk
Low,Rural,6.39,2,20,17.48,4.31,Low Risk
Low,Hilly,5.38,0,13,11.99,7.37,Low Risk
High,Rural,8.03,0,6,16.45,1.44,Low Risk
Low,Hilly,1.08,4,4,16.51,1.25,Low Risk
Medium,Hilly,6.88,0,19,11.56,6.68,Low Risk
Medium,Hilly,3.14,2,19,12.9,8.32,Low Risk
Medium,Rural,8.32,0,20,11.79,6.3,Low Risk
Low,Urban,3.69,4,3,7.16,7.72,Medium Risk
Medium,Coastal,2.2,2,20,10.99,9.32,Low Risk
High,Rural,8.52,1,17,12.26,8.54,Medium Risk
High,Suburban,7.45,0,29,17.77,5.7,Low Risk
Medium,Urban,9.95,0,6,12.11,8.2,Low Risk
Medium,Urban,5.04,2,24,14.1,3.39,Low Risk
Medium,Urban,2.11,2,8,19.22,7.0,Low Risk
Medium,Coastal,5.22,4,21,20.65,1.03,Low Risk
Medium,Suburban,5.61,4,4,15.54,9.89,Medium Risk
High,Coastal,4.26,3,26,14.13,3.92,Low Risk
Medium,Urban,7.74,3,3,14.16,7.13,Medium Risk
Medium,Suburban,2.72,1,29,21.56,9.37,Low Risk
Medium,Urban,9.34,3,6,9.82,5.79,Medium Risk
Low,Hilly,5.09,0,7,20.72,4.92,Low Risk
Medium,Coastal,1.56,2,10,11.22,4.29,Low Risk
Low,Suburban,1.44,1,27,24.95,3.4,Low Risk
High,Suburban,4.41,4,18,11.12,4.63,Medium Risk
Low,Rural,6.73,0,7,9.72,6.28,Low Risk
Low,Hilly,8.48,4,26,7.75,5.28,Low Risk
Medium,Rural,6.9,2,15,13.7,1.41,Low Risk
Medium,Rural,9.17,0,23,8.76,2.58,Low Risk
Low,Hilly,5.17,2,2,22.05,8.89,Medium Risk
Medium,Urban,4.93,2,15,8.16,2.42,Low Risk
Low,Suburban,2.15,3,8,17.45,1.38,Low Risk
Low,Rural,6.48,0,5,12.96,4.92,Low Risk
Medium,Coastal,6.32,1,10,16.91,1.29,Low Risk
High,Hilly,1.92,3,6,9.59,5.71,Medium Risk
High,Suburban,8.83,4,6,19.08,6.97,Medium Risk
Medium,Coastal,4.98,4,4,14.99,3.79,Medium Risk
Medium,Suburban,9.93,1,29,15.5,6.05,Low Risk
Low,Coastal,9.13,2,2,17.71,1.43,Low Risk
Low,Hilly,6.76,1,15,10.97,8.5,Low Risk
Low,Suburban,7.21,3,3,7.73,7.61,Medium Risk
Medium,Coastal,6.55,1,14,19.3,9.08,Low Risk
High,Suburban,1.77,0,16,11.58,8.55,Low Risk
Medium,Hilly,7.99,2,1,20.96,1.93,Medium Risk
High,Hilly,5.9,3,20,17.96,4.2,Medium Risk
Low,Suburban,8.11,3,29,9.92,6.7,Low Risk
Medium,Rural,2.77,0,21,10.96,5.71,Low Risk
Medium,Hilly,1.04,4,29,16.2,1.76,Low Risk
Medium,Hilly,9.97,2,19,19.9,4.02,Low Risk
Medium,Urban,7.93,4,21,14.07,9.99,Medium Risk
High,Rural,1.91,0,6,13.29,4.51,Low Risk
High,Rural,2.54,3,29,10.25,9.25,Medium Risk
Medium,Coastal,1.16,4,12,10.29,9.59,Medium Risk
Medium,Coastal,4.18,3,7,13.39,8.28,Medium Risk
Low,Hilly,4.36,3,12,9.9,8.92,Low Risk
Medium,Hilly,6.72,3,14,15.32,6.26,Medium Risk
Low,Coastal,3.06,0,18,18.95,5.78,Low Risk
High,Urban,9.17,1,25,20.95,7.52,Low Risk
Medium,Rural,9.9,3,7,13.15,4.02,Medium Risk
Medium,Rural,9.34,1,18,17.5,9.38,Low Risk
High,Hilly,9.82,4,12,17.41,1.83,Medium Risk
Medium,Hilly,8.02,1,9,9.28,3.87,Low Risk
Medium,Urban,7.49,1,17,19.0,7.1,Low Risk
Medium,Coastal,2.75,0,8,12.99,4.09,Low Risk
Medium,Hilly,6.75,4,22,8.76,8.96,Medium Risk
High,Hilly,1.8,3,11,5.51,4.25,Medium Risk
High,Urban,9.44,3,6,16.98,8.87,Medium Risk
Low,Urban,5.28,1,18,13.24,7.25,Low Risk
Medium,Suburban,1.87,3,12,14.38,3.16,Low Risk
Medium,Hilly,1.04,3,27,12.73,7.63,Low Risk
High,Hilly,7.37,4,28,20.47,3.89,Medium Risk
Medium,Urban,7.42,1,15,19.71,8.35,Low Risk
High,Coastal,1.54,2,27,11.73,2.91,Low Risk
Medium,Suburban,5.78,2,6,11.87,3.63,Low Risk
Medium,Hilly,4.09,1,27,10.02,8.51,Low Risk
Low,Suburban,4.05,0,11,11.68,2.04,Low Risk
Low,Rural,2.78,2,17,13.01,8.33,Low Risk
High,Coastal,5.27,3,3,15.5,9.69,Medium Risk
Medium,Hilly,7.95,3,29,12.92,8.95,Low Risk
Medium,Urban,4.99,1,22,19.03,5.61,Low Risk
Medium,Urban,6.61,2,9,11.41,5.09,Low Risk
High,Hilly,9.85,1,13,12.58,5.96,Medium Risk
Medium,Urban,9.49,1,3,17.37,2.15,Low Risk
Medium,Rural,4.35,1,7,18.71,2.62,Low Risk
Low,Hilly,9.44,1,11,16.17,1.14,Low Risk
Low,Rural,7.74,3,29,14.19,8.36,Low Risk
High,Rural,2.1,3,24,22.22,6.26,Low Risk
Medium,Urban,7.97,2,9,17.98,9.79,Medium Risk
Low,Suburban,4.26,2,9,9.78,4.5,Low Risk
Low,Rural,2.08,4,6,13.75,7.45,Medium Risk
High,Urban,7.35,2,24,8.3,9.11,Medium Risk
Medium,Rural,4.18,0,16,8.13,2.59,Low Risk
Medium,Rural,3.17,4,10,8.26,8.85,Medium Risk
Medium,Rural,1.16,1,4,17.12,2.69,Low Risk
Medium,Suburban,7.15,2,19,14.91,4.15,Low Risk
Medium,Rural,7.33,2,17,12.97,4.51,Low Risk
Low,Urban,4.25,4,10,23.94,8.0,Medium Risk
Medium,Hilly,9.38,2,20,14.31,4.2,Low Risk
Medium,Urban,1.48,4,3,7.34,4.75,Medium Risk
Medium,Suburban,3.63,0,9,15.08,9.2,Low Risk
Medium,Urban,3.78,4,12,7.83,5.16,Medium Risk
Medium,Urban,1.22,2,8,19.11,8.01,Low Risk
Medium,Hilly,5.19,2,17,11.36,3.05,Low Risk
Medium,Rural,9.69,1,29,18.62,8.9,Low Risk
Low,Coastal,1.21,2,8,18.7,9.26,Low Risk
High,Hilly,5.27,0,25,15.54,1.26,Low Risk
Medium,Coastal,2.46,3,5,15.91,8.66,Medium Risk
Medium,Coastal,2.72,1,1,18.62,3.91,Low Risk
Medium,Hilly,5.76,1,20,18.76,4.77,Low Risk
Medium,Rural,1.77,4,29,6.63,1.83,Low Risk
High,Rural,5.6,1,23,25.7,5.73,Low Risk
High,Coastal,1.94,0,11,17.03,8.68,Low Risk
High,Rural,5.29,0,28,7.73,9.84,Low Risk
Low,Suburban,3.07,3,25,8.6,8.03,Low Risk
Medium,Hilly,1.39,0,16,23.88,5.94,Low Risk
Low,Urban,8.59,2,4,16.71,4.17,Low Risk
Medium,Coastal,1.69,3,18,11.68,1.13,Low Risk
Low,Suburban,9.98,3,4,19.25,3.83,Medium Risk
Low,Rural,1.77,4,3,11.74,7.36,Medium Risk
Medium,Rural,2.0,2,14,13.19,4.84,Low Risk
High,Coastal,5.81,2,9,10.74,7.06,Medium Risk
Low,Hilly,6.99,4,16,17.79,6.37,Medium Risk
Medium,Coastal,5.0,0,7,14.88,8.81,Low Risk
High,Coastal,6.38,1,21,8.82,5.76,Low Risk
Medium,Suburban,7.75,2,22,30.35,4.25,Low Risk
Medium,Coastal,2.68,2,24,14.59,3.54,Low Risk
Medium,Hilly,5.36,3,28,5.12,9.22,Low Risk
Low,Suburban,5.75,2,22,14.52,3.53,Low Risk
Medium,Suburban,8.13,2,9,20.8,3.64,Low Risk
Low,Suburban,3.06,2,5,10.6,7.88,Low Risk
Medium,Urban,7.66,1,22,10.82,8.96,Low Risk
Low,Coastal,9.4,0,20,15.64,8.38,Low Risk
Medium,Rural,9.95,4,19,11.11,3.71,Medium Risk
Low,Rural,5.31,1,13,18.67,8.87,Low Risk
Low,Urban,5.72,3,29,16.68,7.89,Low Risk
Medium,Urban,2.02,4,18,13.91,4.35,Low Risk
Low,Hilly,8.94,3,11,13.16,5.56,Low Risk
High,Rural,4.93,4,23,14.82,7.4,Medium Risk
Medium,Suburban,4.73,2,12,14.31,8.68,Medium Risk
Low,Urban,9.95,0,28,15.27,7.26,Low Risk
Low,Hilly,5.82,3,27,15.92,3.61,Low Risk
Medium,Rural,1.13,2,23,18.62,4.61,Low Risk
Low,Coastal,8.03,1,4,15.31,7.84,Low Risk
Medium,Coastal,8.57,4,25,12.48,3.88,Low Risk
Medium,Hilly,8.38,2,22,11.08,9.76,Low Risk
Medium,Urban,7.67,0,18,14.57,5.29,Low Risk
Medium,Hilly,6.37,3,20,22.4,2.76,Low Risk
Medium,Coastal,5.96,2,25,6.52,9.58,Low Risk
Low,Hilly,1.18,1,2,20.03,9.08,Low Risk
Low,Rural,9.22,1,16,12.57,3.17,Low Risk
Medium,Rural,3.33,4,25,22.0,7.18,Low Risk
Medium,Rural,3.69,3,21,17.98,6.43,Low Risk
Low,Hilly,7.49,1,27,17.16,7.11,Low Risk
Low,Coastal,7.57,4,16,12.04,5.17,Low Risk
Low,Suburban,6.69,1,26,22.32,6.39,Low Risk
High,Suburban,4.74,2,23,13.81,3.9,Low Risk
Medium,Urban,8.62,3,4,24.84,3.79,Medium Risk
High,Urban,3.11,0,14,12.59,2.88,Low Risk
High,Rural,2.42,3,18,15.95,1.13,Low Risk
Medium,Hilly,1.58,0,17,15.47,1.88,Low Risk
Medium,Coastal,5.32,2,18,14.43,4.38,Low Risk
Medium,Urban,1.62,4,18,11.41,4.63,Low Risk
Low,Suburban,1.01,0,13,18.94,6.34,Low Risk
Low,Hilly,6.37,3,7,22.28,7.1,Medium Risk
Medium,Hilly,6.31,4,15,8.4,9.66,Medium Risk
Low,Suburban,5.58,2,29,15.31,9.53,Low Risk
High,Hilly,1.73,0,8,13.4,1.85,Low Risk
Low,Rural,4.85,1,13,14.17,1.47,Low Risk
Low,Rural,5.18,4,13,17.81,3.53,Low Risk
Low,Suburban,2.07,4,7,6.64,1.77,Low Risk
Medium,Suburban,4.27,2,7,9.01,3.45,Low Risk
Low,Hilly,7.38,2,5,9.8,2.45,Low Risk
Low,Coastal,6.02,1,6,9.45,9.75,Low Risk
High,Urban,7.33,4,12,14.19,1.46,Medium Risk
High,Coastal,8.88,0,15,15.14,8.46,Low Risk
Medium,Rural,8.69,3,18,12.87,5.17,Medium Risk
Medium,Hilly,2.74,4,26,16.19,2.32,Low Risk
Medium,Hilly,3.47,2,28,17.35,7.52,Low Risk
Low,Suburban,4.86,1,17,8.99,8.85,Low Risk
High,Urban,8.28,3,26,21.8,4.23,Low Risk
Low,Rural,3.62,4,1,24.51,7.7,Medium Risk
Low,Rural,7.01,2,10,15.27,1.74,Low Risk
Medium,Rural,6.0,4,18,16.29,6.04,Medium Risk
High,Rural,8.61,2,15,8.0,4.72,Medium Risk
Medium,Urban,4.25,1,27,14.24,6.1,Low Risk
Medium,Suburban,8.97,4,26,20.42,3.13,Low Risk
Medium,Urban,5.51,2,27,10.22,6.07,Low Risk
Medium,Coastal,8.17,4,1,15.95,5.78,Medium Risk
Medium,Hilly,2.53,1,2,5.27,2.03,Low Risk
Low,Urban,7.53,4,4,17.24,7.3,Medium Risk
Medium,Suburban,8.93,0,28,22.1,1.21,Low Risk
Medium,Coastal,2.67,2,5,19.33,9.16,Medium Risk
Low,Hilly,1.28,4,11,7.75,7.18,Low Risk
Low,Coastal,9.39,1,23,18.52,2.47,Low Risk
Low,Hilly,1.76,0,8,12.67,2.07,Low Risk
Low,Coastal,2.09,2,22,17.69,9.24,Low Risk
Medium,Suburban,6.84,2,18,8.31,2.26,Low Risk
Low,Urban,8.0,2,10,11.26,6.05,Low Risk
Low,Hilly,2.93,4,8,13.06,2.23,Low Risk
High,Urban,1.41,4,7,20.18,5.65,Medium Risk
High,Hilly,6.2,4,18,16.68,5.12,Medium Risk
Low,Rural,7.68,0,10,12.18,2.12,Low Risk
Low,Urban,3.3,0,27,16.15,4.68,Low Risk
Low,Urban,6.99,1,27,19.62,5.23,Low Risk
High,Rural,9.01,1,16,15.92,1.88,Low Risk
Low,Suburban,5.74,1,8,22.88,8.15,Low Risk
High,Suburban,7.69,3,27,18.38,8.83,Medium Risk
Low,Urban,6.92,4,20,14.4,8.13,Medium Risk
Low,Coastal,9.25,1,1,10.63,6.9,Low Risk
Medium,Urban,8.53,2,8,13.75,7.04,Medium Risk
High,Coastal,3.8,4,20,10.0,6.15,Medium Risk
Medium,Coastal,3.29,2,4,8.47,3.94,Low Risk
Low,Suburban,1.67,1,4,14.57,1.06,Low Risk
Medium,Coastal,7.48,3,14,9.32,7.45,Medium Risk
Medium,Coastal,2.46,0,15,22.63,5.55,Low Risk
Medium,Urban,9.67,4,21,22.2,5.51,Medium Risk
Low,Suburban,2.73,0,4,20.75,7.92,Low Risk
Medium,Urban,3.65,0,19,12.44,4.3,Low Risk
Low,Rural,4.69,2,14,14.74,1.81,Low Risk
Medium,Rural,8.26,0,27,16.69,4.59,Low Risk
Medium,Rural,2.42,3,17,26.17,3.91,Low Risk
Low,Rural,5.77,0,14,18.01,1.51,Low Risk
Medium,Suburban,6.21,3,15,15.85,7.35,Medium Risk
Low,Urban,8.66,1,6,14.47,7.45,Low Risk
Medium,Suburban,8.77,1,3,11.05,6.85,Medium Risk
Medium,Coastal,5.2,0,22,15.91,1.26,Low Risk
Medium,Coastal,6.97,2,24,18.34,8.1,Low Risk
Low,Rural,5.06,1,4,17.49,5.77,Low Risk
Low,Suburban,9.81,1,9,9.45,4.61,Low Risk
Medium,Coastal,8.43,1,10,23.25,6.85,Low Risk
High,Suburban,6.45,3,1,17.31,5.37,Medium Risk
High,Urban,9.1,3,4,18.25,3.34,Medium Risk
High,Suburban,4.06,1,4,5.03,8.79,Medium Risk
Low,Suburban,6.26,0,16,12.65,3.69,Low Risk
Medium,Hilly,4.89,0,12,20.13,3.38,Low Risk
High,Coastal,7.47,2,3,17.82,8.85,Medium Risk
High,Hilly,8.11,2,29,22.24,3.58,Low Risk
Medium,Urban,1.22,0,2,12.94,7.7,Low Risk
High,Urban,8.03,2,26,17.3,9.47,Medium Risk
Low,Suburban,4.51,3,7,22.54,8.81,Medium Risk
Low,Coastal,5.66,4,16,17.16,4.55,Low Risk
Medium,Suburban,4.27,1,21,14.35,8.14,Low Risk
High,Suburban,2.5,1,12,10.55,9.3,Medium Risk
Low,Urban,4.99,3,29,12.89,2.19,Low Risk
Medium,Coastal,9.2,4,28,14.06,2.73,Low Risk
Low,Rural,8.27,2,14,11.05,4.03,Low Risk
Medium,Coastal,3.73,0,22,11.03,5.61,Low Risk
Low,Suburban,9.14,0,13,16.71,5.71,Low Risk
Medium,Hilly,4.27,4,6,17.0,1.79,Medium Risk
Medium,Hilly,8.43,3,24,10.48,2.37,Low Risk
Medium,Hilly,7.89,4,13,8.49,8.16,Medium Risk
Medium,Rural,8.63,0,25,19.08,9.96,Low Risk
Medium,Coastal,4.28,3,8,13.38,7.46,Medium Risk
High,Rural,9.74,3,4,20.39,8.95,High Risk
Medium,Urban,2.95,3,12,17.16,6.78,Medium Risk
Low,Rural,8.48,2,29,12.65,5.75,Low Risk
High,Coastal,6.2,0,7,6.8,4.35,Low Risk
High,Urban,3.0,3,11,14.61,4.58,Medium Risk
High,Urban,5.23,0,28,22.03,7.52,Low Risk
Medium,Suburban,6.85,0,13,11.99,7.62,Low Risk
High,Hilly,6.07,0,20,9.24,6.91,Low Risk
Low,Suburban,8.77,0,8,10.01,7.78,Low Risk
Medium,Urban,8.06,4,17,15.82,8.08,Medium Risk
Medium,Coastal,7.86,2,10,9.77,4.76,Low Risk
Medium,Rural,8.63,2,8,9.36,8.68,Medium Risk
Low,Coastal,9.75,4,16,18.76,8.03,Medium Risk
Medium,Hilly,8.98,4,24,9.28,9.33,Medium Risk
Medium,Hilly,6.68,3,11,22.21,8.14,Medium Risk
Low,Urban,4.1,1,14,17.12,3.28,Low Risk
Medium,Hilly,9.05,1,20,22.62,2.82,Low Risk
High,Coastal,3.58,3,11,21.43,5.54,Medium Risk
Medium,Rural,7.42,2,3,11.3,4.06,Medium Risk
High,Rural,9.54,2,26,14.44,6.75,Medium Risk
Medium,Coastal,1.23,3,11,16.1,3.67,Low Risk
Low,Suburban,9.9,1,1,13.65,3.3,Low Risk
Medium,Urban,6.02,4,10,12.47,7.62,Medium Risk
Medium,Coastal,9.77,1,17,21.8,5.81,Low Risk
Medium,Hilly,9.6,3,14,19.26,5.75,Medium Risk
Medium,Rural,8.65,4,2,15.95,2.38,Medium Risk
Low,Urban,6.59,0,9,13.65,1.25,Low Risk
High,Coastal,6.6,3,21,16.17,4.37,Medium Risk
Low,Hilly,8.5,3,20,7.94,2.06,Low Risk
Low,Rural,7.24,1,8,8.68,2.23,Low Risk
Medium,Coastal,2.04,0,8,24.42,2.96,Low Risk
Low,Rural,7.33,2,22,23.41,3.03,Low Risk
High,Rural,9.3,2,29,15.73,8.85,Medium Risk
Medium,Suburban,8.83,3,16,14.84,6.46,Medium Risk
High,Rural,2.95,1,3,12.68,7.81,Medium Risk
High,Hilly,3.17,2,15,10.4,1.72,Low Risk
Medium,Urban,2.37,1,5,11.72,5.41,Low Risk
Low,Coastal,7.61,3,18,22.56,3.84,Low Risk
Low,Suburban,6.29,4,28,12.11,1.8,Low Risk
Low,Hilly,9.04,0,6,11.73,1.48,Low Risk
Medium,Rural,4.32,4,15,10.75,2.49,Low Risk
Low,Coastal,2.82,1,8,12.9,2.12,Low Risk
Medium,Suburban,3.85,0,24,17.05,8.99,Low Risk
Low,Rural,3.53,2,4,6.92,6.74,Low Risk
Medium,Coastal,5.33,1,28,13.7,5.96,Low Risk
Low,Suburban,3.11,1,3,13.36,7.83,Low Risk
Low,Coastal,6.71,3,9,18.01,2.62,Low Risk
Medium,Urban,3.31,4,8,12.02,2.74,Medium Risk
Low,Urban,5.28,2,6,7.43,4.41,Low Risk
Medium,Hilly,1.51,3,18,15.08,6.11,Low Risk
Medium,Rural,5.83,1,24,11.86,7.14,Low Risk
Low,Hilly,8.64,4,2,6.12,6.31,Medium Risk
Low,Suburban,7.19,0,27,6.72,3.28,Low Risk
Medium,Coastal,9.09,4,11,13.13,4.18,Medium Risk
Medium,Coastal,9.38,2,20,16.45,7.89,Low Risk
High,Rural,5.38,0,21,20.19,6.33,Low Risk
Medium,Suburban,6.63,2,16,16.71,3.06,Low Risk
Medium,Rural,6.26,4,10,16.25,2.91,Medium Risk
Low,Hilly,8.71,2,7,13.84,2.0,Low Risk
Medium,Urban,4.62,2,27,21.06,8.37,Low Risk
Medium,Hilly,5.97,4,18,13.29,4.49,Medium Risk
Low,Coastal,4.17,0,17,6.58,7.06,Low Risk
Low,Hilly,3.99,3,11,11.57,4.8,Low Risk
Medium,Urban,3.49,4,6,21.34,7.58,Medium Risk
Low,Coastal,6.97,4,23,17.18,4.76,Low Risk
Low,Suburban,5.91,0,8,13.38,8.69,Low Risk
Medium,Coastal,7.65,0,2,13.83,1.54,Low Risk
Medium,Rural,8.03,2,26,11.7,2.25,Low Risk
Low,Suburban,4.42,3,18,18.78,4.88,Low Risk
Medium,Hilly,8.53,1,22,12.47,7.53,Low Risk
Medium,Rural,7.76,1,6,9.7,6.36,Low Risk
Medium,Hilly,6.78,1,2,14.59,2.44,Low Risk
Medium,Suburban,5.44,3,1,9.32,3.93,Medium Risk
Low,Urban,6.21,3,23,20.04,5.87,Low Risk
Medium,Rural,6.02,1,26,18.17,1.73,Low Risk
Medium,Coastal,4.29,2,12,10.99,5.59,Low Risk
Low,Suburban,6.24,0,9,18.53,5.23,Low Risk
Medium,Coastal,9.69,2,12,5.07,9.34,Medium Risk
High,Rural,5.7,2,10,12.24,5.43,Medium Risk
High,Suburban,9.09,1,10,14.04,3.87,Medium Risk
High,Hilly,7.61,0,29,14.67,2.64,Low Risk
High,Urban,6.89,4,1,11.44,5.05,Medium Risk
High,Rural,6.9,0,19,14.68,9.8,Low Risk
Low,Coastal,3.99,2,5,12.47,7.88,Low Risk
Medium,Rural,1.8,1,22,8.72,5.85,Low Risk
Medium,Urban,6.29,3,4,15.42,2.31,Medium Risk
High,Suburban,6.69,2,1,16.25,6.4,Medium Risk
Medium,Suburban,9.03,3,5,13.92,2.91,Medium Risk
Low,Coastal,9.27,0,6,6.01,5.24,Low Risk
Medium,Urban,9.21,1,26,19.25,9.16,Low Risk
Medium,Suburban,6.92,2,14,7.1,7.25,Low Risk
Medium,Rural,6.16,3,10,21.5,6.56,Medium Risk
Low,Coastal,4.53,0,4,12.87,8.98,Low Risk
Low,Hilly,6.03,3,19,12.31,9.43,Low Risk
Medium,Rural,4.24,4,11,13.18,3.44,Medium Risk
Medium,Rural,7.75,4,23,21.42,5.68,Medium Risk
Medium,Coastal,3.86,2,11,13.87,6.69,Low Risk
Medium,Urban,6.16,3,1,13.21,6.12,Medium Risk
Medium,Hilly,1.18,1,3,7.66,2.81,Low Risk
Low,Coastal,1.4,1,23,16.56,8.56,Low Risk
High,Suburban,4.93,3,19,12.79,6.71,Medium Risk
High,Coastal,5.31,0,8,12.92,2.82,Low Risk
High,Coastal,4.0,2,1,20.19,8.78,Medium Risk
Medium,Hilly,7.56,4,15,14.89,8.01,Medium Risk
High,Suburban,3.43,2,12,13.97,1.78,Low Risk
Medium,Coastal,6.45,1,19,14.14,6.44,Low Risk
High,Hilly,2.53,3,8,18.82,6.49,Medium Risk
Low,Coastal,8.94,1,12,15.06,2.23,Low Risk
High,Suburban,7.18,4,13,23.87,8.57,Medium Risk
Medium,Hilly,2.98,3,22,19.91,1.65,Low Risk
Low,Rural,5.83,1,7,18.64,9.29,Low Risk
Medium,Coastal,5.52,1,21,11.8,1.4,Low Risk
Medium,Rural,2.2,2,11,15.58,4.95,Low Risk
Low,Rural,7.07,0,10,16.16,6.96,Low Risk
Medium,Hilly,7.98,1,9,16.03,6.57,Low Risk
Low,Rural,5.92,4,14,15.37,2.89,Low Risk
Low,Hilly,2.63,2,6,14.11,7.7,Low Risk
High,Suburban,6.01,1,8,14.13,3.08,Low Risk
Low,Urban,7.99,1,12,17.21,3.62,Low Risk
High,Hilly,9.37,3,15,15.48,6.46,Medium Risk
Low,Coastal,3.09,0,20,12.04,7.19,Low Risk
Medium,Urban,7.25,4,20,20.65,4.37,Medium Risk
High,Hilly,6.83,1,3,8.13,9.66,Medium Risk
Low,Coastal,9.34,4,21,23.43,4.44,Low Risk
Low,Hilly,6.05,0,4,18.85,9.12,Low Risk
High,Rural,3.08,1,17,12.96,1.38,Low Risk
Low,Hilly,5.66,4,26,6.48,6.2,Low Risk
High,Urban,5.25,2,22,16.32,9.68,Medium Risk
Medium,Rural,1.62,4,22,13.39,6.27,Low Risk
High,Coastal,6.2,1,5,12.44,9.33,Medium Risk
Medium,Coastal,8.61,2,29,27.15,9.52,Low Risk
Low,Suburban,7.47,4,5,17.47,4.05,Medium Risk
Medium,Urban,5.81,0,25,24.79,2.14,Low Risk
High,Rural,7.16,2,7,16.9,2.6,Medium Risk
Low,Suburban,4.27,2,22,16.77,7.89,Low Risk
Low,Suburban,7.64,1,19,17.62,3.72,Low Risk
High,Coastal,1.34,1,5,18.1,2.69,Low Risk
Medium,Coastal,8.03,3,27,10.14,1.89,Low Risk
Medium,Coastal,3.62,0,18,17.75,2.73,Low Risk
Medium,Rural,7.58,0,2,10.93,3.13,Low Risk
Low,Coastal,7.02,4,12,6.57,2.85,Low Risk
Low,Coastal,6.07,3,26,15.47,9.1,Low Risk
Medium,Coastal,7.37,4,17,20.9,9.06,Medium Risk
Low,Hilly,8.25,1,26,17.65,9.61,Low Risk
Medium,Coastal,10.0,2,22,22.62,9.32,Medium Risk
Medium,Suburban,5.05,2,29,6.6,4.78,Low Risk
Medium,Rural,4.07,2,16,16.43,5.52,Low Risk
Low,Coastal,8.36,0,27,11.87,4.95,Low Risk
Low,Urban,2.5,1,14,9.34,6.21,Low Risk
Medium,Urban,5.01,4,5,19.94,8.44,Medium Risk
Medium,Coastal,2.63,4,5,17.43,2.04,Medium Risk
High,Urban,6.77,1,8,20.86,9.59,Medium Risk
Medium,Suburban,5.98,2,1,28.51,9.52,Medium Risk
Medium,Coastal,7.51,0,8,15.44,1.51,Low Risk
Medium,Urban,8.06,1,15,17.98,4.72,Low Risk
Medium,Hilly,3.09,0,26,24.57,3.67,Low Risk
Medium,Hilly,3.64,0,25,12.54,6.84,Low Risk
Medium,Hilly,7.16,3,14,11.04,8.61,Medium Risk
Medium,Urban,5.08,0,9,17.9,9.91,Low Risk
Low,Coastal,9.04,1,3,13.75,4.98,Low Risk
Low,Urban,4.08,4,18,13.33,8.24,Low Risk
Medium,Urban,3.08,1,23,5.0,4.37,Low Risk
