Claim Amount,Policy Age (Years),Previous Claims,Accident Severity,Vehicle Age (Years),Claim Time,"Witness Present (0=No, 1=Yes)",Repair Cost,"Fraudulent Claim (1=Yes, 0=No)"
42780.26,14,1,Low,9,Weekday,1,25718.54,0
52195.28,19,3,High,8,Weekend,1,22621.86,0
52014.94,2,1,High,14,Weekend,0,32938.76,0
54313.12,19,1,High,1,Weekday,0,45919.57,0
65783.66,12,0,Medium,4,Weekday,0,30152.05,0
62021.04,9,0,Low,6,Weekend,0,37602.21,0
53316.88,0,1,Medium,1,Weekday,0,34410.57,0
51859.18,13,0,High,2,Weekday,1,27899.16,0
49745.63,13,0,Low,4,Weekday,1,34610.58,0
28954.9,3,1,Medium,14,Weekend,1,14246.38,0
45711.72,4,1,Medium,1,Weekday,0,43340.5,0
46276.59,7,2,Low,0,Weekday,0,18778.13,0
60574.89,17,0,Low,6,Weekend,1,50954.34,0
44896.64,19,3,Low,4,Weekend,0,34786.99,0
44638.7,17,1,Low,1,Weekday,0,18784.08,0
33740.11,10,3,Low,7,Weekday,1,18541.91,0
44367.18,13,0,Medium,7,Weekend,1,27472.43,0
62482.57,7,1,Low,14,Weekday,1,47939.25,0
50531.75,13,0,Low,14,Weekday,0,42070.76,0
74007.57,5,0,Low,14,Weekday,1,41803.39,0
43986.08,4,1,Low,14,Weekday,1,43543.94,0
32223.79,0,1,Medium,3,Weekday,1,20569.29,0
65426.86,11,1,High,5,Weekend,0,26536.51,0
35778.15,7,0,Medium,11,Weekday,1,34502.18,0
52497.88,10,0,High,2,Weekday,1,32807.22,0
34701.97,12,1,Low,8,Weekday,1,29848.25,0
37539.43,9,1,Low,7,Weekday,0,17410.31,0
39147.56,10,1,Low,2,Weekday,1,35459.07,0
40876.9,14,2,Low,5,Weekend,1,25551.58,0
53179.77,2,3,Medium,14,Weekday,0,30565.43,0
58737.18,11,1,High,0,Weekday,1,45534.3,0
59853.22,14,0,Low,2,Weekday,1,56813.75,0
35719.12,8,2,Medium,11,Holiday,1,23116.05,0
43556.94,16,0,Medium,9,Weekday,0,42675.23,0
80477.23,6,1,Medium,8,Weekend,1,74290.58,0
42456.06,17,0,Medium,14,Weekday,1,18210.42,0
41104.06,18,4,Medium,12,Weekend,0,36368.63,0
68935.19,19,2,High,8,Weekday,0,56011.88,0
47418.37,19,1,Low,0,Weekday,0,21659.25,0
40179.52,17,2,Low,8,Weekday,0,33945.24,0
25725.96,2,1,Low,10,Weekend,1,13855.17,0
51528.93,0,0,Low,12,Weekday,1,32695.44,0
54636.37,0,0,Low,11,Weekday,1,50188.19,0
58947.89,19,0,High,10,Weekend,1,40636.76,0
62385.48,13,0,Low,4,Weekend,0,40720.25,0
60139.84,18,1,High,14,Weekend,0,46148.46,0
42972.29,3,1,Medium,5,Holiday,1,28499.45,0
53175.44,1,1,Low,10,Weekday,1,50801.96,0
55783.98,17,0,Low,4,Weekday,1,46512.28,0
31579.59,12,1,High,9,Weekday,1,14836.05,0
55720.7,18,0,Low,14,Weekday,0,46156.82,0
45735.77,15,1,Medium,8,Weekday,0,28792.14,0
56425.19,7,1,High,7,Weekday,0,30611.78,0
41180.63,16,0,Low,4,Weekday,0,22629.59,0
42234.87,3,0,Low,12,Weekday,1,35525.99,0
37385.57,3,0,High,14,Weekday,1,28023.49,0
77662.42,17,1,Low,3,Weekday,1,53369.91,0
74245.6,10,1,Medium,4,Weekday,1,53287.45,0
46804.7,13,3,Medium,0,Weekend,1,40709.15,0
49297.35,16,0,High,10,Weekday,1,40272.28,0
53604.65,15,1,Low,2,Weekday,1,22708.34,0
38772.64,11,2,Medium,5,Weekday,1,38475.04,0
58725.12,1,1,Low,11,Weekday,1,52665.22,0
66366.78,2,0,Low,3,Weekday,1,45697.65,0
68351.25,0,2,High,10,Weekday,1,42796.72,0
75881.41,18,1,High,10,Weekday,0,71249.41,0
67052.74,14,0,Low,0,Weekend,1,35239.31,0
72937.96,1,1,Low,9,Weekday,1,72505.31,0
63889.1,7,1,Low,7,Weekday,0,34199.96,0
37781.88,1,4,Low,13,Weekend,1,36979.94,0
38950.8,7,0,Low,5,Weekend,0,35273.3,0
53931.9,6,1,Low,4,Weekday,1,30184.63,0
37031.14,6,1,Medium,8,Weekend,1,23943.81,0
34714.22,3,0,Low,5,Weekend,1,24810.81,0
54218.18,13,1,Medium,9,Weekday,0,45546.73,0
28748.99,5,2,Low,12,Weekday,1,14982.19,0
34910.41,11,0,High,1,Holiday,0,22553.46,0
35480.06,3,1,High,10,Holiday,1,34301.77,0
68069.01,11,3,Low,4,Weekday,1,63774.94,0
49180.98,6,3,Medium,10,Weekend,0,34266.3,0
46230.15,7,0,Medium,4,Weekend,1,37175.94,0
49996.62,2,0,Low,8,Holiday,1,35727.7,0
51454.64,6,0,Medium,0,Weekday,1,36866.07,0
80919.98,19,0,Low,9,Weekday,1,62965.62,0
41744.04,10,2,Low,8,Weekday,1,40446.59,0
56774.92,12,1,Low,14,Weekday,1,42066.9,0
45771.73,9,2,High,8,Weekday,1,31789.64,0
51851.22,15,1,Medium,13,Weekday,1,50630.8,0
46572.52,1,0,Medium,5,Weekend,1,18984.58,0
72451.09,1,0,Medium,14,Weekend,0,64282.98,0
61525.56,12,0,High,14,Weekday,1,53439.18,0
38640.45,18,1,Low,14,Weekday,1,33282.38,0
42389.08,0,3,Low,12,Weekday,1,26105.4,0
35950.79,4,2,Medium,6,Weekday,1,31421.23,0
17588.76,16,0,Medium,13,Weekday,1,14844.99,0
43228.49,12,0,Low,10,Weekday,1,34549.92,0
43368.23,11,1,Medium,14,Weekday,1,19615.91,0
43843.31,17,0,High,3,Weekday,1,22989.33,0
62756.91,8,1,High,2,Weekend,1,58019.09,0
45929.88,13,3,Low,14,Weekday,1,18639.93,0
60662.65,9,1,Medium,11,Weekday,1,40857.82,0
33732.39,19,0,High,14,Weekday,1,18798.96,0
62262.32,10,0,High,0,Weekday,1,58699.97,0
51603.68,8,2,High,13,Weekday,0,37831.45,0
62816.22,10,3,Medium,1,Weekend,1,26709.25,0
42455.65,14,1,High,1,Weekend,0,35779.58,0
48310.05,19,0,High,2,Weekend,0,29946.27,0
44513.09,19,1,Low,0,Weekday,1,43814.22,0
51560.9,19,1,Medium,4,Weekday,1,32232.81,0
42172.78,9,0,High,4,Weekday,1,27674.24,0
58740.28,19,0,Low,13,Weekday,0,25596.31,0
30214.86,19,1,High,11,Weekend,0,15051.77,0
83756.86,4,1,Medium,0,Weekday,1,73128.69,0
61127.1,19,1,Low,3,Holiday,0,50757.71,0
89430.8,18,0,High,11,Weekday,1,62745.48,0
61696.16,17,1,Low,5,Weekend,1,28443.86,0
46383.08,3,0,Low,14,Weekday,1,44114.74,0
61823.58,8,1,Low,9,Holiday,1,26387.31,0
55042.42,8,1,Low,9,Weekend,0,35096.33,0
44255.5,11,1,Medium,12,Weekday,1,24964.3,0
58120.61,0,0,Medium,0,Weekday,1,50551.94,0
53104.88,18,1,Medium,7,Weekday,0,44570.7,0
57799.28,11,0,Low,0,Weekday,1,55663.4,0
29880.67,5,3,Low,0,Weekday,1,17362.17,0
79377.26,5,0,Low,6,Weekday,1,46350.06,0
46373.29,8,0,High,7,Weekday,1,30459.69,0
41892.71,5,1,Medium,4,Weekday,1,24464.7,0
34858.59,4,0,Low,6,Weekend,1,14590.14,0
35786.51,7,0,Low,3,Weekday,1,31303.94,0
48541.84,0,0,Low,10,Weekend,1,35051.63,0
58819.46,14,0,Low,3,Weekday,1,34375.2,0
57078.99,11,0,Low,6,Weekday,1,41302.67,0
63601.82,5,1,Medium,12,Weekday,1,41748.6,0
51388.33,8,1,Low,9,Weekday,1,24559.44,0
31036.79,16,0,Low,12,Weekday,1,29469.58,0
60250.8,8,0,Low,1,Weekday,1,45513.63,0
24346.24,17,1,Medium,11,Weekend,1,13623.15,0
36048.38,7,0,High,8,Weekend,0,19854.83,0
66051.96,11,2,Medium,10,Weekend,0,56171.45,0
39220.93,9,0,Low,3,Weekday,1,26804.41,0
43909.04,18,0,High,11,Weekday,1,22487.06,0
39062.98,14,2,Low,8,Weekday,1,37781.22,0
48115.36,4,1,Low,2,Holiday,1,28651.47,0
51034.91,6,0,Medium,5,Weekday,1,41527.78,0
45611.34,5,1,Low,5,Weekday,1,44132.94,0
68437.8,2,2,Medium,14,Weekday,0,51794.44,0
43777.27,14,1,Low,14,Holiday,1,18344.11,0
50476.99,7,0,High,10,Weekday,0,30213.73,0
34344.26,12,0,Low,11,Holiday,1,25533.46,0
57297.63,11,1,Low,5,Weekday,0,23597.43,0
26468.12,1,0,Low,4,Weekday,1,19488.27,0
58633.12,9,1,Low,2,Weekend,1,36083.07,0
64295.58,17,0,Low,8,Holiday,1,58550.64,0
39690.08,6,0,Low,11,Weekday,1,36050.59,0
59614.79,4,2,Low,14,Weekday,1,24935.87,0
38272.34,17,6,Low,9,Weekday,1,23359.29,0
41478.79,3,1,Low,10,Weekday,0,33369.54,0
54212.71,6,2,Medium,7,Weekend,1,27283.81,0
55725.87,2,0,Medium,4,Weekday,0,53674.19,0
39834.04,13,1,Medium,5,Weekend,0,24893.36,0
79193.34,3,2,Low,13,Weekday,0,65583.72,0
46889.37,2,0,Low,8,Weekday,0,44221.49,0
36539.05,4,2,Low,4,Weekday,1,17763.43,0
30287.34,14,2,High,7,Weekday,1,26021.73,0
25238.42,12,1,Low,3,Weekday,1,20111.3,0
48834.4,6,0,Medium,4,Weekday,1,28773.73,0
61835.87,2,0,Medium,11,Weekday,1,52496.44,0
61269.84,19,1,Low,4,Weekend,1,50167.0,0
63313.66,3,0,Low,3,Holiday,1,46261.89,0
26250.25,11,2,Medium,2,Weekday,1,16486.3,0
40524.04,19,1,High,4,Weekend,1,16714.02,0
58911.74,17,0,Low,11,Weekday,0,39060.02,0
48170.24,13,2,Low,2,Weekday,1,30672.46,0
20330.52,10,2,Medium,10,Weekend,0,20315.54,0
50704.23,4,2,High,4,Weekend,1,41077.19,0
44749.57,6,0,Medium,1,Weekday,1,27446.5,0
53255.04,18,3,Medium,10,Weekday,1,38823.48,0
54086.23,16,1,Low,5,Weekday,1,42615.92,0
40398.26,9,1,Medium,11,Weekday,1,34197.82,0
72265.64,1,0,Low,7,Weekday,1,40970.42,0
52404.53,18,1,Low,11,Weekday,1,29300.08,0
66598.42,15,5,High,5,Holiday,0,37682.92,1
45351.35,12,2,High,5,Weekend,1,23425.57,0
40398.29,0,1,Low,11,Weekday,1,40277.72,0
67095.12,3,1,Medium,7,Weekday,0,35985.23,0
75826.67,1,1,Medium,12,Weekday,1,59941.85,0
73473.85,1,1,Medium,11,Holiday,1,64886.55,0
39971.74,19,0,Low,8,Weekend,0,24203.18,0
71826.47,10,0,Low,2,Weekday,0,55273.03,0
36087.4,18,2,Medium,11,Weekday,1,18133.07,0
39465.01,14,2,Medium,3,Weekday,0,21521.18,0
46808.23,8,1,Medium,0,Weekday,0,34752.82,0
50112.27,9,2,High,8,Weekend,0,35855.45,0
56019.24,0,1,Low,3,Weekday,0,44326.95,0
56725.32,9,1,Low,2,Weekday,1,51647.76,0
60516.11,19,0,Medium,14,Holiday,0,33097.77,0
55177.82,17,1,Low,14,Weekday,0,28319.84,0
41310.06,3,3,Medium,12,Weekday,1,24454.47,0
30973.71,14,5,Low,14,Weekday,0,29680.98,0
48734.68,6,0,Low,14,Holiday,0,28662.25,0
28680.48,19,0,Low,2,Weekday,1,21355.16,0
56562.78,2,1,Medium,5,Weekday,1,29035.38,0
57694.23,16,0,High,4,Holiday,0,56642.84,0
43168.05,12,1,Medium,3,Weekday,0,34121.3,0
56036.52,6,1,High,6,Holiday,1,44415.59,0
43064.14,19,0,Low,7,Weekday,1,18377.36,0
59413.49,2,2,Medium,12,Weekend,1,51635.08,0
49202.24,5,1,Medium,12,Weekday,1,45046.04,0
38395.16,1,0,Low,5,Weekday,1,27499.77,0
44074.46,11,1,Low,3,Weekend,1,41477.98,0
56876.45,18,1,Low,9,Weekend,1,30708.51,0
50279.86,17,1,Medium,13,Weekend,1,33989.57,0
47557.19,11,4,Low,11,Weekday,1,37756.4,0
48830.85,2,0,Medium,10,Weekday,0,46980.16,0
42358.86,5,1,Medium,10,Holiday,0,18314.56,0
66262.53,11,2,High,11,Weekday,1,35824.59,0
71220.53,5,1,High,5,Weekday,1,47099.38,0
43671.34,19,0,Low,14,Weekday,1,29615.21,0
43533.54,2,4,Medium,3,Weekday,1,26428.06,0
38708.64,15,0,Low,10,Weekday,1,26602.27,0
37930.4,3,2,Low,11,Weekday,0,18399.67,0
52233.41,15,1,Medium,0,Weekday,1,24722.02,0
39076.47,8,1,High,9,Weekend,1,17911.2,0
78576.04,14,2,Medium,10,Holiday,1,56171.54,0
27025.0,7,5,High,12,Weekend,1,26333.85,0
61238.75,15,1,Medium,6,Weekday,0,46474.22,0
66110.65,0,2,Low,6,Weekday,1,50447.02,0
69997.84,15,1,High,13,Weekday,1,43290.21,0
73817.36,4,1,Medium,4,Weekday,1,41123.14,0
42403.71,17,1,Low,13,Weekend,1,35346.97,0
35580.42,15,0,Low,1,Weekday,0,23875.38,0
28750.47,17,2,High,1,Weekday,1,17874.07,0
24681.3,13,0,Low,4,Weekend,1,11522.81,0
41148.79,17,0,Low,9,Weekday,0,37024.96,0
63803.16,5,1,Low,1,Weekday,1,54449.11,0
37784.86,8,2,Low,6,Weekday,0,15463.58,0
49298.96,8,1,High,8,Weekday,1,35565.1,0
68425.35,1,3,Low,9,Weekend,1,60456.41,0
46609.13,2,1,Low,2,Weekday,1,43247.16,0
32437.22,8,3,Low,6,Holiday,0,13447.64,0
45800.17,3,0,High,9,Weekday,0,21662.81,0
61855.1,13,3,Medium,10,Weekend,0,31937.1,0
83246.14,6,1,Low,14,Weekday,1,37841.76,0
49505.67,17,1,High,6,Weekday,1,26778.51,0
40018.91,9,2,Low,2,Weekday,0,38327.94,0
34161.3,0,1,Low,1,Weekday,0,14664.26,0
57923.48,7,0,Low,1,Weekend,1,26089.26,0
50536.66,11,2,Low,10,Holiday,1,43832.6,0
65847.84,6,1,Medium,4,Holiday,1,37987.2,0
77929.01,10,2,Low,5,Holiday,1,76157.29,0
62332.06,3,4,Low,14,Weekday,1,34189.21,0
29910.75,5,3,Medium,7,Weekday,0,15895.85,0
28142.99,1,0,High,13,Weekday,1,24282.91,0
49258.45,2,0,Low,4,Weekday,0,22536.78,0
32414.07,11,1,Low,8,Weekday,1,26340.74,0
50567.57,18,0,Medium,9,Weekday,1,46315.16,0
43611.11,0,1,Medium,14,Weekday,0,38614.54,0
41708.75,18,0,Medium,0,Weekday,0,26006.63,0
39023.37,4,0,High,10,Weekend,1,17647.01,0
52767.37,1,0,Low,11,Weekend,1,34354.92,0
44744.24,2,0,Medium,5,Weekday,1,24025.44,0
73816.62,4,0,Low,13,Weekday,1,71475.55,0
41316.66,2,5,Low,11,Weekday,1,30778.97,0
30964.82,0,0,Low,14,Weekday,1,21876.3,0
60653.06,19,0,Low,6,Weekday,0,24641.85,0
71570.9,8,0,Low,7,Weekday,1,44791.6,0
89446.69,12,1,Medium,8,Weekend,1,45985.55,0
47866.37,14,1,High,12,Weekday,1,46900.98,0
69002.93,11,1,Low,5,Weekday,1,38905.9,0
36063.42,18,0,Low,10,Weekday,1,21032.8,0
66609.89,8,4,Medium,3,Weekday,1,57049.57,0
51739.04,12,1,Low,8,Weekday,0,23836.14,0
25905.92,9,0,Medium,1,Weekend,1,19713.58,0
51806.88,9,1,Low,7,Weekday,1,31300.09,0
57576.97,2,2,Low,7,Weekday,1,36219.46,0
39227.29,2,3,High,2,Weekend,1,16757.61,0
38654.98,9,3,Medium,2,Holiday,1,32876.15,0
21151.59,5,1,High,14,Weekday,0,14586.17,0
32573.19,13,2,High,10,Weekday,1,29731.48,0
42553.41,10,1,Low,2,Weekday,0,30260.8,0
51176.5,19,1,Low,7,Weekday,0,48347.98,0
59325.14,5,1,Low,2,Weekday,1,46760.09,0
32031.18,11,1,Low,3,Weekday,1,21274.45,0
53856.9,12,1,High,1,Weekday,0,45263.33,0
39866.56,17,0,Low,6,Weekend,0,22211.98,0
49536.9,16,0,Low,1,Weekday,1,29124.96,0
25423.11,19,1,Low,5,Weekday,1,21986.41,0
33334.09,7,3,Low,14,Weekday,1,22308.27,0
77630.68,3,0,Medium,1,Weekend,1,63968.51,0
26972.25,8,1,High,8,Weekday,1,18927.9,0
74371.38,10,2,Low,2,Weekday,1,56237.13,0
71783.66,10,0,Medium,4,Weekday,0,34710.92,0
72819.54,6,4,High,4,Weekday,1,54966.59,0
24125.71,17,2,Low,1,Weekday,1,13698.37,0
32093.82,13,0,Low,9,Weekday,1,14829.89,0
58777.0,2,2,Medium,5,Weekday,1,32800.18,0
60838.35,8,2,High,6,Weekend,0,52133.27,0
48000.77,1,2,Low,9,Weekend,0,41153.45,0
68915.24,19,0,Medium,12,Weekday,1,47447.12,0
44821.25,17,2,Low,7,Weekday,1,18878.26,0
54320.8,15,0,Medium,14,Weekday,1,23222.17,0
42910.16,10,1,High,3,Weekday,1,42162.96,0
64127.23,19,0,High,4,Weekday,1,47105.09,0
31865.86,11,2,Low,10,Weekday,1,19273.32,0
65470.97,12,1,Medium,8,Weekday,1,40723.6,0
55627.02,17,1,Low,9,Weekday,1,45367.57,0
27974.92,12,0,Low,7,Weekday,0,12066.52,0
27204.07,5,1,Low,1,Weekday,1,18643.49,0
54503.67,9,1,Low,4,Weekday,1,42219.65,0
52335.91,9,1,Low,3,Weekday,1,24075.66,0
59150.62,18,2,Medium,5,Weekday,0,29852.02,0
38464.25,1,2,Low,6,Holiday,1,25136.6,0
36023.57,9,0,High,1,Weekday,0,26800.99,0
53593.82,10,1,High,3,Weekday,1,45694.46,0
60568.07,16,4,Low,5,Weekend,0,37751.14,0
47011.91,16,1,Low,6,Weekend,1,19666.28,0
47979.45,8,0,Medium,8,Weekday,1,40795.14,0
41379.36,14,0,Low,5,Weekday,0,27192.29,0
36231.78,16,2,High,1,Weekday,1,34850.69,0
78090.88,7,1,High,4,Weekday,1,61685.3,0
52423.21,15,0,Medium,1,Weekday,1,44924.41,0
24484.32,8,1,Low,6,Weekday,1,11378.98,0
40752.21,11,0,Low,2,Weekday,0,25872.48,0
37601.78,15,2,Low,10,Weekday,1,21579.79,0
37769.82,18,2,Medium,0,Holiday,1,34209.42,0
69623.33,13,0,Medium,7,Weekday,1,59932.52,0
59028.2,14,0,Medium,8,Weekend,0,36635.73,0
39118.77,16,0,Low,9,Weekday,1,33218.52,0
72275.93,18,0,High,9,Weekday,0,46439.85,0
54992.9,14,1,Medium,6,Holiday,1,32527.05,0
56200.53,13,1,Low,0,Weekday,1,33488.31,0
74001.68,9,1,Low,4,Weekend,0,32177.4,0
20141.04,14,0,Low,10,Holiday,1,8151.67,0
26949.76,6,2,High,1,Weekday,1,10971.43,0
48581.77,16,1,Medium,7,Weekday,0,28169.0,0
45624.08,13,2,Low,5,Weekday,0,32515.89,0
39922.5,7,1,Low,1,Weekday,1,21773.16,0
53763.08,6,2,Low,6,Weekday,0,27715.79,0
61330.44,3,1,Low,8,Weekend,0,34184.24,0
34951.38,4,2,Low,5,Weekend,1,20573.92,0
51090.2,14,1,Low,9,Holiday,0,36575.77,0
42929.8,12,1,Low,9,Weekday,0,18124.41,0
41196.04,15,0,Low,3,Weekday,1,32415.1,0
81216.56,9,1,High,2,Weekday,1,41567.81,0
42896.35,7,0,Medium,8,Weekday,1,31512.89,0
44288.75,13,0,Low,13,Weekend,0,30946.44,0
30893.94,18,3,High,0,Weekday,1,21534.43,0
67407.28,10,1,High,2,Weekend,0,63998.95,0
41021.34,8,1,High,0,Weekday,1,27654.9,0
56121.4,10,1,Medium,7,Weekday,1,27195.63,0
39439.28,6,1,Low,11,Weekday,0,21517.62,0
58863.69,3,1,Low,4,Weekend,0,28403.33,0
55132.58,6,1,Low,8,Weekday,0,26291.88,0
49627.53,3,2,Medium,0,Weekday,0,27325.37,0
55247.17,4,0,Low,0,Weekday,0,54519.96,0
66653.62,5,1,Medium,2,Weekday,0,40574.93,0
53154.88,7,0,High,1,Weekday,1,32663.45,0
35149.15,11,0,Low,0,Holiday,1,26127.05,0
66642.3,8,1,Low,8,Weekday,1,65978.08,0
63232.74,13,1,High,12,Weekday,0,55859.54,0
47057.38,1,2,Medium,8,Weekday,1,29525.73,0
35674.0,6,2,Low,12,Weekday,1,26730.45,0
47984.0,12,1,Low,13,Weekday,1,43240.63,0
66743.97,10,0,Low,13,Weekday,1,51461.39,0
63577.1,7,0,Low,1,Weekday,0,63178.28,0
35210.32,3,1,High,10,Weekend,0,22637.1,0
53849.48,3,1,Low,13,Weekend,1,45868.75,0
64859.44,1,2,Low,12,Weekday,0,59044.37,0
62824.43,16,0,Medium,2,Weekday,0,25265.12,0
66245.8,12,1,Low,6,Weekday,1,65009.85,0
53410.98,6,0,Low,3,Weekday,0,25449.54,0
49248.92,15,0,Low,11,Weekday,1,30056.44,0
36997.38,17,1,Low,14,Weekend,1,17826.57,0
36773.45,17,2,Low,12,Weekday,0,34194.21,0
78944.77,17,2,Medium,2,Holiday,1,75390.24,0
72951.22,1,0,High,9,Weekday,0,71525.37,0
50881.06,1,2,Low,6,Weekday,1,20447.32,0
45829.22,7,0,Low,0,Weekday,0,25501.55,0
47323.98,12,1,Medium,13,Holiday,1,39387.27,0
45999.08,14,2,Low,8,Holiday,1,41194.47,0
66365.97,0,0,High,6,Weekend,1,66199.88,0
25501.29,15,3,High,7,Weekend,1,23875.37,0
17666.5,1,2,Low,0,Weekday,0,7360.82,0
28255.62,6,1,Medium,8,Weekday,0,18178.54,0
56781.52,15,1,High,7,Weekday,1,23853.83,0
67249.66,7,1,Medium,5,Holiday,1,39409.73,0
49982.37,13,0,Low,5,Weekday,1,38490.55,0
43399.2,5,0,Low,9,Holiday,1,38734.43,0
40590.36,19,1,Low,11,Weekday,0,29179.43,0
50812.53,1,3,Low,1,Weekday,1,44455.1,0
93414.48,14,1,Medium,1,Weekend,0,92735.47,0
38962.9,10,2,Low,0,Weekday,0,31199.72,0
51494.88,0,0,Low,14,Weekday,1,32895.08,0
23370.95,16,0,Low,12,Weekday,1,19087.72,0
59914.49,6,2,Low,7,Holiday,1,24299.77,0
18258.51,2,0,Low,9,Weekday,0,7685.3,0
49357.02,0,0,High,14,Weekend,0,44964.33,0
60200.89,3,1,High,3,Weekday,0,49254.14,0
45245.28,8,2,High,7,Holiday,1,28755.54,0
49455.17,7,1,Medium,13,Weekday,0,45813.63,0
48806.51,4,1,Low,9,Holiday,1,37645.41,0
54925.83,9,0,Low,11,Weekday,0,38889.03,0
43568.99,1,0,Low,9,Weekday,1,40433.01,0
26217.3,0,3,Low,9,Weekday,0,22155.52,0
31708.25,11,1,Medium,10,Weekday,1,14005.05,0
32972.7,15,1,Low,3,Weekday,1,26418.51,0
28295.15,4,2,Medium,1,Holiday,1,18258.06,0
40466.0,6,0,Medium,2,Weekday,1,32252.87,0
50475.63,17,1,Medium,6,Weekend,0,43642.33,0
50436.64,9,1,High,8,Weekday,1,23949.46,0
41495.17,3,2,Medium,0,Weekday,1,39223.1,0
48985.28,16,0,Medium,11,Weekday,1,21962.64,0
48152.98,13,0,Medium,11,Weekday,1,38911.74,0
43858.68,2,1,Medium,0,Weekday,1,29898.6,0
26052.33,0,0,Low,5,Weekend,1,12812.0,0
54636.15,2,0,Low,12,Weekday,0,34790.23,0
44268.61,16,0,Medium,2,Weekend,1,30742.87,0
49264.39,2,2,Medium,0,Weekday,1,44196.64,0
68397.12,2,0,Low,8,Weekday,1,40480.5,0
63402.81,6,3,Low,11,Weekday,1,52543.38,0
59987.72,16,2,Medium,8,Weekend,0,24888.39,0
36679.05,15,1,Low,4,Weekday,1,36558.09,0
68752.12,19,0,High,1,Weekend,1,61427.25,0
49328.14,11,0,Low,7,Weekday,1,39553.58,0
37949.72,0,2,Medium,12,Weekday,1,23289.3,0
38530.21,0,0,Low,0,Holiday,1,26006.93,0
50083.01,6,0,Low,11,Weekend,1,28123.39,0
70859.6,11,1,Low,11,Weekend,0,69292.27,0
34624.42,7,1,High,7,Weekday,0,14288.44,0
60922.52,0,0,Medium,13,Weekend,1,26320.28,0
17535.02,18,1,Low,14,Weekend,0,16983.06,0
59831.92,9,0,Low,5,Weekday,1,41348.83,0
54654.23,16,3,Low,8,Holiday,0,40858.67,0
30795.11,12,1,High,10,Weekday,0,20276.17,0
55402.6,13,1,Low,6,Weekday,1,50523.35,0
56165.08,16,2,Low,1,Weekday,1,33747.37,0
47494.83,9,1,Low,8,Weekend,1,19934.95,0
50921.77,17,1,Low,7,Weekday,1,49052.5,0
32282.43,12,1,Medium,13,Weekday,1,26440.57,0
72435.46,3,0,Medium,10,Weekday,1,30928.96,0
63479.78,10,4,High,8,Weekday,1,55162.32,0
65525.61,1,1,Low,5,Weekday,1,35874.26,0
46020.55,5,2,Low,14,Weekend,1,18437.35,0
25997.71,6,1,Low,13,Holiday,0,15570.53,0
83517.88,8,0,Low,0,Weekend,0,38034.1,0
57694.68,18,0,Low,2,Weekday,1,46491.46,0
49653.57,9,0,Low,3,Weekday,1,48823.89,0
37496.3,11,1,High,5,Weekday,0,16454.91,0
30548.31,9,3,Medium,3,Holiday,1,19797.05,0
56465.37,14,0,High,8,Weekday,1,43962.37,0
52367.9,17,3,Low,1,Weekday,1,34251.82,0
19062.24,8,3,Medium,13,Weekday,0,7664.29,0
24262.52,3,1,High,11,Weekday,1,19316.89,0
58169.78,8,2,Low,0,Weekday,1,51421.34,0
49213.7,9,2,Low,0,Weekday,1,44336.55,0
48810.67,2,0,Medium,1,Weekday,1,48304.52,0
67011.7,10,4,Low,10,Holiday,1,56691.48,0
50078.14,12,0,Medium,9,Weekend,1,40547.25,0
54495.29,7,1,Low,5,Weekend,0,38056.18,0
50080.17,7,0,Medium,7,Holiday,1,35467.53,0
55199.63,8,0,Low,13,Weekday,1,48860.87,0
45886.08,6,0,Medium,5,Weekday,1,19331.86,0
55722.03,4,1,High,5,Weekday,1,26581.22,0
77823.05,10,0,Medium,4,Weekday,1,65642.31,0
83054.12,16,1,Low,12,Holiday,0,38927.86,0
39124.79,10,1,Medium,1,Weekday,1,24503.85,0
56370.49,12,0,Low,1,Weekday,1,38986.36,0
40964.14,0,0,Medium,7,Weekday,0,21312.16,0
22859.99,6,1,Low,13,Weekday,1,12877.65,0
40531.42,9,1,Low,0,Weekday,1,36454.37,0
57291.79,0,4,High,2,Weekday,0,28657.86,1
49242.13,9,2,Medium,12,Weekend,0,25117.03,0
47144.75,10,1,Low,10,Weekday,1,31637.7,0
49888.07,5,0,Low,5,Weekend,1,40359.38,0
65986.37,3,2,Medium,1,Weekday,1,36346.46,0
22304.06,7,2,Low,4,Weekday,1,12720.69,0
69519.44,14,1,Medium,5,Weekend,0,60234.47,0
26245.14,3,2,High,8,Weekend,1,11501.24,0
62874.16,0,1,Low,1,Weekday,1,42112.45,0
47280.66,14,1,Low,8,Weekday,0,47028.88,0
55254.94,10,0,Low,3,Weekend,0,36917.98,0
52992.66,5,2,Low,6,Weekday,1,36542.79,0
31870.91,13,0,Low,1,Weekend,1,28248.73,0
33813.4,13,1,High,0,Weekend,1,21651.99,0
10970.43,17,0,High,4,Weekday,1,8893.65,0
49933.06,19,0,Low,7,Weekday,1,32769.05,0
53845.02,9,2,Low,12,Weekday,1,45112.05,0
49412.97,18,0,Medium,13,Weekend,1,44884.87,0
45743.45,12,1,Low,12,Weekday,0,34960.87,0
44392.81,14,1,Medium,2,Weekday,1,33554.07,0
52270.04,0,3,Low,2,Weekday,0,46821.46,0
45236.99,6,1,Low,13,Holiday,1,30736.41,0
34518.56,4,0,Medium,11,Weekday,1,30357.06,0
61277.54,18,2,Medium,6,Weekday,1,53599.87,0
