Property Size (sq ft),Number of Rooms,Location Rating,Year Built,Zoning Code,Market Value (INR),Proximity to City (km),Floor Count,Property Type
1589,7,7.9,1996,C2,2189580.23,5.5,41,Commercial
1278,2,2.1,2012,I1,3153895.86,4.3,12,Industrial
9158,8,1.3,2009,R2,19990159.46,12.6,18,Residential
8005,2,3.2,1968,C1,11360035.33,3.5,13,Commercial
3326,2,9.7,2000,I2,10037451.78,18.9,27,Industrial
9567,6,2.5,1952,R1,34902768.38,7.1,18,Residential
2192,8,8.7,1993,C2,3605304.55,1.6,32,Commercial
5686,9,5.3,2003,I1,23006355.3,7.9,17,Industrial
6240,9,8.0,1966,I1,28601442.34,1.1,46,Industrial
8782,8,3.7,2023,I1,24626095.55,0.8,23,Industrial
3671,5,7.9,1950,C1,7643008.48,1.5,11,Commercial
7060,8,9.5,2010,I2,14156332.22,11.9,38,Industrial
480,6,5.9,1954,I1,1381295.92,0.8,28,Industrial
5077,4,1.7,1951,I2,23487048.92,5.9,29,Industrial
5161,7,6.8,2011,I1,15064901.08,3.7,20,Industrial
8094,5,3.3,2016,C2,38156917.47,1.1,32,Commercial
9214,4,2.7,2023,C2,42421302.79,15.2,11,Commercial
760,3,1.7,1976,I2,2392205.06,4.6,15,Industrial
4326,2,3.2,1998,R2,12630394.31,15.4,3,Residential
546,4,7.5,1980,R1,2295688.83,2.5,45,Residential
1313,4,9.7,1952,R2,6403021.02,9.1,7,Residential
5313,1,8.2,2020,C2,9962189.86,0.1,31,Commercial
4526,8,9.3,1955,R1,9412106.28,6.3,27,Residential
1187,6,4.2,1966,R1,2233023.94,0.5,4,Residential
3855,2,8.9,1999,I2,9271252.81,3.1,42,Industrial
7522,5,2.0,1952,C1,8167285.02,11.1,13,Commercial
9076,4,8.8,1980,I2,29190630.96,0.3,36,Industrial
4152,3,1.0,1981,R2,20169557.09,0.7,35,Residential
2742,8,7.9,1957,C2,13688579.94,0.8,31,Commercial
4480,2,3.3,1972,C1,10468133.93,6.6,16,Commercial
2527,9,9.2,1965,C2,9080524.82,0.8,28,Commercial
4609,2,7.4,1980,C1,10867188.5,0.2,33,Commercial
3912,8,9.5,1955,I2,9917498.93,0.1,5,Industrial
4090,3,6.2,1992,C1,15895289.75,2.6,28,Commercial
4667,9,3.5,1981,C1,21568248.06,1.7,27,Commercial
2316,4,7.3,1993,R1,2767768.68,18.6,31,Residential
3707,4,4.2,2007,C1,16101043.53,1.3,25,Commercial
9347,4,9.1,2010,I1,41062242.45,2.5,26,Industrial
520,2,7.3,1975,I2,2061387.35,4.2,47,Industrial
1747,3,2.7,1975,R1,5611826.13,5.8,48,Residential
2122,5,7.5,1968,I1,4768043.26,2.3,9,Industrial
9249,5,5.2,1968,C1,34469340.39,8.3,19,Commercial
7207,9,6.3,2002,C1,24945079.91,1.8,45,Commercial
2534,5,5.9,1961,I2,6894162.46,10.2,25,Industrial
6836,1,3.4,1997,I1,23648964.31,0.5,21,Industrial
8659,3,2.5,1990,R1,17003310.26,6.7,12,Residential
6018,8,3.6,2017,R1,10644887.96,4.6,17,Residential
4104,3,2.2,1950,I2,6127685.07,12.2,43,Industrial
8031,7,2.4,1968,R2,21769135.37,5.3,36,Residential
9335,6,2.1,1986,C2,27180698.44,0.6,33,Commercial
8460,2,7.7,1961,C1,25468731.84,7.1,29,Commercial
5207,1,9.1,1955,R1,7703020.79,3.5,43,Residential
7447,5,4.0,1982,R2,15425915.99,4.9,23,Residential
8366,3,5.5,1974,C2,36231434.94,2.3,28,Commercial
3512,2,3.4,1969,C1,17266074.68,1.2,31,Commercial
4773,9,5.7,1953,R1,12809842.47,0.7,23,Residential
1023,6,2.8,1960,C2,1352823.05,15.9,11,Commercial
3162,9,3.0,2007,R1,5510559.27,0.7,47,Residential
7201,6,5.5,1983,I1,20853962.92,0.3,32,Industrial
6011,5,7.9,1978,R1,19325786.1,1.8,16,Residential
1930,5,8.6,1997,I1,8965352.63,3.4,39,Industrial
2639,2,9.3,1980,I2,6508604.33,8.5,28,Industrial
4394,3,4.7,1960,R1,5303498.54,5.4,49,Residential
720,8,3.4,1990,C2,2820471.3,11.6,25,Commercial
1487,4,8.4,1992,I1,4277186.82,11.2,46,Industrial
7504,8,2.5,2019,C1,36230530.47,6.5,34,Commercial
1426,4,5.3,1972,I2,2640749.81,3.2,40,Industrial
4496,7,9.5,2015,C2,19825289.16,4.1,27,Commercial
1970,6,7.6,1974,R1,4869003.68,7.6,39,Residential
5351,7,8.2,2002,C2,9474646.67,10.2,16,Commercial
9942,8,8.4,1952,I2,34675866.41,4.8,13,Industrial
2445,7,6.0,1960,R2,11368609.04,2.5,36,Residential
7155,1,1.9,2003,C2,35258706.06,1.8,8,Commercial
6781,3,1.4,1987,C1,14597423.13,19.0,25,Commercial
8093,3,5.2,1977,I2,25568447.09,0.6,29,Industrial
7751,5,6.3,1976,R1,31812019.57,2.5,12,Residential
5155,2,2.4,2013,I1,5374980.19,2.0,28,Industrial
8868,1,8.0,1951,I2,14168639.35,6.8,10,Industrial
9691,8,9.6,1979,C2,9829038.4,0.7,5,Commercial
7484,6,3.6,2014,I2,35659972.07,1.2,20,Industrial
2800,4,4.8,1996,I2,4729486.6,2.6,49,Industrial
5566,1,9.8,2009,R1,26706800.91,1.2,36,Residential
6100,3,5.9,1996,I1,27837572.64,5.1,40,Industrial
7566,3,8.0,2004,I2,31724659.15,2.9,19,Industrial
1136,3,6.0,2011,C2,5355894.74,2.5,18,Commercial
9581,9,6.2,1956,C1,35631317.34,2.8,2,Commercial
6306,4,1.1,1951,I1,16753710.02,6.1,26,Industrial
2476,8,1.6,1974,I1,10024608.69,4.4,28,Industrial
1042,7,3.4,1988,R2,2121457.5,1.9,26,Residential
6887,6,1.8,1962,C1,11893023.72,2.2,43,Commercial
639,5,3.4,2011,I2,2678630.01,0.5,48,Industrial
8758,6,8.7,1961,C2,33820624.53,3.9,20,Commercial
746,6,4.2,1971,C2,1941808.22,8.3,30,Commercial
865,9,6.8,1974,C1,3055122.18,6.6,48,Commercial
7668,4,3.0,2016,C2,26362313.77,1.4,13,Commercial
6564,9,10.0,2018,R1,20883746.57,1.1,26,Residential
4960,8,4.6,2019,I2,12006255.34,4.9,43,Industrial
363,4,8.9,2002,R2,529844.02,1.5,8,Residential
9595,5,6.1,1957,C2,36782268.1,2.8,9,Commercial
2380,9,1.0,1992,R1,3060275.75,12.0,7,Residential
6791,9,8.8,1958,R2,19573255.47,8.2,5,Residential
2897,5,6.6,1958,R1,10821518.7,7.5,32,Residential
9489,2,4.6,1989,I1,44799981.72,2.4,46,Industrial
7816,2,8.9,1962,C1,14986988.74,2.6,7,Commercial
8581,9,5.3,2022,R2,14688000.76,3.1,7,Residential
1783,5,9.8,2019,C2,2161369.75,10.6,37,Commercial
1715,7,8.2,1952,I2,3139373.28,6.5,27,Industrial
961,8,8.0,1994,R2,3473504.13,0.2,49,Residential
594,5,6.8,2013,R1,1011846.91,1.7,36,Residential
3261,3,2.1,1984,R2,12251221.35,3.6,47,Residential
6033,2,9.2,1999,R2,18182788.09,1.0,45,Residential
3834,1,1.6,1950,I1,6002778.51,9.0,43,Industrial
2884,7,3.9,2014,I1,4324808.92,9.6,41,Industrial
5220,6,5.8,1981,I1,19528234.47,2.7,29,Industrial
9437,2,6.1,2012,I1,34838265.32,0.6,10,Industrial
8031,9,2.7,2000,I1,25258986.99,0.4,4,Industrial
742,1,8.7,2010,I2,3025010.0,0.6,32,Industrial
8221,7,9.9,1980,C2,31426563.0,19.1,25,Commercial
5553,2,2.3,1961,I2,17633920.54,5.3,43,Industrial
3079,7,5.8,1958,R2,14671176.18,0.6,22,Residential
4965,9,1.3,1991,R2,15664233.92,6.6,30,Residential
1940,4,6.9,1962,C2,4292426.49,10.3,19,Commercial
491,8,1.8,1957,R1,1350934.86,1.8,41,Residential
7822,2,5.2,2010,R2,16658409.31,15.6,40,Residential
9229,2,6.6,2022,R1,19983345.97,1.8,46,Residential
2801,8,8.1,2003,R2,9747362.7,0.2,10,Residential
1214,6,8.6,1952,R2,2435347.24,2.0,41,Residential
2704,6,3.9,1953,C1,2721040.88,0.4,6,Commercial
5437,8,7.5,1959,R2,22826935.8,1.0,13,Residential
5641,1,1.4,1980,C1,24301379.44,5.7,15,Commercial
7158,4,3.8,2017,R1,24474863.34,7.3,28,Residential
5030,1,7.8,1971,R2,21065826.13,14.5,4,Residential
5059,7,1.7,1970,C2,18130239.41,0.7,41,Commercial
2878,6,1.2,2019,C2,10682512.92,5.1,1,Commercial
1953,9,6.6,1989,I1,9673723.58,11.5,12,Industrial
2986,1,8.0,1951,C1,9886187.72,8.1,26,Commercial
7869,6,1.3,1995,I2,39126303.27,3.9,31,Industrial
4632,2,9.6,2008,R2,18714142.04,0.7,18,Residential
8078,3,8.8,1973,R2,38804439.21,22.5,11,Residential
5933,5,5.8,2019,R2,26171540.3,1.9,1,Residential
1923,2,7.9,1987,R2,5816145.24,2.4,31,Residential
9116,4,8.3,1979,C1,20563858.28,10.8,22,Commercial
8233,6,4.7,1996,C1,8547952.19,1.5,29,Commercial
6786,7,7.0,1969,C1,19469691.73,0.9,10,Commercial
1632,7,1.9,2007,C2,7465148.24,0.6,10,Commercial
6766,2,6.1,1974,R1,29110552.15,0.4,11,Residential
6579,1,8.4,1984,I2,8822539.11,2.4,46,Industrial
1576,3,9.0,1969,C2,4180621.38,28.3,34,Commercial
354,8,8.9,2006,C2,1284724.59,0.1,49,Commercial
6506,7,6.6,1994,C2,24937585.73,7.7,35,Commercial
6804,4,1.5,1964,I2,13034081.7,16.3,48,Industrial
2547,8,1.2,1960,I1,10915312.16,3.4,25,Industrial
5438,4,5.3,1996,C2,13198946.55,1.4,38,Commercial
8831,6,4.6,2003,C1,43241464.9,3.6,8,Commercial
5654,6,9.0,2010,I2,11412606.61,0.9,45,Industrial
2903,2,6.7,1982,C1,8329635.9,1.6,35,Commercial
4121,6,2.2,2013,R1,9146143.21,5.4,29,Residential
2215,6,9.6,2020,I2,10819879.25,2.6,30,Industrial
4948,1,3.8,1997,I2,22741098.36,7.9,1,Industrial
7953,8,6.7,2018,C1,36549928.71,16.5,37,Commercial
8002,9,2.5,1969,I2,14962626.91,7.6,16,Industrial
4849,7,5.9,1963,C2,21319678.18,0.9,34,Commercial
5819,6,1.1,1989,R1,20827497.04,1.0,30,Residential
7486,1,4.1,1964,R2,29105998.54,1.0,13,Residential
5202,7,3.8,1990,R1,18103105.96,10.8,16,Residential
7798,1,5.5,2007,C2,33687428.92,1.2,36,Commercial
5293,8,2.1,1963,C2,24853880.35,2.4,34,Commercial
3067,3,2.3,1954,C2,5232211.57,16.3,13,Commercial
2087,9,3.4,1959,C1,10196017.15,1.9,35,Commercial
6016,9,9.1,1975,I1,15143681.2,11.3,29,Industrial
8570,9,6.1,1998,R2,18951567.61,9.6,8,Residential
9302,5,1.7,2004,R2,25746552.05,11.8,7,Residential
1188,2,6.0,1965,I1,4979557.08,7.8,4,Industrial
2156,8,3.6,2011,C2,9608743.35,14.4,31,Commercial
7550,1,7.2,1994,I1,30450860.9,1.0,40,Industrial
4869,6,3.8,1994,C2,15567489.13,2.7,24,Commercial
599,8,1.4,2023,I2,2389216.84,0.9,1,Industrial
9540,2,7.8,1956,I2,13985698.48,1.2,17,Industrial
7070,2,9.4,1958,I1,27623261.56,19.7,31,Industrial
2855,7,1.1,1952,I2,12205646.96,1.5,3,Industrial
7275,8,1.6,2019,I1,14584574.78,8.8,23,Industrial
8759,6,9.3,1985,R1,28180826.45,16.0,41,Residential
2452,7,4.5,1981,C2,4314786.82,2.0,32,Commercial
4872,8,2.4,2005,C2,5940247.51,9.4,12,Commercial
2661,6,4.9,2003,I1,12290787.77,1.8,24,Industrial
3762,5,6.2,1964,I2,8375856.04,5.1,27,Industrial
3491,3,1.9,2011,C1,13516503.42,2.8,29,Commercial
6405,9,2.8,1959,C2,27544743.61,2.9,11,Commercial
2391,2,5.6,1999,I1,8402932.5,0.4,7,Industrial
5271,2,6.8,1967,C2,17062848.9,0.3,5,Commercial
5347,4,2.8,2021,R1,15187353.23,15.2,36,Residential
8681,3,1.2,1971,R2,43100031.1,4.0,2,Residential
7414,4,8.3,1980,I2,24339474.69,7.4,40,Industrial
2708,9,8.8,1957,C1,5008360.21,0.4,7,Commercial
8229,1,9.9,2009,I2,23410761.68,25.2,5,Industrial
5106,9,9.1,1985,C2,18789726.13,1.1,28,Commercial
5186,6,4.3,1987,C1,17415826.78,0.8,9,Commercial
1912,5,9.2,1986,C1,5269763.04,5.0,6,Commercial
2413,7,8.3,2008,R2,3066067.8,11.1,10,Residential
8076,7,6.1,1995,C1,11837504.13,3.0,9,Commercial
8917,6,5.3,1987,R1,10468188.88,0.0,24,Residential
4940,5,1.2,2022,R2,9293668.77,4.0,10,Residential
6107,4,7.5,2010,R1,11190375.93,0.5,43,Residential
1049,6,3.8,1983,I2,1325133.51,0.2,20,Industrial
3957,4,6.0,2014,R2,19413141.66,4.1,8,Residential
1918,5,3.6,2005,R1,3690427.71,6.2,4,Residential
3514,5,7.7,1954,I1,5913089.62,7.5,9,Industrial
7123,6,4.7,1950,C2,28014878.76,1.0,22,Commercial
7256,2,3.5,1977,I2,24038774.1,2.6,4,Industrial
4041,9,9.6,1965,I1,7617320.39,0.5,43,Industrial
6105,4,5.7,1950,C1,18056959.9,1.0,40,Commercial
7561,1,2.5,1980,I1,30998481.68,25.9,5,Industrial
2968,9,2.1,1956,R2,12092205.83,14.0,35,Residential
1367,9,8.5,1971,C2,4003932.74,1.9,44,Commercial
6130,3,5.8,1980,I2,21108383.6,0.4,29,Industrial
4351,1,2.4,1952,C2,15184544.1,10.2,26,Commercial
6332,6,6.1,2003,C2,19982659.28,1.3,18,Commercial
6317,8,3.2,1954,C1,30149459.75,0.9,10,Commercial
4307,3,3.6,2022,R1,12177658.7,15.5,23,Residential
3669,9,8.6,1951,I2,7996366.01,4.5,24,Industrial
4820,5,9.7,1972,R2,16823296.34,0.4,31,Residential
7617,3,6.7,1972,R2,17450577.98,5.4,40,Residential
1126,3,4.5,1952,C1,4123733.16,1.7,5,Commercial
9769,2,1.7,2019,C1,29935098.45,2.3,6,Commercial
1870,8,1.1,2016,C2,2699791.52,5.9,17,Commercial
409,7,6.5,2013,I1,929253.99,1.3,6,Industrial
1769,2,3.1,1966,R2,6986593.88,0.6,24,Residential
9167,8,1.4,1978,C1,29232630.65,7.8,12,Commercial
1890,2,1.4,2011,R2,5579489.39,1.7,26,Residential
7677,5,9.3,1981,R1,35046570.19,2.7,12,Residential
3249,6,7.8,1979,I2,3551207.21,14.2,23,Industrial
8515,1,4.0,2002,C1,28777548.83,7.9,13,Commercial
4772,8,1.5,1990,I2,6179646.28,0.3,22,Industrial
9615,3,9.5,1984,R2,37197694.96,10.2,20,Residential
4881,4,7.8,1995,R2,13685222.57,13.5,24,Residential
6503,5,1.8,1986,R2,31305401.68,11.2,38,Residential
1676,6,9.3,1968,I2,3468015.3,12.9,41,Industrial
1741,4,2.3,1998,I2,5283400.63,4.6,44,Industrial
5002,4,5.7,1953,R2,15964392.97,2.4,18,Residential
8114,3,9.1,1981,R1,22670518.19,0.7,22,Residential
5797,4,6.3,1960,R2,25220429.76,12.9,27,Residential
5711,6,1.2,1951,C2,17545225.15,0.2,17,Commercial
8714,7,9.1,1970,R1,23832835.78,19.0,42,Residential
4219,2,8.4,1981,I2,17832867.43,0.3,45,Industrial
4404,8,5.9,2001,C2,6740469.94,0.4,19,Commercial
3112,5,8.1,1959,R2,12731685.6,0.1,21,Residential
9184,5,1.1,2004,R2,21169397.32,2.1,3,Residential
2612,1,9.8,1963,I1,5039700.96,0.5,36,Industrial
2091,8,9.1,1951,R1,9271936.82,5.5,22,Residential
5242,6,7.7,2017,C1,23796361.18,0.8,3,Commercial
2761,2,4.9,2014,I1,10472994.76,4.9,14,Industrial
5194,8,8.7,1965,I2,9886894.41,14.0,9,Industrial
393,7,1.9,1985,C2,626560.88,1.1,21,Commercial
9743,8,5.5,2006,R1,31382666.65,4.4,25,Residential
1458,8,3.6,1968,I1,6518863.73,5.9,17,Industrial
3900,5,4.4,2002,I2,16493939.54,3.8,27,Industrial
349,9,6.0,1985,R2,1070054.96,2.1,12,Residential
8890,8,3.5,1994,I2,24235826.9,1.8,20,Industrial
9196,2,1.4,1952,R2,31299274.33,10.2,28,Residential
6627,2,6.6,1979,C2,22879523.48,10.7,38,Commercial
1006,5,4.2,2010,C1,3337626.86,1.2,1,Commercial
8361,1,7.9,1976,C1,34436910.42,0.1,8,Commercial
6704,6,4.8,2012,C1,15329851.93,2.3,44,Commercial
6375,9,6.6,1996,R1,12442936.39,4.9,27,Residential
5345,9,2.4,2012,C1,5659061.67,13.5,44,Commercial
8888,5,8.3,2018,C1,26949017.85,2.2,37,Commercial
9765,8,9.3,1950,R1,20735543.96,18.2,34,Residential
1487,6,3.9,1985,C2,6464142.6,8.9,31,Commercial
2725,9,7.2,2008,C1,3046406.1,0.3,8,Commercial
9653,3,3.9,2001,C2,10730368.28,2.6,28,Commercial
4880,6,1.4,1972,I1,5697234.14,4.7,31,Industrial
5909,5,2.4,1970,I2,26865510.48,1.2,47,Industrial
7409,2,8.3,1994,I1,25415621.79,9.8,27,Industrial
1549,6,4.0,2016,C1,3823388.5,8.0,29,Commercial
712,7,3.0,1979,R2,2291893.18,1.6,45,Residential
4861,7,10.0,1987,R1,20799089.76,0.6,16,Residential
4830,5,7.0,1975,I2,17210539.32,3.9,30,Industrial
1472,1,7.5,2018,I2,2309168.97,1.4,24,Industrial
7992,6,3.9,1965,C2,11598235.89,2.1,9,Commercial
7879,1,6.6,1980,C2,15588828.1,10.6,39,Commercial
9557,9,5.9,1980,C2,33531413.28,3.6,11,Commercial
5613,5,1.3,2023,C1,6451990.97,3.4,37,Commercial
8274,2,8.4,2013,I1,25722089.68,7.2,1,Industrial
462,1,2.6,1987,C2,933278.25,1.6,5,Commercial
1074,2,6.0,1962,R1,4592884.18,2.0,14,Residential
800,1,8.0,1974,R2,2817222.42,8.7,45,Residential
4674,2,7.4,1959,I2,13391476.0,3.6,33,Industrial
3139,2,3.9,2012,I2,12173574.93,2.1,22,Industrial
550,7,7.9,1998,I1,1058888.07,1.6,5,Industrial
8410,3,7.1,2003,I1,9307418.65,1.7,28,Industrial
2258,2,8.9,1956,I1,6883116.12,4.1,36,Industrial
8928,9,4.0,1960,R1,27429590.97,6.3,30,Residential
4216,8,8.7,1962,I2,12102245.57,3.2,33,Industrial
7801,8,8.7,2005,C1,19007339.8,0.9,34,Commercial
7344,6,8.7,1998,I1,21981612.06,5.5,22,Industrial
8112,1,6.5,2014,C1,30442376.72,1.4,13,Commercial
1749,1,5.7,1999,R2,4222020.3,0.5,14,Residential
5654,8,5.9,1957,R2,25334892.68,8.0,1,Residential
3579,1,9.3,2019,C2,13080935.4,3.9,28,Commercial
1468,7,2.4,2002,R2,3456998.69,8.5,22,Residential
5311,8,3.2,1975,R1,11998899.83,0.0,2,Residential
9516,5,2.2,1952,R2,23675424.33,3.9,15,Residential
1736,2,4.4,1963,I2,6936733.76,14.6,5,Industrial
5917,4,3.9,1962,I1,17963636.31,8.3,7,Industrial
531,5,5.2,1989,C1,540908.63,18.1,7,Commercial
3457,2,8.0,1959,I2,15952965.28,0.1,14,Industrial
5808,7,3.1,1965,I1,10372131.4,4.4,4,Industrial
9589,2,1.1,2009,I1,11223202.37,1.3,17,Industrial
5354,5,5.8,1998,R1,9631275.24,6.0,5,Residential
2676,1,3.8,1994,R2,13243751.07,1.2,8,Residential
4279,4,6.2,1963,R1,13246245.57,6.0,3,Residential
9937,3,1.6,1982,I2,35438739.11,9.0,44,Industrial
4340,8,7.7,1966,R1,9760822.2,4.6,24,Residential
3068,2,9.9,1981,C1,11957519.87,2.0,39,Commercial
885,2,8.8,2000,R2,2609379.0,7.0,24,Residential
7424,4,3.5,2014,I2,26645208.82,3.2,32,Industrial
2173,5,8.0,2014,I1,6684419.56,3.0,11,Industrial
6197,7,7.5,1961,I2,20658017.39,11.3,5,Industrial
9449,4,4.0,2015,C2,38517113.46,0.0,1,Commercial
4405,7,2.6,1991,I2,18189106.6,3.6,18,Industrial
3060,7,2.5,1983,I1,6602374.59,6.8,21,Industrial
6037,3,5.5,1983,C1,26004708.2,2.8,30,Commercial
1030,6,9.6,1975,R1,4936315.17,1.1,12,Residential
9631,8,4.3,1989,R2,22006615.77,11.1,22,Residential
7840,3,4.7,1995,R2,36228389.58,0.1,36,Residential
9698,3,6.8,1961,R2,27041538.04,1.7,47,Residential
8915,9,7.5,1983,I1,14114610.02,13.7,26,Industrial
1430,4,5.0,1995,R2,5848313.05,12.1,24,Residential
5615,6,6.3,1981,C2,21869242.24,5.1,9,Commercial
6742,2,4.1,2013,I2,26659191.54,2.9,37,Industrial
2829,1,1.5,2022,R2,13286693.84,1.1,46,Residential
5599,9,6.1,1966,C2,9915074.14,8.5,3,Commercial
1486,8,2.9,1964,I1,2208701.2,2.6,28,Industrial
6618,1,2.2,2021,I1,18240601.98,0.5,1,Industrial
3024,5,9.3,1952,C2,15053709.8,26.6,5,Commercial
6110,4,6.0,2020,R2,11221575.44,0.8,9,Residential
2131,7,6.7,1969,C1,5051725.39,5.3,34,Commercial
9049,5,1.3,1999,I1,44248816.9,13.0,31,Industrial
1707,7,6.9,2013,I1,7825637.99,4.9,19,Industrial
9799,9,6.5,2017,C1,30220538.1,10.1,42,Commercial
1592,6,3.1,2010,C1,7267745.79,1.8,16,Commercial
3432,4,7.3,1976,R2,6176246.91,2.2,12,Residential
5303,7,5.5,2005,I2,7254198.02,1.2,11,Industrial
9901,5,4.3,1974,I2,39452291.74,17.6,10,Industrial
7680,7,5.1,1955,R1,32261092.47,0.8,23,Residential
4247,2,6.1,1971,R2,17298826.69,0.1,25,Residential
7941,7,3.6,2001,C2,24509597.14,13.2,44,Commercial
4527,2,8.1,1966,R1,7742362.3,1.1,41,Residential
3110,7,5.1,1977,I1,12891856.25,8.0,41,Industrial
1680,2,9.2,1958,R1,6862336.08,7.9,21,Residential
9240,4,9.8,1966,C2,12648611.76,0.2,1,Commercial
7196,1,7.6,2006,I2,23740093.24,0.7,15,Industrial
654,1,8.3,1971,C1,2300755.97,8.7,13,Commercial
310,9,8.6,2008,R1,1073521.7,0.0,23,Residential
3548,5,1.9,1986,I2,12349041.0,0.3,49,Industrial
6333,5,8.2,1957,R1,28326622.26,0.8,1,Residential
7178,3,2.9,2015,I2,13975704.16,8.0,39,Industrial
8580,5,9.0,1991,R1,13873240.96,1.2,15,Residential
2224,7,2.5,1961,C2,5394811.88,5.8,38,Commercial
1189,2,6.8,1968,C1,5125486.52,6.5,38,Commercial
2232,7,4.8,2017,R2,5203737.36,7.8,24,Residential
3579,3,1.7,1999,C2,4057673.14,5.4,4,Commercial
7026,5,6.2,1971,I2,12629021.53,5.2,19,Industrial
3244,7,4.7,2010,C2,12289310.16,11.2,31,Commercial
4791,4,8.6,1983,C2,6125007.54,1.1,47,Commercial
7957,9,7.3,2001,C1,11055509.68,0.8,36,Commercial
8627,7,6.1,1994,R1,29478799.3,4.3,27,Residential
812,5,6.0,1972,R1,1844061.74,0.0,4,Residential
7207,3,3.4,2019,C2,14188779.3,4.4,2,Commercial
9884,7,6.0,1966,C1,25266464.36,6.9,48,Commercial
3709,1,4.6,2009,C1,15327603.91,3.7,35,Commercial
3036,8,3.0,2001,C1,3640270.4,1.8,44,Commercial
7617,8,7.0,2023,C1,7869855.68,0.5,2,Commercial
5724,2,2.8,1974,R1,18500731.55,1.5,11,Residential
1208,7,1.4,1992,R2,1289984.85,2.1,12,Residential
5715,2,7.5,1976,C1,15148291.43,9.0,9,Commercial
2407,6,7.3,1991,R2,3153471.34,2.8,9,Residential
9263,9,9.7,2000,R1,18670293.5,1.2,14,Residential
2183,3,3.4,2015,C2,8146189.74,0.0,22,Commercial
2187,6,2.1,1950,C1,5786454.88,19.8,13,Commercial
9937,1,9.9,1978,I2,27495248.47,2.6,21,Industrial
4244,6,8.0,1982,C2,17904305.54,8.9,32,Commercial
7152,5,7.8,2008,R1,27108649.71,4.3,1,Residential
2046,1,1.5,1989,R2,5089204.11,6.4,41,Residential
5604,6,2.1,1983,R2,22143427.68,3.8,8,Residential
888,5,4.8,2012,R1,1976331.66,0.6,47,Residential
6128,6,6.1,1999,C1,27323436.58,4.1,47,Commercial
6847,9,1.9,1953,R2,18684286.8,6.8,6,Residential
6974,7,6.9,1962,C1,15675506.65,3.2,30,Commercial
7000,9,9.2,2005,C1,8580224.04,5.0,48,Commercial
7187,7,3.4,1999,C1,7651428.3,6.9,15,Commercial
7457,5,5.2,1986,I2,26031339.6,7.8,25,Industrial
2040,1,5.6,1981,R2,3132406.75,8.4,22,Residential
1999,9,6.5,2003,I1,8566010.68,13.3,13,Industrial
9346,7,3.2,1968,C1,33158146.35,0.9,27,Commercial
7131,2,1.9,2006,I2,22865796.54,0.9,1,Industrial
756,7,9.7,1952,R1,1184625.22,5.0,40,Residential
4538,9,8.9,1981,I2,21062707.71,0.1,2,Industrial
8110,1,8.1,1956,I1,29013635.78,3.0,10,Industrial
8583,4,5.2,1988,R2,15580918.36,3.9,6,Residential
5731,4,1.1,1971,R1,28512381.74,4.3,30,Residential
701,3,4.9,1994,I2,1929139.81,2.9,13,Industrial
1490,9,6.2,2011,I2,5020659.94,0.4,45,Industrial
882,3,3.1,2012,C2,3714862.88,1.3,11,Commercial
1871,7,6.8,1966,R2,8416933.52,5.9,20,Residential
8455,9,5.1,1996,C2,29562040.64,7.5,38,Commercial
9269,8,3.2,2001,I1,9748755.71,4.7,10,Industrial
1287,2,8.5,2018,I1,5741893.75,3.8,18,Industrial
2886,7,2.2,2003,R2,12986914.24,1.7,48,Residential
801,2,4.7,2014,I1,2936675.57,0.7,36,Industrial
2597,9,6.8,2008,C2,7820454.8,0.3,11,Commercial
6584,4,7.3,2023,I2,12099090.59,1.9,42,Industrial
2796,3,4.5,2001,R2,4825335.18,3.7,22,Residential
1953,3,9.6,1973,I2,3332727.99,9.1,2,Industrial
9147,8,7.1,1991,I2,22280496.4,1.6,6,Industrial
4426,1,3.6,1956,C1,5578116.51,0.1,31,Commercial
4235,3,3.4,1952,R1,17304497.03,6.3,12,Residential
2706,3,6.6,1966,I2,3335838.13,10.3,7,Industrial
4567,5,4.5,1967,I2,20261569.96,5.7,39,Industrial
5232,7,9.8,1998,R2,23803377.74,9.8,14,Residential
5451,4,4.5,1955,I1,16367303.41,6.6,13,Industrial
8684,6,5.6,1989,R1,37105375.27,1.4,24,Residential
1079,1,9.1,2016,I2,4151198.8,5.6,12,Industrial
3095,9,3.5,1952,R1,10439363.82,12.2,20,Residential
2335,7,3.7,1969,R1,9480484.0,19.1,36,Residential
8730,3,6.4,1991,R2,10430507.42,4.9,16,Residential
8490,4,4.4,1980,R2,16312292.34,7.8,25,Residential
5669,3,7.3,1987,C1,11571579.05,6.9,12,Commercial
6009,7,7.5,2020,R1,18168080.1,31.4,15,Residential
2395,1,2.4,2013,R2,4941174.76,4.8,31,Residential
6691,2,5.9,2004,I1,18201248.07,4.3,24,Industrial
5495,3,5.7,1981,R1,8439246.7,1.1,15,Residential
6355,8,4.4,2017,C2,14032852.89,2.0,20,Commercial
5098,5,4.2,1976,R1,23946812.67,0.9,30,Residential
7926,5,3.5,2017,I1,29154911.58,3.8,29,Industrial
8695,7,4.7,1975,R1,19621824.76,9.2,32,Residential
8679,2,3.1,1966,C1,9264266.1,6.4,32,Commercial
725,2,7.6,1971,I2,1414549.23,1.1,10,Industrial
3935,8,4.6,1978,I1,9099990.72,1.3,30,Industrial
4698,8,5.2,1951,R2,7332719.32,1.3,25,Residential
1168,1,2.6,2015,C1,3907725.97,1.5,15,Commercial
