car_make,car_model,year_of_manufacture,kms_driven,fuel_type,transmission,owner_type,engine_cc,mileage_kmpl,car_condition_score,estimated_price_in_inr
Ford,City,2016,64934.0,Electric,Manual,Second,1172.0,21.74,3.17,413680.0
Maruti,EcoSport,2020,34776.0,Diesel,Manual,First,1487.0,22.27,4.61,479098.0
Hyundai,Swift,2019,61594.0,Diesel,Manual,Third+,1631.0,16.65,5.7,425665.0
Honda,Scorpio,2015,55847.0,Petrol,Manual,First,1116.0,18.46,8.55,445027.0
Toyota,Innova,2018,84874.0,Petrol,Manual,Third+,1173.0,20.93,6.84,461769.0
Hyundai,EcoSport,2021,51986.0,Diesel,Manual,First,800.0,21.62,7.36,486260.0
Toyota,Scorpio,2017,60589.0,Petrol,Manual,First,1454.0,16.5,5.1,414362.0
Ford,Swift,2019,73523.0,Petrol,Manual,Second,1067.0,20.55,7.41,487181.0
Toyota,Nexon,2016,71124.0,Petrol,Manual,Second,1317.0,15.99,2.85,339603.0
Honda,EcoSport,2018,74135.0,Electric,Automatic,Third+,1242.0,19.51,5.75,495726.0
Maruti,Swift,2017,78773.0,Diesel,Manual,First,1320.0,24.16,9.69,473199.0
Ford,i20,2021,88662.0,CNG,Automatic,First,1095.0,20.67,2.25,473993.0
Honda,Swift,2016,114589.0,Electric,Automatic,First,1396.0,19.08,3.68,454417.0
Maruti,City,2018,38208.0,Diesel,Manual,Second,1629.0,19.84,8.87,514775.0
Honda,Scorpio,2017,33817.0,Petrol,Automatic,First,1306.0,17.96,7.15,479390.0
Toyota,Innova,2018,84147.0,Petrol,Automatic,First,978.0,19.12,8.62,469118.0
Hyundai,Tiago,2021,83167.0,Petrol,Manual,First,800.0,20.31,8.47,522880.0
Mahindra,Scorpio,2015,30958.0,Petrol,Manual,First,800.0,10.85,9.65,440029.0
Tata,i20,2015,105415.0,Electric,Manual,Second,1392.0,15.38,4.34,389195.0
Ford,Tiago,2021,48781.0,Diesel,Automatic,First,1347.0,17.32,8.24,523100.0
Toyota,City,2019,74595.0,CNG,Automatic,Third+,1147.0,23.85,9.32,542871.0
Hyundai,Scorpio,2016,40910.0,Diesel,Automatic,Second,1446.0,16.47,4.11,454931.0
Hyundai,Nexon,2020,59124.0,Petrol,Manual,First,1918.0,10.18,3.1,473109.0
Mahindra,Tiago,2019,66353.0,Diesel,Manual,First,835.0,18.46,2.53,414816.0
Tata,Alto,2017,124957.0,Petrol,Manual,Second,1175.0,14.84,3.39,359686.0
Tata,Alto,2018,56557.0,Petrol,Manual,First,1814.0,22.71,7.47,423595.0
Maruti,Innova,2018,40158.0,CNG,Manual,First,800.0,21.66,3.59,423461.0
Maruti,Innova,2016,34220.0,CNG,Manual,Second,1039.0,16.24,7.32,451404.0
Honda,Swift,2017,57591.0,Diesel,Automatic,First,800.0,20.48,5.54,421699.0
Tata,i20,2016,94851.0,Petrol,Manual,First,800.0,22.04,2.56,379859.0
Hyundai,Scorpio,2019,37224.0,Electric,Manual,First,1394.0,19.83,5.65,553662.0
Ford,Swift,2015,104620.0,Petrol,Manual,Second,800.0,12.38,7.73,400729.0
Tata,EcoSport,2021,72732.0,Diesel,Automatic,First,1427.0,21.12,7.37,539143.0
Tata,City,2019,44500.0,Petrol,Manual,Second,1521.0,16.09,1.82,414624.0
Hyundai,City,2018,38918.0,Petrol,Manual,Second,1867.0,21.24,6.87,472902.0
Mahindra,City,2019,92869.0,Electric,Automatic,First,1689.0,24.53,7.87,499198.0
Mahindra,Innova,2020,52387.0,Diesel,Manual,Second,1826.0,8.0,1.62,402772.0
Ford,Nexon,2015,84769.0,Electric,Manual,First,1394.0,20.58,3.16,381976.0
Honda,Alto,2021,29174.0,Petrol,Manual,First,1923.0,19.56,1.13,482393.0
Tata,Tiago,2018,89525.0,Petrol,Automatic,Third+,1715.0,13.83,6.38,442404.0
Honda,Swift,2020,64704.0,Electric,Manual,First,800.0,20.88,3.68,479764.0
Ford,Scorpio,2017,80904.0,Electric,Automatic,Second,800.0,18.83,5.57,480626.0
Hyundai,Nexon,2018,52463.0,Petrol,Manual,First,1320.0,17.48,7.3,472222.0
Maruti,Tiago,2021,96089.0,CNG,Manual,First,1770.0,8.61,8.58,492423.0
Maruti,Nexon,2016,60163.0,Petrol,Manual,Second,1601.0,18.71,2.3,355993.0
Toyota,i20,2017,73393.0,Diesel,Manual,First,800.0,19.95,1.08,340940.0
Tata,Innova,2019,40439.0,Diesel,Manual,First,800.0,18.42,5.86,457045.0
Maruti,Nexon,2016,56564.0,Petrol,Manual,First,1326.0,9.69,2.79,372436.0
Toyota,Tiago,2019,64155.0,Diesel,Manual,First,1327.0,21.32,2.37,435135.0
Mahindra,Tiago,2017,89910.0,Petrol,Manual,First,1246.0,19.71,8.73,430874.0
Toyota,City,2021,75996.0,CNG,Manual,First,800.0,23.32,8.22,499419.0
Maruti,i20,2015,99104.0,Petrol,Automatic,First,1231.0,23.0,9.09,418023.0
Ford,Innova,2016,72620.0,Diesel,Manual,First,925.0,22.09,1.72,366741.0
Honda,Innova,2018,80360.0,Petrol,Manual,Second,800.0,14.95,1.89,376221.0
Tata,Scorpio,2017,30009.0,CNG,Manual,First,1381.0,19.69,8.04,446197.0
Tata,Swift,2018,61718.0,Petrol,Manual,Second,1201.0,18.93,9.23,475964.0
Hyundai,City,2016,84706.0,Electric,Manual,First,800.0,15.59,9.93,461074.0
Mahindra,Nexon,2017,80042.0,Diesel,Manual,First,800.0,18.8,4.3,415285.0
Ford,i20,2019,90884.0,Petrol,Automatic,First,1651.0,19.51,8.48,536924.0
Toyota,Nexon,2021,32543.0,Petrol,Manual,First,1076.0,19.63,9.82,542618.0
Tata,i20,2020,38914.0,Petrol,Manual,First,1790.0,19.55,6.28,471440.0
Maruti,Nexon,2015,64754.0,Diesel,Manual,First,800.0,12.9,7.13,417595.0
Ford,EcoSport,2016,50790.0,Diesel,Manual,First,800.0,22.91,4.28,354396.0
Tata,City,2018,44754.0,Petrol,Manual,First,1209.0,17.42,9.42,476842.0
Mahindra,i20,2016,37151.0,Diesel,Automatic,Third+,2032.0,15.7,2.26,432781.0
Maruti,Nexon,2015,92066.0,Petrol,Automatic,Third+,1342.0,16.3,7.8,440710.0
Mahindra,Innova,2017,50617.0,Electric,Automatic,Second,999.0,19.02,2.82,477990.0
Toyota,Innova,2017,62680.0,Petrol,Automatic,Second,800.0,13.94,1.02,348796.0
Tata,Nexon,2018,29472.0,Electric,Manual,First,800.0,11.03,3.87,457743.0
Toyota,Scorpio,2015,87907.0,Petrol,Automatic,First,857.0,17.84,8.03,475379.0
Maruti,i20,2017,66293.0,Electric,Manual,Second,2189.0,11.72,9.94,522753.0
Mahindra,Nexon,2021,57440.0,Diesel,Manual,First,1422.0,16.51,6.61,533527.0
Mahindra,City,2016,87950.0,Diesel,Automatic,First,860.0,18.4,3.77,463225.0
Mahindra,i20,2018,45172.0,Diesel,Manual,Third+,1211.0,15.16,2.9,361403.0
Mahindra,Scorpio,2019,109786.0,Electric,Manual,Second,1109.0,12.71,8.47,470730.0
Tata,Tiago,2021,81104.0,Electric,Automatic,First,1537.0,23.98,7.68,587869.0
Hyundai,Innova,2016,65544.0,Diesel,Manual,First,1659.0,21.03,2.27,324281.0
Tata,Tiago,2021,83548.0,CNG,Manual,First,800.0,17.35,9.35,523958.0
Maruti,Innova,2021,15505.0,Petrol,Manual,Third+,800.0,20.28,6.22,515632.0
Ford,Alto,2021,102185.0,Electric,Automatic,Third+,925.0,16.52,7.41,556600.0
Honda,Tiago,2016,47016.0,Diesel,Manual,First,800.0,19.0,1.73,385260.0
Hyundai,City,2018,47003.0,Diesel,Manual,First,842.0,16.46,6.92,455775.0
Maruti,Nexon,2020,93096.0,Diesel,Automatic,First,1688.0,22.22,7.77,505703.0
Ford,Alto,2021,5000.0,Electric,Automatic,Second,800.0,21.49,7.75,619706.0
Maruti,Tiago,2020,67408.0,Diesel,Manual,First,800.0,12.18,8.9,491746.0
Maruti,City,2015,54767.0,CNG,Manual,Second,1659.0,17.33,9.46,461421.0
Honda,Tiago,2019,29163.0,Electric,Manual,First,800.0,21.16,4.57,542106.0
Maruti,Alto,2018,74688.0,Electric,Manual,Second,945.0,15.56,4.05,428416.0
Toyota,Nexon,2020,52847.0,Petrol,Manual,First,1444.0,19.13,3.0,478927.0
Mahindra,City,2017,87190.0,Electric,Manual,Third+,800.0,14.61,3.24,446641.0
Maruti,EcoSport,2018,48598.0,CNG,Manual,First,1216.0,21.04,7.56,474819.0
Tata,Nexon,2018,74506.0,CNG,Manual,Third+,876.0,22.01,6.39,472626.0
Toyota,EcoSport,2019,71116.0,Petrol,Manual,Second,1365.0,16.8,5.56,430435.0
Ford,Scorpio,2021,66871.0,Diesel,Manual,First,800.0,8.0,1.78,422241.0
Mahindra,Tiago,2017,58030.0,Diesel,Automatic,Second,824.0,15.63,5.63,447643.0
Hyundai,City,2020,74031.0,Electric,Automatic,First,1480.0,13.52,5.45,566526.0
Hyundai,Alto,2018,47996.0,Petrol,Manual,First,800.0,26.2,9.41,498678.0
Tata,EcoSport,2021,24337.0,Diesel,Manual,First,958.0,18.74,9.85,543887.0
Maruti,Tiago,2021,70039.0,Petrol,Manual,Third+,1100.0,19.41,2.55,455799.0
Toyota,Scorpio,2019,113290.0,Petrol,Manual,First,1463.0,19.4,1.21,340053.0
Tata,i20,2018,49200.0,Diesel,Automatic,Second,800.0,15.49,5.06,493299.0
Tata,i20,2021,87166.0,Petrol,Manual,First,1775.0,12.57,1.4,374620.0
Tata,EcoSport,2020,64768.0,Electric,Automatic,First,1439.0,15.57,1.66,525378.0
Ford,Tiago,2017,77141.0,CNG,Automatic,Third+,1427.0,21.35,1.84,464689.0
Mahindra,Scorpio,2019,78576.0,Diesel,Manual,Second,908.0,14.43,6.42,487952.0
Mahindra,Swift,2016,67257.0,Electric,Manual,Third+,1078.0,15.34,1.46,417068.0
Mahindra,i20,2018,81378.0,Electric,Automatic,First,1422.0,28.3,3.36,479128.0
Maruti,Alto,2016,78856.0,Electric,Automatic,Second,1234.0,23.98,1.8,450698.0
Mahindra,EcoSport,2016,52548.0,Petrol,Manual,First,928.0,18.62,7.18,448555.0
Tata,City,2019,85127.0,Petrol,Manual,Second,1109.0,8.68,2.6,439294.0
Mahindra,Swift,2016,34860.0,Electric,Manual,First,800.0,16.56,7.56,485644.0
Hyundai,Alto,2019,60759.0,Diesel,Manual,First,1690.0,17.44,8.51,499567.0
Mahindra,Scorpio,2017,66388.0,Diesel,Manual,Second,1624.0,18.76,1.73,367125.0
Hyundai,City,2015,68964.0,Diesel,Manual,First,913.0,15.63,1.46,320279.0
Hyundai,Alto,2019,85927.0,Petrol,Automatic,First,1009.0,11.78,2.02,415908.0
Ford,EcoSport,2018,87525.0,Petrol,Automatic,First,1148.0,24.92,4.69,457508.0
Mahindra,EcoSport,2015,70083.0,Diesel,Manual,Second,1350.0,18.73,6.97,395502.0
Honda,City,2019,42687.0,Electric,Manual,First,1162.0,16.41,1.34,458646.0
Hyundai,i20,2018,68677.0,Petrol,Manual,First,1654.0,12.73,9.53,468056.0
Mahindra,EcoSport,2019,71384.0,Electric,Manual,First,1723.0,26.22,6.33,505945.0
Ford,City,2016,65493.0,Diesel,Automatic,First,1514.0,17.74,3.27,380857.0
Toyota,i20,2019,51886.0,Electric,Automatic,First,2544.0,27.68,4.2,554201.0
Honda,Alto,2021,70599.0,Diesel,Manual,Third+,1101.0,26.58,3.71,455517.0
Hyundai,Scorpio,2015,44879.0,CNG,Automatic,First,1971.0,20.02,6.98,492556.0
Maruti,Innova,2020,48742.0,Electric,Automatic,First,1507.0,18.59,7.19,525922.0
Toyota,Tiago,2016,74483.0,Electric,Automatic,First,1233.0,16.51,5.88,453027.0
Ford,Alto,2018,98969.0,Diesel,Manual,Second,1683.0,29.17,9.97,468551.0
Ford,Innova,2018,53164.0,Petrol,Manual,First,934.0,20.24,5.27,485223.0
Mahindra,Tiago,2017,80565.0,Diesel,Manual,Second,1212.0,20.48,6.35,432443.0
Hyundai,Scorpio,2015,44337.0,Electric,Manual,First,1028.0,15.38,1.1,436164.0
Maruti,EcoSport,2016,34568.0,Petrol,Manual,Second,1309.0,23.02,5.97,459477.0
Toyota,Tiago,2017,56176.0,Electric,Manual,First,1097.0,20.72,2.13,444666.0
Honda,Innova,2017,14773.0,CNG,Manual,Second,1458.0,21.28,8.09,486562.0
Mahindra,City,2020,76287.0,Diesel,Manual,First,1638.0,15.46,2.87,477225.0
Honda,Alto,2021,27895.0,Electric,Manual,Third+,800.0,19.02,5.72,519122.0
Honda,City,2021,55705.0,Diesel,Manual,Second,1613.0,19.42,5.03,477551.0
Maruti,Alto,2018,17957.0,Petrol,Manual,First,800.0,16.89,4.21,438876.0
Hyundai,City,2018,61426.0,Diesel,Manual,Second,1104.0,17.91,4.35,390844.0
Tata,Tiago,2018,42919.0,Diesel,Manual,First,1524.0,17.0,3.46,459504.0
Tata,City,2016,71379.0,Petrol,Manual,Second,1642.0,19.73,4.01,359758.0
Ford,Swift,2018,81229.0,Diesel,Automatic,First,904.0,16.98,3.42,443477.0
Maruti,Tiago,2018,118330.0,Petrol,Automatic,First,800.0,15.75,7.11,423436.0
Maruti,Innova,2018,53735.0,Diesel,Manual,First,800.0,18.27,4.44,433165.0
Ford,Innova,2021,87084.0,Petrol,Manual,Third+,1485.0,14.95,7.57,483364.0
Honda,Alto,2019,66397.0,Petrol,Manual,First,800.0,23.43,7.24,437388.0
Honda,Swift,2018,88915.0,Electric,Manual,First,1218.0,17.71,8.45,505011.0
Tata,i20,2020,5758.0,Diesel,Manual,First,826.0,19.1,10.0,544408.0
Mahindra,Innova,2017,26332.0,Diesel,Automatic,First,1398.0,15.34,8.28,499232.0
Ford,Alto,2016,30408.0,Petrol,Manual,Second,1741.0,17.56,6.34,430722.0
Mahindra,Scorpio,2018,82645.0,CNG,Manual,Second,1063.0,19.81,8.52,460137.0
Honda,EcoSport,2015,28939.0,Diesel,Automatic,Third+,800.0,15.89,1.73,423686.0
Ford,i20,2015,101698.0,Diesel,Manual,Second,1151.0,18.09,8.19,389979.0
Toyota,Swift,2018,68007.0,Petrol,Automatic,Second,1128.0,25.3,3.09,442597.0
Ford,Tiago,2015,46224.0,Petrol,Manual,First,800.0,17.53,8.98,463784.0
Tata,Alto,2017,92324.0,Electric,Automatic,First,926.0,15.96,1.46,423297.0
Maruti,Swift,2018,72526.0,Diesel,Manual,Second,1348.0,21.54,7.76,463422.0
Toyota,City,2020,76758.0,Petrol,Manual,Second,877.0,15.16,1.07,442595.0
Tata,Innova,2020,57369.0,Petrol,Manual,Second,1400.0,18.63,9.17,543309.0
Ford,City,2015,115897.0,Petrol,Automatic,First,910.0,18.33,1.05,348365.0
Toyota,i20,2020,98022.0,Electric,Automatic,First,1410.0,13.71,3.46,494152.0
Hyundai,Swift,2019,111330.0,CNG,Manual,Third+,800.0,13.6,8.77,492186.0
Ford,Tiago,2019,88023.0,Electric,Manual,First,1121.0,10.95,7.24,483175.0
Maruti,Scorpio,2019,14093.0,Petrol,Automatic,First,800.0,15.38,4.75,507551.0
Maruti,Nexon,2015,60628.0,Petrol,Manual,First,1014.0,10.4,2.96,387297.0
Tata,i20,2021,73186.0,Diesel,Manual,Second,1214.0,19.45,9.89,507937.0
Honda,Nexon,2018,67117.0,Petrol,Manual,First,1120.0,8.56,6.74,437696.0
Ford,Nexon,2020,72110.0,Diesel,Automatic,First,1335.0,23.11,4.55,499620.0
Honda,Swift,2015,92222.0,CNG,Manual,First,810.0,11.83,5.77,385010.0
Mahindra,i20,2020,92062.0,CNG,Automatic,First,1594.0,20.43,1.27,450399.0
Toyota,Alto,2015,44146.0,Petrol,Automatic,Second,1338.0,21.35,6.72,451648.0
Honda,i20,2015,53523.0,CNG,Automatic,First,1130.0,14.68,1.5,393911.0
Ford,Swift,2016,104525.0,Diesel,Automatic,First,1435.0,12.57,8.1,443952.0
Maruti,Innova,2017,89829.0,Petrol,Manual,First,1062.0,17.52,3.97,429136.0
Honda,i20,2017,66298.0,Diesel,Manual,Second,999.0,17.38,1.15,362255.0
Honda,City,2020,76475.0,Diesel,Automatic,First,1343.0,19.57,2.5,463534.0
Toyota,Nexon,2018,11941.0,Diesel,Manual,First,800.0,19.3,2.81,444461.0
Hyundai,Nexon,2020,92594.0,Diesel,Manual,First,1881.0,18.55,7.64,455983.0
Toyota,Alto,2016,9561.0,Diesel,Automatic,First,1376.0,16.33,6.23,507490.0
Ford,Nexon,2020,81076.0,Electric,Automatic,First,894.0,18.34,3.84,558811.0
Ford,Swift,2017,39540.0,CNG,Manual,Second,932.0,21.15,6.85,416772.0
Mahindra,Alto,2020,87974.0,CNG,Manual,Second,960.0,10.65,5.91,437653.0
Maruti,Nexon,2021,51491.0,Petrol,Manual,First,800.0,18.18,5.38,528125.0
Maruti,i20,2019,61302.0,Petrol,Manual,First,1294.0,16.57,3.71,413840.0
Toyota,Tiago,2021,58009.0,Electric,Manual,Second,981.0,21.92,5.87,573977.0
Maruti,EcoSport,2020,45698.0,CNG,Manual,First,1184.0,16.43,4.9,475283.0
Toyota,Nexon,2017,8207.0,Petrol,Automatic,First,1272.0,23.36,8.0,548458.0
Tata,Swift,2017,53313.0,Diesel,Manual,Third+,1594.0,13.4,7.9,460981.0
Tata,Swift,2017,36647.0,Diesel,Manual,Second,980.0,23.79,9.94,470043.0
Ford,Innova,2017,83211.0,Electric,Manual,Second,1285.0,14.61,4.31,352362.0
Hyundai,Nexon,2019,31120.0,Electric,Automatic,First,1435.0,20.87,9.99,603788.0
Tata,Innova,2021,69213.0,Electric,Manual,First,1537.0,22.72,8.95,617488.0
Ford,Nexon,2019,68789.0,Electric,Manual,First,1192.0,22.45,7.37,512844.0
Maruti,City,2018,77990.0,Diesel,Manual,Second,800.0,14.69,2.34,442682.0
Tata,Tiago,2018,64888.0,Electric,Manual,Second,1324.0,19.89,4.63,492390.0
Maruti,City,2020,22548.0,Electric,Manual,First,1148.0,25.32,5.33,553495.0
Maruti,Innova,2018,32135.0,Electric,Manual,First,1151.0,17.15,5.09,524902.0
Mahindra,i20,2016,60150.0,Petrol,Manual,First,1372.0,17.79,6.48,400779.0
Ford,Alto,2016,87652.0,Petrol,Manual,First,1444.0,9.8,6.02,441148.0
Toyota,Tiago,2016,77490.0,Diesel,Manual,Second,1462.0,13.21,9.52,442037.0
Maruti,Swift,2021,27155.0,Diesel,Manual,Second,1120.0,20.77,7.44,541066.0
Ford,Tiago,2019,64823.0,Electric,Manual,First,859.0,9.73,9.37,514991.0
Mahindra,Scorpio,2016,96998.0,Diesel,Manual,First,1264.0,23.15,1.62,385543.0
Ford,Scorpio,2017,67509.0,Electric,Manual,First,1399.0,21.09,7.17,456296.0
Toyota,Scorpio,2019,85569.0,Diesel,Automatic,First,1300.0,14.16,1.63,411942.0
Tata,Alto,2018,93675.0,Electric,Automatic,Third+,919.0,14.37,4.74,500941.0
Tata,City,2021,62711.0,CNG,Manual,Second,1404.0,14.6,5.92,483468.0
Maruti,i20,2017,79085.0,Petrol,Automatic,First,1201.0,15.51,6.97,458634.0
Tata,Nexon,2020,62591.0,Petrol,Manual,Second,1202.0,22.45,7.94,521419.0
Toyota,EcoSport,2018,20786.0,Petrol,Manual,Second,1143.0,20.2,4.11,424238.0
Tata,EcoSport,2017,40859.0,CNG,Manual,First,1064.0,22.59,6.18,414337.0
Honda,Nexon,2019,58743.0,Diesel,Manual,Third+,1116.0,11.76,2.44,410298.0
Mahindra,Scorpio,2021,88698.0,Petrol,Manual,First,1272.0,15.91,9.7,484605.0
Tata,Swift,2019,66452.0,Diesel,Manual,First,1191.0,15.34,2.84,428440.0
Tata,Swift,2019,67025.0,Petrol,Manual,First,902.0,21.78,3.43,407067.0
Maruti,EcoSport,2019,104559.0,Electric,Manual,First,1065.0,28.34,8.75,505720.0
Maruti,Innova,2015,33621.0,Petrol,Automatic,First,1821.0,21.8,7.27,444046.0
Tata,Innova,2021,95379.0,Diesel,Automatic,Second,1276.0,19.65,7.22,503208.0
Maruti,Scorpio,2017,42193.0,CNG,Manual,Second,1072.0,15.12,8.59,458538.0
Tata,Innova,2021,83958.0,Electric,Automatic,Third+,1570.0,15.64,9.95,569613.0
Ford,Alto,2021,81996.0,Diesel,Manual,First,1794.0,19.94,6.58,501135.0
Toyota,Innova,2017,90180.0,Petrol,Manual,Second,800.0,17.19,5.36,412006.0
Tata,EcoSport,2018,103728.0,Petrol,Automatic,Third+,1713.0,20.83,3.92,429641.0
Maruti,Nexon,2019,73247.0,Diesel,Manual,Second,1767.0,10.9,2.22,387301.0
Maruti,Scorpio,2015,10108.0,Petrol,Automatic,First,1105.0,23.25,2.17,431050.0
Tata,Swift,2018,44172.0,Electric,Automatic,First,800.0,23.12,3.67,534459.0
Maruti,City,2018,49608.0,Diesel,Automatic,Third+,1126.0,18.34,7.16,453846.0
Honda,Innova,2018,69928.0,Diesel,Automatic,First,853.0,22.57,2.6,403275.0
Mahindra,Alto,2016,27526.0,Diesel,Manual,First,1600.0,17.16,9.23,432298.0
Toyota,Alto,2019,54442.0,Petrol,Manual,Second,1390.0,19.26,6.42,436335.0
Hyundai,i20,2016,79106.0,Diesel,Manual,First,1386.0,26.24,5.28,382245.0
Ford,Tiago,2020,111250.0,Petrol,Manual,First,1070.0,15.9,4.9,394577.0
Ford,Nexon,2017,82395.0,Diesel,Automatic,First,923.0,16.53,3.34,422554.0
Maruti,EcoSport,2018,77584.0,Diesel,Automatic,First,800.0,11.96,5.51,484153.0
Hyundai,EcoSport,2019,40881.0,Petrol,Manual,First,1694.0,9.67,4.26,423503.0
Mahindra,Nexon,2021,35199.0,Petrol,Manual,Third+,1051.0,16.04,6.6,473184.0
Maruti,EcoSport,2020,47933.0,Electric,Manual,First,1677.0,13.4,7.23,559341.0
Ford,City,2017,107724.0,Petrol,Automatic,Second,1886.0,17.73,9.96,486034.0
Ford,EcoSport,2015,52457.0,Diesel,Manual,Third+,1168.0,20.36,7.71,440623.0
Maruti,City,2016,78824.0,Electric,Automatic,First,1850.0,18.13,6.42,513980.0
Tata,Alto,2016,42058.0,Diesel,Manual,First,1078.0,24.53,3.89,430602.0
Ford,Swift,2017,43129.0,Diesel,Automatic,First,1257.0,24.1,1.48,427677.0
Honda,Swift,2017,36261.0,Diesel,Manual,First,1656.0,12.62,5.83,463014.0
Maruti,EcoSport,2019,45246.0,Petrol,Manual,First,800.0,14.93,2.49,452047.0
Hyundai,i20,2015,47854.0,Diesel,Manual,Second,800.0,16.5,2.33,361363.0
Tata,EcoSport,2018,62586.0,Petrol,Automatic,First,1156.0,24.93,1.12,436772.0
Ford,EcoSport,2016,88192.0,Petrol,Automatic,Second,1051.0,14.62,8.67,469209.0
Mahindra,EcoSport,2016,63954.0,Petrol,Automatic,Third+,800.0,16.86,5.11,440458.0
Toyota,Alto,2018,43459.0,Diesel,Manual,Second,1594.0,20.04,3.93,424759.0
Ford,i20,2020,96418.0,Electric,Automatic,First,2058.0,20.65,6.36,542606.0
Maruti,Nexon,2017,80428.0,Petrol,Manual,First,800.0,18.1,3.83,387746.0
Maruti,City,2017,9390.0,Petrol,Automatic,First,1508.0,16.65,1.44,479432.0
Toyota,Innova,2021,73540.0,Petrol,Manual,Second,1424.0,18.99,5.93,485857.0
Hyundai,Tiago,2015,50992.0,CNG,Automatic,First,917.0,18.79,7.66,432981.0
Mahindra,Alto,2016,114262.0,Diesel,Automatic,First,1365.0,15.13,6.99,416069.0
Mahindra,Alto,2015,54322.0,CNG,Manual,Third+,1334.0,21.91,4.14,381550.0
Mahindra,Swift,2016,5000.0,Diesel,Automatic,First,1278.0,20.76,4.17,464029.0
Toyota,Innova,2020,103215.0,Diesel,Manual,Second,1180.0,15.14,2.26,450503.0
Hyundai,EcoSport,2018,53529.0,CNG,Manual,Second,1616.0,19.14,8.45,497693.0
Maruti,Nexon,2016,78694.0,Petrol,Manual,Third+,1206.0,15.54,6.18,373406.0
Mahindra,Alto,2018,55718.0,Electric,Automatic,Second,1237.0,19.2,1.28,471983.0
Maruti,i20,2021,104068.0,Petrol,Automatic,Third+,848.0,19.39,9.58,584739.0
Honda,Swift,2021,72756.0,Petrol,Automatic,First,800.0,15.08,5.55,507270.0
Mahindra,Innova,2015,108847.0,Diesel,Manual,First,1191.0,17.1,1.61,345018.0
Toyota,i20,2018,97294.0,Diesel,Automatic,First,800.0,12.23,5.34,483889.0
Ford,Swift,2017,41703.0,CNG,Manual,First,1780.0,16.27,5.48,457970.0
Ford,EcoSport,2015,65003.0,Petrol,Automatic,Third+,819.0,18.41,4.14,445678.0
Maruti,City,2021,54523.0,CNG,Automatic,First,800.0,20.47,8.77,547839.0
Mahindra,Innova,2019,14389.0,CNG,Manual,Second,970.0,16.84,9.57,494657.0
Mahindra,Innova,2020,54219.0,Diesel,Manual,Third+,1124.0,18.03,8.78,484636.0
Maruti,Tiago,2021,76464.0,Diesel,Manual,First,1044.0,13.27,5.96,464334.0
Maruti,Alto,2021,37564.0,Petrol,Manual,Second,2120.0,16.11,3.54,476730.0
Hyundai,City,2018,91790.0,Petrol,Automatic,First,1410.0,22.2,5.13,468030.0
Hyundai,Alto,2019,45428.0,CNG,Manual,Second,1544.0,14.86,6.73,435922.0
Toyota,Scorpio,2018,59456.0,Petrol,Automatic,First,1177.0,18.87,7.54,480298.0
Tata,Tiago,2018,50008.0,Diesel,Automatic,First,1338.0,14.58,4.41,482434.0
Ford,i20,2017,65790.0,Petrol,Manual,First,976.0,13.43,9.82,442129.0
Ford,City,2020,43867.0,Electric,Manual,First,1260.0,11.82,8.72,544479.0
Toyota,Swift,2016,51804.0,Diesel,Manual,Third+,1420.0,22.68,2.24,367638.0
Tata,City,2018,69182.0,Petrol,Automatic,First,894.0,17.77,9.02,475026.0
Hyundai,City,2017,55508.0,Petrol,Manual,Second,800.0,21.6,3.14,381899.0
Ford,City,2016,48872.0,CNG,Manual,First,2069.0,18.16,3.17,384361.0
Toyota,Scorpio,2019,38717.0,Diesel,Manual,Third+,924.0,14.77,7.73,449422.0
Ford,Tiago,2018,25510.0,Diesel,Manual,First,800.0,25.94,2.37,435419.0
Ford,City,2017,58043.0,Diesel,Manual,First,1752.0,14.37,1.26,372789.0
Hyundai,i20,2020,97124.0,Petrol,Manual,Second,1072.0,21.56,8.6,483246.0
Mahindra,Scorpio,2018,53867.0,Petrol,Manual,Second,1285.0,22.23,4.21,395992.0
Ford,i20,2019,71474.0,CNG,Manual,First,1109.0,15.12,4.01,401709.0
Maruti,City,2017,50484.0,Petrol,Manual,First,958.0,25.17,9.19,452636.0
Hyundai,Alto,2020,80902.0,Diesel,Manual,First,1180.0,16.22,2.23,405815.0
Maruti,Swift,2018,5000.0,Petrol,Manual,First,811.0,28.35,9.77,524720.0
Hyundai,Innova,2017,72174.0,Electric,Manual,First,930.0,18.32,9.15,525443.0
Honda,Nexon,2018,44698.0,Diesel,Automatic,First,1436.0,19.07,2.79,448696.0
Maruti,Scorpio,2015,53809.0,Diesel,Manual,Second,1448.0,13.79,1.46,385265.0
Mahindra,Tiago,2021,73885.0,Diesel,Manual,Second,805.0,15.82,1.81,492180.0
Toyota,i20,2020,48560.0,Petrol,Automatic,First,1144.0,16.79,8.98,525879.0
Maruti,Innova,2015,89379.0,Diesel,Manual,First,1430.0,21.51,7.73,392015.0
Mahindra,Swift,2019,40445.0,Electric,Manual,First,848.0,14.83,5.8,521681.0
Toyota,i20,2016,55992.0,Diesel,Manual,First,1006.0,17.53,1.24,345654.0
Honda,Scorpio,2015,66818.0,Diesel,Automatic,Third+,974.0,24.4,4.55,428104.0
Tata,Innova,2016,12816.0,Diesel,Automatic,Third+,1100.0,18.22,6.45,459475.0
Hyundai,Nexon,2020,74789.0,Diesel,Manual,First,1779.0,19.82,5.61,494971.0
