,Age,CGPA,Aptitude_Score,Programming_Score,SQL_Score,Communication_Score,Projects,Certifications,Internship_Months,Hackathon_Participation,Attendance,Selected
532,18,69,52,94,77,52,3,8,0,3,60,1
533,18,75,63,84,22,64,0,2,7,4,74,1
534,22,89,55,82,54,82,3,2,11,4,83,1
535,23,68,76,54,40,87,4,0,4,2,63,1
536,23,90,34,50,83,34,2,1,9,3,77,1
537,20,66,49,47,71,45,10,2,0,3,76,1
538,24,71,35,20,53,46,9,1,12,2,66,1
539,26,93,99,44,54,61,1,7,8,0,69,1
540,25,63,88,62,34,81,5,5,7,5,60,1
541,23,89,93,86,25,49,7,6,3,3,61,1
542,25,67,47,82,51,95,6,0,7,0,81,1
543,22,69,33,70,71,30,10,5,12,0,91,1
544,25,72,46,21,47,87,0,1,11,4,88,0
545,21,87,43,83,83,73,3,5,12,5,94,1
546,25,60,42,93,98,35,2,2,9,4,76,1
547,19,81,36,88,97,79,5,6,6,1,71,1
548,22,77,73,28,38,49,8,2,10,4,83,1
549,26,81,44,21,34,43,8,8,10,3,89,1
550,21,88,48,53,25,34,6,2,6,3,89,1
551,23,92,92,79,92,70,8,6,0,5,79,1
552,18,68,64,80,57,69,7,3,5,0,66,1
553,26,90,64,50,45,63,4,7,12,3,97,1
554,18,62,48,29,70,74,8,1,3,4,66,1
555,22,89,49,95,92,100,6,7,9,4,89,1
556,21,73,64,55,72,100,4,8,9,5,71,1
557,20,84,61,68,75,56,7,7,9,4,90,1
558,23,68,77,89,78,73,6,5,10,2,77,1
559,19,74,73,68,89,62,8,0,11,5,61,1
560,20,79,53,22,97,62,9,6,1,5,92,1
561,22,94,90,93,77,73,0,0,9,3,70,1
562,26,78,46,24,32,49,8,6,6,5,93,1
563,19,68,100,80,62,65,6,1,8,1,75,1
564,25,80,79,45,95,36,0,7,12,3,94,1
565,19,92,94,91,70,61,0,1,4,3,92,1
566,22,77,61,24,38,96,4,2,7,2,80,1
567,24,76,65,34,40,68,7,2,4,3,79,1
568,25,73,42,35,43,53,8,0,6,0,67,1
569,18,57,99,20,45,99,5,4,6,4,85,1
570,23,73,87,35,64,83,9,4,8,4,92,1
571,18,63,43,56,47,67,7,4,2,5,85,1
572,19,82,66,22,48,61,5,8,0,2,96,1
573,18,74,97,71,36,74,10,5,1,4,89,1
574,22,61,69,66,87,90,5,5,11,0,90,1
575,26,68,88,32,63,99,3,2,5,2,92,1
576,23,63,45,99,80,82,10,4,9,1,70,1
577,18,73,91,74,87,80,4,6,9,4,100,1
578,18,68,33,40,93,85,1,2,11,3,64,1
579,19,92,74,85,44,56,2,1,12,0,61,1
580,26,90,57,73,86,67,2,4,8,0,72,1
581,20,94,95,46,21,91,10,2,2,4,77,1
582,18,71,60,57,68,47,4,4,9,5,85,1
583,22,84,32,77,89,93,4,8,1,1,84,1
584,24,63,37,81,45,59,5,0,10,3,73,1
585,23,87,53,65,91,78,4,3,0,1,64,1
586,18,79,44,30,46,70,5,4,1,1,61,0
587,22,68,72,91,37,42,7,1,2,4,63,1
588,22,65,60,27,73,63,1,1,6,3,71,0
589,23,89,74,90,20,54,3,0,1,4,70,1
590,20,95,95,83,80,95,5,7,12,4,63,1
591,22,68,37,40,22,47,4,1,4,5,68,0
592,24,84,100,91,87,34,0,2,1,0,69,0
593,22,95,86,82,60,48,8,1,6,5,86,1
594,22,58,59,83,56,71,2,3,9,5,65,1
595,22,58,47,39,70,47,1,0,7,4,74,0
596,20,82,98,27,34,61,8,2,7,5,90,1
597,18,62,68,77,27,50,6,4,12,5,81,1
598,22,56,89,65,57,39,4,0,7,2,65,1
599,26,95,72,50,75,66,5,3,9,3,92,1
600,18,76,74,28,66,78,10,5,8,0,88,1
601,20,95,52,34,29,42,3,3,0,3,80,0
602,21,70,98,45,97,84,0,6,11,0,89,1
603,18,83,35,29,68,46,3,6,0,2,80,0
604,18,84,85,48,60,38,8,5,9,4,95,1
605,25,66,33,99,49,73,0,8,1,0,81,1
606,19,89,52,55,24,75,9,1,10,0,79,1
607,25,65,35,56,90,37,2,7,5,0,81,1
608,24,75,61,90,50,66,4,7,0,2,99,1
609,19,75,47,42,71,48,6,3,4,3,70,1
610,23,59,44,60,42,92,8,5,4,2,90,1
611,23,74,69,99,67,75,5,5,3,0,99,1
612,20,91,35,47,59,100,2,4,10,5,72,1
613,19,57,92,67,25,55,6,0,4,0,77,1
614,18,87,96,57,57,75,3,2,11,5,81,1
615,23,63,40,50,60,75,2,6,0,4,76,1
616,22,63,72,33,46,43,6,7,10,2,97,1
617,26,58,46,92,94,92,10,1,10,5,84,1
618,18,89,33,96,88,32,10,2,5,2,91,1
619,24,71,92,48,76,57,6,3,6,1,74,1
620,22,88,97,70,36,58,3,4,7,3,72,1
621,22,78,70,68,90,47,6,2,1,1,85,1
622,19,86,34,62,66,64,10,4,6,5,70,1
623,20,55,61,91,98,76,1,7,5,1,72,1
624,24,62,99,24,32,34,0,7,8,3,92,1
625,23,77,64,61,30,88,1,1,7,5,96,1
626,19,94,51,26,43,88,3,5,10,4,97,1
627,23,66,94,61,92,76,7,3,3,4,60,1
628,19,66,51,55,23,42,2,8,12,3,98,1
629,19,69,40,46,65,62,9,1,8,3,86,1
630,19,95,32,77,37,91,5,7,0,5,95,1
631,20,73,38,65,62,45,5,0,10,2,91,1
632,19,80,89,85,99,73,8,5,5,5,100,1
633,21,83,43,44,52,87,8,0,7,2,74,1
634,26,76,47,92,29,35,3,1,10,2,90,1
635,23,94,52,46,92,44,8,2,10,2,65,1
636,18,75,76,20,78,33,5,8,3,5,84,1
637,25,92,98,93,50,85,1,4,1,0,77,1
638,24,74,76,61,47,93,9,1,10,0,81,1
639,20,83,59,71,79,97,10,4,1,4,90,1
640,18,58,54,44,22,63,5,4,9,0,95,1
641,22,61,57,73,74,85,1,0,0,0,68,0
642,21,82,54,86,33,61,7,2,4,2,62,1
643,25,82,87,25,77,38,3,4,12,2,92,1
644,18,58,70,77,34,92,4,8,5,3,86,1
645,18,76,54,89,21,62,7,0,3,2,60,1
646,21,66,77,72,43,50,10,7,3,5,68,1
647,25,57,39,85,97,84,7,0,4,3,64,1
648,22,76,40,77,83,86,5,8,4,3,74,1
649,19,56,50,21,90,31,3,5,8,0,68,0
650,23,78,74,95,43,42,0,0,7,2,87,1
651,22,88,36,41,46,33,6,7,8,0,72,1
652,19,81,93,56,56,79,7,4,12,2,83,1
653,20,95,93,39,58,77,8,6,2,0,69,1
654,26,55,31,43,82,59,1,6,2,0,81,0
655,24,62,71,84,98,58,0,6,0,0,98,1
656,24,77,83,84,45,37,3,5,9,5,81,1
657,23,92,45,100,84,41,4,7,12,4,96,1
658,25,60,47,20,23,70,9,8,5,0,98,1
659,21,76,88,22,48,55,0,1,3,1,79,0
660,25,79,45,65,20,79,4,6,10,1,69,1
661,21,72,35,74,69,31,5,1,7,1,69,1
662,25,71,86,94,30,84,2,5,1,5,85,1
663,26,66,76,83,93,85,6,1,10,3,84,1
664,20,60,77,64,78,43,5,5,1,0,87,1
665,20,80,71,45,81,35,3,1,6,1,72,0
666,19,81,89,96,100,90,2,0,12,5,74,1
667,20,62,33,84,55,41,4,6,4,3,65,1
668,20,73,31,43,75,42,2,2,12,1,71,1
669,22,55,88,93,40,48,9,3,0,2,78,1
670,22,83,56,54,32,73,8,5,6,4,91,1
671,19,89,56,43,28,88,8,4,6,0,70,1
672,23,94,36,47,30,66,5,3,9,4,97,1
673,22,68,92,99,94,54,10,8,5,4,92,1
674,23,89,75,35,89,45,5,5,3,2,61,1
675,18,74,92,78,20,67,3,5,11,2,74,1
676,22,67,41,100,89,72,3,1,12,2,95,1
677,26,92,42,73,96,43,1,5,7,3,64,1
678,19,62,72,98,75,35,9,6,11,1,74,1
679,18,74,46,35,50,52,3,7,10,0,69,1
680,26,87,92,34,56,89,7,7,1,2,76,1
681,26,80,65,30,66,41,9,8,1,5,93,1
682,26,93,37,84,97,42,1,2,1,0,83,0
683,23,75,98,98,66,35,8,6,2,0,69,1
684,25,95,65,87,88,92,0,6,5,0,89,1
685,18,63,57,62,77,67,1,0,0,2,62,0
686,21,78,76,88,55,79,1,7,10,2,96,1
687,18,91,59,32,51,81,10,3,1,1,62,1
688,25,95,52,29,83,69,5,4,9,2,99,1
689,18,71,45,94,90,37,6,5,1,2,64,1
690,20,78,43,60,61,90,2,2,11,0,87,1
691,21,75,100,69,67,37,10,4,0,1,73,1
692,25,93,81,90,93,63,8,4,2,4,98,1
693,23,95,66,78,100,89,4,0,9,2,70,1
694,24,93,58,58,49,86,4,2,6,5,67,1
695,25,67,96,22,40,75,10,2,12,2,96,1
696,19,65,44,95,79,51,3,0,0,4,67,1
697,25,73,76,26,32,69,8,6,6,0,71,1
698,20,65,75,68,20,74,7,0,4,1,74,1
699,24,67,81,45,84,84,3,6,8,0,78,1
700,20,55,48,52,52,80,3,3,1,3,87,0
701,24,94,50,67,57,34,1,8,0,2,66,1
702,19,73,93,98,44,42,8,6,8,5,99,1
703,23,66,66,21,45,57,2,4,7,3,66,0
704,20,62,56,90,96,91,3,6,9,2,89,1
705,20,62,84,51,78,53,6,8,5,3,77,1
706,26,66,58,23,52,36,9,5,4,4,83,1
707,24,87,49,39,60,67,7,0,7,2,65,1
708,22,80,54,55,49,66,7,5,7,5,63,1
709,24,93,99,51,76,97,3,0,4,2,62,1
710,26,82,92,47,68,71,6,3,11,3,65,1
711,18,59,65,96,67,34,9,7,6,1,85,1
712,24,62,31,20,91,93,0,4,12,3,97,1
713,23,79,51,79,68,79,5,4,12,2,70,1
714,26,81,45,75,66,44,5,7,0,2,88,1
715,18,77,47,54,75,82,5,7,3,1,79,1
716,21,84,98,49,84,54,1,0,1,0,69,0
717,26,77,83,73,31,38,7,4,9,1,85,1
718,21,74,59,55,88,67,4,4,2,0,86,1
719,20,72,74,74,25,51,4,7,11,5,73,1
720,26,72,48,99,84,78,1,0,0,2,95,1
721,19,56,63,77,44,97,3,6,10,4,71,1
722,21,58,42,84,20,44,8,6,10,4,82,1
723,23,84,72,88,51,94,8,8,1,3,80,1
724,19,87,91,70,22,83,5,1,12,1,67,1
725,25,90,51,41,68,59,10,2,0,1,98,1
726,25,72,81,72,38,49,8,3,7,4,68,1
727,18,91,81,55,79,62,3,0,3,0,83,1
728,20,73,65,87,48,36,10,6,2,1,90,1
729,26,82,48,55,69,37,0,2,0,0,84,0
730,22,94,67,71,21,57,1,2,1,0,76,0
731,23,74,99,72,92,74,0,2,2,0,88,1
732,21,87,86,69,75,40,7,7,2,0,62,1
733,19,66,49,99,36,60,8,8,5,3,80,1
734,25,69,38,60,79,41,9,1,9,3,67,1
735,23,95,61,37,55,80,5,0,7,4,73,1
736,22,93,33,41,80,73,1,8,5,3,98,1
737,26,56,79,85,36,79,5,5,1,5,75,1
738,18,83,34,40,68,46,8,8,1,1,77,1
739,22,95,49,63,95,64,2,5,6,5,90,1
740,23,64,66,66,79,30,8,1,0,3,70,1
741,22,56,51,58,39,58,1,0,0,1,97,0
742,23,65,87,48,69,80,10,7,6,1,79,1
743,23,67,97,73,22,93,4,2,8,0,63,1
744,24,64,73,36,62,33,10,0,4,4,79,1
745,21,68,63,99,76,57,1,7,10,0,90,1
746,25,72,71,79,69,45,6,0,0,0,79,1
747,24,63,38,50,87,92,10,7,4,5,70,1
748,26,93,36,92,100,82,9,0,10,3,60,1
749,24,82,97,97,69,46,8,8,0,5,77,1
750,20,57,48,68,56,69,6,8,9,3,98,1
751,20,74,60,21,65,42,4,8,11,5,92,1
752,25,60,64,67,61,81,3,2,8,1,95,1
753,22,81,86,33,34,87,3,3,3,3,77,1
754,21,56,90,78,52,66,9,4,8,3,90,1
755,25,83,60,77,99,90,7,5,1,5,94,1
756,23,92,82,77,30,63,9,8,6,2,98,1
757,19,57,61,70,39,99,9,3,11,1,97,1
758,21,70,95,21,43,46,9,5,12,1,74,1
759,21,84,88,60,83,49,9,0,1,2,65,1
760,23,94,39,35,99,88,9,1,11,5,67,1
761,23,56,31,23,84,98,0,7,3,5,99,1
762,18,71,95,31,92,62,4,3,5,1,81,1
763,25,95,89,48,95,46,1,6,1,5,60,1
764,23,66,46,26,36,86,10,3,1,4,72,1
765,20,89,45,33,80,30,8,8,1,4,83,1
766,26,55,45,31,34,42,6,8,2,2,80,1
767,19,69,75,24,70,56,9,3,4,3,63,1
768,25,80,68,100,46,99,7,7,8,4,66,1
769,20,91,60,51,93,88,5,5,5,5,71,1
770,22,75,30,93,80,35,8,0,11,2,72,1
771,23,85,40,62,77,52,5,6,8,4,75,1
772,23,79,33,100,50,39,6,0,9,0,65,1
773,21,77,100,88,31,80,6,2,12,2,73,1
774,20,78,55,64,65,48,8,7,4,1,90,1
775,21,92,79,28,50,80,10,8,10,4,95,1
776,18,82,41,68,51,97,7,2,5,1,96,1
777,21,75,94,52,51,71,0,0,9,2,100,1
778,18,72,76,37,72,86,3,0,11,4,94,1
779,18,90,82,28,80,97,6,6,7,1,69,1
780,23,89,100,81,65,67,10,4,2,3,76,1
781,22,63,31,76,93,91,7,0,1,3,89,1
782,21,92,53,48,99,36,6,5,2,0,66,1
783,20,84,33,97,26,100,2,5,8,5,77,1
784,18,88,48,44,23,79,3,3,5,2,78,1
785,23,86,55,34,71,81,6,6,9,5,74,1
786,19,57,69,25,50,55,7,6,11,5,98,1
787,25,57,79,61,94,55,6,8,3,1,81,1
788,22,82,72,48,55,48,5,0,9,0,98,1
789,24,69,96,98,73,38,8,4,2,2,89,1
790,19,95,41,23,73,90,8,2,12,3,79,1
791,25,77,96,76,36,49,10,6,1,5,91,1
792,19,94,56,68,94,79,6,3,3,1,84,1
793,21,65,83,63,49,51,7,3,8,5,82,1
794,18,86,95,99,41,42,5,0,3,4,64,1
795,22,90,78,94,62,41,0,0,12,3,100,1
796,26,87,45,33,46,39,0,1,11,5,89,0
797,18,78,31,22,56,94,5,1,4,4,98,1
798,26,93,89,81,65,59,1,0,7,4,86,1
799,25,88,83,83,54,37,7,7,1,1,96,1
800,23,82,59,64,23,50,0,5,11,1,66,1
801,24,91,67,77,99,51,1,5,10,4,64,1
802,20,61,57,39,99,47,7,8,2,0,74,1
803,18,58,54,77,45,95,5,4,5,5,67,1
804,22,91,39,76,38,77,9,3,11,4,68,1
805,19,55,89,96,100,73,1,5,6,4,70,1
806,22,55,71,87,64,38,1,7,3,1,81,1
807,25,74,69,97,45,96,10,0,0,5,93,1
808,26,73,71,71,41,83,6,6,6,2,94,1
809,19,83,76,56,77,55,4,7,11,3,72,1
810,20,64,66,27,82,55,4,8,8,1,70,1
811,20,72,51,63,47,63,7,7,0,5,91,1
812,18,82,86,24,84,37,6,6,0,5,74,1
813,25,89,56,88,63,39,8,2,0,0,97,1
814,23,85,70,50,62,77,3,1,9,3,60,1
815,25,81,63,64,56,84,9,2,6,1,83,1
816,26,65,61,28,85,83,3,3,10,1,99,1
817,22,92,95,51,36,69,1,3,8,2,81,1
818,20,59,41,52,59,44,2,5,2,0,62,0
819,22,62,69,86,57,47,0,6,7,0,73,1
820,22,88,39,49,80,52,0,3,8,5,61,1
821,22,66,77,95,28,91,6,5,2,5,91,1
822,20,92,49,48,96,75,4,8,11,1,97,1
823,21,55,68,22,94,68,2,5,11,2,92,1
824,26,85,89,76,80,44,6,2,2,1,65,1
825,26,58,95,49,99,82,1,0,0,4,100,0
826,19,59,94,28,35,93,2,4,1,5,98,1
827,25,84,80,45,21,92,0,2,6,4,84,1
828,25,78,65,21,91,45,7,7,2,2,93,1
829,24,57,53,81,62,99,1,0,6,1,70,0
830,25,65,56,22,61,95,6,1,4,5,96,1
831,20,58,31,65,96,42,10,2,9,2,100,1
832,23,80,60,87,76,76,8,2,7,1,66,1
833,18,81,86,44,100,38,5,7,4,1,81,1
834,24,81,95,70,86,92,1,4,2,4,98,1
835,18,60,58,32,49,63,1,7,8,3,69,1
836,26,69,44,63,32,58,8,5,6,0,80,1
837,18,84,41,54,38,66,9,1,4,5,65,1
838,18,91,57,74,26,72,7,3,6,0,60,1
839,24,91,53,28,28,93,8,8,10,2,93,1
840,19,91,50,21,73,53,3,3,9,0,73,0
841,22,89,39,80,80,100,3,4,8,4,95,1
842,25,77,47,60,21,63,1,4,4,3,86,0
843,25,60,43,63,69,77,9,7,6,5,68,1
844,20,58,63,83,94,41,0,5,10,1,65,1
845,24,72,87,50,50,52,9,6,8,1,90,1
846,20,63,51,66,52,42,3,5,0,4,76,1
847,23,83,99,21,97,74,9,4,3,5,95,1
848,23,67,65,96,99,94,9,4,0,0,80,1
849,20,71,74,88,30,76,10,2,7,1,86,1
850,24,86,65,77,52,87,7,6,2,0,100,1
851,20,76,51,63,26,34,1,4,1,4,87,0
852,25,58,90,93,50,34,10,6,3,1,75,1
853,21,59,85,75,67,89,7,1,10,2,94,1
854,18,91,62,62,66,50,0,8,2,3,95,1
855,21,95,74,53,97,53,0,7,10,0,94,1
856,24,67,65,49,72,47,3,4,4,5,78,1
857,21,88,49,90,99,50,6,1,12,0,80,1
858,23,76,47,89,38,83,8,5,7,0,92,1
859,26,77,67,74,100,39,4,7,9,0,82,1
860,18,57,96,86,25,53,1,6,7,4,65,1
861,22,88,52,32,68,89,6,7,10,4,91,1
862,24,86,45,22,92,86,10,3,6,5,81,1
863,18,75,88,45,69,52,1,2,7,4,62,1
864,21,75,98,76,100,51,8,6,12,5,94,1
865,23,65,97,43,31,97,8,1,12,5,75,1
866,19,93,50,72,42,63,2,4,4,4,84,1
867,22,58,99,89,73,99,7,6,9,1,76,1
868,18,55,41,62,88,57,10,0,9,4,98,1
869,23,82,45,79,78,68,3,3,10,1,72,1
870,23,78,43,77,55,71,2,1,11,2,87,1
871,21,89,90,68,22,52,0,5,10,4,70,1
872,25,67,100,61,77,99,4,0,12,2,69,1
873,21,88,75,95,74,31,10,6,5,4,98,1
874,25,65,61,85,76,53,3,2,7,2,83,1
875,25,90,44,30,36,46,0,0,12,3,97,0
876,22,71,73,37,58,94,9,7,0,2,83,1
877,21,89,46,71,87,99,7,6,5,1,92,1
878,19,72,70,65,74,98,7,1,5,0,76,1
879,20,94,83,63,64,89,7,6,10,5,95,1
880,20,76,73,41,95,79,2,2,12,2,94,1
881,21,78,34,72,20,41,5,8,4,0,65,1
882,21,73,56,78,40,76,6,7,3,3,75,1
883,22,91,72,49,40,96,8,4,0,3,87,1
884,21,93,60,27,71,94,4,6,10,1,100,1
885,25,75,46,76,62,56,8,2,9,1,91,1
886,23,62,83,92,71,77,5,0,10,2,85,1
887,23,82,91,39,86,91,9,0,7,4,70,1
888,25,59,61,44,63,73,9,1,5,3,84,1
889,24,71,69,38,51,48,9,7,2,0,90,1
890,25,91,42,24,29,88,3,0,11,4,80,1
891,19,90,64,94,83,37,0,4,2,3,62,1
892,26,73,34,98,98,84,0,8,11,2,71,1
893,18,81,58,91,88,76,9,8,5,3,99,1
894,25,88,99,46,87,31,4,1,11,1,100,1
895,21,65,54,59,47,68,2,6,6,0,84,1
896,21,66,51,45,72,74,4,0,7,0,76,0
897,22,75,95,46,70,61,4,2,4,1,97,1
898,25,65,74,81,72,94,0,5,9,4,95,1
899,22,93,98,69,23,67,7,8,5,1,95,1
900,25,82,30,61,98,40,4,1,11,0,78,1
901,18,59,73,48,36,39,4,6,0,2,61,0
902,26,71,68,58,86,88,8,3,5,4,76,1
903,23,74,83,79,93,84,7,1,8,5,89,1
904,20,95,58,60,66,49,0,2,9,3,69,1
905,25,66,83,52,75,46,2,5,3,5,94,1
906,26,60,45,35,42,97,6,8,9,2,95,1
907,23,71,49,42,37,34,0,7,12,5,92,1
908,24,73,75,26,20,89,0,8,0,4,60,0
909,18,80,96,45,54,52,4,3,10,0,77,1
910,22,86,94,31,83,75,8,3,8,0,63,1
911,22,60,87,91,77,81,5,8,3,2,86,1
912,21,90,82,24,78,39,9,7,1,5,84,1
913,23,92,30,88,20,75,1,1,0,4,87,0
914,24,65,95,68,22,57,10,7,2,3,81,1
915,26,87,58,45,86,72,8,0,6,5,84,1
916,18,78,99,24,56,55,5,8,10,5,76,1
917,23,77,37,41,48,84,4,8,9,3,71,1
918,24,69,58,98,52,77,4,7,1,1,75,1
919,20,81,80,32,80,58,2,4,8,2,96,1
920,25,65,62,47,23,56,5,4,11,4,75,1
921,22,71,32,52,33,47,3,2,12,2,76,1
922,26,68,89,42,52,89,9,4,10,3,90,1
923,22,81,64,37,41,98,1,3,1,4,74,0
924,26,72,98,49,67,50,2,0,4,0,72,0
925,21,82,49,45,22,53,8,8,7,0,99,1
926,26,58,68,35,42,32,10,3,12,4,86,1
927,22,61,33,96,87,91,10,2,12,2,80,1
928,26,89,48,58,40,31,8,5,11,2,61,1
929,20,63,74,52,62,95,5,0,9,0,67,1
930,21,62,72,45,45,71,9,4,7,0,66,1
931,26,71,42,67,60,63,9,6,2,3,69,1
932,23,71,42,84,57,71,8,1,1,4,63,1
933,19,87,89,57,30,49,3,8,8,2,100,1
934,24,86,86,21,48,97,10,5,2,3,95,1
935,19,62,81,25,79,74,4,1,7,2,94,1
936,19,73,82,65,86,71,9,7,1,0,62,1
937,18,92,72,69,84,76,5,7,2,4,77,1
938,20,57,71,57,80,34,8,0,0,1,83,1
939,23,59,55,37,38,78,4,0,10,4,91,1
940,25,67,52,46,65,66,7,0,5,5,93,1
941,26,85,72,60,68,63,10,3,12,1,61,1
942,24,70,57,91,41,99,0,3,6,3,61,1
943,21,86,38,93,97,47,4,7,3,1,69,1
944,23,76,49,36,76,48,9,0,0,1,82,1
945,22,83,85,81,33,69,0,2,2,3,74,1
946,25,76,68,48,63,46,9,0,8,4,71,1
947,18,57,80,77,35,89,5,8,4,3,76,1
948,18,64,41,89,96,71,6,8,5,5,77,1
949,23,75,84,97,31,94,4,6,3,0,73,1
950,19,70,40,41,74,82,0,7,0,0,76,0
951,22,66,55,25,70,36,5,0,4,1,74,0
952,18,56,71,45,58,34,9,4,4,3,71,1
953,24,95,56,58,52,53,4,1,4,3,75,1
954,18,78,40,31,52,57,5,0,5,3,91,0
955,21,89,67,33,48,91,10,2,10,5,82,1
956,26,84,72,41,88,46,9,6,1,5,97,1
957,18,84,48,70,89,49,6,0,0,4,93,1
958,21,89,93,42,50,32,6,1,1,2,93,1
959,23,73,35,67,99,66,1,1,12,2,75,1
960,23,62,75,90,50,44,2,3,9,2,93,1
961,25,80,71,69,65,80,5,2,5,4,99,1
962,18,94,94,32,96,77,2,2,4,3,66,1
963,24,61,88,29,71,37,1,4,4,2,92,0
964,18,84,81,74,29,42,3,2,11,3,63,1
965,24,61,76,28,93,77,4,6,11,1,66,1
966,20,57,36,98,60,32,10,4,5,2,77,1
967,25,55,40,71,96,94,9,3,9,1,63,1
968,20,90,90,21,22,60,8,2,6,4,70,1
969,18,79,97,44,78,55,2,3,8,0,79,1
970,25,91,54,32,71,85,2,1,6,5,70,1
971,20,55,41,70,53,63,5,0,1,4,74,1
972,19,69,55,77,68,38,4,2,5,4,76,1
973,18,91,41,53,47,91,5,1,8,4,93,1
974,20,67,72,54,32,42,6,0,6,2,71,1
975,19,94,80,22,88,98,10,0,1,1,87,1
976,19,62,66,78,86,70,2,1,2,5,94,1
977,23,59,75,89,80,30,4,8,7,2,67,1
978,18,63,82,67,79,76,7,4,10,0,86,1
979,19,55,42,83,90,33,3,8,8,5,81,1
980,23,90,83,38,43,92,9,7,3,4,83,1
981,20,89,86,86,82,81,1,5,8,3,61,1
982,21,56,33,92,80,39,3,0,1,0,90,0
983,18,94,78,95,42,57,1,4,12,1,81,1
984,25,77,36,24,49,35,2,0,10,0,60,0
985,24,63,40,86,79,56,3,6,4,2,73,1
986,24,88,83,30,37,41,3,7,10,3,84,1
987,20,68,74,87,75,91,9,7,1,2,95,1
988,20,58,52,88,72,81,8,6,10,5,95,1
989,19,84,57,20,26,77,9,1,0,4,100,1
990,18,85,86,82,88,96,5,4,12,4,62,1
991,24,92,55,48,91,75,8,3,4,0,64,1
992,24,65,54,31,98,44,3,4,1,4,60,0
993,19,89,83,96,71,100,8,8,12,4,78,1
994,24,62,58,60,23,65,10,3,6,5,92,1
995,25,57,65,21,53,43,8,7,7,1,89,1
996,18,68,43,56,88,32,5,7,1,1,71,1
997,26,67,64,64,52,96,4,1,6,2,69,1
998,24,86,59,99,88,48,2,5,3,2,93,1
999,20,88,46,67,57,83,4,4,0,1,75,1
1000,25,73,96,43,45,98,2,1,10,0,99,1
1001,24,92,59,41,20,39,4,3,2,1,88,0
1002,25,70,74,30,23,62,4,6,10,2,74,1
1003,23,56,80,77,58,42,1,0,11,3,70,1
1004,26,94,76,65,73,80,8,8,0,4,93,1
1005,22,71,82,48,52,61,6,0,4,5,95,1
1006,20,88,93,54,52,53,5,4,12,3,89,1
1007,20,70,67,34,91,64,4,6,7,3,94,1
1008,18,92,93,79,39,99,3,7,0,4,68,1
1009,25,56,36,61,35,69,7,1,8,1,77,1
1010,19,56,51,62,40,83,1,3,2,0,78,0
1011,20,80,70,99,64,73,7,1,4,3,98,1
1012,25,67,39,93,81,91,0,3,8,0,63,1
1013,25,85,86,68,50,97,9,5,4,5,65,1
1014,21,88,36,83,61,62,0,5,8,5,92,1
1015,21,93,79,51,31,85,2,1,9,5,91,1
1016,22,57,81,83,84,65,4,3,7,2,75,1
1017,23,62,62,21,92,83,5,3,6,3,70,1
1018,22,77,30,43,22,48,3,0,10,5,81,1
1019,24,68,82,85,28,72,6,1,0,2,95,1
1020,19,81,89,57,70,41,6,2,3,5,82,1
1021,24,83,63,50,35,40,1,4,8,1,85,1
1022,24,93,33,45,97,99,1,7,9,3,90,1
1023,18,93,46,48,22,41,1,5,7,2,88,1
1024,24,55,33,86,43,70,1,2,3,5,64,0
1025,22,71,72,97,92,54,8,5,11,2,97,1
1026,20,95,33,44,32,32,4,6,0,5,84,1
1027,20,84,30,67,21,32,10,5,9,1,93,1
1028,21,67,100,84,90,57,7,5,3,0,71,1
1029,19,75,79,72,40,52,4,0,2,5,81,1
1030,19,73,90,86,38,77,10,2,5,0,68,1
1031,18,73,64,37,66,96,4,6,10,3,79,1
1032,22,79,37,28,41,71,0,3,4,1,88,0
1033,21,76,53,57,94,69,5,3,4,3,88,1
1034,19,85,65,40,52,35,3,6,1,0,86,0
1035,20,71,79,84,51,49,2,8,11,1,76,1
1036,24,77,72,40,83,40,5,1,2,4,64,1
1037,24,86,56,46,58,56,1,8,10,1,72,1
1038,21,64,61,89,91,50,7,2,5,1,74,1
1039,22,64,47,63,61,42,0,5,1,4,74,0
1040,22,90,57,47,28,64,8,3,3,2,77,1
1041,23,62,58,64,44,76,7,0,1,2,61,1
1042,26,74,45,36,21,57,0,8,8,2,82,0
1043,19,86,76,59,38,50,9,5,2,0,72,1
1044,22,68,88,22,39,47,8,7,9,1,63,1
1045,20,82,60,95,89,60,1,1,9,5,84,1
1046,21,78,33,95,36,89,2,6,5,4,70,1
1047,23,69,66,85,87,66,1,5,0,5,71,1
1048,25,76,46,65,22,50,7,1,12,0,72,1
1049,18,84,68,49,70,43,1,1,10,4,68,1
1050,25,58,77,88,45,89,9,3,9,5,97,1
1051,24,67,75,28,75,52,1,3,2,0,65,0
1052,18,77,77,30,83,58,0,2,7,0,69,0
1053,19,62,68,88,27,76,6,7,4,0,82,1
1054,20,72,33,85,100,59,1,6,7,4,74,1
1055,18,66,59,50,56,67,9,1,1,5,82,1
1056,26,85,59,52,46,56,4,2,6,5,99,1
1057,25,68,51,58,64,44,4,8,8,3,96,1
1058,19,88,95,65,23,88,2,4,6,0,93,1
1059,26,72,41,56,56,32,2,1,2,2,75,0
1060,24,88,65,79,90,39,2,2,6,1,100,1
1061,26,65,47,50,52,46,5,7,7,3,91,1
1062,23,95,82,30,50,40,3,3,0,3,97,0
1063,23,66,100,21,74,77,2,1,12,4,99,1
1064,21,69,30,46,31,34,1,1,12,3,64,0
