ApplicantID,CreditScore,AnnualIncome,ExistingDebts,EmploymentYears,LoanAmount,LoanTermMonths,LoanPurpose,EmploymentType,HomeOwnership,MaritalStatus,Default
10346,311,936059,131115.28,22,901298,60,Home,Unemployed,Own,Divorced,0
10347,641,767179,182159.54,8,1702697,24,Business,Self-Employed,Own,Divorced,0
10348,457,677299,162419.79,25,409206,12,Personal,Salaried,Mortgage,Single,0
10349,433,572277,170784.05,5,252417,60,Car,Salaried,Own,Single,0
10350,429,607077,131017.04,4,1689252,12,Education,Unemployed,Own,Married,0
10351,697,509896,55644.38,17,2449685,24,Car,Salaried,Own,Married,0
10352,668,233847,154671.11,25,1552316,24,Business,Unemployed,Rent,Married,0
10353,557,732405,73245.52,28,1475308,36,Education,Unemployed,Own,Single,0
10354,580,799472,132763.02,26,1301077,24,Car,Salaried,Mortgage,Married,0
10355,603,742645,118114.47,11,1035427,24,Home,Self-Employed,Own,Divorced,0
10356,783,557466,234776.66,19,2399686,36,Business,Unemployed,Mortgage,Married,0
10357,771,735124,159134.81,23,352616,12,Personal,Unemployed,Rent,Single,0
10358,451,506424,107861.09,6,158962,36,Business,Self-Employed,Mortgage,Married,0
10359,595,606053,160344.02,27,361951,60,Business,Salaried,Rent,Single,0
10360,476,517464,21510.71,9,2284072,36,Education,Unemployed,Rent,Married,1
10361,723,649700,158201.21,18,2411336,60,Business,Unemployed,Mortgage,Married,0
10362,670,371284,126399.01,2,980725,36,Home,Salaried,Own,Single,0
10363,776,763100,181212.46,19,1466281,24,Education,Unemployed,Rent,Single,0
10364,714,672470,182044.56,20,1358366,60,Home,Salaried,Rent,Divorced,0
10365,435,764933,176464.26,16,1237956,24,Home,Unemployed,Rent,Divorced,0
10366,364,676198,111866.0,10,252002,12,Education,Unemployed,Own,Single,1
10367,595,707119,192807.4,0,1239870,24,Car,Self-Employed,Own,Married,0
10368,436,716643,166611.13,24,1222477,24,Home,Unemployed,Own,Married,1
10369,364,716695,184512.36,11,1198818,36,Personal,Self-Employed,Own,Married,1
10370,662,423883,138481.7,20,1208346,36,Car,Salaried,Own,Divorced,0
10371,449,383919,177412.1,7,217676,12,Personal,Unemployed,Mortgage,Single,1
10372,649,417680,97017.31,16,996153,24,Business,Salaried,Mortgage,Married,0
10373,808,511947,73538.01,11,983988,24,Education,Unemployed,Mortgage,Married,0
10374,545,651419,164058.52,7,431072,12,Home,Self-Employed,Rent,Single,0
10375,577,597332,213851.97,14,540166,24,Car,Unemployed,Mortgage,Single,1
10376,395,411513,101765.62,10,1139987,36,Home,Unemployed,Own,Married,1
10377,313,719127,159438.42,3,396690,36,Personal,Unemployed,Rent,Divorced,1
10378,315,780463,125719.28,8,933384,36,Car,Salaried,Own,Divorced,0
10379,755,540047,183666.78,8,1447841,24,Personal,Unemployed,Rent,Married,0
10380,745,535418,191896.94,23,192549,12,Education,Salaried,Mortgage,Divorced,0
10381,806,709444,112368.98,15,670037,60,Personal,Self-Employed,Rent,Single,0
10382,310,511691,190645.96,14,248768,24,Home,Self-Employed,Mortgage,Married,0
10383,475,539488,124445.29,28,1938407,12,Car,Unemployed,Rent,Married,0
10384,307,393300,73721.59,28,713277,36,Business,Unemployed,Own,Married,1
10385,700,642578,92286.28,13,534531,36,Home,Self-Employed,Own,Married,0
10386,785,801278,177250.88,26,736376,12,Business,Unemployed,Own,Single,0
10387,435,694297,204762.34,16,943420,12,Home,Salaried,Mortgage,Divorced,0
10388,381,507343,97383.45,3,2382603,36,Business,Self-Employed,Rent,Divorced,1
10389,345,451761,239532.56,20,296147,12,Home,Self-Employed,Mortgage,Married,1
10390,506,686690,46372.62,20,1188010,24,Business,Self-Employed,Mortgage,Single,0
10391,540,600910,63825.5,13,1483908,24,Education,Self-Employed,Own,Single,0
10392,671,654233,51280.77,21,130110,12,Business,Salaried,Own,Married,0
10393,306,766899,147664.82,26,317779,36,Home,Salaried,Mortgage,Divorced,0
10394,720,610452,131486.05,6,2122402,12,Business,Self-Employed,Own,Married,0
10395,510,687605,116859.48,27,1186354,60,Personal,Unemployed,Rent,Divorced,1
10396,553,515391,124496.32,13,1985789,36,Personal,Unemployed,Rent,Married,1
10397,565,452488,97979.7,28,1391965,36,Business,Unemployed,Rent,Divorced,0
10398,837,588970,154372.91,28,1504184,36,Personal,Unemployed,Mortgage,Divorced,0
10399,621,773484,150889.68,17,2293443,12,Education,Unemployed,Mortgage,Divorced,0
10400,351,782604,136794.32,24,1983960,24,Personal,Salaried,Mortgage,Single,0
10401,566,525663,258168.51,11,284277,60,Business,Salaried,Own,Divorced,0
10402,691,622168,199605.17,0,1248951,12,Car,Unemployed,Rent,Divorced,1
10403,529,458173,102664.06,12,2474029,24,Business,Salaried,Own,Divorced,1
10404,616,476265,335036.24,23,1282714,60,Personal,Salaried,Own,Divorced,0
10405,590,771887,124675.67,18,378736,60,Car,Unemployed,Mortgage,Single,1
10406,594,671017,147461.08,17,1095011,60,Education,Self-Employed,Rent,Married,0
10407,599,472097,150872.97,12,2203354,12,Personal,Self-Employed,Rent,Single,1
10408,567,625845,103292.15,20,1211981,60,Business,Unemployed,Mortgage,Married,1
10409,700,766758,212251.96,12,230199,60,Personal,Self-Employed,Mortgage,Single,0
10410,648,514611,155114.67,11,1058840,60,Education,Salaried,Rent,Married,0
10411,480,615984,162020.1,9,913208,36,Business,Self-Employed,Mortgage,Married,1
10412,374,706506,156758.66,6,275244,24,Business,Unemployed,Rent,Married,0
10413,767,895410,175965.59,14,1337476,36,Personal,Self-Employed,Mortgage,Married,0
10414,760,601904,181136.85,6,1347155,60,Personal,Salaried,Rent,Divorced,0
10415,546,535711,157853.39,0,1383432,60,Personal,Unemployed,Own,Single,1
10416,430,501640,126399.29,1,134556,60,Personal,Salaried,Mortgage,Single,1
10417,783,591887,52793.8,11,50088,24,Business,Unemployed,Own,Single,0
10418,354,573768,197142.83,29,1036097,60,Home,Salaried,Rent,Divorced,0
10419,694,664926,209300.67,11,2304611,60,Personal,Salaried,Own,Single,0
10420,384,455503,177602.45,24,2130819,60,Education,Salaried,Mortgage,Single,1
10421,754,599998,156953.94,12,2203970,36,Home,Salaried,Own,Single,0
10422,479,329610,139844.49,19,1286594,60,Car,Self-Employed,Mortgage,Single,1
10423,513,792326,126059.41,2,1568119,36,Business,Unemployed,Rent,Single,1
10424,840,714852,182508.43,2,150581,60,Home,Salaried,Mortgage,Married,0
10425,517,699793,166778.31,4,2147218,60,Personal,Salaried,Rent,Divorced,0
10426,571,575882,124243.79,24,985403,36,Personal,Unemployed,Mortgage,Divorced,0
10427,635,694669,193150.52,1,309865,24,Personal,Unemployed,Own,Divorced,0
10428,773,315874,74686.46,4,1768182,60,Business,Unemployed,Rent,Married,1
10429,520,536113,223169.6,13,1456240,24,Business,Salaried,Own,Single,1
10430,723,698869,227657.87,14,146418,36,Home,Salaried,Rent,Divorced,0
10431,547,568559,186249.32,20,1289123,36,Business,Salaried,Own,Married,1
10432,318,651385,201466.25,0,1629761,60,Education,Self-Employed,Mortgage,Married,1
10433,402,252881,173073.36,4,1832786,60,Personal,Self-Employed,Own,Married,1
10434,486,501524,117259.25,11,1000060,60,Personal,Self-Employed,Own,Single,1
10435,692,638459,119310.97,27,2429062,12,Education,Unemployed,Own,Divorced,0
10436,467,611609,136809.38,5,2403822,60,Personal,Unemployed,Mortgage,Single,1
10437,390,395676,108109.0,11,1819154,24,Car,Self-Employed,Mortgage,Married,1
10438,837,642464,191723.76,21,360021,24,Home,Unemployed,Rent,Divorced,0
10439,400,858018,133785.1,7,2404066,12,Car,Salaried,Mortgage,Divorced,1
10440,440,403377,112232.96,6,238597,24,Car,Self-Employed,Mortgage,Divorced,1
10441,677,631421,154904.61,24,2056709,60,Business,Unemployed,Mortgage,Single,0
10442,776,484201,197249.3,15,1373018,36,Business,Self-Employed,Own,Single,0
10443,462,645891,158584.92,8,611942,12,Business,Salaried,Own,Single,0
10444,750,930510,171158.84,22,2128967,36,Education,Unemployed,Rent,Divorced,0
10445,591,623610,121770.22,16,2349142,24,Education,Unemployed,Rent,Single,1
10446,720,748862,183235.23,27,650086,60,Personal,Unemployed,Own,Single,0
10447,463,326199,132058.3,4,2496306,36,Car,Salaried,Rent,Divorced,0
10448,336,694364,124643.25,27,1880630,12,Home,Unemployed,Own,Single,0
10449,402,671998,84599.71,23,528860,24,Business,Self-Employed,Mortgage,Divorced,0
10450,400,704164,172747.79,5,962666,12,Car,Self-Employed,Own,Married,0
10451,726,358829,100322.54,14,1972433,60,Personal,Unemployed,Own,Divorced,0
10452,397,486424,110830.59,26,2174042,24,Home,Self-Employed,Mortgage,Divorced,1
10453,724,433891,160525.19,9,808570,24,Business,Salaried,Own,Divorced,0
10454,637,634706,166742.69,28,2307966,24,Business,Self-Employed,Mortgage,Married,0
10455,583,471610,172214.24,27,1998372,36,Car,Salaried,Mortgage,Divorced,0
10456,676,777012,177430.93,15,108513,24,Home,Unemployed,Rent,Divorced,0
10457,475,822358,128696.17,4,2345659,12,Home,Salaried,Rent,Married,0
10458,316,774306,42155.07,23,1760632,24,Home,Salaried,Rent,Married,1
10459,459,447223,83134.76,7,2442503,12,Personal,Self-Employed,Mortgage,Divorced,0
10460,383,820830,126602.59,3,400043,60,Home,Self-Employed,Rent,Divorced,0
10461,752,623516,107157.14,26,2311387,60,Car,Self-Employed,Rent,Married,0
10462,446,598870,111018.91,28,144686,60,Personal,Self-Employed,Own,Single,0
10463,398,54442,191339.94,8,369102,24,Personal,Self-Employed,Mortgage,Single,1
10464,661,600466,138792.09,4,1759581,12,Education,Self-Employed,Rent,Single,0
10465,365,617570,130498.47,22,799549,24,Home,Salaried,Rent,Divorced,1
10466,832,708901,205268.39,14,2086245,24,Education,Unemployed,Rent,Single,0
10467,428,568778,160259.34,2,1667894,60,Business,Unemployed,Rent,Single,0
10468,677,587848,183315.58,3,1459985,12,Education,Salaried,Rent,Married,0
10469,467,760574,121253.72,12,1179903,12,Education,Self-Employed,Own,Single,1
10470,743,642438,138349.15,5,126746,24,Business,Unemployed,Own,Divorced,0
10471,647,550972,198267.99,26,2258884,12,Education,Self-Employed,Rent,Married,0
10472,307,539593,142734.9,7,2302007,12,Personal,Self-Employed,Own,Single,0
10473,639,515350,82387.82,1,1880429,24,Car,Self-Employed,Mortgage,Married,0
10474,665,508714,222640.69,1,1596312,24,Home,Salaried,Mortgage,Single,0
10475,566,638840,146632.49,1,610111,12,Car,Unemployed,Mortgage,Divorced,1
10476,746,496067,105633.43,9,1081485,60,Home,Unemployed,Rent,Single,0
10477,407,657153,76070.32,7,845892,12,Personal,Salaried,Mortgage,Single,1
10478,500,730208,95476.26,16,670872,12,Education,Salaried,Own,Single,1
10479,420,770595,110326.37,23,1676821,24,Personal,Salaried,Own,Single,0
10480,643,655550,37504.9,15,1452067,24,Personal,Salaried,Mortgage,Married,0
10481,539,705770,142719.83,11,2126111,24,Home,Unemployed,Rent,Married,1
10482,681,342991,159696.81,19,1304741,36,Education,Self-Employed,Rent,Married,0
10483,363,535333,196368.53,28,1193977,60,Personal,Self-Employed,Own,Single,0
10484,379,831936,134923.46,23,1366685,12,Business,Unemployed,Own,Single,0
10485,793,731447,126193.71,7,1668205,36,Education,Self-Employed,Rent,Single,0
10486,692,472165,218628.78,26,1877227,12,Home,Self-Employed,Rent,Single,0
10487,332,575951,133507.33,7,575112,36,Education,Self-Employed,Rent,Married,0
10488,647,643199,86793.24,26,1597771,24,Personal,Unemployed,Mortgage,Single,0
10489,849,354847,120770.31,11,473747,12,Business,Self-Employed,Mortgage,Single,0
10490,648,545658,170018.81,16,167029,12,Car,Self-Employed,Own,Married,0
10491,389,576028,59910.95,11,1239842,12,Business,Unemployed,Mortgage,Married,0
10492,759,785089,197141.66,12,133236,60,Education,Self-Employed,Rent,Married,0
10493,691,826899,194391.86,13,1264535,60,Home,Self-Employed,Rent,Single,0
10494,783,415869,124671.12,18,394010,24,Education,Salaried,Mortgage,Divorced,0
10495,581,588980,233112.63,9,864647,36,Education,Self-Employed,Rent,Divorced,1
10496,594,563273,85581.77,22,776181,60,Business,Self-Employed,Rent,Single,0
10497,762,915312,127826.71,16,2367508,24,Education,Self-Employed,Mortgage,Married,0
10498,836,551601,137451.89,2,1135663,12,Home,Unemployed,Rent,Married,0
10499,742,412466,228270.85,15,2121199,36,Personal,Unemployed,Own,Single,0
10500,496,528947,92572.94,3,1568559,36,Business,Self-Employed,Mortgage,Single,0
10501,467,830533,162003.16,3,1380350,60,Home,Salaried,Rent,Divorced,0
10502,508,433843,34033.75,15,1667763,36,Education,Unemployed,Own,Divorced,0
10503,433,558098,122669.75,10,2313122,60,Business,Self-Employed,Own,Married,0
10504,764,518130,181023.41,12,783340,36,Business,Self-Employed,Own,Divorced,0
10505,491,472051,203070.69,28,1214329,36,Personal,Self-Employed,Mortgage,Single,1
10506,747,768924,172420.23,0,1873624,60,Home,Unemployed,Rent,Single,1
10507,654,645344,123784.39,0,2399885,12,Personal,Self-Employed,Rent,Married,0
10508,501,520726,122385.19,18,224285,24,Personal,Unemployed,Mortgage,Divorced,0
10509,753,632804,157466.85,18,1655749,60,Home,Unemployed,Rent,Married,0
10510,630,410472,180435.99,7,172024,12,Car,Salaried,Rent,Married,0
10511,518,404511,173299.7,25,693699,60,Car,Salaried,Mortgage,Married,0
10512,630,498674,162188.01,16,2028837,12,Home,Unemployed,Rent,Divorced,0
10513,364,644065,208857.99,14,1538330,60,Business,Unemployed,Mortgage,Divorced,0
10514,656,753151,193233.32,15,2480062,36,Home,Salaried,Rent,Single,0
10515,317,877398,176315.55,26,1362700,24,Personal,Self-Employed,Rent,Divorced,0
10516,521,571962,188748.85,1,2361616,24,Business,Salaried,Mortgage,Divorced,1
10517,576,587379,116407.14,25,1844839,24,Business,Self-Employed,Own,Married,1
10518,370,349571,149440.75,11,1023110,60,Business,Unemployed,Mortgage,Married,1
10519,334,862426,228433.42,6,2327466,36,Car,Self-Employed,Rent,Divorced,0
10520,830,652101,193631.4,2,949248,36,Business,Unemployed,Mortgage,Divorced,0
10521,753,557400,130312.81,12,1246917,24,Education,Unemployed,Mortgage,Married,0
10522,449,803921,195150.77,16,1050835,24,Home,Self-Employed,Mortgage,Divorced,0
10523,679,516322,112253.3,29,451923,36,Personal,Unemployed,Mortgage,Single,0
10524,356,674780,104282.52,25,1033100,24,Business,Salaried,Own,Divorced,0
10525,701,654465,111258.69,6,1625488,60,Education,Salaried,Rent,Divorced,0
10526,536,754937,117285.89,28,619918,12,Car,Unemployed,Mortgage,Single,0
10527,813,551281,130376.43,10,690309,36,Business,Self-Employed,Own,Married,0
10528,560,885178,146809.78,25,1419485,24,Home,Salaried,Own,Divorced,0
10529,768,697874,178515.99,14,1358534,24,Business,Salaried,Rent,Single,0
10530,642,515384,114111.18,10,535794,24,Business,Unemployed,Mortgage,Divorced,0
10531,608,477337,130855.73,22,1117172,12,Personal,Unemployed,Rent,Single,0
10532,494,625480,125393.15,11,1137146,24,Education,Self-Employed,Rent,Married,0
10533,622,596430,190824.79,3,1565709,12,Personal,Unemployed,Own,Divorced,0
10534,435,585749,162462.95,21,287211,24,Home,Self-Employed,Own,Married,0
10535,386,707915,128074.76,12,2125103,24,Home,Salaried,Mortgage,Single,0
10536,804,757209,244501.47,26,620612,12,Home,Self-Employed,Rent,Divorced,0
10537,552,806020,223888.52,11,1682923,60,Home,Self-Employed,Rent,Married,0
10538,354,715621,165813.92,24,2093396,24,Home,Salaried,Mortgage,Divorced,0
10539,362,678777,181309.54,15,1535566,60,Car,Self-Employed,Mortgage,Single,0
10540,660,432801,169062.0,20,515174,24,Home,Self-Employed,Rent,Married,0
10541,499,278633,77145.31,22,1746413,60,Business,Salaried,Mortgage,Divorced,1
10542,318,567042,211577.79,27,636931,36,Car,Unemployed,Own,Married,0
10543,639,763875,75805.81,17,2261120,36,Home,Self-Employed,Mortgage,Divorced,0
10544,534,401605,217506.84,1,2049907,12,Business,Self-Employed,Rent,Divorced,0
10545,794,562997,126192.82,24,1410115,60,Car,Self-Employed,Rent,Divorced,0
10546,785,683279,235190.75,15,2044961,12,Home,Self-Employed,Own,Divorced,0
10547,325,570074,231767.23,13,1823323,60,Home,Salaried,Mortgage,Married,0
10548,834,446967,203054.9,16,1542344,36,Business,Self-Employed,Own,Single,0
10549,753,497349,89173.86,18,882149,60,Home,Unemployed,Own,Divorced,0
10550,692,546793,150482.55,4,91353,60,Car,Unemployed,Rent,Married,0
10551,699,511431,122201.28,21,1809298,12,Home,Unemployed,Rent,Married,0
10552,318,715267,232475.4,12,2459115,36,Home,Salaried,Mortgage,Divorced,1
10553,630,579567,195728.26,26,1298918,24,Home,Salaried,Own,Single,0
10554,720,754616,235491.04,22,1136185,24,Car,Self-Employed,Own,Divorced,1
10555,378,474669,194593.09,0,511479,60,Car,Unemployed,Mortgage,Single,1
10556,382,385972,208132.57,2,1311893,24,Car,Salaried,Rent,Single,1
10557,773,684156,129909.2,10,2325120,36,Home,Salaried,Rent,Single,0
10558,599,395045,188013.03,5,694219,60,Business,Self-Employed,Rent,Married,1
10559,324,221120,161842.53,29,605751,36,Home,Self-Employed,Rent,Single,1
10560,816,595292,228472.3,19,2346754,60,Business,Unemployed,Rent,Married,1
10561,807,577791,153058.25,22,1476675,60,Home,Self-Employed,Mortgage,Single,0
10562,567,462112,118933.51,10,1253150,60,Business,Salaried,Mortgage,Single,0
10563,798,312093,166274.35,15,2394732,24,Home,Salaried,Mortgage,Divorced,0
10564,404,512522,169997.45,10,2351781,12,Business,Self-Employed,Own,Single,0
10565,463,343852,112286.7,19,319508,60,Personal,Salaried,Own,Divorced,1
10566,776,359946,155153.77,1,2304267,12,Business,Unemployed,Own,Single,1
10567,613,621972,191729.93,20,1300237,60,Personal,Self-Employed,Rent,Married,0
10568,690,647289,118595.29,16,119574,24,Education,Salaried,Own,Single,0
10569,419,591554,215024.17,22,2417951,60,Education,Salaried,Own,Married,0
10570,343,500268,128424.52,28,273153,12,Home,Salaried,Rent,Single,1
10571,586,769641,169295.49,20,1503252,12,Car,Unemployed,Own,Single,1
10572,489,652477,84358.95,6,1088392,24,Education,Self-Employed,Own,Married,0
10573,660,736501,117303.14,25,1439349,36,Business,Salaried,Rent,Married,0
10574,365,621756,180272.59,5,1494318,24,Education,Self-Employed,Own,Single,0
10575,636,610467,140895.58,3,2481848,36,Education,Salaried,Rent,Married,0
10576,725,337595,43539.24,9,154357,60,Home,Self-Employed,Own,Single,0
10577,844,504038,155362.73,27,178093,60,Home,Self-Employed,Mortgage,Single,0
10578,835,784661,164450.6,29,402398,60,Business,Salaried,Mortgage,Single,0
10579,723,517826,138279.15,28,422730,36,Business,Self-Employed,Rent,Single,0
10580,815,892902,111169.54,22,1942914,24,Home,Salaried,Rent,Married,0
10581,442,692516,142367.5,21,2049019,60,Car,Unemployed,Rent,Divorced,0
10582,393,643556,161326.78,5,321185,36,Education,Unemployed,Mortgage,Single,0
10583,343,472099,203665.17,16,165772,12,Car,Unemployed,Rent,Single,0
10584,517,563126,105133.46,20,1962602,12,Education,Salaried,Own,Divorced,0
10585,597,651274,54317.77,24,2329106,60,Business,Salaried,Mortgage,Divorced,0
10586,724,460180,158247.78,21,87256,12,Business,Self-Employed,Own,Married,0
10587,449,163240,158929.58,9,2309153,12,Personal,Salaried,Own,Married,0
10588,746,462833,153540.67,10,414187,12,Car,Salaried,Own,Single,0
10589,553,820911,47143.16,24,1221379,12,Personal,Unemployed,Rent,Single,1
10590,846,593148,157028.84,0,2250925,60,Business,Self-Employed,Own,Married,1
10591,409,807598,145631.22,26,1179343,12,Business,Self-Employed,Mortgage,Single,0
10592,638,395740,162752.01,3,216240,12,Education,Salaried,Own,Married,0
10593,745,478268,186523.89,3,2352664,36,Car,Self-Employed,Own,Single,0
10594,754,412968,149334.84,28,1071174,12,Business,Unemployed,Rent,Divorced,0
10595,509,577547,84983.21,18,1075126,12,Education,Self-Employed,Own,Single,0
10596,323,416378,142905.76,10,2406527,60,Car,Unemployed,Own,Single,1
10597,452,977201,194875.06,16,965556,24,Education,Unemployed,Mortgage,Married,1
10598,676,587498,118491.52,25,399419,12,Car,Self-Employed,Own,Divorced,0
10599,399,410575,78182.39,8,2020767,60,Personal,Salaried,Own,Married,0
10600,793,576899,141171.09,12,2055687,12,Home,Self-Employed,Rent,Single,0
10601,785,502027,172016.46,24,1024290,60,Car,Self-Employed,Rent,Married,0
10602,359,576065,169681.78,29,2338915,60,Education,Self-Employed,Mortgage,Single,1
10603,652,422917,138902.63,2,1756997,12,Business,Unemployed,Own,Single,0
10604,717,633379,140531.55,13,427060,60,Business,Unemployed,Own,Married,0
10605,677,450346,148007.75,4,1552222,12,Personal,Unemployed,Rent,Single,0
10606,591,627443,169160.65,17,1977648,24,Car,Salaried,Own,Single,1
10607,837,468606,188752.61,10,2474079,60,Education,Unemployed,Rent,Single,0
10608,522,670514,132632.79,16,1147170,36,Home,Self-Employed,Rent,Single,0
10609,308,486463,118976.72,0,1741716,60,Home,Self-Employed,Own,Divorced,0
10610,512,520113,175467.96,17,1133435,36,Education,Unemployed,Own,Single,1
10611,418,518969,163035.34,6,1836882,24,Business,Unemployed,Own,Divorced,0
10612,578,511115,155069.04,18,2180593,12,Personal,Unemployed,Rent,Single,1
10613,564,584595,264688.0,4,586316,12,Education,Unemployed,Mortgage,Single,0
10614,713,666954,125674.5,1,1212218,60,Business,Self-Employed,Mortgage,Divorced,1
10615,377,369119,57080.28,2,98533,12,Education,Salaried,Rent,Married,1
10616,393,618575,160258.29,19,1550895,24,Personal,Self-Employed,Rent,Divorced,0
10617,527,861328,197537.61,7,1092649,12,Car,Unemployed,Own,Divorced,0
10618,434,910166,116887.12,19,275404,12,Personal,Unemployed,Rent,Married,1
10619,828,528134,235144.67,7,2245926,60,Business,Unemployed,Mortgage,Married,0
10620,349,538591,154193.25,10,426850,60,Home,Salaried,Mortgage,Single,0
10621,698,810974,135493.73,11,2354871,24,Personal,Salaried,Rent,Divorced,0
10622,581,735761,160351.1,17,1045128,12,Home,Unemployed,Own,Married,0
10623,483,486012,174110.65,29,807393,12,Business,Unemployed,Own,Divorced,0
10624,309,969396,247448.15,4,2142515,60,Business,Salaried,Own,Single,1
10625,560,666937,185625.37,23,167562,12,Home,Self-Employed,Own,Married,1
10626,696,492360,188796.44,19,676997,24,Home,Unemployed,Rent,Divorced,0
10627,549,514519,191741.15,6,454922,24,Business,Unemployed,Rent,Married,1
10628,463,485497,188749.15,2,1346617,60,Personal,Salaried,Own,Divorced,0
10629,478,538608,66217.07,28,645192,24,Car,Salaried,Rent,Single,1
10630,677,516706,94089.5,9,2033379,12,Home,Self-Employed,Mortgage,Divorced,0
10631,437,367077,117850.18,16,391263,12,Personal,Unemployed,Mortgage,Married,1
10632,784,471667,114886.18,5,1945662,60,Car,Unemployed,Mortgage,Divorced,0
10633,768,488795,101370.37,0,810229,24,Personal,Salaried,Rent,Married,0
10634,789,457689,111019.08,13,1676133,12,Personal,Salaried,Mortgage,Divorced,0
10635,525,499738,202703.96,24,2209849,24,Home,Salaried,Own,Married,1
10636,712,650862,138371.04,15,1585716,36,Home,Salaried,Rent,Married,0
10637,765,439527,74628.83,3,1670033,36,Business,Salaried,Own,Divorced,0
10638,734,850187,117384.89,16,2217204,24,Car,Unemployed,Rent,Divorced,0
10639,448,688183,121658.6,16,895581,60,Business,Salaried,Rent,Single,0
10640,824,905279,198816.13,12,1987856,36,Business,Salaried,Own,Married,0
10641,711,895091,101164.35,26,2353322,36,Business,Salaried,Own,Single,0
10642,341,606765,242824.5,28,2446611,36,Car,Unemployed,Mortgage,Married,1
10643,493,420670,101884.03,23,1603666,12,Home,Unemployed,Rent,Married,0
10644,462,475242,199120.55,1,203788,36,Car,Unemployed,Own,Married,1
10645,800,814557,124425.08,13,1068957,60,Home,Unemployed,Rent,Divorced,0
10646,578,388839,128837.62,17,2016364,36,Business,Unemployed,Mortgage,Single,1
10647,790,718463,95027.72,14,1843683,36,Home,Unemployed,Mortgage,Married,0
10648,550,515622,177790.74,0,1980342,24,Personal,Unemployed,Mortgage,Married,0
10649,365,783212,261985.11,19,2055781,36,Education,Unemployed,Mortgage,Married,1
10650,736,519572,77728.06,9,1342398,36,Home,Salaried,Own,Single,0
10651,633,750339,164598.0,15,296414,24,Education,Salaried,Rent,Married,0
10652,508,455725,184084.37,27,696426,12,Business,Salaried,Own,Single,1
10653,725,543023,139255.13,24,2430709,36,Home,Self-Employed,Own,Divorced,0
10654,534,713066,130450.07,12,1810586,36,Home,Self-Employed,Mortgage,Divorced,1
10655,507,794093,196730.45,1,2196748,12,Personal,Unemployed,Own,Single,1
10656,347,534092,171957.6,20,1322102,36,Business,Unemployed,Rent,Single,0
10657,650,594895,122820.37,3,208563,12,Business,Self-Employed,Mortgage,Single,0
10658,444,803977,176005.46,15,515660,36,Home,Salaried,Rent,Single,0
10659,845,264193,108694.73,5,1428631,24,Personal,Salaried,Mortgage,Married,0
10660,300,604054,195338.96,7,1959499,24,Home,Salaried,Rent,Single,1
10661,712,500370,148092.04,6,2395348,60,Car,Self-Employed,Rent,Divorced,0
10662,492,404046,193330.23,26,2121880,36,Education,Salaried,Rent,Single,0
10663,797,304243,188870.83,16,2299929,36,Business,Unemployed,Rent,Divorced,1
10664,531,600883,106404.93,7,847144,24,Business,Salaried,Mortgage,Divorced,1
10665,385,726504,191289.45,5,1139483,36,Car,Unemployed,Mortgage,Divorced,0
10666,688,710078,83243.23,12,1786614,36,Home,Self-Employed,Mortgage,Single,0
10667,373,459852,153592.88,20,1925008,12,Personal,Unemployed,Rent,Single,0
10668,628,461628,141270.95,28,1892989,12,Car,Unemployed,Mortgage,Single,0
10669,721,577493,148261.45,2,1190470,24,Home,Self-Employed,Own,Divorced,0
10670,390,396838,82456.05,26,496598,12,Education,Self-Employed,Own,Married,1
10671,309,898118,227998.86,21,435073,12,Education,Self-Employed,Own,Divorced,1
10672,415,657137,67265.77,29,1836769,12,Home,Self-Employed,Rent,Divorced,0
10673,348,504277,156204.8,18,2177331,12,Business,Unemployed,Own,Single,1
10674,672,636737,143349.06,18,657624,36,Home,Self-Employed,Rent,Married,0
10675,482,776903,177910.54,28,380321,12,Home,Unemployed,Own,Married,0
10676,723,788053,263313.26,13,2336949,12,Business,Salaried,Mortgage,Divorced,0
10677,406,565534,200137.02,16,673554,24,Car,Self-Employed,Mortgage,Married,1
10678,495,579563,223540.3,8,2419536,12,Personal,Unemployed,Mortgage,Single,0
10679,598,608100,212953.95,25,379813,60,Home,Salaried,Mortgage,Single,0
10680,781,872012,54489.53,8,226842,12,Car,Unemployed,Mortgage,Single,0
10681,479,638714,172587.67,14,1231849,24,Education,Salaried,Rent,Divorced,1
10682,487,665797,119713.84,24,1055186,24,Car,Self-Employed,Rent,Single,0
10683,740,505152,164575.42,6,2120127,12,Home,Unemployed,Mortgage,Divorced,0
10684,462,365731,36855.23,12,1185333,60,Home,Self-Employed,Own,Single,1
10685,474,706554,110494.04,11,1274842,24,Education,Self-Employed,Mortgage,Married,0
10686,683,632132,121996.79,8,1644867,24,Car,Unemployed,Own,Married,0
10687,583,431567,168734.89,10,1675126,12,Education,Salaried,Rent,Divorced,0
10688,519,678751,172570.62,27,2103354,36,Business,Unemployed,Own,Married,0
10689,383,685227,196627.77,10,1688545,36,Business,Salaried,Rent,Divorced,0
10690,568,453300,187632.57,10,622191,36,Business,Unemployed,Rent,Single,1
10691,636,646757,183961.84,28,521526,12,Personal,Salaried,Own,Divorced,0
10692,360,446272,145216.12,0,1128320,12,Business,Unemployed,Rent,Single,0
10693,685,639662,81059.13,23,1862183,12,Business,Salaried,Rent,Single,0
10694,512,570208,130083.93,0,2056707,60,Business,Unemployed,Mortgage,Single,0
