Crop Type,Pest Type,Pest Size (mm),Pest Color,Affected Area (%),Crop Stage,Pest Behavior,Detection Time (Days Since Sowing),Previous Infestation,"Pest Detected (1=Yes, 0=No)"
Tomato,None,1.24,Black,77.42,Maturity,Slow-moving,5,0,0
Chili,Whiteflies,1.62,Brown,36.64,Seedling,Scattered,25,1,1
Rice,Thrips,0.5,Brown,5.84,Maturity,Scattered,10,1,1
Potato,Aphids,1.36,Yellow,86.19,Maturity,Slow-moving,17,1,1
Tomato,Mites,1.67,White,82.0,Vegetative,Slow-moving,11,1,1
Potato,Aphids,1.2,Black,56.4,Flowering,Fast-moving,28,0,1
Maize,Thrips,2.56,Green,67.9,Flowering,Fast-moving,22,1,1
Rice,Aphids,1.65,White,75.69,Vegetative,Fast-moving,28,0,1
Maize,Whiteflies,0.5,White,74.84,Vegetative,Slow-moving,23,1,1
Tomato,Leafhoppers,1.6,White,48.04,Vegetative,Clustered,24,0,1
Potato,None,0.7,Yellow,28.94,Vegetative,Clustered,9,1,0
Potato,Aphids,1.38,White,16.13,Vegetative,Slow-moving,29,1,1
Potato,Thrips,1.97,Brown,77.59,Flowering,Scattered,22,0,1
Potato,Mites,4.46,Green,50.58,Flowering,Fast-moving,11,1,1
Rice,Caterpillars,1.14,Black,53.01,Vegetative,Scattered,20,1,1
Cotton,Caterpillars,1.78,Black,50.35,Maturity,Slow-moving,25,0,1
Rice,Thrips,0.5,Brown,69.22,Flowering,Scattered,2,1,1
Tomato,Leafhoppers,0.5,Black,66.28,Seedling,Clustered,24,0,1
Chili,Caterpillars,2.76,Green,85.82,Vegetative,Scattered,24,1,1
Wheat,Mites,1.65,Brown,50.65,Maturity,Clustered,3,0,1
Cotton,Mites,1.79,Yellow,22.36,Vegetative,Slow-moving,3,0,1
Tomato,Mites,2.94,Brown,27.87,Seedling,Clustered,15,0,1
Chili,Aphids,1.62,Black,49.69,Flowering,Slow-moving,11,1,1
Tomato,Whiteflies,1.93,Black,83.0,Seedling,Slow-moving,3,0,1
Tomato,Leafhoppers,2.41,White,52.48,Maturity,Fast-moving,8,1,1
Wheat,Mites,1.83,Brown,33.63,Vegetative,Clustered,3,0,1
Tomato,Leafhoppers,1.75,White,69.27,Vegetative,Scattered,4,1,1
Maize,None,2.12,Brown,9.87,Seedling,Clustered,16,0,0
Potato,Aphids,1.2,Yellow,17.38,Seedling,Clustered,2,1,1
Tomato,None,1.93,Green,88.92,Vegetative,Fast-moving,23,0,0
Rice,Thrips,2.23,Black,46.68,Maturity,Slow-moving,2,0,1
Maize,Caterpillars,3.21,Green,2.87,Maturity,Fast-moving,6,1,1
Chili,Aphids,1.72,Yellow,78.79,Vegetative,Scattered,15,1,1
Potato,None,2.49,Yellow,21.4,Vegetative,Fast-moving,2,0,0
Cotton,Aphids,3.55,Yellow,34.25,Vegetative,Fast-moving,25,0,1
Cotton,Caterpillars,2.05,Brown,54.53,Vegetative,Fast-moving,19,0,1
Rice,Whiteflies,3.38,White,25.59,Vegetative,Fast-moving,5,0,1
Tomato,Caterpillars,0.86,Yellow,65.37,Flowering,Scattered,5,1,1
Maize,Thrips,1.66,Yellow,31.64,Flowering,Slow-moving,16,0,1
Rice,Mites,1.97,Black,71.0,Maturity,Fast-moving,18,0,1
Rice,Whiteflies,2.62,Green,25.58,Flowering,Slow-moving,10,1,1
Rice,Caterpillars,2.98,Green,61.41,Seedling,Clustered,22,0,1
Chili,Leafhoppers,1.77,Brown,8.52,Maturity,Fast-moving,7,0,1
Potato,Leafhoppers,2.81,White,89.15,Seedling,Fast-moving,10,1,1
Potato,Thrips,1.75,White,79.43,Vegetative,Slow-moving,13,1,1
Potato,Aphids,4.27,Green,8.34,Flowering,Fast-moving,24,0,1
Tomato,Caterpillars,1.42,Green,80.53,Maturity,Clustered,20,0,1
Potato,Caterpillars,0.5,Yellow,81.85,Vegetative,Clustered,5,0,1
Rice,Thrips,1.43,Brown,4.71,Maturity,Slow-moving,27,1,1
Potato,Aphids,3.2,Brown,16.97,Flowering,Fast-moving,25,0,1
Cotton,Whiteflies,0.67,Yellow,66.04,Seedling,Scattered,26,1,1
Potato,Whiteflies,2.76,Green,41.82,Maturity,Clustered,24,0,1
Cotton,Thrips,1.21,Brown,78.14,Flowering,Scattered,18,0,1
Cotton,Thrips,1.68,Brown,85.3,Maturity,Scattered,5,1,1
Chili,Thrips,1.95,Yellow,86.8,Vegetative,Clustered,20,0,1
Potato,Leafhoppers,2.06,Brown,54.86,Maturity,Fast-moving,22,1,1
Wheat,Aphids,1.74,Green,18.32,Seedling,Clustered,7,0,1
Cotton,Aphids,0.5,Green,52.71,Maturity,Clustered,18,0,1
Potato,Mites,1.78,Green,12.86,Maturity,Clustered,4,1,1
Chili,Mites,2.05,Yellow,17.69,Seedling,Scattered,22,0,1
Maize,None,1.9,White,25.13,Vegetative,Clustered,7,1,0
Wheat,Leafhoppers,1.03,Black,53.78,Flowering,Clustered,9,1,1
Cotton,Leafhoppers,1.63,Green,58.34,Maturity,Fast-moving,16,1,1
Tomato,Mites,0.85,White,85.33,Flowering,Clustered,6,1,1
Maize,Aphids,2.11,White,52.04,Maturity,Scattered,2,1,1
Chili,Thrips,1.28,Black,43.95,Flowering,Clustered,5,1,1
Chili,Whiteflies,2.24,Yellow,26.56,Seedling,Scattered,18,1,1
Potato,Mites,0.83,Brown,47.34,Vegetative,Clustered,23,0,1
Cotton,Caterpillars,2.36,Brown,14.2,Flowering,Fast-moving,16,1,1
Tomato,Whiteflies,1.26,Brown,17.14,Vegetative,Slow-moving,3,0,1
Maize,Caterpillars,1.58,Yellow,66.51,Seedling,Scattered,11,1,1
Wheat,Mites,1.56,Green,63.44,Vegetative,Slow-moving,1,0,1
Potato,Aphids,2.5,White,13.5,Flowering,Fast-moving,24,0,1
Wheat,Mites,0.5,Brown,70.41,Maturity,Clustered,25,0,1
Wheat,Mites,2.33,Brown,67.3,Flowering,Fast-moving,26,0,1
Tomato,Caterpillars,0.52,White,11.77,Seedling,Slow-moving,10,0,1
Cotton,Caterpillars,0.59,Yellow,13.23,Flowering,Clustered,23,1,1
Rice,Mites,2.25,White,19.82,Vegetative,Fast-moving,17,1,1
Rice,Leafhoppers,2.4,Green,29.7,Vegetative,Slow-moving,21,1,1
Chili,Leafhoppers,0.98,Green,27.6,Vegetative,Clustered,11,0,1
Tomato,Thrips,2.71,Yellow,37.67,Maturity,Fast-moving,18,1,1
Tomato,Aphids,3.63,White,10.38,Seedling,Slow-moving,8,0,1
Chili,Whiteflies,0.84,Black,58.86,Maturity,Fast-moving,22,1,1
Wheat,None,1.91,Yellow,30.26,Vegetative,Fast-moving,2,0,0
Wheat,Mites,1.17,White,46.51,Flowering,Scattered,23,1,1
Rice,Caterpillars,2.57,Green,56.56,Flowering,Clustered,25,0,1
Potato,None,1.35,Brown,11.73,Seedling,Scattered,6,0,0
Chili,Thrips,1.57,Green,67.8,Seedling,Slow-moving,10,0,1
Potato,Mites,1.42,Yellow,59.01,Maturity,Scattered,26,1,1
Wheat,Aphids,0.62,Black,32.9,Flowering,Fast-moving,4,1,1
Chili,Leafhoppers,0.99,Brown,76.72,Vegetative,Clustered,3,1,1
Maize,Thrips,1.27,Brown,36.72,Flowering,Slow-moving,25,0,1
Chili,Leafhoppers,3.0,White,70.49,Seedling,Clustered,17,1,1
Rice,Caterpillars,0.91,White,73.24,Maturity,Slow-moving,19,1,1
Tomato,Aphids,2.32,White,46.03,Seedling,Clustered,17,0,1
Maize,Whiteflies,1.22,Green,42.23,Seedling,Scattered,24,0,1
Rice,Whiteflies,3.03,Brown,69.92,Seedling,Fast-moving,28,0,1
Chili,Aphids,1.71,White,52.15,Vegetative,Slow-moving,5,1,1
Maize,Leafhoppers,2.27,Black,58.27,Vegetative,Fast-moving,9,0,1
Cotton,Whiteflies,2.7,Yellow,17.02,Vegetative,Clustered,17,0,1
Chili,Aphids,2.3,White,45.32,Vegetative,Scattered,1,0,1
Tomato,Caterpillars,5.08,White,8.71,Vegetative,Slow-moving,19,1,1
Tomato,Mites,0.91,Black,59.3,Maturity,Scattered,2,1,1
Rice,Leafhoppers,3.23,Green,51.06,Maturity,Fast-moving,1,0,1
Wheat,Aphids,2.75,Green,16.94,Seedling,Fast-moving,25,0,1
Chili,Mites,1.44,Black,47.4,Seedling,Scattered,13,1,1
Wheat,Caterpillars,1.77,Brown,20.6,Vegetative,Clustered,9,1,1
Potato,Aphids,1.26,Brown,74.44,Seedling,Fast-moving,13,0,1
Maize,Mites,0.61,Yellow,9.82,Seedling,Scattered,14,0,1
Wheat,None,2.79,Green,33.63,Seedling,Fast-moving,14,0,0
Chili,Caterpillars,1.55,Brown,52.91,Flowering,Slow-moving,18,1,1
Tomato,None,3.12,Green,6.59,Seedling,Scattered,11,0,0
Wheat,Thrips,1.33,Brown,14.5,Seedling,Scattered,13,1,1
Wheat,Whiteflies,2.91,Black,8.61,Vegetative,Scattered,19,1,1
Maize,None,2.64,Brown,81.31,Vegetative,Slow-moving,23,1,0
Cotton,Caterpillars,2.38,Green,73.48,Flowering,Scattered,20,1,1
Maize,Caterpillars,1.13,Brown,67.9,Vegetative,Clustered,12,1,1
Chili,Mites,0.5,White,6.87,Flowering,Scattered,15,0,1
Chili,Leafhoppers,2.55,Green,55.45,Flowering,Fast-moving,13,1,1
Potato,None,2.52,Yellow,19.29,Seedling,Clustered,19,1,0
Tomato,Caterpillars,2.87,Brown,59.23,Seedling,Fast-moving,10,0,1
Tomato,None,0.5,Brown,26.67,Flowering,Slow-moving,7,1,0
Maize,Whiteflies,0.97,Brown,39.4,Vegetative,Fast-moving,1,0,1
Tomato,Caterpillars,1.56,Brown,59.24,Maturity,Scattered,25,1,1
Maize,Mites,1.74,Brown,68.28,Maturity,Slow-moving,23,0,1
Rice,Mites,1.61,White,19.59,Maturity,Slow-moving,24,0,1
Rice,Thrips,2.01,White,36.95,Seedling,Fast-moving,1,0,1
Chili,None,0.5,Brown,54.27,Maturity,Slow-moving,9,1,0
Cotton,Aphids,3.1,Yellow,45.79,Maturity,Fast-moving,24,0,1
Rice,Thrips,1.13,Yellow,32.6,Seedling,Slow-moving,22,0,1
Chili,Leafhoppers,1.26,Black,86.63,Vegetative,Clustered,22,1,1
Tomato,Whiteflies,2.89,Green,60.46,Flowering,Slow-moving,10,1,1
Rice,Aphids,1.19,Brown,50.36,Flowering,Scattered,28,1,1
Tomato,Mites,1.4,Yellow,30.86,Vegetative,Clustered,2,1,1
Tomato,Leafhoppers,4.14,Brown,64.29,Maturity,Scattered,2,1,1
Potato,Aphids,0.5,Brown,39.84,Seedling,Fast-moving,17,0,1
Chili,Aphids,3.16,Brown,4.2,Seedling,Scattered,29,0,1
Maize,Aphids,3.28,Green,3.45,Flowering,Slow-moving,24,0,1
Tomato,Thrips,2.25,Black,50.65,Vegetative,Fast-moving,26,0,1
Chili,Thrips,1.4,Black,51.88,Maturity,Scattered,15,1,1
Potato,Caterpillars,1.77,Brown,69.57,Maturity,Clustered,20,1,1
Chili,Whiteflies,2.08,Brown,36.45,Maturity,Scattered,8,0,1
Maize,Caterpillars,1.12,Yellow,71.35,Vegetative,Scattered,10,0,1
Rice,Whiteflies,1.16,Yellow,81.85,Vegetative,Fast-moving,16,0,1
Rice,None,2.2,Black,18.17,Maturity,Scattered,28,1,0
Tomato,Mites,1.61,Green,52.38,Vegetative,Clustered,26,0,1
Rice,Whiteflies,2.92,Brown,59.58,Flowering,Clustered,10,0,1
Maize,Whiteflies,2.01,Brown,49.7,Seedling,Fast-moving,11,1,1
Rice,Caterpillars,1.11,Yellow,65.43,Vegetative,Fast-moving,20,1,1
Wheat,None,2.93,Green,15.68,Vegetative,Slow-moving,18,1,0
Potato,Leafhoppers,3.74,Brown,30.31,Seedling,Clustered,3,0,1
Rice,Mites,0.72,Yellow,20.04,Flowering,Scattered,7,0,1
Rice,Mites,2.23,Black,50.4,Maturity,Scattered,25,1,1
Tomato,Caterpillars,2.67,White,40.14,Flowering,Fast-moving,17,0,1
Tomato,Thrips,1.49,Yellow,49.93,Flowering,Scattered,28,1,1
Rice,Leafhoppers,1.5,Brown,14.67,Vegetative,Slow-moving,28,1,1
Tomato,Whiteflies,1.17,Black,59.03,Flowering,Fast-moving,1,0,1
Rice,Whiteflies,2.42,White,86.74,Maturity,Scattered,6,1,1
Chili,Aphids,0.71,Black,9.61,Flowering,Scattered,13,0,1
Maize,None,2.48,Green,29.21,Vegetative,Clustered,19,1,0
Rice,None,2.15,Yellow,35.34,Seedling,Slow-moving,1,0,0
Tomato,Aphids,2.96,White,81.56,Vegetative,Fast-moving,9,1,1
Tomato,Whiteflies,2.35,White,29.94,Vegetative,Slow-moving,28,1,1
Rice,Caterpillars,0.98,Green,32.03,Maturity,Fast-moving,9,1,1
Tomato,Thrips,2.55,Green,36.46,Maturity,Clustered,16,1,1
Wheat,Leafhoppers,0.79,Yellow,1.4,Flowering,Clustered,5,0,1
Potato,Aphids,1.22,Black,69.35,Maturity,Slow-moving,18,1,1
Maize,Leafhoppers,0.94,Black,70.57,Flowering,Fast-moving,24,0,1
Cotton,Whiteflies,2.94,Yellow,24.42,Vegetative,Fast-moving,29,0,1
Chili,Whiteflies,2.86,Green,75.08,Maturity,Scattered,1,0,1
Chili,Whiteflies,1.27,Brown,49.67,Maturity,Scattered,12,1,1
Tomato,Thrips,2.03,Green,28.22,Flowering,Clustered,28,1,1
Cotton,Leafhoppers,2.13,Black,25.0,Seedling,Slow-moving,8,1,1
Potato,Aphids,3.2,White,64.05,Vegetative,Slow-moving,6,0,1
Tomato,Thrips,1.0,Black,51.45,Seedling,Fast-moving,25,1,1
Chili,Leafhoppers,1.85,Black,44.74,Maturity,Scattered,11,0,1
Chili,Aphids,3.0,Brown,13.36,Vegetative,Slow-moving,23,1,1
Tomato,Mites,0.95,Yellow,60.1,Flowering,Clustered,18,1,1
Rice,None,2.76,Brown,48.98,Vegetative,Slow-moving,25,1,0
Chili,Whiteflies,1.74,White,43.79,Flowering,Fast-moving,24,1,1
Wheat,Whiteflies,2.18,White,79.95,Seedling,Slow-moving,11,0,1
Tomato,None,2.06,Green,59.21,Flowering,Fast-moving,25,0,0
Cotton,Leafhoppers,1.35,Black,24.88,Maturity,Fast-moving,22,0,1
Rice,Thrips,2.0,White,86.25,Vegetative,Clustered,14,0,1
Chili,Thrips,1.21,Green,56.62,Maturity,Fast-moving,1,1,1
Potato,None,1.41,Black,70.94,Flowering,Scattered,3,0,0
Maize,Caterpillars,1.37,Yellow,11.79,Seedling,Clustered,4,0,1
Chili,Caterpillars,3.24,White,55.54,Seedling,Scattered,22,1,1
Tomato,Whiteflies,2.92,White,59.38,Vegetative,Fast-moving,4,1,1
Tomato,Mites,0.56,White,1.41,Flowering,Fast-moving,9,0,1
Maize,Thrips,2.72,Brown,46.36,Flowering,Scattered,18,0,1
Cotton,Leafhoppers,0.95,Brown,37.01,Seedling,Slow-moving,14,0,1
Potato,None,2.14,Brown,60.95,Vegetative,Clustered,28,0,0
Potato,Whiteflies,1.79,Yellow,41.01,Vegetative,Fast-moving,1,1,1
Potato,Leafhoppers,3.8,Black,58.98,Flowering,Clustered,17,1,1
Maize,Leafhoppers,0.55,White,35.43,Flowering,Fast-moving,18,0,1
Cotton,Thrips,2.39,Yellow,30.79,Seedling,Clustered,27,0,1
Tomato,Whiteflies,2.5,Black,14.46,Flowering,Clustered,26,0,1
Potato,Leafhoppers,0.56,Green,33.95,Flowering,Scattered,22,1,1
Tomato,None,0.5,Green,18.93,Seedling,Clustered,8,0,0
Wheat,Mites,1.16,Yellow,89.9,Maturity,Scattered,14,0,1
Potato,Whiteflies,2.03,Yellow,84.15,Seedling,Fast-moving,6,0,1
Maize,Leafhoppers,2.23,Yellow,88.4,Vegetative,Clustered,22,0,1
Chili,Mites,1.03,Black,33.63,Seedling,Scattered,5,1,1
Chili,Thrips,2.4,Yellow,39.11,Maturity,Slow-moving,13,1,1
Tomato,Whiteflies,2.56,Green,54.06,Maturity,Clustered,18,0,1
Potato,Leafhoppers,2.05,Yellow,71.0,Flowering,Scattered,16,0,1
Potato,Thrips,2.96,Brown,55.82,Flowering,Scattered,2,0,1
Tomato,Leafhoppers,3.06,Green,33.51,Flowering,Clustered,24,0,1
Tomato,Thrips,2.29,Yellow,30.0,Flowering,Fast-moving,14,0,1
Cotton,Whiteflies,1.82,White,25.88,Flowering,Scattered,1,1,1
Cotton,Leafhoppers,1.09,Black,53.93,Flowering,Fast-moving,19,1,1
Maize,Whiteflies,0.97,Yellow,67.89,Vegetative,Clustered,13,1,1
Rice,Leafhoppers,1.11,White,34.91,Flowering,Fast-moving,11,0,1
Chili,Mites,3.36,Black,7.42,Maturity,Slow-moving,22,0,1
Chili,Whiteflies,1.35,White,24.99,Seedling,Clustered,18,0,1
Maize,None,2.48,White,38.87,Vegetative,Scattered,16,1,0
Rice,Whiteflies,1.07,Brown,27.26,Maturity,Slow-moving,5,0,1
Cotton,Aphids,1.31,Yellow,59.48,Vegetative,Slow-moving,6,0,1
Chili,Caterpillars,2.32,Brown,78.95,Maturity,Scattered,9,0,1
Maize,Leafhoppers,1.51,Brown,14.25,Maturity,Fast-moving,2,0,1
Chili,Thrips,0.5,Brown,37.36,Vegetative,Scattered,25,1,1
Chili,Thrips,1.6,Green,36.39,Maturity,Fast-moving,4,0,1
Cotton,Aphids,3.03,Green,60.53,Seedling,Scattered,23,0,1
Potato,Thrips,4.45,Green,15.99,Seedling,Clustered,2,1,1
Chili,Thrips,3.2,Green,5.21,Flowering,Scattered,17,0,1
Tomato,Aphids,1.35,White,5.26,Maturity,Slow-moving,21,1,1
Cotton,Aphids,1.38,Brown,86.95,Flowering,Slow-moving,24,1,1
Tomato,Whiteflies,0.91,Yellow,55.5,Maturity,Fast-moving,13,1,1
Cotton,Whiteflies,0.5,Brown,62.17,Flowering,Fast-moving,13,0,1
Wheat,Mites,0.5,White,75.25,Seedling,Fast-moving,3,1,1
Tomato,Leafhoppers,2.42,White,48.52,Maturity,Scattered,3,0,1
Potato,Leafhoppers,0.81,White,31.87,Seedling,Fast-moving,28,0,1
Maize,Aphids,2.05,Black,35.88,Seedling,Slow-moving,7,1,1
Tomato,Caterpillars,1.87,Yellow,50.86,Seedling,Fast-moving,14,1,1
Potato,Aphids,2.74,Green,52.9,Seedling,Scattered,1,0,1
Maize,Mites,0.97,Yellow,89.59,Vegetative,Clustered,29,0,1
Wheat,None,2.43,Brown,41.3,Maturity,Clustered,13,1,0
Rice,Aphids,1.56,White,18.36,Flowering,Scattered,21,0,1
Cotton,Aphids,2.65,Green,69.45,Maturity,Scattered,12,1,1
Potato,Leafhoppers,1.55,Brown,30.34,Maturity,Slow-moving,15,1,1
Potato,Caterpillars,0.5,Black,44.77,Vegetative,Clustered,3,0,1
Wheat,Mites,2.57,White,47.14,Flowering,Scattered,24,1,1
Rice,None,1.99,Brown,45.25,Maturity,Slow-moving,16,0,0
Potato,Leafhoppers,1.71,Brown,68.25,Vegetative,Fast-moving,7,0,1
Maize,Mites,1.77,Green,12.93,Flowering,Scattered,19,0,1
Maize,None,3.29,White,2.12,Seedling,Scattered,22,0,0
Tomato,Whiteflies,3.51,White,21.59,Seedling,Slow-moving,9,0,1
Tomato,Caterpillars,0.5,Green,61.15,Seedling,Clustered,16,0,1
Tomato,Leafhoppers,2.73,White,30.63,Maturity,Slow-moving,10,1,1
Wheat,None,2.04,Brown,7.63,Flowering,Clustered,5,0,0
Chili,None,4.12,Brown,25.46,Vegetative,Slow-moving,11,0,0
Chili,Whiteflies,1.94,Yellow,11.49,Flowering,Scattered,24,1,1
Maize,Leafhoppers,2.32,Brown,44.94,Seedling,Clustered,29,0,1
Wheat,Aphids,3.07,Green,68.71,Vegetative,Fast-moving,17,0,1
Cotton,Mites,1.34,Brown,53.9,Maturity,Clustered,24,1,1
Maize,Caterpillars,0.99,Black,23.63,Vegetative,Slow-moving,14,1,1
Rice,None,0.72,Brown,75.53,Flowering,Fast-moving,17,1,0
Chili,Aphids,0.51,Brown,71.09,Seedling,Clustered,6,0,1
Chili,None,2.76,Yellow,52.06,Seedling,Clustered,6,1,0
Wheat,None,1.23,Green,56.45,Maturity,Fast-moving,11,1,0
Chili,Aphids,0.5,Yellow,54.63,Seedling,Slow-moving,3,0,1
Chili,Whiteflies,1.28,Green,59.85,Seedling,Clustered,17,0,1
Maize,Whiteflies,0.8,Black,54.99,Maturity,Fast-moving,16,0,1
Maize,Whiteflies,2.44,Yellow,35.59,Seedling,Fast-moving,27,0,1
Cotton,Mites,0.78,Black,62.05,Flowering,Scattered,14,0,1
Wheat,Mites,0.89,Brown,23.93,Maturity,Fast-moving,16,1,1
Wheat,None,3.37,Black,32.61,Flowering,Scattered,25,0,0
Potato,Leafhoppers,3.25,White,75.0,Flowering,Slow-moving,5,1,1
Chili,Aphids,2.13,Green,69.25,Vegetative,Clustered,23,1,1
Tomato,Caterpillars,1.3,Black,31.01,Seedling,Scattered,13,0,1
Tomato,Caterpillars,2.77,Black,28.56,Seedling,Fast-moving,27,0,1
Chili,Whiteflies,3.37,White,33.6,Vegetative,Slow-moving,8,0,1
Potato,Aphids,1.21,Yellow,62.26,Vegetative,Scattered,11,1,1
Maize,None,1.83,Yellow,42.57,Flowering,Slow-moving,6,1,0
Maize,Leafhoppers,0.66,White,73.62,Seedling,Fast-moving,8,1,1
Cotton,Whiteflies,3.66,Yellow,11.92,Vegetative,Fast-moving,18,0,1
Chili,Mites,1.38,Yellow,5.2,Vegetative,Clustered,10,0,1
Potato,Leafhoppers,0.5,Yellow,49.13,Maturity,Fast-moving,29,1,1
Tomato,Caterpillars,3.74,Black,15.55,Vegetative,Fast-moving,12,1,1
Maize,Thrips,0.8,Yellow,6.06,Vegetative,Clustered,3,0,1
Potato,Aphids,1.9,Brown,89.21,Seedling,Slow-moving,29,1,1
Chili,Leafhoppers,0.5,Yellow,45.37,Vegetative,Clustered,16,1,1
Rice,Thrips,2.19,Yellow,87.71,Flowering,Scattered,1,1,1
Potato,Mites,1.64,Black,22.89,Flowering,Clustered,13,0,1
Wheat,Aphids,1.21,Black,69.24,Maturity,Scattered,16,1,1
Potato,None,3.04,Green,9.94,Seedling,Clustered,17,1,0
Chili,Mites,1.93,White,35.41,Vegetative,Fast-moving,12,1,1
Maize,None,0.96,Brown,15.06,Maturity,Scattered,20,1,0
Cotton,None,0.57,Yellow,73.68,Flowering,Fast-moving,8,1,0
Wheat,Leafhoppers,3.08,Green,66.74,Flowering,Slow-moving,28,1,1
Wheat,Mites,2.94,Green,35.34,Vegetative,Fast-moving,12,0,1
Cotton,Whiteflies,2.45,White,60.98,Flowering,Fast-moving,22,1,1
Wheat,None,0.89,Green,34.56,Vegetative,Clustered,18,1,0
Tomato,Mites,3.46,Yellow,51.73,Seedling,Clustered,19,1,1
Cotton,Whiteflies,0.5,Black,44.67,Seedling,Slow-moving,18,1,1
Maize,Whiteflies,2.32,Green,53.18,Maturity,Fast-moving,2,1,1
Rice,Aphids,2.16,White,25.22,Flowering,Fast-moving,10,0,1
Wheat,Thrips,0.5,Brown,12.42,Vegetative,Slow-moving,13,0,1
Rice,Thrips,1.74,Black,56.35,Maturity,Fast-moving,10,0,1
Chili,Caterpillars,0.9,Brown,70.35,Maturity,Clustered,22,1,1
Rice,Aphids,2.51,Brown,87.47,Flowering,Clustered,17,1,1
Rice,Aphids,3.14,White,81.49,Vegetative,Clustered,19,1,1
Rice,Thrips,3.04,White,10.56,Flowering,Fast-moving,26,1,1
Wheat,Aphids,3.23,White,34.96,Vegetative,Slow-moving,8,0,1
Potato,None,1.28,Yellow,46.03,Vegetative,Scattered,29,0,0
Maize,Aphids,3.64,Yellow,43.46,Seedling,Fast-moving,24,1,1
Maize,Thrips,1.44,Yellow,82.32,Vegetative,Slow-moving,22,0,1
Cotton,Mites,2.95,Black,39.29,Maturity,Clustered,18,1,1
Tomato,Caterpillars,2.12,Black,37.69,Vegetative,Clustered,6,0,1
Tomato,Aphids,1.96,Green,30.06,Seedling,Slow-moving,21,1,1
Rice,Caterpillars,0.5,White,30.66,Seedling,Slow-moving,9,1,1
Rice,Mites,2.67,Green,2.14,Vegetative,Clustered,17,1,1
Wheat,Mites,0.69,Black,1.28,Seedling,Slow-moving,16,1,1
Cotton,Caterpillars,2.58,Black,66.4,Seedling,Fast-moving,19,1,1
Chili,Aphids,2.0,Yellow,39.54,Seedling,Fast-moving,24,1,1
Maize,Mites,1.76,Black,71.26,Vegetative,Slow-moving,19,0,1
Wheat,Mites,3.25,Yellow,78.85,Flowering,Clustered,21,0,1
Wheat,Aphids,1.99,Brown,51.99,Maturity,Slow-moving,20,0,1
Rice,Caterpillars,2.38,Green,12.71,Flowering,Scattered,20,1,1
Wheat,Mites,2.39,White,16.42,Maturity,Clustered,27,1,1
Tomato,None,1.99,Brown,56.26,Vegetative,Clustered,13,1,0
Potato,Caterpillars,1.26,Brown,84.21,Flowering,Clustered,17,1,1
Chili,Caterpillars,1.66,White,57.78,Maturity,Slow-moving,29,0,1
Chili,Whiteflies,4.88,Green,4.64,Seedling,Fast-moving,20,1,1
Maize,Caterpillars,1.36,White,79.7,Seedling,Scattered,20,1,1
Chili,Caterpillars,2.03,Brown,53.05,Vegetative,Slow-moving,21,1,1
Wheat,Aphids,3.25,Green,81.85,Vegetative,Fast-moving,15,1,1
Tomato,Thrips,1.12,White,51.21,Seedling,Scattered,22,1,1
Maize,Leafhoppers,2.34,Green,53.14,Maturity,Scattered,2,0,1
Potato,Leafhoppers,0.5,White,54.15,Maturity,Scattered,9,0,1
Tomato,Whiteflies,2.69,Green,54.93,Flowering,Slow-moving,26,1,1
Rice,Caterpillars,0.69,White,86.73,Vegetative,Scattered,25,1,1
Wheat,Leafhoppers,1.03,Brown,12.83,Flowering,Scattered,3,1,1
Rice,Thrips,2.59,White,84.45,Flowering,Scattered,27,0,1
Potato,Thrips,1.41,White,49.86,Flowering,Clustered,10,0,1
Maize,Aphids,0.5,Yellow,62.17,Flowering,Fast-moving,5,1,1
Chili,None,1.86,Black,8.13,Vegetative,Clustered,20,1,0
Rice,Caterpillars,0.56,Brown,78.16,Seedling,Scattered,18,1,1
Cotton,Whiteflies,1.64,Black,49.4,Vegetative,Scattered,13,1,1
Potato,Thrips,0.52,Green,88.88,Seedling,Scattered,28,1,1
Tomato,Aphids,3.51,White,78.87,Vegetative,Fast-moving,24,1,1
Tomato,None,2.02,White,67.82,Seedling,Scattered,4,1,0
Cotton,Leafhoppers,0.88,Green,26.97,Flowering,Scattered,21,0,1
Potato,Leafhoppers,1.57,Brown,57.1,Flowering,Scattered,16,0,1
Cotton,None,2.84,Brown,36.78,Seedling,Clustered,6,0,0
Rice,None,2.24,White,10.9,Flowering,Scattered,10,0,0
Potato,Whiteflies,2.62,Yellow,3.66,Maturity,Clustered,25,1,1
Wheat,Caterpillars,1.79,White,13.57,Vegetative,Scattered,20,1,1
Potato,Aphids,0.5,Green,42.88,Seedling,Scattered,28,0,1
Chili,Aphids,0.5,Black,28.17,Flowering,Clustered,18,0,1
Maize,Thrips,1.54,White,24.32,Maturity,Fast-moving,19,1,1
Potato,Caterpillars,1.19,Green,39.57,Seedling,Scattered,7,1,1
Wheat,Caterpillars,2.03,White,61.18,Maturity,Fast-moving,13,1,1
Tomato,Mites,2.64,Yellow,68.2,Flowering,Clustered,19,1,1
Maize,Thrips,2.18,Black,12.29,Flowering,Clustered,27,0,1
Wheat,Mites,1.91,Black,28.44,Seedling,Scattered,4,0,1
Chili,Whiteflies,2.61,Green,12.88,Seedling,Scattered,18,0,1
Potato,Caterpillars,2.18,White,52.28,Maturity,Scattered,16,1,1
Rice,Caterpillars,2.37,Black,56.92,Vegetative,Slow-moving,17,0,1
