Product ID,Weight (g),Length (cm),Width (cm),Height (cm),Temp Sensor (°C),Pressure Sensor (kPa),Vibration Level,Surface Finish,Production Shift,Defective
364,539.12,14.69,5.14,2.9,81.5,82.3,0.5,Good,Night,0
365,457.39,12.9,5.3,3.6,42.7,84.0,0.64,Good,Night,0
366,551.19,12.24,4.49,3.64,65.0,116.9,1.23,Good,Night,1
367,435.68,10.92,5.95,2.61,83.0,95.3,0.69,Average,Day,1
368,493.05,6.3,6.6,3.93,53.2,122.1,0.56,Good,Day,0
369,587.32,8.12,6.28,3.18,74.9,80.0,0.85,Good,Night,0
370,529.71,11.63,3.85,3.06,88.6,79.0,1.09,Average,Day,0
371,470.58,10.1,5.49,3.38,69.0,100.3,1.26,Good,Night,1
372,513.89,10.52,4.35,2.51,57.1,131.2,0.73,Average,Day,0
373,371.9,11.67,5.54,2.92,56.0,105.3,1.07,Average,Day,1
374,545.38,10.27,4.93,3.3,68.4,92.4,0.79,Poor,Night,1
375,445.22,9.43,5.71,1.57,59.0,83.4,1.33,Good,Day,1
376,506.7,11.25,5.88,2.9,59.1,78.0,0.48,Good,Night,0
377,563.98,6.15,4.76,2.4,67.3,87.1,0.23,Good,Night,0
378,509.83,6.88,3.46,2.71,87.2,137.1,1.2,Good,Night,0
379,496.08,9.44,4.71,4.25,55.2,108.3,0.15,Poor,Day,1
380,595.24,9.82,4.53,3.5,72.5,87.3,0.82,Good,Day,0
381,523.73,7.74,5.35,3.27,74.1,100.4,0.66,Good,Night,0
382,533.27,12.21,4.82,2.45,78.8,96.6,1.4,Good,Day,1
383,530.11,8.11,3.68,3.23,92.5,112.6,1.5,Good,Day,1
384,527.14,10.83,4.74,2.68,69.0,117.2,1.19,Good,Day,0
385,504.02,10.0,5.4,3.6,75.4,71.2,0.25,Good,Night,0
386,505.7,10.47,4.93,2.99,60.1,78.7,1.06,Good,Night,0
387,393.73,9.95,5.75,4.17,88.4,89.7,0.65,Good,Day,1
388,471.4,9.1,5.1,3.76,72.7,84.2,0.15,Poor,Day,1
389,469.44,13.28,3.82,2.78,50.9,86.6,1.15,Good,Night,0
390,511.33,8.79,4.74,2.82,70.4,118.3,0.79,Good,Day,0
391,457.44,13.58,5.07,3.89,79.1,66.9,0.86,Average,Day,0
392,376.18,14.48,6.53,2.77,71.4,65.1,0.89,Poor,Night,1
393,475.1,7.73,5.22,3.39,84.7,117.2,0.18,Good,Day,0
394,490.35,11.94,4.7,3.49,77.9,70.3,0.41,Average,Day,0
395,476.22,11.81,4.77,2.26,58.5,90.4,0.92,Good,Day,0
396,426.31,12.74,5.32,3.01,70.3,109.1,1.21,Good,Night,1
397,582.03,8.84,4.98,2.22,75.5,82.3,1.17,Good,Night,0
398,425.94,10.04,5.7,3.5,73.0,100.6,0.29,Good,Night,1
399,439.09,11.55,5.53,2.91,72.8,87.9,0.35,Average,Night,1
400,460.16,10.1,5.08,3.16,46.6,106.2,0.25,Good,Night,0
401,567.76,9.34,6.49,2.67,63.6,80.2,0.95,Average,Night,0
402,590.55,5.03,6.22,2.46,91.1,85.9,0.63,Good,Day,1
403,486.76,9.89,4.85,2.58,53.9,110.5,0.81,Average,Night,0
404,475.82,9.48,3.68,3.06,62.2,64.1,0.77,Good,Night,0
405,530.47,9.65,5.74,3.28,64.7,90.9,1.34,Good,Night,1
406,530.23,8.19,4.07,2.96,62.5,96.2,0.19,Good,Day,0
407,451.6,9.46,6.28,3.15,65.1,109.9,1.33,Good,Day,1
408,515.73,10.92,3.7,3.64,84.6,73.7,0.26,Poor,Day,1
409,501.67,11.26,3.53,3.32,83.5,121.6,0.65,Poor,Night,1
410,608.5,10.0,4.67,3.48,79.8,109.0,1.29,Good,Night,1
411,565.86,9.32,4.91,2.65,76.3,108.5,1.4,Good,Day,1
412,522.72,12.29,5.98,3.06,72.4,89.1,0.89,Average,Day,0
413,466.01,9.29,4.72,3.47,58.3,95.4,0.59,Average,Day,0
414,533.84,11.06,4.34,3.07,73.8,108.3,1.31,Poor,Night,1
415,568.93,8.09,4.46,2.54,90.2,101.3,0.43,Good,Night,1
416,494.99,9.54,5.52,2.27,83.1,89.8,1.27,Good,Day,1
417,491.06,9.93,5.11,2.67,60.8,96.6,1.16,Average,Day,0
418,527.75,9.64,6.16,4.17,79.2,75.1,0.89,Good,Night,0
419,566.57,13.14,4.84,2.4,71.3,118.4,1.03,Good,Day,0
420,536.31,8.3,5.14,2.94,59.7,115.9,1.37,Good,Day,1
421,565.49,12.11,6.58,3.88,73.4,89.2,0.78,Good,Night,0
422,563.01,8.12,5.87,2.59,79.8,92.8,1.46,Good,Night,1
423,502.23,8.7,5.78,2.81,64.8,98.0,1.37,Good,Day,1
424,532.14,9.72,5.15,2.87,67.6,105.6,1.08,Good,Night,0
425,470.57,11.69,7.66,2.7,74.7,98.6,0.7,Good,Day,0
426,595.65,8.6,4.83,2.91,65.3,117.0,0.53,Good,Night,0
427,508.95,9.24,4.89,2.25,68.9,119.6,1.2,Good,Day,0
428,443.91,7.96,4.2,2.88,74.7,111.8,0.75,Good,Day,1
429,502.1,12.48,6.08,2.39,79.8,150.4,0.28,Good,Night,0
430,391.85,10.37,4.96,2.91,73.1,96.3,0.27,Poor,Night,1
431,526.78,12.28,4.94,3.65,84.4,128.9,0.54,Good,Night,0
432,452.35,10.19,5.79,3.67,58.8,111.5,0.75,Good,Night,0
433,543.98,7.69,4.92,2.77,87.6,101.2,1.23,Average,Night,1
434,506.94,9.24,3.76,3.28,71.5,118.1,0.17,Good,Night,0
435,506.83,12.45,4.6,3.0,72.4,90.0,0.21,Good,Day,0
436,509.43,7.68,5.97,3.44,77.9,100.5,0.89,Good,Day,0
437,472.96,13.56,3.47,3.22,88.3,93.5,1.05,Good,Night,0
438,493.02,14.92,7.1,3.14,66.1,104.1,1.12,Good,Day,0
439,514.2,10.32,4.36,2.25,86.6,96.1,1.29,Poor,Day,1
440,511.21,8.52,5.03,1.67,70.5,109.7,0.45,Good,Night,0
441,546.12,10.07,4.57,3.05,66.9,116.4,1.01,Average,Day,0
442,475.59,11.18,5.19,2.84,67.8,75.7,1.27,Good,Night,1
443,496.76,11.68,5.3,3.63,71.2,115.5,0.98,Good,Night,0
444,451.62,11.43,4.77,3.31,76.2,75.8,0.48,Poor,Day,1
445,587.87,9.31,4.23,2.83,63.5,96.4,1.28,Poor,Night,1
446,471.66,10.29,5.6,2.99,58.5,112.2,0.51,Good,Day,0
447,539.41,8.31,5.48,2.94,60.6,116.6,0.78,Good,Day,0
448,494.34,10.84,4.48,2.82,76.7,88.9,0.81,Good,Day,0
449,505.51,6.69,4.09,2.75,71.7,72.1,1.11,Good,Day,0
450,513.07,12.36,2.77,2.91,76.3,81.8,1.32,Average,Day,1
451,412.65,10.13,5.98,2.3,69.1,110.7,1.46,Poor,Night,1
452,489.95,8.33,6.86,3.57,68.1,79.3,1.26,Good,Night,1
453,449.03,9.48,4.78,2.38,79.0,100.7,1.07,Average,Night,1
454,499.05,10.07,5.14,3.31,59.6,86.0,0.41,Good,Day,0
455,487.01,12.68,6.47,2.77,60.4,107.4,1.49,Poor,Night,1
456,528.23,11.5,5.41,3.21,73.6,120.3,0.31,Good,Day,0
457,539.08,12.09,5.65,3.25,61.9,94.9,0.43,Average,Night,0
458,487.1,12.29,6.03,2.52,76.3,75.0,1.38,Good,Day,1
459,556.33,11.45,4.29,3.46,70.6,98.2,0.81,Good,Day,0
460,440.69,9.54,4.46,2.94,89.7,97.3,0.63,Average,Night,1
461,457.39,7.72,3.16,3.06,74.4,60.9,0.16,Good,Night,0
462,564.66,7.88,3.68,1.9,75.5,89.7,1.24,Good,Day,1
463,509.51,7.88,5.16,3.05,69.0,105.5,0.94,Good,Day,0
464,478.89,7.79,5.1,3.65,68.1,87.9,1.44,Good,Day,1
465,560.32,8.2,5.59,2.83,70.2,107.5,1.44,Good,Night,1
466,489.44,9.83,5.24,2.47,48.8,89.1,0.34,Good,Day,0
467,516.96,10.82,2.61,2.49,74.4,107.9,0.33,Good,Day,0
468,503.28,14.83,4.17,3.25,75.6,77.0,0.1,Good,Day,0
469,443.31,9.92,5.91,2.95,79.8,97.0,0.87,Good,Day,1
470,557.74,12.22,5.44,3.53,86.5,75.3,0.61,Good,Night,0
471,555.58,12.17,4.1,2.99,75.4,93.0,1.21,Average,Day,1
472,576.75,13.62,6.12,3.25,62.0,100.5,0.93,Good,Night,0
473,499.31,10.16,4.45,2.95,77.4,97.0,1.03,Good,Day,0
474,511.09,8.42,5.5,3.48,57.3,105.1,1.08,Good,Night,0
475,425.16,9.76,4.87,2.89,54.9,85.4,1.08,Poor,Night,1
476,523.43,9.78,5.0,1.78,72.9,114.8,0.29,Good,Night,0
477,524.96,10.16,3.48,3.73,73.1,105.2,0.21,Average,Night,0
478,479.65,10.77,6.04,2.81,74.8,97.4,1.03,Good,Day,0
479,574.44,7.49,5.25,3.2,70.7,108.8,1.39,Average,Night,1
480,506.33,11.01,5.82,2.2,74.1,94.8,1.11,Good,Night,0
481,568.73,10.57,3.52,3.29,63.4,92.5,1.24,Good,Night,1
482,556.85,12.52,5.31,3.32,62.0,105.4,1.27,Average,Night,1
483,411.09,12.15,5.87,3.0,84.1,83.9,0.24,Poor,Night,1
484,527.45,9.66,4.44,2.43,86.8,125.5,1.31,Good,Day,1
485,606.93,12.44,4.53,2.23,72.5,106.6,1.27,Good,Night,1
486,475.12,7.23,4.4,3.5,49.7,88.5,1.47,Good,Night,1
487,444.18,8.97,5.03,2.5,70.8,89.9,1.02,Good,Day,1
488,559.24,9.81,4.41,2.58,69.1,91.0,0.57,Average,Night,0
489,578.57,7.14,2.69,2.92,70.5,75.5,0.18,Good,Day,0
490,495.75,10.08,4.58,3.11,79.5,103.5,0.64,Good,Night,0
491,475.93,12.25,4.62,4.44,88.5,91.8,1.14,Average,Day,0
492,507.32,11.26,6.04,2.75,67.5,99.4,0.24,Average,Night,0
493,506.72,9.33,4.71,2.44,58.3,102.7,0.58,Good,Day,0
494,514.38,12.51,5.87,2.74,74.1,114.8,0.67,Average,Night,0
495,552.61,12.95,5.2,3.18,67.0,91.8,0.42,Good,Day,0
496,540.07,10.5,4.95,2.68,51.5,103.2,0.79,Poor,Day,1
497,511.06,10.1,4.14,2.85,82.3,108.8,0.31,Good,Day,0
498,506.2,11.48,4.87,2.9,87.1,112.6,1.38,Average,Night,1
499,499.15,7.61,3.25,3.34,77.7,99.7,0.11,Good,Day,0
500,429.85,6.83,3.96,3.6,75.0,82.3,1.13,Good,Day,1
501,485.71,9.62,5.86,2.84,73.9,104.7,0.97,Good,Night,0
502,487.59,7.67,3.5,3.72,63.4,98.1,0.15,Good,Night,0
503,535.25,9.0,6.02,3.13,59.8,98.2,0.45,Average,Day,0
504,482.99,9.17,8.05,3.3,69.7,106.4,0.61,Good,Day,0
505,482.13,15.32,4.05,2.41,60.7,109.2,0.96,Good,Day,0
506,445.8,9.73,6.31,3.44,84.2,109.8,1.11,Poor,Day,1
507,481.22,11.03,4.26,3.45,93.2,97.0,0.48,Good,Day,1
508,541.61,8.18,5.52,3.03,64.6,87.2,1.48,Good,Night,1
509,501.77,12.0,4.77,3.53,64.8,102.4,0.66,Good,Day,0
510,580.03,12.94,5.63,3.45,69.8,107.5,0.11,Good,Night,0
511,479.95,10.72,4.72,2.12,56.5,103.7,1.42,Good,Night,1
512,440.75,10.45,4.89,2.76,67.9,89.5,0.62,Good,Day,1
513,551.42,8.92,5.6,3.0,58.1,107.7,1.17,Good,Night,0
514,452.59,15.58,5.15,2.51,57.8,100.0,0.25,Good,Night,0
515,508.33,9.07,5.25,2.83,60.2,100.1,1.28,Average,Night,1
516,449.01,9.92,6.46,2.38,68.6,97.9,0.63,Average,Day,1
517,458.46,13.41,3.92,2.59,72.2,94.9,0.51,Good,Night,0
518,463.83,12.95,4.29,3.23,80.5,96.9,0.98,Good,Night,0
519,469.59,11.87,4.58,3.27,72.9,102.7,1.38,Good,Night,1
520,510.6,10.4,6.09,3.13,85.1,99.7,0.68,Good,Day,0
521,529.12,11.58,6.34,2.91,72.4,88.8,1.45,Good,Night,1
522,532.84,10.13,5.09,3.24,75.1,94.9,1.32,Good,Day,1
523,452.4,10.62,4.02,2.45,64.7,123.3,0.17,Good,Day,0
524,478.52,10.05,5.88,2.32,77.4,102.8,1.23,Good,Night,1
525,601.59,9.08,5.67,3.02,80.1,95.2,1.06,Good,Night,0
526,474.85,9.39,5.33,3.49,66.7,113.9,0.23,Good,Night,0
527,470.35,11.15,5.04,2.56,66.8,122.3,1.14,Good,Night,0
528,563.12,12.57,5.0,2.39,62.3,78.9,0.42,Good,Day,0
529,491.39,10.32,3.25,2.17,61.4,119.2,0.65,Poor,Day,1
530,467.27,13.57,6.97,3.9,54.5,121.2,1.31,Good,Day,1
531,419.09,6.56,6.01,3.47,78.9,96.4,0.78,Good,Day,1
532,505.1,9.26,5.11,3.07,70.1,77.4,0.69,Good,Day,0
533,515.45,11.18,6.34,3.02,69.0,97.2,0.96,Average,Day,0
534,529.83,12.24,5.91,2.48,75.2,87.0,0.71,Good,Night,0
535,541.28,12.31,6.08,2.89,63.0,115.0,1.4,Good,Day,1
536,533.8,11.12,5.6,2.92,64.2,107.1,1.11,Good,Day,0
537,476.57,10.77,4.97,3.12,67.4,107.0,0.26,Good,Day,0
538,510.58,9.8,4.25,1.99,85.4,95.1,1.1,Good,Day,0
539,519.28,10.53,4.57,2.51,78.6,89.6,0.64,Good,Night,0
540,438.6,11.68,3.38,3.68,88.1,82.2,0.43,Good,Night,1
541,519.07,9.28,5.03,3.48,70.1,118.5,0.45,Good,Day,0
542,485.79,7.19,6.25,3.07,78.4,94.4,1.13,Good,Day,0
543,521.42,9.46,4.24,2.95,78.7,117.9,0.92,Average,Night,0
544,470.6,11.78,5.56,3.17,63.3,125.7,0.77,Good,Night,0
545,474.12,8.6,4.48,2.76,65.8,98.8,0.84,Good,Night,0
546,457.95,13.01,5.95,2.92,66.3,124.4,1.2,Good,Night,0
547,592.21,11.12,3.94,3.38,73.7,95.4,1.07,Average,Day,0
548,580.82,7.97,3.05,3.16,67.7,102.1,0.16,Good,Day,0
549,489.35,8.03,6.1,3.41,74.5,117.1,1.48,Good,Night,1
550,497.66,10.08,5.43,1.6,61.9,81.1,1.26,Poor,Night,1
551,512.02,12.48,4.19,3.06,56.2,59.1,0.77,Good,Night,0
552,462.58,10.0,4.94,3.18,71.0,98.4,0.63,Good,Day,0
553,529.08,11.53,4.67,1.76,71.2,94.4,1.36,Good,Night,1
554,554.56,8.36,6.18,2.95,75.3,83.8,0.39,Average,Night,0
555,561.17,10.8,5.79,1.77,68.8,114.8,1.49,Good,Day,1
556,586.27,9.84,4.84,3.3,75.1,132.2,0.42,Good,Day,0
557,556.84,9.18,5.18,3.09,64.4,83.9,1.45,Good,Day,1
558,576.46,11.25,2.97,3.24,73.0,111.6,1.28,Good,Night,1
559,546.3,9.41,4.84,2.45,79.8,108.4,0.47,Good,Day,0
560,459.27,10.91,4.2,2.73,69.0,89.4,0.68,Good,Day,0
561,463.17,13.88,4.88,3.5,74.8,106.2,0.83,Good,Day,0
562,513.11,12.39,5.69,2.33,62.9,105.0,1.13,Good,Day,0
563,456.77,15.77,4.98,3.21,69.5,102.9,0.38,Poor,Night,1
564,449.05,10.31,4.7,3.58,67.4,99.3,0.67,Good,Night,1
565,514.06,9.42,5.89,3.13,64.8,115.6,1.42,Average,Night,1
566,429.16,12.13,5.05,3.05,56.4,100.2,1.35,Good,Night,1
567,449.7,10.17,4.41,2.23,88.1,101.4,0.79,Good,Day,1
568,451.6,9.05,5.35,3.51,76.2,86.8,1.04,Good,Day,0
569,560.23,12.56,5.36,3.04,81.5,72.0,0.83,Poor,Night,1
570,497.27,11.23,5.41,2.6,65.1,99.7,0.84,Good,Day,0
571,487.43,9.6,3.2,3.7,77.2,83.4,0.98,Good,Night,0
572,499.99,11.38,5.53,2.96,66.0,121.8,1.43,Average,Night,1
573,504.85,9.72,4.73,2.97,72.8,85.7,0.9,Good,Day,0
574,603.07,8.81,3.52,3.21,65.4,78.0,0.79,Poor,Night,1
575,472.48,10.21,5.56,3.42,77.9,91.4,1.45,Poor,Night,1
576,522.58,9.93,5.81,2.75,71.9,97.2,0.12,Good,Night,0
577,485.91,9.42,5.28,2.75,62.1,94.2,1.24,Good,Night,1
578,506.17,7.9,5.46,2.39,73.2,134.5,1.19,Good,Night,0
579,488.58,9.21,4.87,2.01,70.5,107.9,1.18,Good,Day,0
580,574.84,11.79,3.43,2.35,86.3,112.9,0.6,Poor,Night,1
581,538.42,8.69,5.2,2.9,55.4,99.1,1.21,Good,Day,1
582,462.13,13.02,4.73,2.5,84.4,105.2,1.14,Good,Night,0
583,474.63,10.23,4.64,3.86,65.7,91.6,1.03,Average,Day,0
584,453.17,9.8,4.08,3.09,66.7,102.3,0.22,Good,Night,0
585,391.96,10.85,5.29,2.31,68.1,108.3,0.39,Good,Night,1
586,477.43,10.2,4.59,2.71,65.8,88.5,1.32,Good,Day,1
587,477.89,11.67,4.61,3.03,83.4,74.5,0.11,Poor,Day,1
588,479.48,10.19,5.93,3.74,69.8,132.6,0.74,Average,Night,0
589,542.52,8.68,4.08,3.01,77.1,89.7,0.47,Average,Night,0
590,486.43,12.45,6.46,3.17,72.8,71.7,1.37,Good,Day,1
591,535.54,7.89,5.32,3.01,73.1,120.7,0.88,Good,Day,0
592,445.77,8.78,5.56,3.03,75.3,95.2,0.16,Good,Night,1
593,540.87,10.07,5.35,3.24,96.6,103.2,1.13,Good,Day,1
594,505.35,6.07,6.84,3.61,60.4,96.6,0.61,Poor,Night,1
595,542.72,12.37,6.89,2.88,74.3,90.9,1.46,Good,Night,1
596,474.85,10.67,4.78,3.81,73.3,99.3,0.63,Good,Day,0
597,494.37,11.25,4.47,3.07,55.1,85.4,0.7,Good,Day,0
598,481.71,10.23,5.07,2.68,85.6,89.9,0.18,Good,Day,0
599,505.2,8.37,4.83,3.35,67.7,108.8,0.33,Average,Day,0
600,473.91,9.81,4.52,2.7,61.0,109.3,1.2,Good,Day,0
601,529.13,10.95,4.77,3.19,81.7,85.2,1.1,Average,Night,0
602,434.05,10.25,4.62,2.15,61.7,97.9,0.8,Good,Day,1
603,612.52,10.28,7.27,3.08,67.0,108.6,0.24,Average,Day,0
604,537.09,9.26,5.06,2.96,66.2,86.8,1.39,Good,Day,1
605,631.44,10.82,2.61,4.02,56.6,92.7,0.16,Good,Day,0
606,538.99,11.56,4.83,3.02,65.6,91.5,0.65,Poor,Night,1
607,487.94,9.72,3.37,3.75,60.7,96.2,0.48,Good,Night,0
608,539.41,7.81,6.35,2.75,89.8,121.7,1.2,Good,Day,0
609,516.81,7.86,5.12,3.54,57.5,99.7,1.13,Average,Night,0
610,480.85,12.05,5.82,2.89,50.0,108.1,1.41,Good,Day,1
611,527.07,12.5,5.43,3.75,77.0,100.4,0.52,Average,Day,0
612,510.35,7.42,3.7,2.44,86.5,111.7,0.53,Average,Day,0
613,526.0,8.34,6.05,3.05,59.3,87.5,0.7,Poor,Day,1
614,432.94,10.95,6.49,2.88,56.6,97.5,0.53,Good,Day,1
615,597.92,12.98,3.99,2.65,71.0,130.4,0.14,Average,Night,0
616,487.91,10.83,3.46,2.97,60.9,98.3,1.21,Poor,Night,1
617,472.98,10.92,5.48,2.66,76.1,100.8,0.85,Good,Day,0
618,449.53,9.66,5.94,3.34,78.0,99.2,0.53,Good,Day,1
619,452.62,7.11,5.94,2.79,62.5,74.8,0.86,Good,Day,0
620,495.14,11.99,5.87,3.32,63.7,83.8,0.7,Good,Night,0
621,529.4,9.88,5.32,3.17,56.3,92.4,0.28,Average,Day,0
622,523.6,9.84,6.65,3.38,77.0,79.4,1.38,Good,Night,1
623,545.34,7.98,5.97,2.61,78.5,94.1,0.93,Average,Night,0
624,504.63,13.9,4.11,1.88,68.5,110.9,0.47,Good,Day,0
625,436.79,9.04,5.61,3.01,75.8,95.8,0.45,Good,Night,1
626,534.17,8.59,4.25,2.87,76.5,78.9,1.15,Good,Night,0
627,414.49,8.92,4.39,3.05,56.9,101.0,0.76,Average,Day,1
628,453.49,8.5,6.05,3.47,52.5,104.6,0.36,Average,Day,0
629,553.51,13.55,5.37,2.73,80.4,101.3,1.42,Good,Night,1
630,464.07,7.25,6.13,3.21,69.0,85.5,0.56,Good,Night,0
631,479.7,10.47,5.45,3.46,70.8,112.0,1.07,Average,Day,0
632,463.54,12.62,5.41,2.74,51.4,109.8,1.42,Good,Day,1
633,493.72,8.71,4.1,2.2,73.8,86.7,0.93,Good,Night,0
634,503.45,7.53,4.78,2.66,66.3,107.7,0.14,Good,Day,0
635,485.37,12.92,5.54,3.07,67.6,112.7,0.56,Good,Night,0
636,561.46,14.25,5.16,1.92,81.1,87.8,0.9,Good,Day,0
637,479.26,11.77,5.13,2.91,62.5,138.3,0.13,Good,Night,0
638,501.59,7.01,6.41,3.57,73.0,97.7,0.88,Average,Day,0
639,447.81,7.17,5.48,3.09,76.1,92.9,0.6,Average,Day,1
640,524.33,10.92,5.36,2.3,73.8,112.9,1.29,Good,Night,1
641,421.56,9.41,4.0,3.2,70.7,92.7,1.29,Good,Night,1
642,528.78,11.74,4.37,2.33,69.7,126.1,0.14,Good,Night,0
643,547.65,12.36,4.81,3.51,64.3,109.6,0.59,Good,Day,0
644,465.63,13.32,6.86,3.45,67.6,107.1,1.04,Good,Day,0
645,532.05,11.58,3.81,2.76,75.5,94.2,0.34,Average,Night,0
646,460.91,9.13,3.8,3.21,60.1,111.4,1.41,Average,Day,1
647,471.6,6.29,6.0,2.17,73.5,80.6,0.62,Average,Day,0
648,514.04,11.93,6.19,3.13,61.0,87.5,1.1,Good,Day,0
649,519.09,13.06,4.0,2.79,58.9,78.1,1.37,Good,Day,1
650,466.11,9.05,4.21,2.6,71.3,111.5,0.3,Average,Day,0
651,597.31,13.61,3.14,3.89,78.8,95.7,1.17,Poor,Night,1
652,489.63,7.88,7.28,3.39,67.1,103.5,1.03,Poor,Day,1
653,455.13,9.2,5.85,2.86,62.9,92.6,0.54,Good,Day,0
654,434.29,10.06,4.09,2.85,64.9,121.9,1.15,Average,Day,1
655,417.46,8.68,4.47,2.83,70.0,97.1,1.08,Poor,Day,1
656,496.11,11.04,6.8,2.51,75.7,76.4,0.87,Good,Day,0
657,539.45,8.94,4.06,2.96,70.6,105.7,0.63,Good,Day,0
658,537.57,11.14,4.36,2.23,53.7,122.1,0.13,Good,Day,0
659,544.38,9.95,6.07,2.97,65.0,66.2,0.71,Poor,Day,1
660,420.83,8.18,3.49,2.32,62.4,90.8,0.65,Good,Day,1
661,468.41,10.19,5.85,3.83,60.0,135.9,1.5,Average,Night,1
662,529.71,8.17,7.22,2.81,87.2,105.9,1.06,Good,Day,0
663,493.9,8.67,6.33,2.78,64.5,90.9,0.6,Good,Night,0
664,401.1,6.81,5.59,2.4,74.6,72.6,0.87,Good,Day,1
665,502.35,8.84,5.64,2.64,65.4,104.8,1.01,Average,Night,0
666,482.5,13.17,4.91,3.24,65.4,79.4,1.14,Poor,Night,1
667,510.85,10.28,5.43,3.89,67.8,80.0,0.49,Good,Night,0
668,513.62,7.24,6.16,3.29,72.9,78.2,0.47,Good,Night,0
669,467.99,10.48,6.93,2.21,74.2,112.9,0.49,Good,Day,0
670,574.22,12.83,4.13,3.58,68.9,102.6,0.37,Average,Day,0
671,508.02,8.25,4.41,3.36,76.8,115.2,1.49,Average,Night,1
672,555.33,13.35,4.1,3.18,66.9,79.7,0.42,Good,Day,0
673,484.5,10.18,6.4,3.36,66.8,111.4,1.01,Poor,Day,1
674,467.99,9.08,4.28,4.02,57.3,105.6,1.23,Good,Night,1
675,556.98,9.48,3.62,2.72,65.3,102.3,0.58,Average,Night,0
676,586.09,8.94,4.96,3.12,64.6,77.3,0.96,Good,Day,0
677,578.25,7.38,3.66,3.11,79.3,63.3,0.34,Good,Day,0
678,466.57,10.65,4.17,1.99,65.6,101.1,0.44,Average,Day,0
679,572.75,11.33,3.66,2.73,79.7,92.9,0.9,Average,Night,0
680,453.62,7.25,4.27,2.99,56.3,101.2,0.84,Average,Day,0
681,464.88,10.53,4.8,2.35,53.2,93.0,1.01,Poor,Night,1
682,489.36,10.38,4.45,2.61,50.7,82.4,1.29,Good,Day,1
683,500.37,9.35,5.09,2.78,70.6,90.5,0.44,Good,Night,0
684,520.06,11.83,3.7,3.39,76.1,84.0,0.36,Good,Night,0
685,522.42,14.88,5.1,3.18,73.8,97.7,0.55,Good,Day,0
686,535.05,10.42,4.22,3.32,60.1,117.9,1.4,Average,Night,1
687,517.26,12.49,7.55,3.12,68.8,77.7,0.54,Good,Night,0
688,471.03,9.7,6.2,2.78,79.7,110.3,0.9,Good,Day,0
689,436.58,11.56,6.72,3.52,70.2,106.9,0.36,Good,Day,1
690,495.78,7.17,5.76,3.83,68.2,128.3,1.46,Good,Night,1
691,428.93,7.94,4.01,3.27,87.4,59.8,1.01,Good,Night,1
692,521.88,9.86,4.98,3.41,74.9,107.5,1.02,Poor,Night,1
693,525.65,11.55,5.29,3.14,63.8,100.7,0.16,Poor,Night,1
694,477.23,13.63,4.82,3.87,75.4,121.4,1.19,Good,Night,0
695,520.12,6.79,4.39,3.85,62.1,101.2,1.3,Good,Night,1
696,476.88,7.13,3.86,4.12,68.2,101.7,0.84,Good,Night,0
697,531.38,8.89,5.91,3.92,68.3,101.5,1.36,Good,Night,1
698,497.34,12.27,5.43,3.89,74.3,111.9,0.43,Good,Day,0
699,461.32,12.52,5.5,3.4,63.6,125.4,0.74,Good,Night,0
700,480.25,9.0,5.94,2.74,64.8,105.8,1.02,Good,Day,0
701,522.92,11.22,4.5,2.68,71.1,85.8,1.41,Good,Night,1
702,500.93,10.94,4.88,3.03,75.4,73.8,0.18,Good,Day,0
703,491.86,8.06,4.24,3.59,72.3,129.6,0.43,Good,Day,0
704,496.1,14.89,5.32,3.07,63.9,81.7,0.71,Good,Night,0
705,474.53,10.32,3.43,2.81,61.4,107.9,0.75,Good,Night,0
706,554.21,8.69,3.62,2.78,55.9,107.9,0.58,Average,Night,0
707,570.74,11.02,4.55,3.07,59.5,81.6,0.77,Average,Night,0
708,478.9,10.02,5.39,3.6,77.5,118.8,0.3,Good,Day,0
709,478.45,7.79,4.55,2.36,72.5,101.2,0.27,Good,Night,0
710,462.36,11.71,5.47,3.07,66.7,70.4,0.24,Good,Night,0
711,459.77,9.03,7.05,2.54,63.6,96.2,0.83,Good,Night,0
712,507.44,10.1,4.8,3.4,53.6,83.4,1.44,Good,Day,1
713,463.59,10.81,4.23,3.03,71.7,105.5,0.94,Good,Day,0
714,595.25,8.65,6.61,3.09,77.1,87.7,0.95,Poor,Night,1
715,423.42,10.32,3.98,2.29,60.5,99.1,0.61,Good,Night,1
716,537.46,9.39,4.86,2.78,67.0,91.3,0.47,Good,Night,0
717,553.7,7.89,3.92,2.92,63.1,94.2,1.11,Good,Night,0
718,566.66,11.73,6.78,2.46,67.3,128.1,0.73,Good,Night,0
719,579.39,11.89,3.7,2.1,61.3,117.2,0.62,Good,Night,0
720,474.68,9.84,5.93,2.29,74.1,117.9,0.26,Good,Night,0
721,451.93,10.44,3.42,2.73,75.7,90.5,1.27,Good,Day,1
722,429.17,9.42,5.7,2.89,71.7,103.2,1.16,Poor,Day,1
723,415.6,9.29,4.43,2.73,73.6,98.5,0.12,Good,Day,1
724,470.5,12.58,5.62,3.22,57.1,82.5,0.85,Good,Night,0
725,546.01,4.55,5.74,2.64,73.6,109.4,1.23,Good,Day,1
726,459.28,11.4,3.47,3.86,89.1,103.2,1.33,Good,Night,1
727,497.66,10.0,6.27,3.7,56.7,89.7,0.13,Good,Night,0
728,561.42,12.24,5.32,2.95,59.7,117.0,0.27,Average,Day,0
