route,airline,booking_class,demand_level,season,days_to_departure,fuel_price_index,competitor_price,predicted_flight_price_inr
GOA-DEL,AirVista,Economy,1.11,Off-Peak,121,90.39,9690.78,8278.43
DEL-MUM,SkyJet,Business,1.38,Regular,31,112.77,11335.35,21859.18
BLR-DEL,AirVista,Premium Economy,1.4,Peak,20,81.21,3128.56,23227.87
DEL-MUM,IndiSky,Premium Economy,0.62,Regular,113,110.51,9454.47,5555.82
HYD-BOM,FlyIndia,Premium Economy,0.97,Holiday,131,95.75,8213.25,7610.21
CHN-KOL,FlyIndia,Economy,1.01,Regular,154,111.26,3526.13,6227.54
PUNE-BLR,AirVista,Economy,1.39,Peak,15,101.62,7172.25,14157.7
PUNE-BLR,FlyIndia,Premium Economy,1.32,Peak,94,93.85,5310.74,13899.22
CHN-KOL,AirVista,Economy,1.06,Regular,6,129.79,6495.72,10940.69
DEL-MUM,AirVista,Business,1.13,Regular,43,129.64,6306.11,17198.86
GOA-DEL,BharatAir,Economy,0.72,Off-Peak,134,107.92,7773.48,5148.42
PUNE-BLR,FlyIndia,Economy,1.09,Peak,163,114.2,4168.21,6613.9
HYD-BOM,IndiSky,Economy,0.82,Holiday,141,80.34,3566.06,5933.3
CHN-KOL,BharatAir,Premium Economy,0.79,Peak,107,122.98,3365.36,10230.45
DEL-MUM,BharatAir,Premium Economy,0.85,Off-Peak,111,98.72,6488.97,7372.35
BLR-DEL,IndiSky,Economy,0.67,Regular,41,97.26,9498.44,6154.89
HYD-BOM,BharatAir,Economy,0.83,Regular,79,127.58,11881.7,5889.66
HYD-BOM,AirVista,Economy,0.77,Off-Peak,68,80.15,9587.76,5191.24
HYD-BOM,IndiSky,Premium Economy,1.01,Holiday,134,119.96,10766.95,9283.69
HYD-BOM,SkyJet,Economy,0.7,Holiday,38,125.6,6704.84,7280.49
HYD-BOM,IndiSky,Premium Economy,0.73,Off-Peak,23,86.33,4109.61,8027.88
CHN-KOL,SkyJet,Economy,1.23,Regular,117,128.12,5187.97,8332.94
BLR-DEL,BharatAir,Premium Economy,0.61,Regular,11,104.34,4068.77,7636.73
BLR-DEL,BharatAir,Economy,1.08,Regular,66,129.75,9310.89,9115.18
PUNE-BLR,BharatAir,Economy,1.16,Peak,157,93.71,10399.41,7881.87
BLR-DEL,IndiSky,Economy,1.03,Peak,167,121.08,5382.01,8147.4
DEL-MUM,IndiSky,Premium Economy,0.92,Off-Peak,56,118.69,7730.51,9941.75
HYD-BOM,SkyJet,Premium Economy,1.03,Regular,173,109.93,8142.31,6416.22
GOA-DEL,FlyIndia,Premium Economy,0.83,Peak,56,96.64,9164.73,13082.47
GOA-DEL,IndiSky,Premium Economy,0.83,Peak,38,101.32,7605.94,13385.56
BLR-DEL,SkyJet,Economy,1.36,Peak,9,92.58,8974.17,17238.37
BLR-DEL,FlyIndia,Economy,1.09,Regular,61,124.33,10167.88,9530.49
PUNE-BLR,BharatAir,Economy,1.44,Peak,151,125.99,6806.56,9304.92
BLR-DEL,AirVista,Economy,1.27,Holiday,6,89.96,2860.92,15064.72
GOA-DEL,IndiSky,Economy,1.3,Off-Peak,87,126.08,5103.33,10990.96
CHN-KOL,AirVista,Premium Economy,1.19,Peak,104,86.16,5056.57,13693.2
GOA-DEL,FlyIndia,Business,1.17,Regular,125,98.55,6319.85,15856.48
HYD-BOM,SkyJet,Economy,0.83,Holiday,104,103.97,10955.1,5767.66
DEL-MUM,SkyJet,Premium Economy,0.86,Peak,11,110.04,4457.86,12372.16
BLR-DEL,SkyJet,Economy,1.31,Peak,145,95.31,11779.6,10207.95
BLR-DEL,FlyIndia,Economy,0.79,Off-Peak,177,102.37,9323.2,4070.51
GOA-DEL,BharatAir,Economy,0.73,Off-Peak,43,106.19,3127.7,6874.2
CHN-KOL,IndiSky,Premium Economy,1.42,Peak,86,111.74,3265.18,18101.36
PUNE-BLR,SkyJet,Economy,1.41,Holiday,38,80.36,10488.34,10668.26
BLR-DEL,IndiSky,Business,1.37,Regular,173,82.38,2974.57,14837.7
CHN-KOL,FlyIndia,Economy,1.16,Holiday,78,85.72,9726.35,9717.2
PUNE-BLR,FlyIndia,Business,0.86,Off-Peak,9,100.14,11052.12,12561.53
DEL-MUM,SkyJet,Premium Economy,1.25,Holiday,83,94.45,6646.43,13394.36
PUNE-BLR,BharatAir,Economy,1.37,Off-Peak,5,122.64,6558.09,12011.22
BLR-DEL,SkyJet,Economy,0.65,Peak,53,127.51,11817.27,6794.44
GOA-DEL,SkyJet,Economy,0.73,Peak,37,108.56,6478.04,9829.16
BLR-DEL,BharatAir,Economy,1.13,Peak,61,107.01,8074.69,12317.69
HYD-BOM,IndiSky,Premium Economy,1.34,Regular,119,94.96,8675.1,10758.58
HYD-BOM,IndiSky,Economy,0.88,Off-Peak,8,120.68,10476.5,6609.1
DEL-MUM,FlyIndia,Premium Economy,0.98,Peak,112,83.93,3247.38,9487.54
DEL-MUM,AirVista,Economy,1.23,Peak,32,111.27,8508.09,13448.29
BLR-DEL,BharatAir,Premium Economy,1.1,Off-Peak,119,122.93,5251.94,9860.63
BLR-DEL,IndiSky,Economy,1.46,Regular,162,100.02,5369.11,8797.41
DEL-MUM,AirVista,Economy,0.74,Peak,31,82.72,10207.31,8028.38
GOA-DEL,AirVista,Premium Economy,0.98,Holiday,48,127.86,10697.48,15113.59
HYD-BOM,SkyJet,Premium Economy,1.13,Regular,165,125.5,6312.42,7334.24
BLR-DEL,FlyIndia,Economy,1.03,Regular,44,111.12,4238.94,9320.18
PUNE-BLR,AirVista,Economy,1.5,Off-Peak,98,117.58,7239.29,8846.75
BLR-DEL,FlyIndia,Economy,1.13,Holiday,31,121.96,5140.41,11918.46
DEL-MUM,AirVista,Economy,0.75,Regular,57,121.48,6202.51,5868.45
PUNE-BLR,IndiSky,Economy,0.97,Holiday,166,106.43,6224.17,5360.48
BLR-DEL,IndiSky,Economy,0.71,Off-Peak,1,95.7,7347.48,7381.38
BLR-DEL,SkyJet,Business,1.45,Holiday,125,88.5,2649.78,21325.98
CHN-KOL,IndiSky,Premium Economy,1.12,Peak,9,123.03,8178.46,18402.89
HYD-BOM,IndiSky,Economy,1.28,Peak,115,107.85,2751.87,10208.79
DEL-MUM,AirVista,Economy,1.24,Regular,92,109.22,10451.41,8905.96
PUNE-BLR,FlyIndia,Economy,0.64,Regular,21,107.72,11993.34,4486.65
DEL-MUM,FlyIndia,Premium Economy,1.09,Peak,119,118.33,3643.34,11822.0
HYD-BOM,AirVista,Premium Economy,1.06,Holiday,41,116.67,8330.75,12226.62
DEL-MUM,BharatAir,Economy,1.35,Peak,57,127.65,9442.16,14492.24
CHN-KOL,SkyJet,Premium Economy,0.61,Peak,31,107.89,3524.04,8329.04
GOA-DEL,FlyIndia,Economy,1.03,Regular,27,92.0,8896.63,10459.41
DEL-MUM,BharatAir,Economy,0.64,Regular,70,95.1,4442.59,4954.64
DEL-MUM,FlyIndia,Economy,1.15,Peak,7,107.36,4140.19,13207.1
DEL-MUM,SkyJet,Business,1.24,Off-Peak,63,126.07,6449.99,17986.27
HYD-BOM,SkyJet,Premium Economy,0.98,Regular,174,108.92,10513.22,5960.73
BLR-DEL,AirVista,Economy,0.73,Regular,108,98.33,7668.52,4770.32
DEL-MUM,FlyIndia,Business,1.05,Holiday,64,118.35,9777.45,18113.16
DEL-MUM,AirVista,Premium Economy,0.94,Regular,130,84.98,9476.51,7079.38
GOA-DEL,AirVista,Economy,0.83,Peak,139,89.2,11865.48,6710.58
DEL-MUM,IndiSky,Business,0.83,Off-Peak,56,129.39,6465.79,11259.27
GOA-DEL,SkyJet,Economy,0.99,Regular,25,105.66,6826.43,9334.81
PUNE-BLR,FlyIndia,Economy,0.9,Regular,128,81.05,9409.48,4798.49
PUNE-BLR,FlyIndia,Premium Economy,1.01,Peak,131,123.7,8901.71,9090.01
BLR-DEL,AirVista,Economy,1.23,Off-Peak,146,91.46,3833.09,8240.5
HYD-BOM,IndiSky,Economy,1.24,Off-Peak,86,98.68,8533.74,9033.22
PUNE-BLR,SkyJet,Premium Economy,0.73,Holiday,55,110.07,10721.07,8627.65
GOA-DEL,BharatAir,Economy,1.41,Peak,145,93.81,11537.52,11548.75
HYD-BOM,BharatAir,Economy,0.94,Peak,148,116.16,5271.22,5979.2
CHN-KOL,AirVista,Economy,1.06,Off-Peak,12,97.22,8187.29,10460.45
CHN-KOL,BharatAir,Economy,1.48,Regular,80,119.33,10852.66,11346.35
GOA-DEL,SkyJet,Economy,0.83,Regular,33,93.81,10393.45,8483.58
HYD-BOM,IndiSky,Economy,0.74,Holiday,26,113.94,11596.63,5589.16
BLR-DEL,AirVista,Economy,1.37,Peak,20,84.22,7726.36,16995.24
DEL-MUM,BharatAir,Economy,0.95,Off-Peak,170,129.52,10993.17,4938.25
PUNE-BLR,SkyJet,Business,1.1,Peak,112,124.06,11813.44,14698.24
DEL-MUM,AirVista,Economy,0.93,Holiday,111,84.12,5606.85,8123.62
DEL-MUM,FlyIndia,Economy,0.97,Regular,40,124.68,10073.04,7648.77
DEL-MUM,FlyIndia,Economy,1.35,Holiday,111,125.42,10642.95,9973.66
PUNE-BLR,SkyJet,Economy,1.25,Regular,143,82.09,4304.83,6324.07
PUNE-BLR,AirVista,Premium Economy,1.27,Holiday,81,88.97,10564.42,12220.22
BLR-DEL,FlyIndia,Economy,1.35,Regular,15,116.54,8016.11,13643.73
CHN-KOL,SkyJet,Economy,1.27,Holiday,175,102.93,4408.25,7522.79
BLR-DEL,FlyIndia,Premium Economy,0.99,Off-Peak,23,123.34,10146.62,12932.06
BLR-DEL,FlyIndia,Economy,0.82,Off-Peak,75,127.36,4416.38,6448.74
DEL-MUM,SkyJet,Economy,1.31,Peak,169,128.2,4056.73,8889.68
GOA-DEL,IndiSky,Economy,1.34,Peak,168,110.26,6186.78,10739.42
BLR-DEL,FlyIndia,Economy,0.7,Off-Peak,49,89.73,6844.08,7154.54
CHN-KOL,SkyJet,Economy,0.64,Regular,94,109.05,9283.24,4855.2
PUNE-BLR,IndiSky,Economy,0.67,Holiday,31,86.66,8576.55,5678.17
BLR-DEL,IndiSky,Premium Economy,0.95,Regular,53,89.37,7985.89,10645.73
CHN-KOL,AirVista,Economy,1.22,Holiday,97,93.55,6604.82,11349.26
BLR-DEL,BharatAir,Premium Economy,1.29,Off-Peak,88,109.65,3517.88,13682.65
BLR-DEL,SkyJet,Economy,0.93,Holiday,176,112.21,3623.7,6089.41
HYD-BOM,IndiSky,Economy,1.11,Peak,51,127.37,10751.37,10442.15
CHN-KOL,FlyIndia,Economy,1.44,Regular,62,108.68,9209.87,11609.45
BLR-DEL,IndiSky,Economy,1.27,Regular,135,104.13,3704.51,8526.7
HYD-BOM,SkyJet,Economy,1.33,Peak,101,94.36,6377.15,9837.11
DEL-MUM,BharatAir,Economy,0.86,Off-Peak,17,106.04,2592.05,7971.47
DEL-MUM,IndiSky,Economy,1.39,Peak,60,87.42,3172.68,13728.95
CHN-KOL,SkyJet,Economy,0.71,Off-Peak,116,89.07,4983.23,5172.29
CHN-KOL,BharatAir,Economy,0.99,Off-Peak,97,116.81,8947.22,8357.19
DEL-MUM,FlyIndia,Economy,1.06,Off-Peak,39,115.08,7187.5,8724.17
PUNE-BLR,FlyIndia,Economy,0.64,Peak,149,87.02,4280.87,3964.62
GOA-DEL,IndiSky,Economy,0.98,Off-Peak,37,118.99,4349.29,9972.6
HYD-BOM,AirVista,Economy,0.88,Regular,55,117.25,9237.26,5697.52
DEL-MUM,IndiSky,Economy,1.17,Off-Peak,51,86.05,10800.34,8707.26
DEL-MUM,SkyJet,Business,1.35,Peak,167,86.87,7534.75,15553.36
CHN-KOL,IndiSky,Economy,0.77,Peak,42,90.58,6924.57,8737.7
DEL-MUM,IndiSky,Economy,1.14,Off-Peak,101,96.12,10512.35,7358.83
GOA-DEL,SkyJet,Economy,0.85,Holiday,39,94.94,5421.24,9888.81
BLR-DEL,FlyIndia,Premium Economy,1.34,Peak,96,100.6,7045.87,17787.63
GOA-DEL,BharatAir,Economy,1.46,Regular,73,85.27,9812.09,11780.07
DEL-MUM,SkyJet,Economy,1.24,Peak,109,112.51,7056.01,10919.75
CHN-KOL,AirVista,Economy,0.88,Off-Peak,27,96.44,8373.85,8605.85
CHN-KOL,IndiSky,Economy,1.12,Off-Peak,95,105.57,4052.2,9341.82
PUNE-BLR,AirVista,Premium Economy,1.25,Holiday,17,111.22,11789.09,15874.7
PUNE-BLR,BharatAir,Economy,1.36,Off-Peak,54,86.03,2595.44,10106.45
DEL-MUM,IndiSky,Economy,1.08,Off-Peak,105,117.53,4585.01,8356.61
HYD-BOM,BharatAir,Economy,1.11,Peak,174,112.59,4125.4,6773.32
BLR-DEL,AirVista,Economy,1.22,Off-Peak,142,97.92,6084.66,8166.89
DEL-MUM,AirVista,Economy,1.14,Peak,77,122.54,2511.16,11003.33
PUNE-BLR,IndiSky,Economy,1.3,Holiday,143,100.06,6065.78,8679.81
HYD-BOM,IndiSky,Economy,1.23,Peak,78,119.04,2605.8,11130.31
DEL-MUM,FlyIndia,Premium Economy,1.38,Regular,174,120.58,5888.41,9458.22
PUNE-BLR,IndiSky,Premium Economy,1.32,Regular,151,105.3,3678.03,9092.43
PUNE-BLR,AirVista,Economy,0.73,Holiday,145,103.16,9701.45,5604.61
DEL-MUM,SkyJet,Premium Economy,1.06,Off-Peak,157,118.72,8485.43,7503.15
HYD-BOM,SkyJet,Premium Economy,0.79,Regular,6,108.74,9176.5,8893.03
CHN-KOL,BharatAir,Premium Economy,1.2,Off-Peak,117,112.18,2537.08,11432.39
PUNE-BLR,SkyJet,Premium Economy,0.75,Holiday,144,89.0,6004.66,5205.56
CHN-KOL,AirVista,Business,1.14,Peak,58,104.9,3706.16,22285.81
DEL-MUM,SkyJet,Premium Economy,0.71,Regular,137,84.33,10147.46,5060.83
BLR-DEL,BharatAir,Economy,0.61,Peak,65,112.75,7068.82,6884.57
PUNE-BLR,IndiSky,Economy,1.11,Regular,101,108.12,8688.86,7135.35
CHN-KOL,FlyIndia,Economy,1.05,Holiday,102,88.96,7655.7,8894.86
DEL-MUM,IndiSky,Economy,1.35,Holiday,5,106.07,7003.55,14621.24
DEL-MUM,AirVista,Economy,1.19,Regular,3,91.01,4243.74,10931.99
BLR-DEL,AirVista,Economy,1.17,Holiday,75,121.26,9339.6,11007.66
HYD-BOM,BharatAir,Business,1.21,Peak,110,84.96,10314.45,16720.15
BLR-DEL,SkyJet,Business,1.33,Off-Peak,50,98.33,4528.98,22572.45
PUNE-BLR,BharatAir,Economy,0.78,Holiday,112,109.16,4176.14,5439.8
PUNE-BLR,IndiSky,Economy,0.91,Peak,155,83.14,7576.48,5718.62
PUNE-BLR,AirVista,Economy,0.69,Off-Peak,134,87.58,11525.83,4171.52
PUNE-BLR,BharatAir,Economy,1.23,Off-Peak,136,84.27,9651.7,6801.98
GOA-DEL,FlyIndia,Premium Economy,1.35,Off-Peak,31,125.12,9085.58,17952.7
GOA-DEL,AirVista,Business,1.14,Holiday,142,120.72,5782.06,17245.29
BLR-DEL,FlyIndia,Economy,1.2,Peak,157,117.58,7814.69,9070.25
BLR-DEL,FlyIndia,Economy,1.28,Off-Peak,161,83.3,5035.47,7530.46
PUNE-BLR,BharatAir,Economy,0.63,Peak,27,110.59,6004.12,6577.95
DEL-MUM,IndiSky,Economy,1.39,Holiday,117,90.27,10103.24,10038.26
HYD-BOM,SkyJet,Economy,0.8,Peak,146,112.71,10589.87,5934.28
GOA-DEL,FlyIndia,Economy,0.77,Peak,61,94.42,4906.15,8425.46
HYD-BOM,AirVista,Economy,1.38,Off-Peak,3,101.57,7401.45,11495.62
PUNE-BLR,IndiSky,Economy,0.83,Off-Peak,121,112.72,8094.46,4919.99
BLR-DEL,AirVista,Business,1.49,Peak,134,117.8,9383.97,22513.43
GOA-DEL,SkyJet,Premium Economy,1.23,Peak,148,90.44,6883.49,12740.25
PUNE-BLR,SkyJet,Premium Economy,1.29,Regular,39,100.2,3475.06,12942.44
DEL-MUM,FlyIndia,Premium Economy,1.2,Off-Peak,178,109.93,9223.5,8873.24
BLR-DEL,SkyJet,Economy,0.99,Holiday,103,105.17,7830.56,8530.26
DEL-MUM,AirVista,Economy,1.47,Holiday,84,97.75,7282.69,12498.46
CHN-KOL,SkyJet,Economy,0.98,Holiday,172,128.11,10175.61,6855.67
BLR-DEL,IndiSky,Economy,1.41,Off-Peak,16,113.41,2879.67,15131.56
DEL-MUM,BharatAir,Economy,0.96,Regular,111,107.73,3754.8,6721.0
GOA-DEL,IndiSky,Economy,1.24,Regular,123,96.77,9973.78,9736.34
GOA-DEL,FlyIndia,Business,1.13,Regular,170,115.56,6640.38,12462.13
PUNE-BLR,IndiSky,Economy,0.93,Regular,40,101.82,8118.03,7069.07
GOA-DEL,IndiSky,Economy,0.99,Peak,38,81.8,5568.17,12726.91
HYD-BOM,SkyJet,Premium Economy,0.77,Regular,109,81.38,4934.9,7228.01
HYD-BOM,AirVista,Premium Economy,0.98,Holiday,50,107.89,6893.3,11368.8
PUNE-BLR,SkyJet,Economy,1.13,Regular,4,108.58,9372.39,9338.21
CHN-KOL,IndiSky,Economy,0.72,Off-Peak,170,118.52,10227.82,3828.11
PUNE-BLR,FlyIndia,Premium Economy,0.95,Regular,34,99.92,7383.01,9271.03
PUNE-BLR,AirVista,Business,0.72,Regular,3,119.52,11751.91,11319.99
DEL-MUM,SkyJet,Economy,1.07,Holiday,97,125.42,5589.56,9429.93
GOA-DEL,BharatAir,Economy,1.18,Peak,93,89.65,9991.71,12129.61
GOA-DEL,IndiSky,Premium Economy,1.41,Peak,78,108.87,9064.73,20730.19
GOA-DEL,IndiSky,Economy,0.9,Regular,128,112.91,3908.54,6603.53
CHN-KOL,FlyIndia,Economy,1.14,Off-Peak,26,107.36,5991.82,10929.88
HYD-BOM,SkyJet,Business,0.69,Off-Peak,140,116.19,4874.94,6743.15
PUNE-BLR,IndiSky,Economy,1.14,Off-Peak,98,88.25,8180.86,6514.94
PUNE-BLR,IndiSky,Economy,0.94,Holiday,173,96.47,3270.57,5044.73
HYD-BOM,IndiSky,Economy,0.72,Holiday,60,90.7,7967.09,6409.22
PUNE-BLR,IndiSky,Economy,1.41,Regular,68,107.75,9880.13,10203.87
DEL-MUM,SkyJet,Economy,1.36,Peak,137,101.99,11636.87,9786.22
PUNE-BLR,IndiSky,Economy,1.49,Off-Peak,169,107.49,11269.36,7168.46
BLR-DEL,AirVista,Business,0.67,Regular,3,87.68,6084.52,13768.41
GOA-DEL,IndiSky,Economy,0.78,Off-Peak,7,112.6,8528.97,8552.13
HYD-BOM,BharatAir,Economy,1.1,Regular,10,128.17,3901.41,10432.52
PUNE-BLR,SkyJet,Economy,1.18,Peak,140,84.84,6061.51,7699.15
GOA-DEL,FlyIndia,Economy,1.01,Regular,55,95.85,8358.2,10288.14
DEL-MUM,AirVista,Economy,1.39,Holiday,118,99.29,11166.55,10900.73
PUNE-BLR,BharatAir,Economy,1.15,Peak,79,125.26,9397.29,9979.01
PUNE-BLR,FlyIndia,Economy,0.78,Peak,45,96.26,10164.23,7262.09
DEL-MUM,BharatAir,Economy,1.49,Peak,72,97.43,9077.22,15097.39
PUNE-BLR,SkyJet,Economy,1.36,Peak,70,99.92,5389.67,11251.37
PUNE-BLR,FlyIndia,Business,1.24,Peak,51,80.22,11302.69,19426.72
HYD-BOM,BharatAir,Premium Economy,1.26,Peak,103,118.4,9862.43,13332.74
HYD-BOM,FlyIndia,Premium Economy,0.86,Off-Peak,75,119.09,4777.98,7653.96
DEL-MUM,FlyIndia,Economy,0.92,Regular,107,93.16,3245.28,5757.19
HYD-BOM,BharatAir,Economy,1.47,Off-Peak,130,121.62,11612.2,8726.14
PUNE-BLR,BharatAir,Economy,0.96,Off-Peak,75,107.34,4604.41,6826.22
DEL-MUM,AirVista,Economy,1.4,Regular,0,95.29,4081.39,12851.77
GOA-DEL,AirVista,Premium Economy,0.94,Peak,163,93.48,6778.59,9888.27
GOA-DEL,FlyIndia,Premium Economy,1.48,Regular,22,115.42,5003.59,20111.6
HYD-BOM,IndiSky,Economy,0.8,Holiday,169,108.34,10860.26,3998.88
HYD-BOM,BharatAir,Premium Economy,1.39,Off-Peak,32,104.57,3246.43,15318.29
PUNE-BLR,IndiSky,Economy,1.2,Off-Peak,155,86.95,4770.47,5836.22
PUNE-BLR,FlyIndia,Economy,0.64,Holiday,4,113.2,3503.42,6161.11
BLR-DEL,FlyIndia,Economy,0.66,Peak,77,106.96,11482.4,6928.25
BLR-DEL,FlyIndia,Premium Economy,1.29,Regular,178,104.04,7403.06,9477.57
PUNE-BLR,AirVista,Economy,0.8,Peak,115,124.35,4277.78,7059.58
GOA-DEL,SkyJet,Business,0.87,Peak,158,112.7,10809.19,12940.38
CHN-KOL,SkyJet,Business,0.91,Off-Peak,92,93.42,6109.37,12755.53
HYD-BOM,BharatAir,Economy,1.19,Regular,61,127.89,6441.05,8516.47
GOA-DEL,SkyJet,Economy,1.25,Off-Peak,52,111.25,5253.16,11697.57
DEL-MUM,BharatAir,Economy,0.89,Holiday,145,119.29,3738.51,6677.17
GOA-DEL,SkyJet,Economy,1.31,Peak,147,86.06,7253.92,10660.06
DEL-MUM,AirVista,Economy,1.21,Peak,33,110.64,3276.44,13076.84
CHN-KOL,SkyJet,Business,1.48,Holiday,133,112.8,3916.04,20000.94
CHN-KOL,IndiSky,Economy,0.75,Peak,169,80.23,9015.64,5153.9
CHN-KOL,AirVista,Economy,1.26,Holiday,175,105.48,11187.78,7936.89
CHN-KOL,BharatAir,Business,1.4,Holiday,72,100.23,6268.34,23444.85
PUNE-BLR,IndiSky,Economy,0.65,Off-Peak,128,113.68,3532.64,3094.08
PUNE-BLR,BharatAir,Economy,1.4,Holiday,8,102.48,9776.45,12919.25
BLR-DEL,AirVista,Premium Economy,1.42,Peak,125,112.57,9047.84,16147.74
HYD-BOM,IndiSky,Economy,0.61,Regular,68,99.34,7497.24,4767.35
BLR-DEL,AirVista,Business,0.91,Holiday,123,96.73,11976.03,12403.07
BLR-DEL,IndiSky,Premium Economy,0.9,Regular,28,87.56,2861.88,11452.21
BLR-DEL,IndiSky,Economy,1.22,Regular,62,98.51,8582.24,10425.75
GOA-DEL,AirVista,Economy,1.47,Regular,60,90.07,3193.91,13877.21
BLR-DEL,AirVista,Economy,1.04,Off-Peak,5,129.94,4620.66,10933.76
PUNE-BLR,IndiSky,Premium Economy,0.9,Holiday,164,126.71,6704.07,5360.09
DEL-MUM,IndiSky,Economy,1.06,Off-Peak,21,129.1,3567.5,9866.94
HYD-BOM,IndiSky,Business,0.77,Peak,63,98.33,3741.85,13478.68
BLR-DEL,AirVista,Economy,1.01,Regular,31,101.41,9762.66,9489.53
GOA-DEL,FlyIndia,Economy,1.26,Peak,82,109.81,10958.09,14564.47
PUNE-BLR,SkyJet,Economy,0.65,Off-Peak,19,119.33,5555.32,5341.52
PUNE-BLR,AirVista,Economy,1.1,Off-Peak,157,110.8,5903.9,5619.23
BLR-DEL,FlyIndia,Business,1.24,Holiday,156,98.26,9096.54,16671.49
PUNE-BLR,BharatAir,Premium Economy,1.5,Peak,103,96.29,4100.86,14980.43
GOA-DEL,AirVista,Economy,0.67,Regular,109,93.98,9845.21,4573.34
DEL-MUM,SkyJet,Economy,1.04,Holiday,39,109.73,3425.92,10305.95
DEL-MUM,BharatAir,Business,0.94,Regular,18,117.58,3398.68,14280.52
HYD-BOM,BharatAir,Economy,0.83,Off-Peak,68,99.05,11472.2,6288.42
HYD-BOM,SkyJet,Economy,1.5,Holiday,94,83.6,9436.65,10371.6
GOA-DEL,IndiSky,Economy,1.19,Regular,1,93.48,10534.81,13370.91
CHN-KOL,AirVista,Economy,0.63,Off-Peak,45,101.28,10393.7,5603.79
CHN-KOL,FlyIndia,Business,1.22,Off-Peak,15,94.75,5143.52,20433.18
HYD-BOM,BharatAir,Premium Economy,0.94,Peak,78,112.86,3804.53,10560.6
GOA-DEL,IndiSky,Economy,1.3,Regular,174,123.79,5105.1,8339.63
DEL-MUM,FlyIndia,Economy,1.11,Holiday,94,87.44,6370.97,9340.7
GOA-DEL,FlyIndia,Premium Economy,1.38,Holiday,118,100.43,11946.86,15799.67
CHN-KOL,IndiSky,Economy,1.46,Off-Peak,172,99.88,4304.93,7975.96
CHN-KOL,AirVista,Premium Economy,0.65,Peak,76,113.44,5136.28,8142.45
GOA-DEL,AirVista,Economy,1.21,Peak,104,88.42,4151.04,12118.33
PUNE-BLR,AirVista,Economy,1.05,Holiday,137,82.36,4328.13,5510.63
BLR-DEL,AirVista,Economy,1.0,Peak,121,82.39,10052.18,9838.34
DEL-MUM,IndiSky,Economy,0.76,Holiday,179,128.29,11106.97,4364.69
PUNE-BLR,AirVista,Economy,0.94,Peak,97,110.62,6430.39,7051.59
BLR-DEL,BharatAir,Economy,1.05,Peak,149,114.37,7575.62,9124.11
DEL-MUM,BharatAir,Economy,0.96,Holiday,82,121.72,10677.62,7513.84
HYD-BOM,BharatAir,Economy,1.41,Regular,153,106.7,4004.79,8532.76
HYD-BOM,AirVista,Economy,0.93,Off-Peak,163,97.34,3875.97,4143.42
BLR-DEL,AirVista,Premium Economy,0.94,Regular,147,99.6,9657.92,8052.28
GOA-DEL,AirVista,Economy,1.01,Holiday,125,108.01,11614.74,7939.73
CHN-KOL,AirVista,Economy,0.81,Peak,96,109.16,5786.36,9098.34
BLR-DEL,SkyJet,Business,0.61,Holiday,98,129.77,9103.86,10575.82
GOA-DEL,AirVista,Premium Economy,0.8,Regular,59,102.64,5615.75,9310.62
CHN-KOL,AirVista,Economy,0.8,Peak,114,89.76,9727.66,7186.58
CHN-KOL,FlyIndia,Premium Economy,0.92,Peak,169,118.45,11078.62,8820.51
GOA-DEL,FlyIndia,Premium Economy,1.12,Holiday,138,96.48,10690.8,10925.37
PUNE-BLR,BharatAir,Business,0.98,Peak,13,104.59,6698.51,17733.26
BLR-DEL,AirVista,Premium Economy,0.87,Holiday,76,105.92,8663.71,10206.01
DEL-MUM,BharatAir,Business,1.34,Off-Peak,112,104.86,5530.84,15826.73
CHN-KOL,FlyIndia,Economy,0.89,Holiday,74,117.78,5999.1,8191.26
CHN-KOL,IndiSky,Premium Economy,0.79,Off-Peak,90,86.7,4153.77,7985.63
BLR-DEL,SkyJet,Economy,1.32,Off-Peak,92,80.63,6603.81,10450.76
HYD-BOM,IndiSky,Economy,1.15,Off-Peak,11,91.57,5988.65,10668.23
GOA-DEL,FlyIndia,Economy,1.3,Peak,141,113.79,8549.38,11587.76
HYD-BOM,FlyIndia,Economy,0.68,Off-Peak,71,96.65,4504.73,4891.08
HYD-BOM,FlyIndia,Economy,1.17,Peak,127,83.73,10547.49,8677.51
CHN-KOL,BharatAir,Premium Economy,1.02,Off-Peak,70,93.74,10592.83,11318.39
BLR-DEL,BharatAir,Economy,1.13,Peak,110,85.89,3551.34,10254.27
DEL-MUM,SkyJet,Economy,0.84,Regular,131,104.68,4028.68,5171.72
BLR-DEL,IndiSky,Premium Economy,1.14,Off-Peak,103,118.04,8387.01,11831.64
GOA-DEL,AirVista,Economy,0.91,Peak,114,109.72,7235.61,8632.09
DEL-MUM,SkyJet,Premium Economy,0.68,Peak,73,92.71,11270.09,8255.11
CHN-KOL,SkyJet,Economy,0.99,Regular,39,121.87,11577.39,9220.95
PUNE-BLR,AirVista,Economy,0.64,Off-Peak,51,119.38,8053.08,4640.42
HYD-BOM,BharatAir,Economy,0.9,Holiday,179,108.68,5168.46,4823.79
PUNE-BLR,AirVista,Economy,0.73,Holiday,90,111.15,6094.83,5297.24
PUNE-BLR,IndiSky,Premium Economy,0.84,Off-Peak,174,110.13,5061.58,4838.91
BLR-DEL,SkyJet,Economy,1.1,Holiday,16,113.06,9998.19,13002.96
