stock_symbol,sector,days_since_listing,avg_trading_volume,pe_ratio,market_sentiment,quarterly_growth_percent,gdp_growth_percent,inflation_rate_percent,recent_news_score,beta_value,forecast_price_inr
RELIANCE,IT,1770,901239.0,41.08,-0.54,-4.39,5.3,7.62,-1.37,0.94,168.01
ICICIBANK,Banking,2149,766306.0,6.64,-0.25,15.41,6.18,3.4,1.97,1.15,168.02
TCS,Infrastructure,1311,1308336.0,24.75,0.2,24.62,8.17,5.2,-0.35,1.03,212.91
TCS,IT,3849,1071868.0,35.19,-0.45,28.05,4.58,4.3,-0.98,0.99,245.7
WIPRO,IT,1226,518938.0,5.0,0.45,1.67,6.87,5.56,-1.87,1.25,158.73
TCS,Energy,1651,1265119.0,9.7,-0.31,13.95,4.27,5.42,-1.34,1.05,141.09
ITC,Finance,3764,1049638.0,37.99,0.57,25.17,8.57,6.33,0.5,0.85,203.59
RELIANCE,Energy,3022,1063249.0,20.62,-0.45,23.24,4.25,6.76,0.11,0.91,160.77
INFY,Energy,4258,903010.0,39.92,0.36,28.3,3.87,4.81,-0.53,0.83,244.88
HDFCBANK,IT,4933,1253709.0,14.17,-0.83,12.01,3.9,5.85,0.05,1.46,154.46
HDFCBANK,Infrastructure,1357,560949.0,28.82,0.98,25.76,5.59,5.26,1.93,1.07,242.71
SBIN,Infrastructure,700,627950.0,36.79,0.76,29.21,6.31,6.13,0.78,0.96,278.64
ICICIBANK,Banking,4607,1024995.0,14.12,-0.84,3.08,4.66,3.77,-0.57,1.35,170.82
SBIN,IT,647,1101471.0,21.75,0.79,21.89,5.61,5.69,0.95,1.05,200.91
LT,Finance,1359,1146736.0,23.75,0.82,24.29,8.08,5.4,1.82,0.77,217.28
ITC,IT,4747,851956.0,28.56,-0.92,-2.4,4.52,3.09,0.4,0.92,179.44
RELIANCE,Energy,2604,1324381.0,20.93,-0.64,23.96,7.45,4.41,1.11,0.96,209.89
ADANIENT,Finance,212,1113524.0,13.56,0.46,13.23,5.39,3.74,-0.81,0.96,187.03
ICICIBANK,Finance,1979,1247204.0,18.07,-0.08,-1.97,6.13,7.56,-0.52,0.73,148.11
ITC,Finance,3265,1123699.0,15.52,0.73,22.2,6.28,4.5,0.39,1.14,201.65
WIPRO,Finance,1109,1212146.0,36.92,0.89,-1.93,4.21,6.65,-1.0,0.84,188.56
ADANIENT,Energy,759,834949.0,33.02,0.93,-3.45,5.61,7.14,0.12,0.9,172.86
TCS,IT,1166,1230855.0,47.12,0.21,5.52,3.38,6.73,-1.69,0.51,187.62
WIPRO,Finance,4257,1147685.0,27.1,-0.61,8.29,4.44,5.27,1.75,0.5,157.93
INFY,Finance,595,1316338.0,12.26,0.16,18.56,4.68,4.42,-1.57,0.5,188.58
ITC,Energy,2564,485885.0,32.18,-0.73,15.59,3.76,4.02,1.39,0.94,200.6
ICICIBANK,Banking,1094,852567.0,34.59,-0.63,13.1,5.39,3.11,-1.25,0.83,229.59
SBIN,Infrastructure,1913,1391144.0,35.91,-0.46,7.28,8.98,5.05,0.6,0.99,202.31
HDFCBANK,IT,4224,1477583.0,17.68,0.19,-5.71,4.51,4.31,-0.44,1.21,125.52
WIPRO,IT,4732,1475006.0,32.74,0.29,-5.27,5.25,7.17,1.41,0.94,180.07
ADANIENT,Energy,2448,1062171.0,28.6,0.89,24.74,7.82,4.05,-1.31,0.8,230.95
INFY,IT,4910,1039454.0,33.61,0.15,18.25,3.67,6.43,-0.43,0.92,213.36
TCS,IT,1295,1210037.0,20.9,-0.03,-4.93,7.42,5.65,1.0,1.05,159.57
RELIANCE,IT,1411,707631.0,28.48,-0.43,6.32,5.64,6.18,1.79,0.89,201.51
WIPRO,Infrastructure,1565,657586.0,48.91,0.04,-9.61,3.63,7.89,-1.4,0.94,183.8
WIPRO,Finance,2542,1069910.0,33.24,-0.7,-7.17,4.23,7.13,1.85,1.3,190.81
INFY,Finance,2472,1513467.0,25.85,-0.64,0.46,7.49,6.16,-1.68,0.73,160.9
ITC,Energy,1152,627863.0,20.51,0.47,17.15,8.41,4.98,-1.88,1.09,197.01
HDFCBANK,Infrastructure,378,1021868.0,18.94,0.4,9.74,3.89,3.1,-1.64,0.79,153.54
WIPRO,Energy,2909,1071939.0,21.97,-0.72,-2.5,8.09,4.42,1.19,1.02,145.74
ICICIBANK,Energy,3956,817536.0,15.44,0.56,-2.21,6.17,7.28,-1.71,0.91,161.62
WIPRO,Finance,43,787924.0,21.43,0.49,18.37,5.72,7.52,-0.78,0.79,192.96
TCS,Banking,3581,1387354.0,5.17,-0.76,24.95,5.56,3.26,-1.76,0.73,167.53
RELIANCE,Infrastructure,3584,944085.0,18.08,-0.73,11.2,3.06,7.51,0.85,0.86,166.18
WIPRO,Infrastructure,4323,1233724.0,32.44,-0.58,8.63,5.4,4.11,1.15,0.82,195.52
LT,Infrastructure,121,534210.0,25.16,-0.36,23.74,8.07,3.89,-1.75,1.13,221.22
ADANIENT,Infrastructure,763,759442.0,22.26,-0.4,2.3,5.38,3.6,-0.15,0.98,136.71
ITC,Banking,4570,905647.0,31.76,-0.18,9.14,7.6,3.4,-0.99,1.05,202.44
ITC,Banking,1702,1322099.0,7.4,-0.79,20.79,8.73,4.34,-0.97,0.64,136.97
TCS,Infrastructure,4602,676896.0,25.66,0.3,9.18,8.04,7.07,0.5,1.22,206.56
SBIN,Infrastructure,3291,824665.0,23.8,-0.34,14.73,5.8,6.0,-0.88,1.47,221.6
LT,Infrastructure,1329,1072742.0,33.89,0.02,-3.46,3.91,5.77,1.43,0.91,150.23
ITC,Infrastructure,719,1486292.0,17.75,0.25,29.11,6.21,7.51,-0.55,0.79,219.8
HDFCBANK,IT,1502,911110.0,15.89,-0.76,-9.6,5.71,5.99,0.85,0.92,136.43
HDFCBANK,Banking,670,1020603.0,36.96,0.5,-1.22,7.93,7.1,1.87,0.9,188.86
HDFCBANK,Infrastructure,131,464055.0,20.88,0.3,-3.16,5.84,7.11,-0.58,0.85,147.22
ADANIENT,Energy,3608,694081.0,20.97,-0.28,5.09,6.04,3.81,1.3,1.22,143.03
HDFCBANK,IT,4769,1173447.0,31.37,0.7,-9.95,6.97,4.68,-0.02,1.04,175.01
ITC,Finance,3853,1093156.0,25.0,-0.2,5.01,4.32,4.39,0.14,1.13,177.71
INFY,Banking,2659,534191.0,13.71,0.56,-9.55,6.43,3.44,0.18,1.17,171.81
RELIANCE,Finance,1792,1245482.0,7.18,0.62,4.27,7.59,7.45,0.15,1.15,168.47
TCS,IT,784,948092.0,38.15,0.01,-5.04,6.05,4.93,1.96,1.15,144.79
RELIANCE,Energy,4385,1053186.0,33.61,-0.07,20.32,3.85,4.26,-1.01,1.12,224.1
INFY,Energy,1223,1179758.0,45.38,0.55,15.2,6.03,5.17,1.1,0.61,200.85
ITC,Banking,1049,1230815.0,10.38,0.15,18.11,8.76,7.53,1.78,1.28,203.55
ADANIENT,Banking,2171,1006805.0,20.57,0.29,-9.84,3.4,6.57,-1.66,0.95,84.01
TCS,IT,2619,1124372.0,23.49,-0.64,4.76,3.11,7.65,0.37,1.1,159.14
WIPRO,Finance,3340,947263.0,10.84,-0.0,-4.92,6.1,3.14,-0.26,1.19,142.77
INFY,Energy,3869,948622.0,28.52,-0.83,22.2,5.02,4.42,1.31,1.36,219.2
HDFCBANK,Finance,582,996399.0,46.08,0.31,9.24,6.6,7.0,0.26,1.02,228.19
TCS,IT,1281,977979.0,33.18,0.12,16.06,6.01,5.36,1.82,0.9,222.27
TCS,Finance,3022,1008334.0,25.71,-0.64,11.71,5.44,7.24,-1.26,0.65,184.21
ITC,IT,633,1208501.0,22.84,0.04,8.96,5.48,4.63,0.46,0.63,184.77
HDFCBANK,Infrastructure,1090,786227.0,11.35,-0.56,-2.66,3.55,3.39,1.99,1.0,143.75
LT,Infrastructure,1659,999673.0,30.86,0.65,18.8,5.75,5.59,-0.31,0.79,197.57
SBIN,Finance,1797,1193563.0,25.32,-0.8,22.9,8.34,6.7,1.71,1.03,219.42
SBIN,Banking,4930,1249609.0,44.33,-0.27,-1.46,7.4,3.53,1.65,1.07,210.44
RELIANCE,IT,2478,1039972.0,18.62,0.17,-2.94,4.71,7.99,-1.61,1.05,142.68
ICICIBANK,Finance,2270,1128664.0,5.0,-0.87,11.37,4.89,7.68,-0.33,1.11,154.24
TCS,Energy,4876,1198517.0,7.86,-0.7,28.0,4.76,4.07,-0.95,0.71,199.79
HDFCBANK,Finance,3227,1127572.0,30.39,-0.83,20.11,6.64,7.84,1.05,1.11,187.82
HDFCBANK,Banking,2917,729413.0,22.83,0.8,17.73,3.87,3.4,1.29,1.23,182.42
LT,Energy,2790,838689.0,39.35,0.63,3.82,6.05,7.52,-1.05,1.51,199.65
ITC,Infrastructure,4971,614287.0,33.0,0.5,12.38,6.63,3.75,0.84,1.07,237.01
LT,Banking,473,1028413.0,31.19,-0.87,0.68,8.57,5.57,-0.54,0.98,180.87
ADANIENT,Energy,4402,943248.0,18.98,0.22,4.75,4.67,6.39,0.14,0.83,134.33
TCS,Energy,1434,754021.0,31.28,-0.59,22.01,6.25,6.0,-1.84,0.95,203.37
HDFCBANK,Finance,961,1369675.0,15.46,0.31,24.06,3.05,4.99,1.03,1.04,160.75
RELIANCE,Energy,3250,824847.0,43.82,-0.42,0.13,6.79,7.12,-1.77,0.99,163.52
WIPRO,Energy,2864,812880.0,26.45,-0.14,10.64,4.12,6.04,0.39,0.99,173.01
HDFCBANK,Banking,685,1411917.0,17.16,0.31,13.56,7.8,4.1,-0.23,1.09,198.79
ADANIENT,Finance,3826,1060154.0,36.15,0.51,18.99,5.46,4.05,0.04,1.04,231.02
TCS,Infrastructure,4485,1070335.0,22.22,-0.58,8.46,3.77,6.81,0.99,1.2,124.58
HDFCBANK,Energy,3762,1130639.0,30.5,-0.19,-5.89,3.56,4.37,0.22,1.0,121.31
RELIANCE,Banking,134,611037.0,42.9,0.2,18.31,3.81,3.18,0.93,0.81,243.03
ICICIBANK,Banking,170,760144.0,8.4,0.01,12.44,4.21,3.49,-0.47,0.9,160.39
TCS,IT,2797,748143.0,28.96,-0.29,10.14,6.63,4.93,-1.67,0.66,197.33
RELIANCE,Energy,3566,500433.0,5.0,0.92,22.32,6.77,7.49,-1.82,0.82,196.05
HDFCBANK,IT,1731,1113921.0,38.22,0.34,-8.4,3.51,6.68,1.49,1.35,126.06
ICICIBANK,Finance,3089,1185214.0,31.54,0.11,-4.72,6.58,7.55,1.85,0.6,171.55
INFY,Energy,2346,995099.0,13.66,-0.33,21.47,7.65,5.66,1.81,0.9,208.19
TCS,Infrastructure,1566,704105.0,34.71,0.42,7.43,6.58,4.48,-0.63,0.85,170.44
SBIN,Energy,3768,1101422.0,35.83,-0.13,13.65,7.01,5.5,-0.5,1.14,187.67
HDFCBANK,Banking,4820,637285.0,32.27,-0.93,2.92,7.21,3.55,0.78,1.06,214.69
LT,IT,1609,827809.0,32.92,-0.94,0.25,3.18,7.88,0.41,0.94,173.45
INFY,Energy,911,848257.0,41.79,0.12,8.5,4.49,4.2,-1.47,0.82,218.82
WIPRO,Infrastructure,2391,1615328.0,6.62,0.14,18.94,3.28,7.5,0.82,1.46,147.48
LT,IT,4668,892762.0,27.71,0.54,22.54,4.47,6.26,-1.17,1.06,221.38
WIPRO,IT,4550,716363.0,17.92,-0.2,10.56,8.54,6.61,-0.58,1.06,171.28
TCS,Finance,4158,720748.0,22.75,0.58,28.96,8.97,6.83,0.43,0.87,239.18
TCS,Banking,2666,944964.0,28.94,0.82,3.01,3.79,3.39,-0.16,1.19,161.01
SBIN,Energy,382,1572703.0,34.9,-0.61,21.54,8.72,4.84,1.55,0.84,204.35
ITC,IT,3378,657283.0,5.0,0.15,17.64,8.04,4.56,1.79,0.9,197.74
HDFCBANK,Finance,1123,1403592.0,10.88,0.32,-4.07,8.23,4.91,-0.55,1.25,134.77
HDFCBANK,Energy,1999,692608.0,31.1,0.09,4.7,4.23,6.39,1.57,1.08,175.94
WIPRO,Infrastructure,2356,985572.0,27.79,0.45,-0.0,8.65,3.7,1.6,1.26,222.11
HDFCBANK,IT,839,1268055.0,28.64,-0.67,13.92,8.24,7.26,0.23,0.74,168.43
TCS,IT,910,1092487.0,21.55,-0.34,-6.76,4.72,7.29,-1.76,1.0,167.16
WIPRO,Banking,3884,1030992.0,24.73,-0.57,13.02,7.72,4.58,-1.17,0.91,154.9
SBIN,Finance,2784,799771.0,44.91,0.11,21.07,6.33,5.54,1.84,0.84,215.23
WIPRO,IT,3604,1186147.0,9.53,-0.12,28.47,5.91,4.32,1.5,0.98,176.85
LT,Infrastructure,369,969131.0,31.81,0.1,26.92,6.46,5.53,0.92,0.72,270.82
ITC,Finance,1211,553120.0,12.33,-0.69,5.09,4.52,7.54,-1.9,1.23,121.51
INFY,Banking,4435,940243.0,9.23,0.3,15.39,8.71,5.46,0.5,1.12,189.45
WIPRO,IT,1740,724797.0,22.33,0.93,-4.1,7.36,6.77,1.45,0.89,155.99
SBIN,Infrastructure,437,794340.0,23.37,-0.81,5.0,4.53,3.51,1.3,0.98,193.88
RELIANCE,Infrastructure,1990,1442020.0,26.48,-0.37,14.67,6.68,4.21,0.62,0.77,194.68
ADANIENT,Banking,2089,954715.0,42.46,-0.23,26.49,8.34,6.17,1.85,1.28,263.14
WIPRO,IT,2770,818491.0,14.3,0.81,19.04,7.12,3.08,-1.31,1.05,202.1
ICICIBANK,Infrastructure,2989,1600194.0,16.61,-0.35,22.27,5.44,4.22,-0.3,1.23,205.8
LT,IT,923,812294.0,40.35,-0.3,17.69,8.72,7.32,-0.44,0.55,232.74
HDFCBANK,Energy,883,628763.0,25.77,-0.2,2.17,7.55,3.37,-1.19,1.18,201.55
WIPRO,Banking,4009,1497232.0,26.94,-0.99,27.06,5.91,7.08,0.67,0.86,200.78
ADANIENT,Energy,1610,1046907.0,14.73,0.54,21.0,8.35,3.15,-1.86,1.09,216.58
ADANIENT,Finance,3079,1343880.0,16.11,0.56,-0.41,6.81,6.76,-1.38,0.96,116.78
SBIN,IT,4283,456722.0,10.65,-0.47,-6.86,3.34,6.38,0.49,0.91,100.27
INFY,Infrastructure,1183,733769.0,40.95,0.66,28.37,8.89,5.08,1.64,1.24,292.9
ADANIENT,Infrastructure,1451,1316269.0,24.32,0.09,-1.14,3.01,7.38,-1.63,0.75,138.78
HDFCBANK,Finance,2446,1050137.0,27.87,-0.39,-3.34,6.66,3.01,0.34,0.91,167.05
LT,IT,1949,820532.0,34.54,-0.46,8.02,7.12,6.32,0.04,0.83,198.67
WIPRO,Banking,2759,689136.0,25.21,0.42,0.54,6.57,7.26,0.89,1.38,188.71
HDFCBANK,IT,3920,1191642.0,15.52,0.13,25.2,6.22,7.95,-0.7,1.03,179.46
HDFCBANK,Finance,3790,955528.0,14.54,-0.02,-6.86,3.39,3.8,0.28,1.49,138.8
RELIANCE,Infrastructure,1357,760596.0,8.73,-0.72,-0.44,7.26,4.92,-1.98,0.97,110.79
LT,Infrastructure,3676,933047.0,38.43,0.33,-5.78,8.67,7.51,0.21,0.95,167.93
HDFCBANK,Finance,4597,812298.0,35.76,0.08,27.82,7.4,5.01,-1.76,0.9,219.5
ADANIENT,Infrastructure,3253,781677.0,34.81,-0.04,10.64,4.34,6.27,0.44,0.94,226.72
ITC,Energy,3278,635683.0,26.44,0.77,-2.51,7.65,6.24,-1.28,1.03,181.1
HDFCBANK,Energy,3525,1225327.0,13.11,0.31,24.99,7.93,6.38,1.45,1.07,194.27
INFY,Banking,4716,966253.0,5.0,-0.46,5.2,3.16,4.01,-1.42,0.88,112.77
WIPRO,Infrastructure,3037,1256531.0,29.58,0.92,6.59,5.17,3.27,0.81,1.2,207.85
LT,Infrastructure,1943,1432821.0,11.52,0.25,1.59,3.37,7.1,1.24,0.97,179.55
WIPRO,Finance,1764,1013478.0,16.2,0.57,-4.79,7.93,5.96,1.52,0.85,158.83
TCS,Finance,4261,1498722.0,10.44,-0.76,10.02,7.95,7.66,-0.18,0.76,185.39
WIPRO,Infrastructure,2665,1249562.0,20.14,0.23,-6.73,3.29,5.27,-1.43,0.98,151.09
INFY,Finance,166,902602.0,18.78,0.31,-4.04,7.33,7.68,0.8,1.12,183.52
SBIN,Energy,1118,1291930.0,40.22,-0.99,17.43,6.53,5.2,-1.65,0.89,204.42
SBIN,Energy,2227,748505.0,11.89,0.02,26.58,5.78,3.52,-0.73,1.0,173.94
ADANIENT,Finance,3451,1025847.0,23.56,-0.19,5.87,7.49,3.98,0.6,1.04,169.42
LT,Banking,3921,1231782.0,40.47,0.35,-5.65,7.19,5.52,0.35,0.93,173.25
ADANIENT,Banking,4912,1088800.0,30.18,-0.1,20.64,4.02,5.48,0.96,0.8,217.38
WIPRO,IT,2737,1150802.0,34.66,0.3,17.57,8.19,5.1,0.55,1.16,184.67
TCS,IT,2586,1305115.0,27.27,-0.23,11.04,3.08,3.49,1.25,1.26,190.17
INFY,Banking,275,1553276.0,23.75,-0.33,29.9,4.71,3.62,1.61,1.07,217.75
RELIANCE,Banking,3379,939278.0,14.44,-0.7,-8.48,6.39,3.58,-0.97,1.0,110.46
SBIN,IT,4768,1172649.0,23.86,-0.26,15.61,3.17,7.18,0.47,0.86,191.41
HDFCBANK,Finance,3117,653698.0,31.28,-0.6,-7.08,5.3,4.14,-0.22,0.74,118.32
RELIANCE,Infrastructure,475,985788.0,16.84,1.0,-1.07,8.42,5.7,0.26,0.87,156.8
SBIN,Infrastructure,3913,931783.0,27.16,0.87,7.7,5.95,4.75,1.02,0.93,212.79
ICICIBANK,Energy,4632,1208534.0,20.57,0.96,-5.51,7.62,7.12,-0.4,0.84,145.23
ICICIBANK,Energy,2088,987756.0,19.82,-0.27,-4.77,4.73,6.77,-0.47,1.17,153.08
LT,IT,588,1079663.0,29.13,-0.14,20.58,5.75,5.62,1.33,0.81,214.01
ICICIBANK,Energy,4907,1141776.0,34.15,0.19,25.61,7.36,5.97,0.12,1.03,249.66
ITC,Banking,2253,696609.0,25.6,0.57,2.86,3.68,4.43,-1.8,1.09,161.74
INFY,Finance,3686,1397278.0,40.83,0.23,4.33,4.85,5.48,-1.18,1.04,154.8
ICICIBANK,IT,1539,904646.0,19.88,-0.27,17.77,4.08,5.02,-1.22,0.93,198.65
ICICIBANK,Infrastructure,1189,1169405.0,7.24,-0.35,-3.26,7.98,4.35,1.81,1.16,134.48
ITC,Energy,701,608304.0,16.42,-0.44,20.93,6.67,5.34,1.34,1.08,193.4
ITC,Energy,729,1049945.0,23.36,0.19,-6.1,4.89,4.96,1.46,1.16,184.51
HDFCBANK,Energy,3097,1503174.0,7.96,0.5,-6.22,6.92,7.28,-1.13,0.9,152.79
ITC,Infrastructure,3183,1203964.0,40.84,-0.24,27.78,4.61,5.35,0.09,0.85,217.59
ADANIENT,Infrastructure,1099,1122193.0,18.09,-0.86,19.21,5.13,3.23,1.23,1.17,194.29
INFY,IT,236,1269693.0,25.12,-0.46,23.83,3.78,3.14,-1.73,1.03,204.5
HDFCBANK,Finance,997,1138223.0,36.36,-0.15,23.24,7.18,6.24,-1.66,1.24,206.6
HDFCBANK,IT,401,1155997.0,30.97,-0.41,1.13,7.81,3.55,0.1,1.04,184.56
HDFCBANK,Banking,4132,960932.0,19.46,0.31,-4.51,6.57,3.76,-1.25,1.18,136.13
ADANIENT,Infrastructure,2787,1023545.0,29.78,0.75,0.97,3.39,4.22,-0.34,1.01,179.57
ADANIENT,Finance,3312,714917.0,33.37,-0.7,6.3,8.42,3.83,1.33,1.2,228.31
TCS,Banking,2865,1361439.0,38.14,-0.18,29.78,6.47,6.16,1.31,1.14,258.44
ITC,Energy,1319,1317510.0,21.78,-0.2,-2.4,5.8,4.6,0.41,0.75,125.75
INFY,Energy,1008,777765.0,33.76,0.34,1.1,5.78,4.85,1.24,1.38,167.73
TCS,IT,696,1418312.0,31.12,-0.66,-3.05,3.94,4.32,0.25,0.89,138.42
INFY,Finance,3056,991965.0,44.95,-0.91,-2.3,8.59,4.11,1.74,1.35,212.16
SBIN,Infrastructure,1105,757762.0,18.01,-0.9,21.8,5.27,5.85,-1.59,0.87,197.64
LT,Finance,1922,1118067.0,13.18,0.93,26.24,4.14,5.42,1.77,0.95,210.15
HDFCBANK,Energy,2469,852534.0,21.71,0.22,6.55,4.97,3.58,-1.6,1.0,192.07
SBIN,IT,4682,817418.0,26.59,0.37,11.37,5.95,6.93,-1.4,1.26,150.53
ADANIENT,IT,320,852651.0,35.85,0.67,24.43,8.7,5.78,-0.49,0.67,228.98
HDFCBANK,Energy,2372,1183348.0,31.29,0.07,-3.66,7.19,7.99,1.51,0.84,158.96
RELIANCE,IT,4917,1091725.0,33.74,-0.31,-4.21,3.58,3.12,1.28,0.85,148.55
ITC,IT,3401,983818.0,32.59,-0.22,20.14,7.67,5.88,-1.43,1.26,222.87
HDFCBANK,Banking,3502,646436.0,16.66,0.12,28.38,8.04,4.48,-1.37,0.8,197.96
INFY,IT,210,1079215.0,16.6,0.17,3.84,4.0,3.91,0.21,0.92,154.24
INFY,IT,3176,1160077.0,43.19,0.99,17.81,7.09,4.12,-0.64,0.82,222.6
ADANIENT,Finance,4807,1258478.0,14.35,-0.09,3.12,3.29,6.08,1.39,1.48,176.96
ADANIENT,Banking,4891,1819503.0,18.73,-0.61,20.43,4.6,4.4,1.76,0.73,205.93
ADANIENT,Energy,3569,1290550.0,15.31,0.54,26.12,8.56,6.74,1.57,1.0,190.09
ITC,Banking,752,921472.0,19.88,-0.34,24.49,5.81,5.57,1.82,0.9,213.22
ADANIENT,Banking,490,1097502.0,42.88,-0.02,7.68,6.53,6.45,1.31,0.92,197.29
WIPRO,Energy,4056,966615.0,5.0,0.04,15.95,5.49,4.13,1.81,1.16,170.72
INFY,Finance,276,1348301.0,40.89,-0.01,2.76,8.91,7.27,-0.5,1.35,182.76
HDFCBANK,Banking,1043,1080830.0,21.28,0.51,4.73,4.36,6.98,-0.06,0.99,181.45
RELIANCE,Infrastructure,1721,823566.0,24.54,-0.73,-3.04,7.23,3.46,1.16,1.15,192.12
HDFCBANK,Energy,4256,1293774.0,9.4,-0.97,7.28,4.91,4.36,-1.74,1.08,167.16
TCS,Energy,917,1333851.0,21.32,-0.54,4.69,8.34,7.33,-1.13,0.95,142.19
INFY,Infrastructure,3585,1006029.0,26.21,0.35,15.47,5.84,6.79,0.28,1.06,199.26
SBIN,Finance,614,1021687.0,12.36,-0.33,-1.56,6.16,3.34,0.1,1.29,163.52
HDFCBANK,IT,3882,1170445.0,49.35,-0.85,23.88,5.0,3.5,1.75,0.71,267.49
INFY,IT,2472,666761.0,40.9,-0.45,24.08,8.58,5.09,1.01,0.91,252.02
INFY,Energy,4210,1082675.0,31.4,-0.76,-5.57,3.59,3.81,1.79,0.99,193.02
ICICIBANK,Finance,3556,1317395.0,26.62,-0.01,-3.56,3.95,3.53,1.84,1.4,208.05
SBIN,IT,2257,953700.0,25.03,0.52,14.79,7.41,7.6,0.25,1.03,197.39
ADANIENT,Finance,4339,1130953.0,24.0,0.19,9.94,6.27,3.87,-0.56,1.21,217.51
ICICIBANK,IT,3642,1013368.0,5.0,-0.49,26.93,3.56,6.71,-1.63,0.63,177.09
HDFCBANK,IT,4343,1713388.0,22.88,0.67,28.22,4.1,5.61,0.98,0.96,236.91
INFY,Banking,3820,798228.0,57.63,0.58,13.38,6.85,6.93,-1.43,0.68,259.26
ITC,IT,4397,1106561.0,33.84,0.15,1.24,8.98,4.62,-1.5,1.17,199.25
WIPRO,Finance,2046,753029.0,36.82,0.25,5.14,7.31,6.14,1.78,1.24,194.69
ITC,Finance,3437,895164.0,16.57,0.21,0.79,6.42,3.19,-1.5,1.01,166.27
LT,Energy,2892,1073218.0,26.56,0.32,21.57,7.27,3.17,1.31,1.1,199.97
HDFCBANK,Banking,3021,1024525.0,27.87,0.21,15.71,4.24,3.55,1.14,0.73,211.13
ITC,Finance,885,811432.0,33.81,-0.22,21.5,4.66,7.19,-0.56,1.22,218.74
LT,Finance,250,1230636.0,44.24,0.37,-6.63,5.17,3.53,-0.36,0.91,158.78
WIPRO,Banking,1477,1553534.0,38.55,-0.48,26.55,6.3,6.16,0.59,0.71,188.18
WIPRO,Energy,1852,999994.0,11.2,-0.29,19.07,8.93,5.1,-1.15,1.38,177.36
ADANIENT,Finance,2096,845130.0,30.5,0.66,-8.63,5.43,7.28,0.34,1.0,134.02
SBIN,IT,1796,1364379.0,29.48,0.53,1.83,4.83,4.81,0.55,0.64,123.47
HDFCBANK,Finance,787,950501.0,19.99,-0.33,-0.28,7.63,3.9,0.68,1.07,155.64
INFY,Finance,2264,1122197.0,21.69,-0.38,25.07,3.82,4.1,-1.63,0.91,248.15
SBIN,Banking,197,1277213.0,19.89,-0.27,13.68,3.25,6.35,-0.35,1.13,153.58
HDFCBANK,Energy,2048,1044925.0,28.33,0.38,-9.04,3.81,5.43,-0.88,1.24,151.35
ICICIBANK,Banking,3834,920333.0,39.86,-0.07,-4.72,7.66,4.55,1.98,0.95,191.42
HDFCBANK,Infrastructure,3028,956303.0,39.91,0.63,-6.91,8.12,5.11,-0.33,0.89,156.91
TCS,Infrastructure,873,947495.0,38.44,-0.75,0.78,7.57,4.94,-0.03,1.06,192.8
TCS,IT,2615,590300.0,30.37,-0.91,0.99,5.12,3.37,1.93,0.83,177.01
TCS,Infrastructure,4226,1393400.0,16.67,0.08,0.92,8.59,6.49,0.19,1.12,153.13
WIPRO,IT,1745,686152.0,29.64,-0.67,-4.32,5.77,5.63,0.2,0.98,143.82
LT,IT,4937,1091057.0,16.71,-0.89,5.47,6.74,3.8,1.49,0.81,152.85
TCS,Infrastructure,3798,1381577.0,36.51,0.98,27.04,8.25,4.43,-0.58,0.77,264.6
ICICIBANK,Finance,3242,899164.0,27.08,-0.0,11.37,5.3,7.25,-1.46,0.9,173.78
INFY,IT,4503,676758.0,21.57,0.95,5.98,4.92,7.52,0.46,1.18,160.31
HDFCBANK,Energy,753,813126.0,20.24,-0.51,22.95,6.21,5.06,0.5,1.26,191.63
ADANIENT,Banking,1856,1056132.0,21.93,0.53,22.29,8.42,6.61,0.01,0.84,189.04
ADANIENT,Finance,2892,1188939.0,32.14,-0.8,22.77,3.35,6.09,-1.96,0.98,189.89
INFY,Finance,3264,1323657.0,22.0,-0.23,17.05,7.86,3.38,0.24,0.91,167.58
HDFCBANK,IT,1660,1256309.0,32.01,-0.68,-0.06,6.74,5.89,1.56,1.09,187.17
WIPRO,Banking,2369,1013332.0,25.66,0.63,-2.39,4.16,6.68,0.37,0.81,130.77
INFY,Banking,4124,1096674.0,34.89,0.48,6.01,4.16,3.11,-1.28,1.25,193.0
LT,Banking,450,1012320.0,30.6,-0.23,11.6,5.61,4.34,0.31,0.96,224.21
ICICIBANK,Infrastructure,1217,1036445.0,30.48,0.35,2.35,5.5,7.91,-0.38,0.63,137.33
ADANIENT,Finance,1156,773006.0,10.86,-0.25,12.57,7.4,3.0,-0.04,0.57,160.55
ADANIENT,Infrastructure,4226,1217741.0,18.32,0.14,29.87,4.82,5.15,0.62,1.15,183.92
LT,Energy,1700,882234.0,15.59,-0.02,3.56,6.69,3.06,-0.54,0.9,159.3
ITC,Finance,2638,846291.0,33.11,0.17,-8.22,5.71,5.37,0.58,0.86,159.95
HDFCBANK,IT,1480,1378073.0,22.96,-0.46,29.93,7.62,7.01,0.93,0.92,242.66
ICICIBANK,IT,2175,1154730.0,31.32,-0.74,16.65,5.41,6.7,-1.02,0.92,206.66
LT,Energy,3526,572057.0,29.72,0.24,1.03,7.54,6.98,-1.4,1.03,154.08
INFY,IT,4885,1109924.0,18.64,0.56,-9.97,3.46,4.99,-1.72,0.92,113.66
TCS,Banking,406,835795.0,37.06,0.94,-1.93,7.86,6.77,0.87,1.19,230.64
