Sample_ID,Soil_Texture,pH_Level,Organic_Matter_Percent,Nitrogen_Content_ppm,Phosphorus_Content_ppm,Potassium_Content_ppm,Calcium_Content_ppm,Magnesium_Content_ppm,Sulfur_Content_ppm,Moisture_Content_Percent,Electrical_Conductivity_dS/m,Geographical_Region,Soil_Type
SOIL00274,Silty,6.53,1.12,39,13,158,1501,11,17,19.68,2.4,North,Neutral Soil
SOIL00275,Clayey,8.9,9.5,8,10,141,795,78,18,10.66,0.72,East,Alkaline Soil
SOIL00276,Peaty,6.54,8.79,49,12,189,208,379,59,8.69,0.45,East,Neutral Soil
SOIL00277,Chalky,7.35,9.13,9,6,243,1893,416,14,17.53,1.17,South,Light Soil
SOIL00278,Silty,6.73,4.49,14,11,272,605,460,18,22.46,0.5,South,Neutral Soil
SOIL00279,Clayey,8.51,7.28,46,10,176,505,340,64,12.79,1.5,North,Alkaline Soil
SOIL00280,Clayey,8.05,6.12,8,35,63,1880,458,52,24.43,0.79,Central,Alkaline Soil
SOIL00281,Peaty,5.51,4.45,12,19,63,385,129,29,16.04,2.38,North,Neutral Soil
SOIL00282,Peaty,5.77,4.98,15,39,287,1130,482,9,13.95,0.25,North,Neutral Soil
SOIL00283,Sandy,6.26,1.95,19,16,71,1982,483,74,14.11,0.22,East,Light Soil
SOIL00284,Sandy,4.56,5.5,17,29,79,1352,83,39,5.05,0.97,South,Light Soil
SOIL00285,Loamy,6.79,3.03,11,8,200,109,128,91,26.22,2.42,North,Neutral Soil
SOIL00286,Peaty,4.6,0.97,39,21,280,927,346,73,21.74,0.31,North,Acidic Soil
SOIL00287,Clayey,6.96,9.65,20,21,243,558,62,30,17.55,0.5,East,Neutral Soil
SOIL00288,Chalky,7.74,10.0,13,8,225,323,148,24,8.21,2.3,North,Light Soil
SOIL00289,Peaty,5.69,4.1,11,37,252,1006,251,34,24.05,2.42,Central,Neutral Soil
SOIL00290,Peaty,7.17,1.67,44,4,166,629,17,71,13.21,1.6,North,Neutral Soil
SOIL00291,Clayey,5.05,3.62,16,7,99,1218,95,45,14.27,0.99,East,Acidic Soil
SOIL00292,Chalky,7.87,5.0,48,14,281,1030,395,56,19.63,0.76,East,Light Soil
SOIL00293,Loamy,8.18,8.86,7,12,79,678,384,95,16.76,0.45,Central,Alkaline Soil
SOIL00294,Peaty,8.41,3.49,16,12,258,1907,290,42,8.92,0.68,East,Alkaline Soil
SOIL00295,Loamy,7.63,3.97,5,20,148,1886,175,32,26.73,1.52,North,Neutral Soil
SOIL00296,Chalky,5.48,7.13,40,18,122,946,467,37,9.41,1.28,East,Light Soil
SOIL00297,Clayey,8.22,7.4,34,27,289,481,291,27,22.78,0.34,West,Alkaline Soil
SOIL00298,Sandy,6.34,2.17,27,19,239,1462,173,14,5.26,2.37,East,Light Soil
SOIL00299,Sandy,6.93,6.48,46,17,111,371,76,14,19.02,1.95,West,Light Soil
SOIL00300,Silty,8.58,9.38,37,26,294,1862,322,51,23.57,1.12,South,Alkaline Soil
SOIL00301,Peaty,7.49,7.73,32,5,122,231,487,75,21.96,0.74,East,Neutral Soil
SOIL00302,Sandy,8.24,4.3,9,34,247,582,122,25,15.72,0.43,West,Light Soil
SOIL00303,Silty,6.77,6.01,18,33,261,113,444,14,15.09,1.11,East,Neutral Soil
SOIL00304,Silty,4.99,7.31,12,27,257,460,314,45,10.46,0.28,South,Acidic Soil
SOIL00305,Sandy,6.26,9.37,35,32,135,144,449,86,12.91,1.46,Central,Light Soil
SOIL00306,Chalky,8.58,4.95,33,32,219,1417,293,49,23.19,0.39,East,Light Soil
SOIL00307,Loamy,5.28,3.2,49,28,147,450,142,76,13.33,1.15,West,Acidic Soil
SOIL00308,Peaty,8.56,6.64,22,8,127,341,242,10,16.81,2.18,South,Alkaline Soil
SOIL00309,Peaty,8.44,2.27,24,33,79,1320,282,42,16.84,0.31,West,Alkaline Soil
SOIL00310,Clayey,7.73,7.01,22,7,60,466,42,10,14.58,1.98,Central,Neutral Soil
SOIL00311,Chalky,7.24,7.19,38,28,272,1789,124,51,19.19,1.57,North,Light Soil
SOIL00312,Silty,6.78,3.82,10,29,205,600,297,51,24.61,0.59,North,Neutral Soil
SOIL00313,Peaty,7.05,7.72,46,22,92,1130,427,56,10.06,2.23,North,Neutral Soil
SOIL00314,Sandy,8.53,0.53,5,26,106,593,138,47,12.16,0.88,South,Light Soil
SOIL00315,Chalky,8.72,4.44,13,9,154,1300,386,83,29.98,2.11,North,Light Soil
SOIL00316,Peaty,5.89,0.53,5,30,267,537,54,98,17.8,1.02,South,Neutral Soil
SOIL00317,Sandy,7.55,2.32,13,21,168,993,498,73,8.67,0.45,North,Light Soil
SOIL00318,Silty,6.94,4.53,9,37,117,714,246,33,22.13,0.89,East,Neutral Soil
SOIL00319,Peaty,7.35,7.37,33,23,87,1871,311,64,8.45,2.19,East,Neutral Soil
SOIL00320,Silty,8.82,5.71,10,3,65,900,119,20,13.75,1.06,East,Alkaline Soil
SOIL00321,Sandy,5.74,9.0,41,33,260,1231,315,33,12.22,1.55,South,Light Soil
SOIL00322,Peaty,8.74,7.55,26,33,86,865,308,41,14.96,0.79,West,Alkaline Soil
SOIL00323,Clayey,5.58,9.6,36,14,121,1444,487,23,18.24,2.15,East,Neutral Soil
SOIL00324,Peaty,5.24,3.88,23,10,252,338,374,17,13.19,0.69,East,Acidic Soil
SOIL00325,Sandy,7.24,5.23,24,19,105,506,60,39,7.13,0.36,Central,Light Soil
SOIL00326,Chalky,8.95,2.78,13,14,215,155,480,31,12.64,0.69,East,Light Soil
SOIL00327,Loamy,6.45,6.51,24,13,289,1965,253,58,19.32,1.25,South,Neutral Soil
SOIL00328,Clayey,5.92,5.21,38,6,246,1344,405,96,20.12,0.36,West,Neutral Soil
SOIL00329,Sandy,4.79,9.61,34,11,273,1693,216,15,23.8,1.18,East,Light Soil
SOIL00330,Chalky,8.49,8.35,33,11,209,1058,342,15,9.54,1.7,West,Light Soil
SOIL00331,Sandy,6.16,4.65,44,18,74,1291,348,76,23.7,2.13,West,Light Soil
SOIL00332,Sandy,4.73,9.83,22,31,235,1828,243,66,27.4,2.22,Central,Light Soil
SOIL00333,Loamy,8.32,5.09,12,31,288,163,208,61,12.05,2.27,West,Alkaline Soil
SOIL00334,Sandy,6.05,5.07,44,19,273,1445,330,10,6.48,0.72,South,Light Soil
SOIL00335,Silty,6.13,9.82,23,38,224,1649,295,87,18.89,0.92,South,Neutral Soil
SOIL00336,Sandy,8.66,9.56,9,23,149,1319,130,35,11.36,2.33,South,Light Soil
SOIL00337,Peaty,7.57,7.44,35,29,132,1330,32,23,16.66,2.15,North,Neutral Soil
SOIL00338,Silty,8.56,3.59,38,9,206,225,481,68,21.74,1.43,East,Alkaline Soil
SOIL00339,Chalky,8.2,1.59,6,31,239,623,266,93,22.4,2.4,Central,Light Soil
SOIL00340,Clayey,7.96,5.13,20,27,104,1773,370,47,11.75,1.34,West,Neutral Soil
SOIL00341,Clayey,5.65,5.78,19,35,275,392,33,82,8.86,1.13,South,Neutral Soil
SOIL00342,Peaty,8.53,8.46,35,15,194,1119,127,92,5.12,1.26,East,Alkaline Soil
SOIL00343,Sandy,6.93,5.34,18,26,91,1047,319,61,24.35,2.18,South,Light Soil
SOIL00344,Silty,6.62,6.61,13,21,112,1275,51,99,28.85,0.43,South,Neutral Soil
SOIL00345,Peaty,7.38,1.7,49,15,89,836,265,8,13.55,1.71,East,Neutral Soil
SOIL00346,Peaty,5.24,5.66,17,15,112,1003,357,38,26.5,1.16,East,Acidic Soil
SOIL00347,Peaty,5.6,3.97,45,12,186,254,43,41,16.75,0.41,Central,Neutral Soil
SOIL00348,Chalky,7.91,3.8,14,9,296,753,11,76,21.09,0.31,Central,Light Soil
SOIL00349,Sandy,6.89,3.29,38,3,111,1772,122,59,23.5,1.71,South,Light Soil
SOIL00350,Peaty,8.85,2.42,26,4,255,1061,200,96,17.45,2.46,West,Alkaline Soil
SOIL00351,Clayey,7.4,8.07,6,14,167,1979,294,74,18.23,0.81,South,Neutral Soil
SOIL00352,Clayey,6.47,5.23,23,15,205,1264,65,89,28.47,0.74,South,Neutral Soil
SOIL00353,Clayey,7.51,4.82,30,33,218,1568,419,79,24.33,1.25,West,Neutral Soil
SOIL00354,Chalky,5.67,4.58,40,37,165,893,376,55,5.47,0.26,West,Light Soil
SOIL00355,Loamy,6.71,2.59,29,37,263,380,445,57,6.79,0.42,North,Neutral Soil
SOIL00356,Clayey,7.53,6.36,24,39,252,1560,145,13,28.04,0.22,Central,Neutral Soil
SOIL00357,Chalky,6.12,4.17,37,27,160,1470,167,80,24.64,2.24,North,Light Soil
SOIL00358,Silty,7.8,1.79,39,4,238,696,211,15,19.08,0.67,East,Neutral Soil
SOIL00359,Loamy,8.0,5.32,46,39,242,262,25,15,21.46,1.18,South,Neutral Soil
SOIL00360,Clayey,5.54,8.62,15,34,73,1495,357,10,10.55,0.12,West,Neutral Soil
SOIL00361,Sandy,6.81,3.51,18,3,104,733,419,21,7.03,0.69,Central,Light Soil
SOIL00362,Silty,8.97,0.91,17,7,199,951,83,90,26.15,1.21,Central,Alkaline Soil
SOIL00363,Chalky,6.92,2.96,15,24,140,1368,468,66,18.08,2.41,North,Light Soil
SOIL00364,Chalky,5.22,9.2,31,10,62,1229,61,82,18.02,0.36,North,Light Soil
SOIL00365,Clayey,6.76,6.79,33,18,121,963,187,31,6.32,0.83,South,Neutral Soil
SOIL00366,Sandy,7.19,3.04,16,19,186,1442,396,66,25.9,1.1,North,Light Soil
SOIL00367,Silty,5.84,4.98,18,30,214,1871,112,88,28.6,1.97,West,Neutral Soil
SOIL00368,Loamy,7.13,4.55,12,7,226,1743,290,93,23.77,2.22,North,Neutral Soil
SOIL00369,Loamy,7.04,2.9,34,30,163,1281,314,71,7.61,1.77,East,Neutral Soil
SOIL00370,Loamy,5.34,9.07,11,33,199,1039,457,58,27.79,0.91,West,Acidic Soil
SOIL00371,Sandy,5.1,2.36,8,26,243,678,453,75,13.39,1.06,West,Light Soil
SOIL00372,Clayey,7.96,5.39,44,8,167,1230,266,66,13.52,2.07,North,Neutral Soil
SOIL00373,Peaty,7.83,1.22,8,29,167,965,207,94,20.19,1.66,North,Neutral Soil
SOIL00374,Peaty,5.56,6.4,14,12,181,797,54,69,13.29,2.08,South,Neutral Soil
SOIL00375,Chalky,7.27,9.35,44,30,53,1248,380,73,20.19,1.94,North,Light Soil
SOIL00376,Sandy,7.43,9.52,31,33,110,438,74,41,28.43,1.06,Central,Light Soil
SOIL00377,Sandy,6.75,4.64,17,18,182,1663,82,84,9.66,0.45,Central,Light Soil
SOIL00378,Chalky,7.48,6.92,46,7,135,307,421,30,27.52,0.29,North,Light Soil
SOIL00379,Loamy,6.6,0.61,32,38,242,1629,370,64,14.52,1.85,Central,Neutral Soil
SOIL00380,Loamy,6.26,2.91,21,29,170,1763,441,33,13.03,1.83,North,Neutral Soil
SOIL00381,Peaty,7.29,0.59,5,31,114,1848,398,23,24.17,1.18,South,Neutral Soil
SOIL00382,Chalky,7.81,9.37,28,7,112,849,347,30,15.51,1.81,West,Light Soil
SOIL00383,Loamy,4.82,7.2,33,25,194,1899,137,52,14.44,0.66,North,Acidic Soil
SOIL00384,Chalky,6.62,2.32,37,17,90,1687,385,53,11.42,1.32,Central,Light Soil
SOIL00385,Silty,7.69,6.68,43,5,299,1486,230,70,20.64,2.23,West,Neutral Soil
SOIL00386,Chalky,7.69,4.62,12,6,103,1900,298,24,7.47,1.91,North,Light Soil
SOIL00387,Peaty,7.7,6.53,40,15,148,1741,437,14,17.98,1.97,South,Neutral Soil
SOIL00388,Sandy,8.79,1.12,11,8,191,176,133,38,5.2,2.36,East,Light Soil
SOIL00389,Silty,8.75,9.79,31,29,168,1809,17,80,8.57,0.27,Central,Alkaline Soil
SOIL00390,Peaty,5.75,2.55,29,4,212,1818,135,84,24.49,0.51,West,Neutral Soil
SOIL00391,Chalky,6.11,1.28,36,4,214,442,328,6,20.06,1.75,Central,Light Soil
SOIL00392,Silty,7.92,4.52,33,36,66,516,303,66,11.55,2.41,East,Neutral Soil
SOIL00393,Clayey,4.5,9.0,44,10,220,385,98,93,16.28,2.28,South,Acidic Soil
SOIL00394,Chalky,4.53,4.01,47,18,239,1353,180,16,7.27,0.37,West,Light Soil
SOIL00395,Sandy,4.57,3.8,27,14,205,1903,384,50,10.57,2.42,South,Light Soil
SOIL00396,Sandy,5.96,1.45,19,14,273,1391,315,22,16.98,0.98,West,Light Soil
SOIL00397,Peaty,8.52,2.41,14,12,257,918,418,88,15.53,0.61,North,Alkaline Soil
SOIL00398,Loamy,8.06,1.6,49,37,294,1788,353,42,8.16,0.45,West,Alkaline Soil
SOIL00399,Chalky,6.54,9.07,25,18,229,1904,84,57,21.77,1.08,South,Light Soil
SOIL00400,Loamy,7.92,1.15,32,38,205,1965,130,44,9.01,0.92,South,Neutral Soil
SOIL00401,Silty,7.18,7.32,16,38,54,127,223,93,23.33,1.59,East,Neutral Soil
SOIL00402,Loamy,5.79,9.37,8,15,95,1792,456,44,29.33,0.34,South,Neutral Soil
SOIL00403,Chalky,4.6,3.89,15,31,72,1732,119,91,10.79,0.58,East,Light Soil
SOIL00404,Sandy,8.69,5.44,39,35,207,1765,234,24,11.36,0.74,East,Light Soil
SOIL00405,Loamy,4.63,8.34,37,35,229,552,140,7,19.61,1.92,West,Acidic Soil
SOIL00406,Loamy,7.32,3.81,18,21,98,1521,301,46,5.77,0.76,South,Neutral Soil
SOIL00407,Silty,6.19,2.84,49,10,250,1401,319,78,11.19,0.42,East,Neutral Soil
SOIL00408,Clayey,6.32,6.85,45,29,148,1646,365,46,11.25,2.44,West,Neutral Soil
SOIL00409,Silty,6.91,3.98,39,4,135,883,82,26,16.75,2.26,East,Neutral Soil
SOIL00410,Chalky,6.16,7.43,31,28,217,1758,59,33,18.38,1.97,Central,Light Soil
SOIL00411,Chalky,6.68,3.65,40,14,85,1751,247,49,5.69,0.38,North,Light Soil
SOIL00412,Sandy,4.94,8.79,7,9,293,1393,197,76,27.86,1.13,East,Light Soil
SOIL00413,Sandy,8.04,2.58,24,5,123,577,266,64,11.38,0.42,West,Light Soil
SOIL00414,Silty,8.85,4.13,26,19,259,1919,314,58,23.0,2.47,North,Alkaline Soil
SOIL00415,Sandy,6.6,1.99,14,28,61,1204,315,64,12.06,2.28,Central,Light Soil
SOIL00416,Silty,7.13,4.73,10,9,195,833,100,35,12.07,1.16,East,Neutral Soil
SOIL00417,Peaty,6.59,8.85,20,31,136,1074,355,21,28.25,0.12,East,Neutral Soil
SOIL00418,Peaty,6.5,8.64,21,25,170,697,159,24,11.86,0.37,Central,Neutral Soil
SOIL00419,Chalky,4.93,5.1,33,6,199,274,433,46,27.1,0.21,West,Light Soil
SOIL00420,Clayey,8.82,4.3,14,24,187,1678,375,60,24.1,1.6,Central,Alkaline Soil
SOIL00421,Peaty,4.54,3.82,14,33,74,879,239,63,8.25,1.31,South,Acidic Soil
SOIL00422,Chalky,4.7,4.21,36,30,116,925,351,29,21.34,1.43,West,Light Soil
SOIL00423,Sandy,4.68,3.82,29,36,205,146,430,10,15.08,0.69,South,Light Soil
SOIL00424,Peaty,7.54,1.28,17,16,200,1187,310,16,8.58,1.42,South,Neutral Soil
SOIL00425,Sandy,6.07,3.25,30,39,128,290,347,10,22.62,1.7,Central,Light Soil
SOIL00426,Sandy,5.81,1.52,35,25,283,1635,107,68,10.69,0.81,South,Light Soil
SOIL00427,Chalky,4.61,3.89,37,3,240,871,449,40,9.9,0.43,North,Light Soil
SOIL00428,Silty,7.63,7.79,19,37,217,398,279,21,18.41,0.84,Central,Neutral Soil
SOIL00429,Sandy,8.61,7.21,49,8,119,1833,330,41,11.23,0.36,West,Light Soil
SOIL00430,Chalky,5.39,1.94,37,22,98,1815,310,71,16.67,0.19,West,Light Soil
SOIL00431,Chalky,6.27,3.8,45,34,123,133,276,12,5.93,2.33,North,Light Soil
SOIL00432,Silty,5.07,6.18,25,36,271,814,319,9,27.06,1.23,South,Acidic Soil
SOIL00433,Peaty,7.58,2.89,11,23,173,1357,219,66,19.25,0.79,East,Neutral Soil
SOIL00434,Peaty,7.45,1.54,44,31,281,684,217,46,21.64,1.03,West,Neutral Soil
SOIL00435,Sandy,8.12,1.1,25,28,236,554,398,33,6.81,2.03,North,Light Soil
SOIL00436,Peaty,7.99,1.43,33,6,209,1760,143,29,25.38,1.11,East,Neutral Soil
SOIL00437,Silty,8.16,3.38,27,12,228,419,274,49,22.99,0.9,South,Alkaline Soil
SOIL00438,Peaty,8.57,0.7,8,24,67,1989,363,42,8.69,1.38,North,Alkaline Soil
SOIL00439,Loamy,7.27,7.32,38,8,293,583,354,57,17.34,1.8,East,Neutral Soil
SOIL00440,Peaty,6.93,2.18,35,23,137,1393,13,78,12.82,2.08,Central,Neutral Soil
SOIL00441,Peaty,8.13,5.28,17,27,256,715,416,99,28.71,1.17,West,Alkaline Soil
SOIL00442,Sandy,5.33,9.24,28,24,78,570,43,18,28.94,1.76,East,Light Soil
SOIL00443,Sandy,8.54,3.06,13,12,135,1627,154,46,14.26,1.28,South,Light Soil
SOIL00444,Peaty,7.18,4.54,6,35,246,1880,385,98,24.98,2.2,East,Neutral Soil
SOIL00445,Sandy,6.93,2.95,46,34,237,920,231,16,24.48,0.75,South,Light Soil
SOIL00446,Peaty,5.86,3.42,41,29,239,357,214,63,7.46,0.32,South,Neutral Soil
SOIL00447,Chalky,5.82,6.93,48,38,268,133,140,36,15.14,1.98,South,Light Soil
SOIL00448,Silty,4.91,0.84,45,38,119,965,460,32,28.62,0.18,South,Acidic Soil
SOIL00449,Peaty,5.45,3.02,9,31,124,963,263,83,21.08,1.34,West,Acidic Soil
SOIL00450,Sandy,8.63,9.72,26,34,162,549,421,73,7.25,1.06,West,Light Soil
SOIL00451,Sandy,6.53,3.28,37,21,248,1861,368,29,21.13,2.34,South,Light Soil
SOIL00452,Peaty,7.7,5.96,19,13,257,1651,311,98,17.54,2.49,East,Neutral Soil
SOIL00453,Sandy,5.56,8.95,9,19,227,1526,167,95,29.21,1.97,South,Light Soil
SOIL00454,Loamy,7.51,5.97,44,28,125,947,394,67,5.07,0.36,East,Neutral Soil
SOIL00455,Silty,5.38,4.4,43,11,236,307,326,13,17.99,1.75,Central,Acidic Soil
SOIL00456,Clayey,8.3,3.28,10,32,246,674,374,69,7.69,1.03,Central,Alkaline Soil
SOIL00457,Chalky,8.85,9.41,44,5,106,1319,478,76,29.26,0.19,East,Light Soil
SOIL00458,Chalky,6.09,5.14,24,7,87,1476,181,94,11.2,1.91,West,Light Soil
SOIL00459,Sandy,4.64,7.77,47,13,272,1065,408,44,7.27,1.28,West,Light Soil
SOIL00460,Clayey,7.13,5.93,21,19,228,395,396,35,15.97,1.4,Central,Neutral Soil
SOIL00461,Sandy,7.41,5.47,23,35,154,1139,199,59,29.8,1.46,South,Light Soil
SOIL00462,Chalky,8.47,5.4,16,9,215,300,193,88,13.13,0.24,East,Light Soil
SOIL00463,Chalky,5.71,5.7,26,21,143,1956,153,28,7.87,0.63,South,Light Soil
SOIL00464,Sandy,8.79,3.83,9,7,192,206,208,42,7.13,1.51,North,Light Soil
SOIL00465,Peaty,7.9,9.25,24,36,74,564,252,94,10.07,2.0,Central,Neutral Soil
SOIL00466,Chalky,6.77,8.53,30,37,104,687,127,10,5.76,1.93,Central,Light Soil
SOIL00467,Loamy,5.54,5.6,25,10,100,226,178,35,8.21,0.43,South,Neutral Soil
SOIL00468,Sandy,5.97,4.29,21,22,298,1761,57,59,29.52,0.53,Central,Light Soil
SOIL00469,Clayey,8.53,7.19,42,14,221,742,103,82,11.97,0.36,South,Alkaline Soil
SOIL00470,Peaty,6.67,8.18,13,32,250,1804,499,24,9.19,1.55,Central,Neutral Soil
SOIL00471,Chalky,6.84,9.02,34,7,131,1481,142,50,7.92,1.01,East,Light Soil
SOIL00472,Silty,7.57,5.08,18,26,110,1622,52,49,18.32,1.31,West,Neutral Soil
SOIL00473,Chalky,6.49,5.71,38,22,289,758,481,53,24.23,1.25,West,Light Soil
SOIL00474,Sandy,7.9,0.54,24,5,225,1241,71,6,26.79,2.23,Central,Light Soil
SOIL00475,Sandy,6.0,6.1,43,31,60,856,454,94,14.28,0.25,Central,Light Soil
SOIL00476,Silty,5.92,5.52,8,12,88,678,410,61,14.48,2.2,North,Neutral Soil
SOIL00477,Clayey,8.44,6.76,46,35,76,533,231,6,20.69,0.38,West,Alkaline Soil
SOIL00478,Silty,5.9,5.38,19,16,116,1241,129,24,21.22,1.03,Central,Neutral Soil
SOIL00479,Clayey,7.87,5.0,36,38,104,439,151,17,20.87,2.14,North,Neutral Soil
SOIL00480,Sandy,6.59,3.7,14,19,244,813,154,7,10.59,2.33,South,Light Soil
SOIL00481,Sandy,5.95,3.19,31,36,171,1955,463,42,16.4,1.46,East,Light Soil
SOIL00482,Loamy,8.12,0.5,43,16,156,1312,79,19,29.93,0.94,South,Alkaline Soil
SOIL00483,Silty,4.58,2.06,19,34,269,106,340,52,9.31,2.17,North,Acidic Soil
SOIL00484,Chalky,7.74,6.97,42,35,186,969,428,8,7.46,0.67,North,Light Soil
SOIL00485,Chalky,6.0,1.79,45,22,259,863,410,48,15.35,2.1,Central,Light Soil
SOIL00486,Sandy,5.89,9.23,49,12,125,804,121,69,21.44,1.92,North,Light Soil
SOIL00487,Sandy,6.88,3.82,34,15,131,1213,68,99,25.81,1.45,East,Light Soil
SOIL00488,Sandy,7.06,2.14,22,36,205,1969,55,55,28.86,1.7,South,Light Soil
SOIL00489,Clayey,8.4,3.28,7,23,229,1686,25,24,22.87,2.28,South,Alkaline Soil
SOIL00490,Clayey,4.96,3.4,23,38,143,1929,34,90,7.61,1.27,South,Acidic Soil
SOIL00491,Silty,7.91,9.14,9,18,177,621,46,8,27.61,2.44,South,Neutral Soil
SOIL00492,Peaty,8.86,6.44,5,10,146,1094,150,41,10.87,2.27,Central,Alkaline Soil
SOIL00493,Chalky,5.41,6.78,22,9,250,1524,196,46,26.94,1.77,West,Light Soil
SOIL00494,Chalky,6.05,9.34,37,29,296,1210,17,73,10.76,1.13,Central,Light Soil
SOIL00495,Silty,7.15,3.8,28,10,57,1599,404,16,13.56,0.85,East,Neutral Soil
SOIL00496,Peaty,6.84,6.78,16,8,152,1622,79,33,15.11,1.99,East,Neutral Soil
SOIL00497,Clayey,5.46,7.73,11,15,97,1287,497,63,25.4,1.22,East,Acidic Soil
SOIL00498,Chalky,8.38,1.7,44,23,180,1718,283,34,20.95,0.4,South,Light Soil
SOIL00499,Silty,7.88,0.86,32,37,278,581,467,83,19.9,0.39,East,Neutral Soil
SOIL00500,Chalky,7.98,2.79,34,29,69,827,423,76,23.94,0.86,North,Light Soil
SOIL00501,Chalky,6.19,9.72,8,34,206,637,486,29,17.19,1.21,South,Light Soil
SOIL00502,Clayey,5.32,2.12,39,24,70,1428,405,98,22.66,2.03,South,Acidic Soil
SOIL00503,Chalky,8.73,8.68,21,31,94,417,268,19,6.5,0.22,Central,Light Soil
SOIL00504,Sandy,8.27,4.99,14,11,150,1353,486,25,6.65,0.29,West,Light Soil
SOIL00505,Clayey,7.45,7.93,42,17,87,1258,377,74,10.32,1.45,North,Neutral Soil
SOIL00506,Sandy,8.28,3.33,35,27,285,602,330,30,13.0,1.72,Central,Light Soil
SOIL00507,Clayey,7.64,7.73,12,15,100,1188,342,36,21.58,1.84,West,Neutral Soil
SOIL00508,Loamy,8.08,9.46,18,14,129,429,313,74,17.42,2.15,West,Alkaline Soil
SOIL00509,Sandy,5.8,5.64,46,13,233,1529,58,82,15.56,0.7,South,Light Soil
SOIL00510,Silty,8.0,1.25,32,13,243,384,213,76,8.97,1.66,North,Neutral Soil
SOIL00511,Sandy,7.33,6.65,17,31,260,1029,189,66,14.57,2.1,North,Light Soil
SOIL00512,Silty,6.55,2.88,22,3,69,230,81,96,20.32,1.61,North,Neutral Soil
SOIL00513,Loamy,6.06,2.25,37,26,295,1654,101,90,18.79,0.75,East,Neutral Soil
SOIL00514,Peaty,7.13,1.19,12,3,156,782,309,82,22.23,2.13,North,Neutral Soil
SOIL00515,Clayey,7.06,2.85,25,37,246,793,327,57,10.93,0.81,North,Neutral Soil
SOIL00516,Loamy,6.13,7.33,12,23,54,1052,319,20,9.5,1.27,East,Neutral Soil
SOIL00517,Peaty,4.58,9.69,18,36,278,715,27,96,23.83,1.32,West,Acidic Soil
SOIL00518,Silty,6.87,8.06,18,22,277,357,220,34,24.86,1.84,South,Neutral Soil
SOIL00519,Silty,7.64,9.22,40,27,64,302,411,60,26.53,2.19,West,Neutral Soil
SOIL00520,Sandy,8.59,3.92,40,14,91,1790,137,24,14.48,2.42,North,Light Soil
SOIL00521,Sandy,7.1,8.8,46,23,184,872,43,99,29.5,2.08,Central,Light Soil
SOIL00522,Sandy,5.99,1.51,28,38,274,1776,211,71,17.63,1.76,North,Light Soil
SOIL00523,Loamy,6.1,8.73,47,21,163,814,470,22,27.03,0.64,North,Neutral Soil
SOIL00524,Chalky,7.51,0.54,23,5,65,1880,339,93,7.28,2.48,North,Light Soil
SOIL00525,Chalky,6.85,7.75,48,33,71,1145,319,74,18.57,0.47,South,Light Soil
SOIL00526,Silty,6.83,2.89,30,7,260,897,90,49,17.44,0.67,North,Neutral Soil
SOIL00527,Loamy,5.46,9.16,33,9,170,1384,252,10,12.26,2.3,East,Acidic Soil
SOIL00528,Clayey,4.96,7.22,27,36,118,1326,99,18,24.46,1.32,East,Acidic Soil
SOIL00529,Silty,7.46,9.48,48,16,145,1096,241,13,29.5,1.0,South,Neutral Soil
SOIL00530,Peaty,7.65,5.96,35,3,242,871,166,81,21.82,0.21,West,Neutral Soil
SOIL00531,Chalky,6.25,3.13,35,21,142,150,487,82,14.2,2.05,South,Light Soil
SOIL00532,Chalky,8.49,7.19,48,31,269,1882,104,89,12.63,1.54,West,Light Soil
SOIL00533,Loamy,6.33,3.83,48,24,82,438,449,47,14.34,2.4,South,Neutral Soil
SOIL00534,Chalky,6.41,9.02,42,13,280,1652,475,17,13.93,2.4,East,Light Soil
SOIL00535,Chalky,6.08,7.11,21,12,93,1329,15,79,6.67,0.5,South,Light Soil
SOIL00536,Silty,8.13,2.25,34,15,156,1591,158,97,20.67,0.5,North,Alkaline Soil
SOIL00537,Silty,6.35,7.39,16,9,52,1064,114,60,16.96,0.1,North,Neutral Soil
SOIL00538,Clayey,6.12,4.91,46,4,211,1969,58,25,25.78,1.43,South,Neutral Soil
SOIL00539,Loamy,5.6,6.05,24,12,118,1743,409,9,22.56,0.98,West,Neutral Soil
SOIL00540,Loamy,7.6,5.62,21,33,59,723,316,28,29.46,2.0,South,Neutral Soil
SOIL00541,Chalky,6.88,3.04,5,23,71,771,225,17,15.5,1.53,West,Light Soil
SOIL00542,Sandy,7.24,2.05,36,11,284,1672,252,27,9.6,1.7,West,Light Soil
SOIL00543,Sandy,4.63,3.29,46,38,94,1143,94,11,6.61,1.78,Central,Light Soil
SOIL00544,Chalky,6.51,1.76,32,27,255,795,349,29,20.48,1.78,West,Light Soil
SOIL00545,Silty,6.32,1.98,42,34,199,1850,125,81,6.4,0.43,South,Neutral Soil
SOIL00546,Silty,4.74,1.68,6,36,273,1653,356,65,20.19,0.29,North,Acidic Soil
SOIL00547,Clayey,5.64,7.54,29,3,299,446,470,16,29.72,1.69,Central,Neutral Soil
SOIL00548,Chalky,7.66,9.1,20,35,267,487,346,33,9.37,2.31,East,Light Soil
SOIL00549,Sandy,8.45,3.64,32,27,174,1315,198,60,23.35,1.84,West,Light Soil
SOIL00550,Silty,4.62,5.22,20,28,199,1497,349,32,18.97,2.06,West,Acidic Soil
SOIL00551,Chalky,8.96,3.01,48,5,264,875,61,33,16.35,2.1,North,Light Soil
