Credit Score,Annual Income (₹),Existing Debts (₹),Employment History (Years),Loan Amount (₹),Loan Term (Months),Interest Rate (%),Approval Status
449,10000,16428,9,30253,48,10.07,Rejected
746,36283,15566,10,46297,36,15.11,Approved
553,72091,0,24,14787,48,9.62,Rejected
846,49314,16124,0,48877,12,10.42,Rejected
409,70759,14300,26,49730,24,16.85,Rejected
638,29574,17040,3,44206,48,11.01,Rejected
745,37826,20843,3,41629,12,15.13,Approved
754,31296,14893,28,13298,48,7.96,Approved
509,47754,4597,18,35541,60,16.41,Rejected
323,31637,13864,10,38654,36,16.93,Rejected
452,87720,22180,16,3378,24,5.38,Rejected
676,48749,9958,25,20303,24,16.06,Approved
399,31057,3509,8,48351,48,9.2,Rejected
793,47689,13587,12,6382,24,10.44,Approved
785,40202,18522,24,28200,36,6.2,Approved
359,47606,18149,29,11262,24,11.83,Rejected
652,32291,13224,2,39908,12,16.09,Approved
717,53337,13485,13,22474,24,17.77,Approved
677,35034,14681,4,41356,60,15.15,Approved
591,52744,18065,17,21108,60,12.13,Rejected
837,36860,21200,10,22889,60,9.58,Approved
522,57051,12221,16,27890,48,5.19,Rejected
308,38646,10036,0,38674,24,9.08,Rejected
512,42011,19074,17,30742,36,14.19,Rejected
418,41896,17085,6,48828,60,10.55,Rejected
578,41111,15811,18,2899,60,13.75,Rejected
564,48459,33350,4,30512,48,12.76,Rejected
713,56695,11107,1,48288,48,16.27,Rejected
377,26911,132,2,7696,60,11.88,Rejected
393,51857,16641,19,34207,24,9.69,Rejected
527,76132,22606,7,20564,24,8.67,Rejected
434,81016,9701,19,23363,48,16.87,Rejected
828,42813,28623,7,34163,36,8.66,Approved
349,43859,15670,10,24233,48,8.81,Rejected
698,71097,12678,11,30150,36,14.94,Approved
581,63576,16656,17,6645,48,16.5,Rejected
483,38601,18857,29,27637,48,15.66,Rejected
309,86939,30591,4,29653,24,8.92,Rejected
560,56693,20700,23,5629,12,16.37,Rejected
696,39236,21207,19,27397,12,14.95,Approved
549,41451,21678,6,46030,48,9.84,Rejected
463,38549,21199,2,34729,24,11.59,Rejected
478,43860,1594,28,16791,12,14.25,Rejected
677,41670,6054,9,12210,60,16.09,Approved
437,26707,9856,16,47196,24,14.05,Rejected
784,37166,9381,5,45081,36,8.77,Approved
768,38879,7219,0,24783,36,10.21,Rejected
789,35768,8763,13,34744,48,14.87,Approved
525,39973,23432,24,38474,36,9.16,Rejected
712,55086,13139,15,39984,48,17.66,Approved
765,33952,2940,3,36823,36,11.19,Approved
734,75018,9781,16,49445,60,7.54,Approved
448,58818,10465,16,10460,60,17.4,Rejected
824,80527,22810,12,32048,60,16.67,Approved
711,79509,7186,26,26811,12,8.13,Approved
341,50676,29851,28,45495,60,13.93,Rejected
493,32067,7301,23,10557,60,12.84,Rejected
462,37524,22859,1,30865,48,13.83,Rejected
800,71455,10908,13,24393,60,11.02,Approved
578,28883,11614,17,6965,60,12.78,Rejected
790,61846,6204,14,46341,36,9.18,Approved
550,41562,19446,0,13042,60,9.03,Rejected
365,68321,32917,19,43974,12,7.71,Rejected
736,41957,3436,9,19474,60,5.19,Approved
633,65033,17335,15,1824,12,6.28,Rejected
508,35572,20453,27,41443,48,9.88,Rejected
725,44302,13280,24,4545,48,10.24,Approved
534,61306,11872,12,31531,60,12.71,Rejected
507,69409,22476,1,33271,48,13.81,Rejected
347,43409,18513,20,11194,12,17.51,Rejected
650,49489,10651,3,18700,24,17.31,Approved
444,70397,19160,15,35887,36,6.23,Rejected
845,16419,8391,5,17330,48,5.68,Approved
300,50405,22254,7,29215,60,8.66,Rejected
712,40037,14694,6,6285,60,6.12,Approved
492,30404,21932,26,24748,48,8.54,Rejected
797,20424,21219,16,38087,60,7.1,Rejected
531,50088,8024,7,40583,60,17.64,Rejected
385,62650,21606,5,11264,60,5.67,Rejected
688,61007,4318,12,12231,48,15.78,Approved
373,35985,15574,20,20630,48,11.03,Rejected
628,36162,13603,28,45899,12,6.91,Rejected
721,47749,14721,2,35898,60,14.42,Approved
390,29683,4192,26,13444,48,16.34,Rejected
309,79811,27479,21,44453,60,9.67,Rejected
415,55713,1762,29,5918,24,14.68,Rejected
348,40427,15992,18,17784,24,6.07,Rejected
672,53673,13935,18,27942,48,12.28,Approved
482,67690,19465,28,49167,24,10.38,Rejected
723,68805,33130,13,31782,12,12.36,Approved
406,46553,23021,16,37342,12,8.08,Rejected
495,47956,26766,8,44213,48,12.32,Rejected
598,50810,25072,25,33885,60,11.91,Rejected
781,77201,0,8,3459,24,6.49,Approved
479,53871,18614,14,13757,36,14.09,Rejected
487,56579,10154,24,47538,24,5.3,Rejected
740,40515,17332,6,6230,48,16.79,Approved
462,26573,0,12,2980,36,13.92,Rejected
474,60655,8679,11,18856,36,7.13,Rejected
683,53213,10519,8,26367,12,6.54,Approved
583,33156,17997,10,31869,36,16.9,Rejected
519,57875,18611,27,23664,24,6.83,Rejected
383,58522,22460,10,48280,36,12.3,Rejected
568,35330,21021,10,16729,24,6.78,Rejected
636,54675,20433,28,39293,60,11.71,Rejected
360,34627,14234,0,12457,36,10.95,Rejected
685,53966,3969,23,14685,36,6.62,Approved
512,47020,11813,0,18269,60,10.31,Rejected
773,32924,10319,10,18795,60,11.11,Approved
805,52989,27671,2,9707,36,6.27,Approved
431,31313,22756,20,1060,24,15.33,Rejected
815,57831,28126,1,47272,24,16.3,Rejected
801,30373,13768,19,39264,48,15.31,Approved
615,59961,10222,24,3624,36,13.53,Rejected
656,66459,6244,16,46630,24,13.73,Approved
659,35916,23503,11,30072,36,12.44,Approved
654,51998,12593,20,12560,36,9.25,Approved
310,75089,14255,11,13025,60,5.09,Rejected
476,14964,19483,3,45130,60,14.31,Rejected
388,73976,9255,18,28042,12,11.57,Rejected
811,44237,15841,24,19596,12,11.51,Approved
507,60104,6834,2,5624,12,14.99,Rejected
783,35885,12208,4,39570,12,9.77,Approved
695,71010,5058,27,9381,12,6.17,Approved
789,54148,9122,17,41603,12,10.19,Approved
435,60547,7261,11,44487,60,9.21,Rejected
597,50018,1454,6,47324,48,5.73,Rejected
812,57503,7001,23,1435,12,14.17,Approved
668,30532,18389,1,12780,24,14.31,Rejected
637,37809,5533,13,47125,60,13.46,Rejected
319,54927,31734,0,44774,12,5.38,Rejected
449,56696,18248,18,7422,36,15.25,Rejected
604,29216,11269,28,49432,60,11.89,Rejected
595,35732,7158,18,19376,60,10.21,Rejected
359,30849,10613,24,34827,12,13.44,Rejected
810,58983,5307,21,31025,48,11.31,Approved
721,41452,0,24,29881,12,8.38,Approved
755,53931,5727,22,4851,60,16.26,Approved
484,43393,26698,10,31806,48,8.89,Rejected
725,71700,5094,9,46717,48,8.43,Approved
323,65690,23015,12,42353,12,16.34,Rejected
703,54477,22599,6,20736,60,8.73,Approved
393,42280,11371,25,4734,36,14.68,Rejected
830,70263,22725,1,39222,48,17.23,Rejected
407,56561,14770,9,38609,36,16.28,Rejected
756,10825,7728,20,33958,12,10.12,Approved
839,46753,8114,27,3727,24,15.32,Approved
788,48436,0,20,17709,48,16.99,Approved
442,65914,12646,26,47896,12,6.73,Rejected
391,53937,17978,25,34097,24,7.5,Rejected
416,55891,15748,8,40901,36,9.38,Rejected
611,53845,10417,11,32463,36,11.66,Rejected
701,87537,4458,3,36514,48,11.81,Approved
466,57196,13054,24,14727,36,6.14,Rejected
478,24510,21029,7,3994,48,6.98,Rejected
847,40421,4819,20,6905,36,15.35,Approved
767,39183,23277,18,24502,48,17.95,Approved
521,28956,16207,14,9021,48,14.33,Rejected
838,46825,15514,1,8364,12,16.49,Rejected
801,53315,17128,8,27043,24,13.34,Approved
549,44475,18973,0,6053,12,11.86,Rejected
350,52141,21355,0,32194,48,9.84,Rejected
835,57898,24565,24,26925,36,10.17,Approved
440,64282,4237,25,27698,24,14.41,Rejected
748,45304,17782,2,42328,60,14.56,Approved
394,39341,9172,29,5038,60,13.54,Rejected
330,63971,8392,5,9655,48,14.79,Rejected
658,48506,5838,6,27545,12,15.23,Approved
334,56651,30409,18,47923,36,10.43,Rejected
412,55835,16383,17,13730,36,16.1,Rejected
471,58470,21444,29,12460,24,15.16,Rejected
331,17028,14712,9,14093,60,17.04,Rejected
492,28526,7948,29,3526,36,15.31,Rejected
538,55356,8196,29,33690,60,8.29,Rejected
731,45371,13272,22,8016,60,7.63,Approved
549,29209,19483,17,39821,36,11.55,Rejected
772,85897,19471,27,25718,48,9.43,Approved
525,19812,22902,7,46050,60,13.31,Rejected
347,52678,16981,24,32000,48,8.85,Rejected
547,18292,17540,15,35808,36,8.32,Rejected
375,77951,12454,19,33939,12,14.56,Rejected
794,34539,20197,12,1456,24,11.94,Approved
561,57449,9133,5,10041,24,11.86,Rejected
758,39494,9407,3,41175,36,6.99,Approved
503,38220,17345,18,23538,60,5.36,Rejected
487,30622,19959,18,13058,12,9.86,Rejected
725,18323,10608,19,18474,60,6.53,Approved
602,43719,1765,2,12062,36,6.77,Rejected
396,49910,19372,19,25441,60,7.83,Rejected
492,56040,10374,16,35922,48,7.93,Rejected
398,55010,7564,29,41411,48,16.35,Rejected
584,36805,5684,28,38256,12,12.88,Rejected
712,65033,15154,5,31929,24,14.83,Approved
822,80798,12062,23,32307,60,6.04,Approved
356,52781,27449,7,2105,60,11.38,Rejected
741,57501,6767,20,37507,36,9.1,Approved
763,59558,17524,3,39237,60,6.16,Approved
697,50069,19769,25,16231,48,5.69,Approved
726,24783,26298,2,36168,36,7.15,Rejected
349,36402,1410,28,9904,36,6.62,Rejected
807,39641,15034,5,39134,60,16.55,Approved
410,64621,17295,6,43086,36,13.3,Rejected
339,63912,2890,9,19818,24,12.16,Rejected
363,43685,21755,26,7116,48,14.87,Rejected
394,51171,16682,17,1787,24,7.34,Rejected
437,45084,0,6,2812,60,7.52,Rejected
692,37772,20292,25,40724,24,9.93,Approved
649,28542,6971,14,8973,12,12.38,Rejected
828,26535,15926,22,22739,60,13.86,Approved
689,45988,0,1,25882,12,12.68,Rejected
562,33841,7758,14,5687,12,8.29,Rejected
780,41741,16372,7,40607,12,9.6,Approved
348,73624,12947,4,5801,12,14.95,Rejected
688,64857,20714,9,4061,48,12.7,Approved
632,39717,7279,5,30546,60,7.97,Rejected
404,46423,17075,5,38347,12,7.76,Rejected
626,51008,11570,3,34065,24,6.44,Rejected
321,61996,16148,28,11886,48,15.65,Rejected
381,42327,14179,1,28104,36,10.03,Rejected
675,62530,8531,14,38489,60,13.75,Approved
617,37978,15601,2,2045,48,10.49,Rejected
408,58867,12534,13,49594,24,14.5,Rejected
748,39001,8016,15,44615,12,10.44,Approved
479,48989,14755,0,7592,12,16.11,Rejected
500,47512,18380,19,41155,60,5.78,Rejected
470,62632,0,28,39176,12,6.8,Rejected
764,60338,35324,20,35859,36,10.61,Approved
323,74139,14821,28,22098,36,14.43,Rejected
701,37374,16897,18,18410,36,12.74,Approved
341,12619,0,29,34441,24,7.08,Rejected
702,51343,5071,20,13356,24,9.23,Approved
771,31992,25357,5,13028,12,12.03,Approved
616,36198,10013,28,17905,48,6.06,Rejected
650,45586,3219,11,43261,12,11.64,Approved
733,45236,24303,6,49106,24,11.12,Approved
548,19518,9986,11,37396,12,17.05,Rejected
560,44600,19414,13,3253,24,11.4,Rejected
781,61040,0,17,49533,60,9.15,Approved
538,71243,21093,24,32225,24,7.37,Rejected
795,35456,27582,6,29796,36,10.84,Approved
442,38079,9400,17,6781,60,17.72,Rejected
510,58335,15015,11,34238,24,14.94,Rejected
487,58995,21810,8,12111,12,12.01,Rejected
588,52690,9658,16,13088,60,6.89,Rejected
668,41793,10157,7,37497,24,12.8,Approved
801,71333,11716,21,4538,48,7.75,Approved
509,74711,10337,10,38173,48,11.13,Rejected
525,59181,10933,5,12706,36,16.79,Rejected
400,49192,30708,17,6368,12,14.03,Rejected
375,61200,14481,11,22000,36,13.03,Rejected
575,63569,10830,26,18299,12,16.53,Rejected
708,29930,17787,27,40041,36,17.18,Approved
334,58571,2815,14,14583,48,8.52,Rejected
513,35487,13770,26,40333,24,11.76,Rejected
707,35317,11378,5,12570,12,13.22,Approved
585,69861,19772,26,29388,60,12.39,Rejected
650,45175,14597,10,45757,12,7.62,Approved
468,30416,14327,16,17199,12,15.91,Rejected
752,55650,18592,2,48169,12,13.24,Approved
762,75976,21093,28,5516,36,7.63,Approved
572,54357,18788,21,48924,60,16.24,Rejected
389,57100,13438,8,38312,48,15.12,Rejected
646,48174,10191,12,17036,36,6.13,Rejected
848,55816,0,2,7945,60,12.86,Approved
438,25729,23529,6,10562,36,12.93,Rejected
373,49770,20332,10,38315,60,6.78,Rejected
657,49031,37788,29,21487,24,15.93,Approved
659,84568,27266,28,47338,12,5.93,Approved
644,55020,0,23,31903,60,16.98,Rejected
677,49341,18057,8,23716,60,5.58,Approved
408,11012,16757,8,13640,48,10.71,Rejected
328,15538,12001,5,36917,60,13.6,Rejected
668,36587,10295,23,35653,12,13.04,Approved
335,67657,14507,15,1284,36,7.73,Rejected
634,49508,6355,9,25211,36,14.68,Rejected
577,34694,24879,3,14607,48,8.0,Rejected
643,68197,12295,18,30798,48,8.79,Rejected
734,52990,11013,16,40701,36,12.88,Approved
319,83494,21813,9,48214,36,13.94,Rejected
373,52172,16340,19,41186,12,9.87,Rejected
693,51834,11578,2,22413,24,17.51,Approved
319,34091,19790,8,12952,60,9.96,Rejected
351,28623,23376,11,15469,12,16.72,Rejected
583,31226,23893,7,2936,24,5.55,Rejected
569,36022,23652,16,23649,60,12.51,Rejected
697,40313,38004,28,17844,24,17.54,Approved
696,49847,18890,7,35638,36,12.62,Approved
538,71645,21585,24,27918,60,17.03,Rejected
711,16246,19858,4,28491,36,17.31,Rejected
533,28266,25407,29,39913,60,9.41,Rejected
330,58185,14187,0,7908,12,6.65,Rejected
743,30413,30589,19,12618,12,7.31,Rejected
827,35135,14735,28,3375,24,14.95,Approved
529,45346,18630,22,5432,12,8.93,Rejected
377,67550,11164,10,9955,12,7.44,Rejected
445,50354,21370,29,6230,60,6.28,Rejected
572,46598,9902,27,45322,36,7.5,Rejected
334,48638,6957,24,41264,48,8.07,Rejected
646,55143,23248,15,22705,36,7.67,Rejected
516,47026,9711,3,24409,48,16.7,Rejected
681,31495,9319,29,11712,12,16.65,Approved
790,62934,28029,17,41907,24,17.43,Approved
428,11876,5646,3,33678,24,17.02,Rejected
413,35528,24244,2,6386,36,10.46,Rejected
449,56125,21854,13,30107,12,11.53,Rejected
579,46232,0,8,34364,60,10.7,Rejected
677,51031,17442,15,41000,60,12.53,Approved
628,28874,19181,6,6745,48,15.74,Rejected
458,52900,3252,20,8981,12,6.5,Rejected
643,39799,19058,21,27358,48,17.41,Rejected
733,77893,13006,23,9480,48,17.31,Approved
327,39764,6828,27,23750,24,5.73,Rejected
673,36338,15477,21,18297,24,10.37,Approved
786,59102,9404,29,31179,60,8.85,Approved
573,37291,17257,8,18800,12,13.44,Rejected
378,78989,16606,4,3641,12,16.0,Rejected
606,41170,16317,21,34730,12,17.87,Rejected
363,52740,17629,19,11240,60,10.75,Rejected
767,47805,15895,18,3133,48,15.46,Approved
707,38121,22163,12,46770,36,9.87,Approved
698,45949,16560,28,3201,48,11.9,Approved
836,62220,17390,17,14137,60,11.61,Approved
424,38918,10742,10,23146,24,8.99,Rejected
739,45767,2300,22,23029,60,11.77,Approved
441,46104,19013,29,39511,24,7.15,Rejected
622,46964,9375,11,22221,48,16.2,Rejected
756,54595,3688,27,46194,12,12.64,Approved
348,52309,13121,26,5209,36,6.08,Rejected
320,54530,4975,22,23003,48,9.07,Rejected
606,16856,19599,3,22738,48,17.46,Rejected
466,42721,18284,24,2566,12,14.29,Rejected
319,65655,29225,21,1145,36,9.55,Rejected
662,61677,8127,17,48903,36,9.97,Approved
374,32409,3038,19,34480,48,13.27,Rejected
597,70595,15443,24,7991,60,5.8,Rejected
431,37981,14643,1,43318,36,16.57,Rejected
357,62246,0,15,29995,12,11.11,Rejected
433,44482,14981,24,3174,48,16.18,Rejected
518,41830,11697,20,13774,24,14.43,Rejected
842,30499,17864,26,30744,36,6.92,Approved
582,47126,16182,15,43711,60,11.71,Rejected
659,32110,5512,25,41627,12,6.74,Approved
641,12573,16761,22,42280,60,13.84,Rejected
356,43925,10618,3,4564,48,9.9,Rejected
833,32502,19457,13,3890,60,12.63,Approved
518,25833,18536,17,46072,48,14.79,Rejected
614,40297,21387,16,7655,60,5.92,Rejected
688,46507,9463,17,18526,48,14.15,Approved
340,40993,16599,17,17375,36,5.84,Rejected
329,45180,12117,12,49960,60,7.69,Rejected
678,68714,5780,6,23710,48,10.75,Approved
810,40018,17961,14,22947,36,10.49,Approved
528,38156,3950,28,16779,36,13.76,Rejected
550,57015,24556,7,37899,60,10.02,Rejected
673,66230,17406,12,17519,24,10.71,Approved
443,24533,11868,12,38098,36,11.28,Rejected
491,42918,23462,6,21448,48,9.09,Rejected
606,45494,28362,6,22277,48,16.82,Rejected
505,37555,11857,4,2017,48,10.27,Rejected
648,58393,24136,5,23695,60,13.35,Rejected
414,62554,14318,11,11975,48,12.93,Rejected
737,50108,12371,14,22728,12,8.37,Approved
542,42160,23577,29,31073,36,8.06,Rejected
663,25690,4917,17,12004,48,7.38,Approved
374,37021,29727,25,36223,48,12.86,Rejected
513,33749,0,27,25952,12,10.65,Rejected
755,47662,19703,16,10589,12,11.56,Approved
502,50889,13638,25,2694,48,8.9,Rejected
670,59175,23644,0,2690,36,16.94,Rejected
515,24453,15934,9,47445,60,13.2,Rejected
582,52752,14765,17,45796,36,11.2,Rejected
308,64177,23079,14,14523,60,16.75,Rejected
677,25424,17325,26,24332,48,16.26,Approved
619,39425,2082,25,8755,60,9.54,Rejected
724,49710,28477,26,42813,60,9.24,Approved
824,60917,33197,0,45894,48,6.12,Rejected
748,56024,11751,1,42317,24,8.01,Rejected
532,72420,26493,3,1761,48,6.24,Rejected
646,79523,10033,27,4918,36,10.12,Rejected
667,91499,27301,4,43066,36,7.05,Approved
447,19198,5703,10,8515,48,12.06,Rejected
505,59713,18914,22,7272,48,17.1,Rejected
443,15001,16233,7,29214,36,13.22,Rejected
740,62646,6818,21,34712,48,16.98,Approved
783,63749,11230,17,14996,12,17.17,Approved
346,59088,20142,9,15146,24,11.33,Rejected
348,49355,2727,7,10608,36,14.72,Rejected
661,64387,10541,6,32806,60,6.44,Approved
679,48129,32745,17,25121,60,9.62,Approved
698,50181,11024,9,3984,24,11.8,Approved
610,61550,12378,26,22512,24,14.13,Rejected
838,87012,29785,26,39240,60,5.7,Approved
357,52666,20514,15,17817,24,12.11,Rejected
657,81933,23821,7,20369,24,6.42,Approved
650,18814,13272,26,36796,12,17.37,Approved
518,44993,21870,19,16901,24,10.88,Rejected
356,57395,4048,0,18184,36,6.88,Rejected
725,36253,16349,7,44359,24,12.27,Approved
490,34387,10716,29,19131,36,8.4,Rejected
314,42833,32441,19,17167,36,16.79,Rejected
658,34596,17268,3,11547,24,13.97,Approved
788,33611,7593,3,23839,24,10.41,Approved
750,53457,12838,13,41536,36,14.34,Approved
311,61316,29452,14,1562,60,5.16,Rejected
731,58214,12901,20,48631,60,8.48,Approved
834,53069,11554,3,35537,12,5.89,Approved
633,69575,13166,18,5683,24,14.81,Rejected
725,31384,19392,13,42097,12,10.59,Approved
835,42547,24909,26,26606,36,5.07,Approved
334,55203,18612,16,21418,48,10.68,Rejected
358,48719,1479,13,44557,48,10.24,Rejected
701,67010,28614,14,6367,12,14.92,Approved
600,39467,15354,5,24202,60,7.11,Rejected
412,64725,11265,2,3655,36,13.66,Rejected
